name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
NetInterestIncome,"0","0","0","0","0","0","0","-3,000","-16,000","-146,000","-260,000","-258,000","-276,000","-348,000","-384,000","-34,000","0","-153,000","-220,000","-281,000","-257,000","-303,000","-252,000","-170,000","-311,000","-360,000","-343,000","-392,000","-332,000","-342,000","-338,000","-674,000","-2,067,000","4,124,000","-2,329,000","-2,326,000","-2,274,000"
EBIT,"255,962,000","70,002,000","43,549,000","47,236,000","95,175,000","36,601,000","34,282,000","26,738,000","88,334,000","61,265,000","50,751,000","52,623,000","62,388,000","43,047,000","36,828,000","43,552,000","52,050,000","18,005,000","11,555,000","9,238,000","38,760,000","13,052,000","369,000","16,120,000","28,738,000","6,601,000","6,953,000","10,827,000","10,571,000","4,813,000","4,717,000","-363,000","3,910,000","-195,000","1,706,000","2,855,000","6,150,000"
EBITDA,"323,184,000"
ReconciledCostOfRevenue,"130,475,000","37,863,000","34,766,000","28,773,000","29,073,000","26,126,000","24,279,000","23,257,000","24,116,000","23,183,000","21,088,000","20,289,000","24,776,000","19,828,000","18,158,000","17,677,000","20,568,000","16,419,000","15,324,000","15,609,000","15,086,000","13,777,000","13,227,000","10,479,000","10,785,000","9,221,000","7,964,000","7,134,000","7,471,000","6,847,000","5,798,000","5,757,000","6,292,000","5,454,000","4,846,000","4,353,000","4,434,000"
ReconciledDepreciation,"67,222,000","18,968,000","17,321,000","16,017,000","14,916,000","14,300,000","13,783,000","13,075,000","12,215,000","11,567,000","10,969,000","10,328,000","9,347,000","8,747,000","8,128,000","6,713,000","6,069,000","5,497,000","4,905,000","4,707,000","4,286,000","3,961,000","3,553,000","3,209,000","2,909,000","2,599,000","2,402,000","2,287,000","2,133,000","1,964,000","1,797,000","1,680,000","1,721,000","1,450,000","1,453,000","1,288,000","1,295,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"195,960,000","48,687,000","30,379,000","52,278,000","64,616,000","24,367,000","27,482,000","28,589,000","63,015,000","45,380,000","39,152,000","48,762,000","47,282,000","31,414,000","28,769,000","35,722,000","41,160,000","12,905,000","14,067,000","14,221,000","25,614,000","8,633,000","6,198,000","10,421,000","18,588,000","5,157,000","3,847,000","5,946,000","5,995,000","2,506,000","2,690,000","-593,000","1,060,000","5,140,000","-424,000","360,000","2,635,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","-4,044,000",,,"0","0",
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","-4,044,000",,,"0","0",
NormalizedEBITDA,"323,184,000","88,970,000","60,870,000","63,253,000","110,091,000","50,901,000","48,065,000","39,813,000","100,549,000","72,832,000","61,720,000","62,951,000","71,735,000","51,794,000","44,956,000","50,265,000","58,119,000","23,502,000","16,460,000","13,945,000","43,046,000","17,013,000","3,922,000","19,329,000","31,647,000","9,200,000","9,355,000","13,114,000","12,704,000","6,777,000","6,514,000","5,361,000","5,631,000","1,255,000","3,159,000","4,143,000","7,445,000"
TaxRateForCalcs,"0.23","0.304","0.302","0.27","0.321","0.334","0.198","0.27","0.287","0.258","0.225","0.069","0.239","0.264","0.211","0.179","0.209","0.277","0.4","0.4","0.335","0.323","0.4","0.347","0.346","0.174","0.4","0.4","0.4","0.35","0.386","0.35","0.35","0.35","0.319","0.32","0.32"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1,415,400","0","0","0","0","0"
