name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
TotalExpenses,"5,175,000,000","1,801,000,000","1,411,000,000","1,292,000,000","671,000,000","845,783,000","393,027,000","188,478,000","139,251,000","143,149,000","147,903,000","157,019,000","157,858,000","188,452,000","127,575,000","125,866,000","106,441,000","133,732,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"12,202,000,000","4,868,000,000","3,333,000,000","2,780,000,000","1,221,000,000","-272,485,000","-233,636,000","-116,713,000","-124,230,000","-123,116,000","-123,194,000","-135,054,000","-132,657,000","-141,426,000","-80,331,000","-90,601,000","-72,376,000","-37,944,000"
NormalizedIncome,"12,201,081,000","4,868,899,815.157","3,333,000,000","2,778,180,000","1,221,000,000","-272,630,270","-233,790,030","-117,129,100","-124,464,330","-123,345,684.714","-123,272,886.02","-135,070,959.314","-132,654,000.543","-141,426,000","-81,102,000","-90,990,090","-72,434,000","-37,944,000"
InterestIncome,"18,000,000","7,000,000","4,000,000","3,000,000","4,000,000","4,200,000","5,571,000","7,092,000","7,852,000","7,984,000","9,252,000","10,322,000","10,972,000","8,894,000","6,519,000","6,401,000","5,209,000","3,783,000"
InterestExpense,"18,000,000","6,000,000","4,000,000","5,000,000","3,000,000","3,508,000","2,834,000","1,878,000","1,666,000","1,995,000","1,543,000","1,541,000","1,533,000",,"1,519,000","25,000","27,000",
NetInterestIncome,"0","1,000,000","0","-2,000,000","1,000,000","692,000","2,737,000","5,214,000","6,186,000","5,989,000","7,709,000","8,781,000","9,439,000","8,894,000","5,000,000","6,376,000","5,182,000","3,783,000"
EBIT,"13,303,000,000","5,416,000,000","3,556,000,000","3,068,000,000","1,263,000,000","-267,504,000","-229,938,000","-114,687,000","-122,498,000","-121,290,000","-121,829,000","-133,837,000","-131,148,000","-153,031,000","-78,812,000","-90,418,000","-72,349,000","-41,828,000"
EBITDA,"13,535,000,000"
ReconciledCostOfRevenue,"2,617,000,000","952,000,000","722,000,000","750,000,000","193,000,000","7,933,000",,,,,,,,,,,,
ReconciledDepreciation,"232,000,000","78,000,000","70,000,000","69,000,000","15,000,000","7,706,000","8,500,000","7,596,000","7,449,000","8,939,000","7,265,000","7,489,000","7,328,000","7,350,000","6,481,000","5,878,000","5,153,000","5,915,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"12,202,000,000","4,868,000,000","3,333,000,000","2,780,000,000","1,221,000,000","-272,485,000","-233,636,000","-116,713,000","-124,230,000","-123,116,000","-123,194,000","-135,054,000","-132,657,000","-141,426,000","-80,331,000","-90,601,000","-72,376,000","-37,944,000"
TotalUnusualItemsExcludingGoodwill,"1,000,000","-1,000,000",,"2,000,000",,"199,000","211,000","570,000","321,000","230,000","79,000","17,000","-3,000",,"771,000","533,000","58,000",
TotalUnusualItems,"1,000,000","-1,000,000",,"2,000,000",,"199,000","211,000","570,000","321,000","230,000","79,000","17,000","-3,000",,"771,000","533,000","58,000",
NormalizedEBITDA,"13,534,000,000","5,495,000,000","3,626,000,000","3,135,000,000","1,278,000,000","-259,997,000","-221,649,000","-107,661,000","-115,370,000","-112,581,000","-114,643,000","-126,365,000","-123,817,000","-145,681,000","-73,102,000","-85,073,000","-67,254,000","-35,913,000"
TaxRateForCalcs,"0.081","0.1","0.06","0.09","0.031","0.27","0.27","0.27","0.27","0.001","0.001","0.002","0","0.27","0","0.27","0","0.004"
TaxEffectOfUnusualItems,"81,000","-100,184.843","0","180,000","0","53,730","56,970","153,900","86,670","315.286","113.98","40.686","-0.543","0","0","143,910","0","0"
