name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
NetIncomeCommonStockholders,"483,000,000","112,800,000","143,500,000","118,700,000","108,000,000","93,300,000","146,900,000","73,700,000","400,000","80,700,000","131,600,000","109,300,000","80,200,000","132,800,000","116,000,000","113,900,000","72,200,000","9,600,000","89,800,000","105,500,000","68,400,000","74,800,000","1,600,000","95,000,000","57,700,000","71,900,000","-27,300,000","63,900,000","45,400,000","35,800,000","60,300,000","43,500,000","35,600,000","9,400,000","-78,100,000","60,300,000","39,400,000","59,200,000"
	NetIncome,"483,000,000","112,800,000","143,500,000","118,700,000","108,000,000","93,300,000","146,900,000","73,700,000","400,000","80,700,000","131,600,000","109,300,000","80,200,000","132,800,000","116,000,000","113,900,000","72,200,000","9,600,000","89,800,000","105,500,000","68,400,000","74,800,000","1,600,000","95,000,000","57,700,000","71,900,000","-27,300,000","63,900,000","45,400,000","35,800,000","60,300,000","43,500,000","35,600,000","9,400,000","-78,100,000","60,300,000","39,400,000","59,200,000"
		NetIncomeIncludingNoncontrollingInterests,"483,300,000","112,700,000","143,600,000","118,800,000","108,200,000","93,400,000","146,900,000","73,700,000","500,000","80,700,000","131,700,000","109,400,000","80,300,000","132,900,000","116,100,000","114,000,000","72,400,000","12,100,000","90,100,000","105,800,000","68,700,000","75,000,000","2,000,000","95,400,000","58,800,000","72,000,000","-26,400,000","65,000,000","43,700,000","22,600,000","65,600,000","47,000,000","37,400,000","8,000,000","-68,000,000","62,500,000","41,000,000","61,000,000"
			NetIncomeContinuousOperations,"483,300,000","112,700,000","143,600,000","118,800,000","108,200,000","93,400,000","146,900,000","73,700,000","500,000","80,700,000","131,700,000","109,400,000","80,300,000","132,900,000","116,100,000","114,000,000","72,400,000","12,100,000","90,100,000","105,800,000","68,700,000","75,000,000","2,000,000","95,400,000","58,800,000","72,000,000","-26,200,000","65,000,000","43,900,000","22,800,000","67,700,000","55,100,000","37,600,000","8,500,000","-67,600,000","63,300,000","41,200,000","63,700,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,"0",,"0",,"0","-200,000","0","-200,000","-200,000","-2,100,000","-8,100,000","-200,000","-500,000","-400,000","-800,000","-200,000","-2,700,000"
		MinorityInterests,"-300,000","100,000","-100,000","-100,000","-200,000","-100,000","0","0","-100,000","0","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","-200,000","-2,500,000","-300,000","-300,000","-300,000","-200,000","-400,000","-400,000","-1,100,000","-100,000","-900,000","-1,100,000","1,700,000","13,200,000","-5,300,000","-3,500,000","-1,800,000","1,400,000","-10,100,000","-2,200,000","-1,600,000","-1,800,000"
DilutedNIAvailtoComStockholders,"483,000,000","112,800,000","143,500,000","118,700,000","108,000,000","93,300,000","146,900,000","73,700,000","400,000","80,700,000","131,600,000","109,300,000","80,200,000","132,800,000","116,000,000","113,900,000","72,200,000","9,600,000","89,800,000","105,500,000","68,400,000","74,800,000","1,600,000","95,000,000","57,700,000","71,900,000","-27,300,000","63,900,000","45,400,000","35,800,000","60,300,000","43,500,000","35,600,000","9,400,000","-78,100,000","60,300,000","39,400,000","59,200,000"
BasicEPS,,"1.26","1.6","1.32","1.19",,"1.59","0.8","0.004","0.87","1.41","1.17","0.85","1.4","1.22","1.2","0.76","0.1","0.95","1.11","0.72","0.78","0.02","0.99","0.6","0.75","-0.28","0.67","0.47","0.37","0.63","0.45","0.37","0.1","-0.813","0.628","0.41",
DilutedEPS,,"1.26","1.59","1.31","1.18",,"1.58","0.8","0.004","0.86","1.4","1.16","0.84","1.39","1.21","1.19","0.75","0.1","0.94","1.1","0.71","0.77","0.02","0.98","0.6","0.74","-0.28","0.66","0.47","0.37","0.62","0.45","0.37","0.1","-0.813","0.628","0.41",
BasicAverageShares,,"89,200,000","89,700,000","90,000,000","90,700,000",,"92,300,000","92,300,000","92,700,000","92,900,000","93,300,000","93,800,000","94,500,000","94,900,000","95,100,000","95,000,000","95,100,000","95,100,000","95,000,000","95,200,000","95,300,000","95,600,000","96,000,000","95,800,000","95,900,000","96,000,000","95,900,000","95,800,000","95,900,000","95,800,000","95,900,000","96,300,000","96,300,000","96,000,000","96,028,568","96,028,568","96,028,568",
DilutedAverageShares,,"89,700,000","90,300,000","90,600,000","91,200,000",,"92,700,000","92,700,000","93,300,000","93,700,000","94,000,000","94,500,000","95,100,000","95,600,000","95,800,000","95,600,000","95,800,000","95,900,000","95,800,000","95,900,000","96,100,000","96,600,000","96,900,000","96,800,000","96,900,000","97,000,000","95,900,000","96,700,000","96,900,000","96,800,000","96,900,000","97,300,000","97,400,000","96,400,000","96,028,568","96,028,568","96,028,568",
TotalOperatingIncomeAsReported,"530,200,000","115,100,000","138,400,000","145,400,000","131,300,000","117,700,000","160,400,000","96,500,000","28,900,000","143,300,000","168,100,000","145,700,000","108,000,000","141,400,000","142,300,000","143,400,000","98,700,000","129,200,000","126,100,000","134,100,000","98,800,000","97,200,000","121,500,000","124,300,000","82,500,000","81,500,000","110,400,000","95,700,000","71,000,000","63,600,000","105,600,000","89,700,000","66,800,000","89,800,000","-21,400,000","100,000,000","68,800,000","102,100,000"
TotalExpenses,"2,337,200,000","594,100,000","578,600,000","601,500,000","563,000,000","568,900,000","565,400,000","493,000,000","549,500,000","576,200,000","580,200,000","585,500,000","547,000,000","561,000,000","569,200,000","561,300,000","514,400,000","493,900,000","483,300,000","492,900,000","450,000,000","472,500,000","459,600,000","460,600,000","419,800,000","463,900,000","434,100,000","423,800,000","387,700,000","509,900,000","441,100,000","441,800,000","405,700,000","460,800,000","412,800,000","428,700,000","404,500,000","420,800,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"483,000,000","112,800,000","143,500,000","118,700,000","108,000,000","93,300,000","146,900,000","73,700,000","400,000","80,700,000","131,600,000","109,300,000","80,200,000","132,800,000","116,000,000","113,900,000","72,200,000","9,600,000","89,800,000","105,500,000","68,400,000","74,800,000","1,600,000","95,000,000","57,700,000","71,900,000","-27,300,000","63,900,000","45,400,000","35,800,000","60,300,000","43,500,000","35,600,000","9,400,000","-78,100,000","60,300,000","39,400,000","59,200,000"
NormalizedIncome,"485,489,400","113,433,654.618","144,084,000","119,397,600","108,353,200","128,965,028.355","149,476,000","73,616,200","71,356,000","106,140,736.95","132,300,000","109,715,500","80,031,600","133,749,000","115,286,400","113,380,400","72,536,000","9,780,000","89,719,600","105,843,600","68,483,500","73,981,818.182","52,540,000","94,508,000","60,052,000","70,665,171.504","36,800,000","64,364,400","48,174,000","42,435,000","61,187,900","51,106,500","35,869,700","10,550,000","11,740,000","60,721,400","44,677,500","62,403,557.312"
InterestIncome,"400,000","0","300,000","100,000","0","100,000","200,000","100,000","500,000","700,000","400,000","400,000","300,000","100,000","400,000","100,000","200,000","600,000","300,000","200,000","100,000","0","500,000","900,000","500,000","400,000","300,000","500,000","300,000","700,000","100,000","100,000","200,000","700,000","0","0","100,000","200,000"
InterestExpense,"50,200,000","13,200,000","12,300,000","12,400,000","12,300,000","12,300,000","12,900,000","13,000,000","12,900,000","13,300,000","15,600,000","13,400,000","13,700,000","13,700,000","14,000,000","13,400,000","12,900,000","56,000,000","17,800,000","16,100,000","15,900,000","15,900,000","15,600,000","16,500,000","16,300,000","16,300,000","13,700,000","11,300,000","11,600,000","15,500,000","12,700,000","12,500,000","13,100,000","8,800,000","500,000","500,000","400,000","300,000"
NetInterestIncome,"-49,800,000","-13,200,000","-12,000,000","-12,300,000","-12,300,000","-12,200,000","-12,700,000","-12,900,000","-12,400,000","-12,600,000","-15,200,000","-13,000,000","-13,400,000","-13,600,000","-13,600,000","-13,300,000","-12,700,000","-55,400,000","-17,500,000","-15,900,000","-15,800,000","-15,900,000","-15,100,000","-15,600,000","-15,800,000","-15,900,000","-13,400,000","-10,800,000","-11,300,000","-14,800,000","-12,600,000","-12,400,000","-12,900,000","-8,100,000","-500,000","-500,000","-300,000","-200,000"
