name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
TotalRevenue,"25,371,000,000","6,918,000,000","6,182,000,000","6,238,000,000","6,033,000,000","6,116,000,000","5,459,000,000","5,261,000,000","4,618,000,000","4,961,000,000","4,378,000,000","4,305,000,000","4,128,000,000","4,226,000,000","3,683,000,000","3,857,000,000","3,685,000,000","3,744,000,000","3,239,000,000","3,136,000,000","2,975,000,000","2,981,000,000","2,667,000,000","2,650,000,000","2,544,000,000","2,556,000,000","2,258,000,000","2,297,000,000","2,137,000,000","2,193,000,000","1,975,000,000","1,983,000,000","1,874,000,000"
	OperatingRevenue,"25,371,000,000","6,918,000,000","6,182,000,000","6,238,000,000","6,033,000,000","6,116,000,000","5,459,000,000","5,261,000,000","4,618,000,000","4,961,000,000","4,378,000,000","4,305,000,000","4,128,000,000","4,226,000,000","3,683,000,000","3,857,000,000","3,685,000,000","3,744,000,000","3,239,000,000","3,136,000,000","2,975,000,000","2,981,000,000","2,667,000,000","2,650,000,000","2,544,000,000","2,556,000,000","2,258,000,000","2,297,000,000","2,137,000,000","2,193,000,000","1,975,000,000","1,983,000,000","1,874,000,000"
CostOfRevenue,"11,375,000,000","3,302,000,000","2,832,000,000","2,693,000,000","2,548,000,000","2,696,000,000","2,366,000,000","2,283,000,000","2,330,000,000","2,294,000,000","2,041,000,000","1,945,000,000","1,890,000,000","1,918,000,000","1,661,000,000","1,696,000,000","1,580,000,000","1,306,000,000","1,465,000,000","1,372,000,000","1,287,000,000","1,261,000,000","1,101,000,000","1,065,000,000","1,007,000,000","995,000,000","852,000,000","819,000,000","753,000,000","787,000,000","717,000,000","669,000,000","643,000,000"
GrossProfit,"13,996,000,000","3,616,000,000","3,350,000,000","3,545,000,000","3,485,000,000","3,420,000,000","3,093,000,000","2,978,000,000","2,288,000,000","2,667,000,000","2,337,000,000","2,360,000,000","2,238,000,000","2,308,000,000","2,022,000,000","2,161,000,000","2,105,000,000","2,438,000,000","1,774,000,000","1,764,000,000","1,688,000,000","1,720,000,000","1,566,000,000","1,585,000,000","1,537,000,000","1,561,000,000","1,406,000,000","1,478,000,000","1,384,000,000","1,406,000,000","1,258,000,000","1,314,000,000","1,231,000,000"
OperatingExpense,"9,672,000,000","2,564,000,000","2,306,000,000","2,417,000,000","2,385,000,000","2,413,000,000","2,097,000,000","1,980,000,000","1,861,000,000","1,868,000,000","1,640,000,000","1,657,000,000","1,647,000,000","1,698,000,000","1,504,000,000","1,473,000,000","1,418,000,000","1,503,000,000","1,351,000,000","1,334,000,000","1,217,000,000","1,260,000,000","1,218,000,000","1,214,000,000","1,130,000,000","1,151,000,000","1,076,000,000","1,079,000,000","1,014,000,000","1,058,000,000","986,000,000","984,000,000","913,000,000"
	SellingGeneralAndAdministration,"9,672,000,000","2,564,000,000","2,306,000,000","2,417,000,000","2,385,000,000","2,413,000,000","2,097,000,000","1,980,000,000","1,861,000,000","1,868,000,000","1,640,000,000","1,657,000,000","1,647,000,000","1,186,000,000","1,047,000,000","1,038,000,000","975,000,000","1,009,000,000","917,000,000","901,000,000","820,000,000","856,000,000","819,000,000","829,000,000","760,000,000","735,000,000","693,000,000","688,000,000","649,000,000","687,000,000","625,000,000","638,000,000","585,000,000"
		GeneralAndAdministrativeExpense,"7,227,000,000","1,898,000,000","1,757,000,000","1,789,000,000","1,783,000,000","1,808,000,000","1,626,000,000","1,566,000,000","1,490,000,000","1,468,000,000","1,324,000,000","1,301,000,000","1,318,000,000","797,000,000","721,000,000","725,000,000","690,000,000","681,000,000","639,000,000","617,000,000","582,000,000","603,000,000","586,000,000","579,000,000","527,000,000","466,000,000","458,000,000","443,000,000","413,000,000","424,000,000","358,000,000","385,000,000","370,000,000"
			OtherGandA,"7,227,000,000","1,898,000,000","1,757,000,000","1,789,000,000","1,783,000,000","1,808,000,000","1,626,000,000","1,566,000,000","1,490,000,000","1,468,000,000","1,324,000,000","1,301,000,000","1,318,000,000","797,000,000","721,000,000","725,000,000","690,000,000","681,000,000","639,000,000","617,000,000","582,000,000","603,000,000","586,000,000","579,000,000","527,000,000","466,000,000","458,000,000","443,000,000","413,000,000","424,000,000","358,000,000","385,000,000","370,000,000"
		SellingAndMarketingExpense,"2,445,000,000","666,000,000","549,000,000","628,000,000","602,000,000","605,000,000","471,000,000","414,000,000","371,000,000","400,000,000","316,000,000","356,000,000","329,000,000","389,000,000","326,000,000","313,000,000","285,000,000","328,000,000","278,000,000","284,000,000","238,000,000","253,000,000","233,000,000","250,000,000","233,000,000","269,000,000","235,000,000","245,000,000","236,000,000","263,000,000","267,000,000","253,000,000","215,000,000"
	ResearchAndDevelopment,"2,327,000,000",,,,,,,"631,000,000","605,000,000","558,000,000","533,000,000","483,000,000","511,000,000","289,000,000","269,000,000","255,000,000","258,000,000","267,000,000","240,000,000","232,000,000","214,000,000","215,000,000","215,000,000","209,000,000","195,000,000","252,000,000","230,000,000","241,000,000","224,000,000","239,000,000","232,000,000","221,000,000","198,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,"223,000,000","188,000,000","180,000,000","185,000,000","227,000,000","194,000,000","201,000,000","183,000,000","189,000,000","184,000,000","176,000,000","175,000,000","164,000,000","153,000,000","150,000,000","141,000,000","132,000,000","129,000,000","125,000,000","130,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,"223,000,000","188,000,000","180,000,000","185,000,000","227,000,000","194,000,000","201,000,000","183,000,000","189,000,000","184,000,000","176,000,000","175,000,000","164,000,000","153,000,000","150,000,000","141,000,000","132,000,000","129,000,000","125,000,000","130,000,000"
OperatingIncome,"4,324,000,000","1,052,000,000","1,044,000,000","1,128,000,000","1,100,000,000","1,007,000,000","996,000,000","998,000,000","427,000,000","799,000,000","697,000,000","703,000,000","591,000,000","610,000,000","518,000,000","688,000,000","687,000,000","935,000,000","423,000,000","430,000,000","471,000,000","460,000,000","348,000,000","371,000,000","407,000,000","410,000,000","330,000,000","399,000,000","370,000,000","348,000,000","272,000,000","330,000,000","318,000,000"
NetNonOperatingInterestIncomeExpense,"-175,000,000","-45,000,000","-43,000,000","-44,000,000","-43,000,000","-43,000,000","-41,000,000","-33,000,000","-4,000,000","16,000,000","18,000,000","21,000,000","27,000,000","32,000,000","39,000,000",,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"57,000,000","14,000,000","15,000,000","13,000,000","15,000,000","16,000,000","17,000,000","22,000,000","33,000,000","53,000,000","47,000,000","48,000,000","49,000,000","52,000,000","61,000,000",,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"232,000,000","59,000,000","58,000,000","57,000,000","58,000,000","59,000,000","58,000,000","55,000,000","37,000,000","37,000,000","29,000,000","27,000,000","22,000,000","20,000,000","22,000,000",,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-50,000,000","-301,000,000","164,000,000","272,000,000","-185,000,000","895,000,000","189,000,000","834,000,000","-160,000,000","39,000,000","-231,000,000","219,000,000","99,000,000","44,000,000","-24,000,000","-79,000,000","-139,000,000","-71,000,000","28,000,000","17,000,000","-33,000,000","9,000,000","12,000,000","9,000,000","15,000,000","8,000,000","20,000,000",,"-49,000,000","-1,000,000","4,000,000","-4,000,000","-6,000,000"
	GainOnSaleOfSecurity,"46,000,000","-290,000,000","173,000,000","283,000,000","-120,000,000","941,000,000","209,000,000","888,000,000","-124,000,000","38,000,000","-228,000,000","218,000,000","180,000,000",,,,,,,,,,,,,,,,,,,,
