name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,06/30/2000
DilutedAverageShares,,"208,900,000","210,600,000","210,700,000","210,200,000","209,300,000","208,500,000","206,800,000","206,500,000","207,800,000","207,000,000","206,200,000","205,800,000",,"205,400,000","204,600,000","204,600,000","204,100,000","204,000,000","203,700,000","203,100,000","202,500,000","202,900,000","199,400,000","202,000,000",,"205,700,000","173,000,000","172,900,000",,"171,700,000","171,000,000","171,800,000","173,500,000","172,200,000","170,700,000","170,700,000",,"175,300,000","176,200,000","178,500,000",,"188,800,000","192,700,000","193,800,000",,"199,700,000","203,000,000","204,200,000",,"214,500,000","215,500,000","222,100,000",,"225,600,000","229,500,000","233,900,000",,"236,800,000","239,200,000","239,200,000",,"242,600,000","247,700,000","250,100,000",,"250,200,000","249,900,000","249,200,000",,"248,200,000","247,900,000","246,400,000",,"199,600,000","199,100,000","198,000,000",,"196,500,000","196,000,000","195,700,000",,"195,000,000","193,600,000","193,600,000"
TotalOperatingIncomeAsReported,"780,100,000","79,100,000","214,900,000","220,500,000","265,600,000","240,700,000","299,200,000","-171,700,000","-456,000,000","336,800,000","245,800,000","204,700,000","350,200,000","-790,500,000","223,300,000","296,000,000","305,000,000","-37,900,000","213,400,000","282,300,000","350,400,000","183,300,000","195,500,000","201,600,000","245,500,000","213,500,000","116,000,000","-129,500,000","274,900,000","225,800,000","251,200,000","259,300,000","298,400,000","315,300,000","211,700,000","210,400,000","298,200,000","200,500,000","249,400,000","301,900,000","295,600,000","201,200,000","266,600,000","259,100,000","297,200,000","122,900,000","271,600,000","228,100,000","294,100,000","238,500,000","204,000,000","296,500,000","279,800,000","239,700,000","210,300,000","308,400,000","331,600,000","351,900,000","126,000,000","322,500,000","327,200,000","338,300,000","254,500,000","281,900,000","290,500,000","281,000,000","240,600,000","275,800,000","257,600,000","241,600,000","192,000,000","175,800,000","153,800,000","65,500,000","128,500,000","134,700,000","122,000,000","111,100,000","98,100,000","103,400,000","88,300,000","72,000,000","50,800,000","68,900,000","71,900,000"
TotalExpenses,"6,830,900,000","1,880,900,000","1,658,300,000","1,745,100,000","1,546,600,000","1,808,800,000","1,604,800,000","1,334,600,000","1,578,400,000","1,747,000,000","1,647,500,000","1,703,300,000","1,614,600,000","1,865,800,000","1,592,200,000","1,661,100,000","1,692,700,000","1,716,600,000","1,539,700,000","1,612,700,000","1,516,800,000","1,965,500,000","1,466,900,000","1,594,500,000","1,564,400,000","2,018,000,000","1,450,300,000","820,000,000","772,500,000","1,056,400,000","787,900,000","837,100,000","817,200,000","1,004,100,000","816,200,000","836,500,000","807,200,000","924,400,000","739,200,000","792,400,000","811,600,000","937,900,000","756,900,000","864,800,000","792,900,000","792,200,000","688,400,000","818,100,000","766,100,000","786,200,000","749,400,000","686,900,000","705,800,000","747,400,000","736,300,000","758,600,000","720,300,000","705,900,000","774,300,000","644,200,000","620,300,000","598,700,000","560,300,000","593,400,000","571,700,000","545,400,000","514,200,000","560,900,000","554,000,000","545,400,000","496,700,000","537,400,000","557,100,000","548,500,000","-3,260,000","276,400,000","268,100,000","259,100,000","239,400,000","242,200,000","230,800,000","239,600,000","235,900,000","225,400,000","189,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"401,600,000","-84,000,000","145,600,000","141,900,000","198,100,000","333,700,000","242,500,000","-206,600,000","-508,500,000","320,700,000","431,100,000","133,700,000","246,100,000","-901,100,000","162,200,000","185,000,000","174,700,000","1,231,400,000","98,800,000","184,200,000","299,400,000","69,600,000","158,800,000","-31,300,000","105,900,000","127,000,000","22,200,000","-158,000,000","177,100,000","156,600,000","165,500,000","176,500,000","221,500,000","235,900,000","154,400,000","152,100,000","218,600,000","152,800,000","178,100,000","214,500,000","209,600,000","156,600,000","191,500,000","203,800,000","208,900,000","34,900,000","191,100,000","165,500,000","205,400,000","155,200,000","149,900,000","210,100,000","202,200,000","167,500,000","214,700,000","227,100,000","239,300,000","263,800,000","44,500,000","231,500,000","233,400,000","244,700,000","183,300,000","200,900,000","205,600,000","199,600,000","168,600,000","190,700,000","173,600,000","200,000,000","127,900,000","116,300,000","97,600,000","37,000,000","85,000,000","89,000,000","80,200,000","72,200,000","65,100,000","65,900,000","54,600,000","43,200,000","27,400,000","43,200,000","46,900,000"
NormalizedIncome,"776,678,300","62,991,348.234","191,116,800","192,166,000","229,639,200","359,834,000","266,838,600","-147,318,400","-25,678,000","351,287,000","430,443,000","209,464,000","255,130,800","-174,239,000","182,234,000","227,874,500","273,403,900","1,468,760,000","149,287,421.384","239,879,938.9","365,460,000","-11,820,000","261,040,000","51,440,000","170,170,300","-156,362,837.838","158,938,200","195,531,100","243,481,000","108,811,894.954","214,136,300","240,942,500","256,980,700","174,758,151.815","190,452,800","246,992,400","244,361,500","198,204,182.306","206,014,559.387","237,343,532.684","234,495,588.758","179,952,891.247","197,500,784.621","214,836,101.083","227,512,683.438","177,640,000","194,812,121.212","174,402,011.225","207,310,697.674","210,985,552.654","166,555,555.556","236,317,606.838","207,326,403.477","164,368,619.958","262,567,924.528","236,118,083.756","244,556,614.552","275,541,643.059","156,560,000","234,289,499.691","235,329,633.028","242,250,559.152","186,890,748.726","205,375,203.108","204,326,391.753","215,223,875.803","174,049,727.463","197,799,005.891","185,330,111.821","211,982,308.019","135,880,737.927","132,796,597.015","118,814,444.444","94,819,168.174","86,130,672.926","89,000,000","80,200,000","72,200,000","65,100,000","65,900,000","54,600,000","43,200,000","27,400,000","43,200,000","46,900,000"
InterestIncome,,,,,,,,,,,,,,,"800,000","600,000","900,000","800,000","600,000","300,000","500,000","200,000","600,000","800,000","1,300,000","2,000,000","2,300,000","2,500,000","2,600,000","3,500,000","3,000,000","2,900,000","2,500,000","4,200,000","3,800,000","3,900,000","3,700,000","4,900,000","3,800,000","3,800,000","3,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"208,400,000","48,800,000","52,600,000","54,700,000","52,300,000","53,100,000","54,000,000","54,000,000","50,900,000","52,400,000","56,800,000","59,700,000","58,000,000","66,200,000","68,300,000","75,900,000","78,900,000","80,000,000","82,300,000","82,300,000","82,900,000","90,100,000","91,500,000","88,100,000","88,200,000","90,000,000","90,800,000","82,700,000","23,100,000","16,000,000","16,300,000","15,800,000","15,000,000","16,500,000","17,100,000","18,300,000","18,200,000","18,900,000","18,300,000","18,100,000","17,600,000",,,"9,800,000","11,000,000",,,,"14,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-208,400,000","-48,800,000","-52,600,000","-54,700,000","-52,300,000","-53,100,000","-54,000,000","-54,000,000","-50,900,000","-52,400,000","-56,800,000","-59,700,000","-58,000,000","-68,500,000","-67,500,000","-75,300,000","-78,000,000","-79,200,000","-81,700,000","-82,000,000","-82,400,000","-89,900,000","-90,900,000","-87,300,000","-86,900,000","-88,000,000","-88,500,000","-80,200,000","-20,500,000","-12,500,000","-13,300,000","-12,900,000","-12,500,000","-12,300,000","-13,300,000","-14,400,000","-14,500,000","-14,000,000","-14,500,000","-14,300,000","-14,500,000","-77,700,000","11,700,000","9,800,000","11,000,000","-13,400,000","14,200,000","-14,300,000","-14,600,000","-8,700,000","-4,200,000","-4,000,000","-3,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"626,800,000","-89,900,000","215,200,000","228,600,000","272,900,000","248,700,000","309,800,000","-167,900,000","-453,000,000","341,600,000","241,400,000","200,000,000","349,700,000","-799,700,000","221,900,000","293,700,000","302,300,000","-44,200,000","209,500,000","278,700,000","348,100,000","120,900,000","195,000,000","198,600,000","243,000,000","223,200,000","122,600,000","-131,000,000","254,900,000","210,200,000","243,700,000","252,200,000","300,900,000","319,500,000","215,500,000","214,300,000","301,900,000","205,400,000","253,200,000","305,700,000","298,700,000","164,300,000","274,600,000","272,600,000","322,700,000","342,500,000","276,600,000","239,600,000","296,700,000","321,100,000","226,200,000","333,000,000","286,800,000","282,800,000","215,900,000","320,900,000","338,900,000","367,600,000","128,900,000","326,400,000","329,900,000","334,900,000","259,500,000","288,200,000","288,700,000","302,900,000","248,300,000","285,900,000","274,500,000","255,700,000","203,500,000","200,000,000","185,100,000","153,100,000","401,460,000","134,700,000","122,000,000","111,100,000","98,100,000","103,400,000","88,300,000","72,000,000","50,800,000","68,900,000","71,900,000"
EBITDA,"1,694,200,000"
ReconciledCostOfRevenue,"1,889,300,000","546,300,000","470,100,000","469,700,000","403,200,000","534,500,000","460,500,000","316,500,000","381,700,000","475,700,000","430,800,000","475,200,000","449,100,000","476,600,000","416,000,000","471,600,000","463,100,000","478,400,000","387,100,000","411,300,000","397,300,000","511,000,000","355,500,000","521,600,000","514,900,000","547,900,000","435,200,000","223,900,000","210,100,000","312,900,000","298,300,000","333,200,000","305,400,000","340,800,000","328,800,000","323,600,000","292,900,000","298,900,000","255,700,000","281,900,000","288,700,000","303,200,000","251,900,000","287,900,000","279,000,000","274,200,000","219,100,000","250,600,000","268,400,000","274,400,000","249,300,000","236,800,000","230,300,000","243,100,000","237,200,000","262,300,000","254,700,000","253,900,000","199,200,000","216,400,000","206,400,000","207,500,000","183,200,000","200,000,000","189,400,000","185,800,000","174,500,000","188,800,000","190,300,000","189,400,000","169,100,000","201,900,000","219,500,000","224,100,000","96,800,000","98,400,000","96,900,000","93,700,000","85,100,000","85,200,000","80,800,000","82,500,000","78,900,000","82,300,000","68,500,000"
ReconciledDepreciation,"1,067,400,000","267,100,000","265,100,000","266,500,000","268,700,000","265,400,000","258,600,000","255,700,000","253,000,000","253,900,000","251,500,000","253,000,000","247,700,000","254,800,000","260,600,000","261,600,000","263,500,000","264,500,000","266,500,000","264,100,000","267,600,000","252,000,000","288,100,000","252,300,000","246,900,000","284,300,000","239,500,000","99,600,000","89,000,000","92,600,000","90,900,000","91,300,000","101,000,000","90,100,000","91,900,000","91,400,000","85,100,000","90,200,000","82,700,000","93,400,000","96,800,000","94,300,000","90,900,000","88,600,000","86,100,000","90,700,000","83,700,000","80,900,000","84,900,000","87,800,000","88,200,000","81,800,000","79,600,000","79,100,000","66,800,000","67,400,000","61,800,000","62,400,000","58,200,000","56,000,000","53,400,000","52,600,000","51,300,000","47,300,000","46,200,000","49,700,000","45,600,000","45,300,000","45,100,000","46,700,000","47,300,000","45,600,000","41,700,000","40,600,000","21,300,000","21,800,000","19,600,000","6,600,000","6,400,000","6,800,000","5,500,000","5,200,000","5,700,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"401,600,000","-84,000,000","145,600,000","141,900,000","198,100,000","333,700,000","242,500,000","-206,600,000","-508,500,000","320,700,000","431,100,000","133,700,000","246,100,000","-901,100,000","162,200,000","185,000,000","174,700,000","1,231,400,000","98,800,000","184,200,000","299,400,000","69,600,000","158,800,000","-31,300,000","105,900,000","127,000,000","22,200,000","-158,000,000","177,100,000","156,600,000","165,500,000","176,500,000","221,500,000","235,900,000","154,400,000","152,100,000","218,600,000","152,800,000","178,100,000","214,500,000","209,600,000","156,600,000","191,500,000","203,800,000","208,900,000","34,900,000","191,100,000","165,500,000","205,400,000","155,200,000","149,900,000","210,100,000","202,200,000","167,500,000","214,700,000","227,100,000","239,300,000","263,800,000","44,500,000","231,500,000","233,400,000","244,700,000","183,300,000","200,900,000","205,600,000","199,600,000","168,600,000","190,700,000","173,600,000","200,000,000","127,900,000","116,300,000","97,600,000","37,000,000","85,000,000","89,000,000","80,200,000","72,200,000","65,100,000","65,900,000","54,600,000","43,200,000","27,400,000","43,200,000","46,900,000"
TotalUnusualItemsExcludingGoodwill,"-390,300,000","-243,000,000","-50,800,000","-61,300,000","-35,200,000","-35,800,000","-25,300,000","-63,200,000","-661,400,000","-41,900,000","900,000","-80,600,000","-10,700,000","-995,700,000","-21,200,000","-50,500,000","-125,100,000","-395,600,000","-65,000,000","-59,400,000","-110,100,000","135,700,000","-170,400,000","-137,900,000","-94,100,000","297,900,000","-195,900,000","-477,100,000","-87,000,000","59,300,000","-66,900,000","-86,500,000","-45,900,000","78,700,000","-46,400,000","-122,600,000","-33,500,000","-55,600,000","-36,900,000","-30,700,000","-33,500,000","-28,200,000","-8,000,000","-13,500,000","-25,500,000","-219,600,000","-5,000,000","-11,500,000","-2,600,000","-82,600,000","-22,200,000","-36,500,000","-7,000,000","4,400,000","-53,100,000","-12,500,000","-7,300,000","-15,700,000","-172,400,000","-3,900,000","-2,700,000","3,400,000","-5,000,000","-6,300,000","1,800,000","-21,900,000","-7,700,000","-10,100,000","-16,900,000","-14,100,000","-11,500,000","-23,800,000","-31,300,000","-87,600,000","-1,700,000",,,,,,,,,,
TotalUnusualItems,"-390,300,000","-243,000,000","-50,800,000","-61,300,000","-35,200,000","-35,800,000","-25,300,000","-63,200,000","-661,400,000","-41,900,000","900,000","-80,600,000","-10,700,000","-995,700,000","-21,200,000","-50,500,000","-125,100,000","-395,600,000","-65,000,000","-59,400,000","-110,100,000","135,700,000","-170,400,000","-137,900,000","-94,100,000","297,900,000","-195,900,000","-477,100,000","-87,000,000","59,300,000","-66,900,000","-86,500,000","-45,900,000","78,700,000","-46,400,000","-122,600,000","-33,500,000","-55,600,000","-36,900,000","-30,700,000","-33,500,000","-28,200,000","-8,000,000","-13,500,000","-25,500,000","-219,600,000","-5,000,000","-11,500,000","-2,600,000","-82,600,000","-22,200,000","-36,500,000","-7,000,000","4,400,000","-53,100,000","-12,500,000","-7,300,000","-15,700,000","-172,400,000","-3,900,000","-2,700,000","3,400,000","-5,000,000","-6,300,000","1,800,000","-21,900,000","-7,700,000","-10,100,000","-16,900,000","-14,100,000","-11,500,000","-23,800,000","-31,300,000","-87,600,000","-1,700,000",,,,,,,,,,
NormalizedEBITDA,"2,084,500,000","420,200,000","531,100,000","556,400,000","576,800,000","549,900,000","593,700,000","151,000,000","461,400,000","637,400,000","492,000,000","533,600,000","608,100,000","450,800,000","503,700,000","605,800,000","690,900,000","615,900,000","541,000,000","602,200,000","725,800,000","237,200,000","653,500,000","588,800,000","584,000,000","209,600,000","558,000,000","445,700,000","430,900,000","243,500,000","401,500,000","430,000,000","447,800,000","330,900,000","353,800,000","428,300,000","420,500,000","351,200,000","372,800,000","429,800,000","429,000,000","286,800,000","373,500,000","374,700,000","434,300,000","652,800,000","365,300,000","332,000,000","384,200,000","491,500,000","336,600,000","451,300,000","373,400,000","357,500,000","335,800,000","400,800,000","408,000,000","445,700,000","359,500,000","386,300,000","386,000,000","384,100,000","315,800,000","341,800,000","333,100,000","374,500,000","301,600,000","341,300,000","336,500,000","316,500,000","262,300,000","269,400,000","258,100,000","281,300,000","424,460,000","156,500,000","141,600,000","117,700,000","104,500,000","110,200,000","93,800,000","77,200,000","56,500,000","68,900,000","71,900,000"
TaxRateForCalcs,"0.039","0.395","0.104","0.18","0.104","0.27","0.038","0.062","0.27","0.27","0.27","0.06","0.156","0.27","0.055","0.151","0.211","0.4","0.223","0.063","0.4","0.4","0.4","0.4","0.317","0.049","0.302","0.259","0.237","0.194","0.273","0.255","0.227","0.223","0.223","0.226","0.231","0.183","0.244","0.256","0.257","0.172","0.25","0.183","0.27","0.35","0.258","0.226","0.265","0.325","0.25","0.282","0.268","0.288","0.099","0.279","0.28","0.252","0.35","0.285","0.285","0.28","0.282","0.29","0.292","0.287","0.292","0.297","0.306","0.15","0.306","0.307","0.322","0.34","0.335","0.335","0.335","0.338","0.315","0.342","0.355","0.361","0.4","0.373","0.348"
TaxEffectOfUnusualItems,"-15,221,700","-96,008,651.766","-5,283,200","-11,034,000","-3,660,800","-9,666,000","-961,400","-3,918,400","-178,578,000","-11,313,000","243,000","-4,836,000","-1,669,200","-268,839,000","-1,166,000","-7,625,500","-26,396,100","-158,240,000","-14,512,578.616","-3,720,061.1","-44,040,000","54,280,000","-68,160,000","-55,160,000","-29,829,700","14,537,162.162","-59,161,800","-123,568,900","-20,619,000","11,511,894.954","-18,263,700","-22,057,500","-10,419,300","17,558,151.815","-10,347,200","-27,707,600","-7,738,500","-10,195,817.694","-8,985,440.613","-7,856,467.316","-8,604,411.242","-4,847,108.753","-1,999,215.379","-2,463,898.917","-6,887,316.562","-76,860,000","-1,287,878.788","-2,597,988.775","-689,302.326","-26,814,447.346","-5,544,444.444","-10,282,393.162","-1,873,596.523","1,268,619.958","-5,232,075.472","-3,481,916.244","-2,043,385.448","-3,958,356.941","-60,340,000","-1,110,500.309","-770,366.972","950,559.152","-1,409,251.274","-1,824,796.892","526,391.753","-6,276,124.197","-2,250,272.537","-3,000,994.109","-5,169,888.179","-2,117,691.981","-3,519,262.073","-7,303,402.985","-10,085,555.556","-29,780,831.826","-569,327.074","0","0","0","0","0","0","0","0","0","0"
