name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000","1,200,000","1,200,000","1,138,000","1,148,000","1,236,000","1,178,000","1,227,000","1,263,000","1,332,000","1,544,000","972,000","917,000","1,204,000","1,137,000","1,157,000","1,330,000","3,539,000","4,390,000","211,000","5,190,000","7,999,000","25,129,000","20,186,000","20,230,000","22,740,000","22,740,000","22,387,000","23,028,000","23,187,000","23,221,000","9,892,000","29,389,000","23,929,000","21,964,000","28,523,000","33,025,000","35,060,000","4,129,000","5,375,000","1,998,000","7,803,000","7,522,000","-3,336,000","8,727,000","-6,362,000","15,275,000","27,691,000","27,966,000","31,117,000","36,583,000","16,843,000","2,272,000","2,315,000","2,391,000","1,700,000","800,000","300,000",
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000","1,200,000","1,200,000","1,138,000","1,148,000","1,236,000","1,178,000","1,227,000","1,263,000","1,332,000","1,544,000","972,000","917,000","1,204,000","1,137,000","1,157,000","1,330,000","3,539,000","4,390,000","211,000","5,190,000","7,999,000","25,129,000","20,186,000","20,230,000","22,740,000","22,740,000","22,387,000","23,028,000","23,187,000","23,221,000","9,892,000","29,389,000","23,929,000","21,964,000","28,523,000","33,025,000","35,060,000","4,129,000","5,375,000","1,998,000","7,803,000","7,522,000","-3,336,000","8,727,000","-6,362,000","15,275,000","27,691,000","27,966,000","31,117,000","36,583,000","16,843,000","2,272,000","2,315,000","2,391,000","1,700,000","800,000","300,000",
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,101,000",,,,,"340,790,000","1,000,000",,,"4,979,000",,"9,000,000",,"-10,000","-5,262,000","1,642,000","12,284,000","0",,"1,283,421,000","1,404,000",,,,,"0",,"5,087,000",,,,,,,"2,507,000",,,,,,,"0",,"10,000,000",,,"-100,000","600,000",
OperatingIncome,"430,400,000","154,000,000","122,000,000","107,300,000","47,100,000","151,200,000","126,300,000","95,300,000","48,300,000","178,300,000","137,400,000","103,800,000","58,000,000","201,800,000","164,500,000","159,600,000","53,600,000","238,900,000","232,900,000","266,200,000","175,700,000","287,300,000","250,800,000","206,200,000","148,700,000","279,000,000","258,000,000","241,200,000","133,200,000","158,000,000","157,400,000","174,100,000","107,800,000","203,000,000","151,000,000","146,600,000","104,400,000","142,300,000","74,037,000","89,673,000","50,890,000","148,549,000","153,857,000","172,689,000","177,046,000","235,395,000","197,242,000","185,783,000","168,377,000","9,064,000","132,448,000","103,219,000","85,427,000","189,874,000","201,956,000","160,450,000","142,694,000","147,780,000","112,963,000","86,223,000","60,796,000","77,800,000","73,053,000","-1,204,451,000","90,926,000","127,902,000","112,350,000","114,965,000","100,930,000","90,226,000","69,695,000","18,861,000","46,870,000","34,706,000","21,025,000","10,857,000","4,408,000","11,652,000","-23,701,000","6,475,000","-15,248,000","-22,539,000","-26,703,000","3,105,000","87,000,000","101,453,000","76,207,000","20,543,000","5,885,000","-1,100,000","-2,400,000","-4,700,000","-6,900,000"
NetNonOperatingInterestIncomeExpense,"-35,900,000","-7,900,000","-9,200,000","-9,200,000","-9,600,000","-12,600,000","-13,000,000","-10,000,000","-5,100,000","-4,300,000","-2,400,000","-2,200,000","-700,000","-2,600,000","-6,900,000","-9,900,000","-11,100,000","-9,700,000","-10,600,000","-13,000,000","-14,900,000","-15,200,000","-16,000,000","-16,500,000","-14,600,000","-15,900,000","-15,900,000","-15,100,000","-14,700,000","-13,600,000","-14,200,000","-15,700,000","-13,300,000","-12,400,000","-11,900,000","-13,200,000","-12,200,000","-9,600,000","-10,200,000","-10,600,000","-11,400,000","-11,400,000","-11,800,000","-12,588,000","-4,100,000","-580,000","200,000","833,000","900","6,922,800","1,600","2,898,000","2,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"14,900,000","4,400,000","3,000,000","3,400,000","4,100,000","5,900,000","6,100,000","9,300,000","15,000,000","16,100,000","19,700,000","19,800,000","23,500,000","22,900,000","18,900,000","16,000,000","14,900,000","15,900,000","14,700,000","12,000,000","10,400,000","9,900,000","9,100,000","8,500,000","7,900,000","5,500,000","5,700,000","6,700,000","3,800,000","3,100,000","2,700,000","2,100,000","2,100,000","2,600,000","2,300,000","1,700,000","2,100,000","2,700,000","2,600,000","2,900,000","2,800,000","2,500,000","2,200,000","2,600,000","2,400,000",,"2,800,000","833,000","1,459,000",,"1,733,000","2,898,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"50,800,000","12,300,000","12,200,000","12,600,000","13,700,000","18,500,000","19,100,000","19,300,000","20,100,000","20,400,000","22,100,000","22,000,000","24,200,000","25,500,000","25,800,000","25,900,000","26,000,000","25,600,000","25,300,000","25,000,000","25,300,000","25,100,000","25,100,000","25,000,000","22,500,000","21,400,000","21,600,000","21,800,000","18,500,000","16,700,000","16,900,000","17,800,000","15,400,000","15,000,000","14,200,000","14,900,000","14,300,000","12,300,000","12,800,000","13,500,000","14,200,000","13,900,000","14,000,000","15,188,000","6,500,000",,"2,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-900",,"-1,600",,"-2,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-84,400,000","15,200,000","-1,000,000","-23,300,000","-75,300,000","-99,400,000","-1,700,000","800,000","-14,900,000","0","-16,900,000","-23,800,000","-12,800,000","-10,800,000","-5,600,000","1,200,000","-1,100,000","-29,000,000","3,500,000","-8,000,000","-20,200,000","0","1,800,000","2,500,000","-7,600,000","-2,500,000","7,500,000","-100,000","-2,500,000","-838,800,000","22,400,000","136,100,000","53,500,000","-5,400,000","-1,600,000","-7,500,000","-15,300,000","7,221,000","-25,024,000","10,415,000","-16,212,000","-14,665,000","-20,988,000","-2,869,000","-2,053,000","-3,176,000","-1,701,000","2,427,000","-8,104,400","97,600","-4,492,900","-9,154,000","-6,065,000","-18,312,000",,"-10,499,000",,"-190,000","5,062,000","5,103,000","-12,584,000","-15,450,000","-15,310,000","-1,287,771,000","-1,404,000","-11,918,000","-1,910,000","4,660,000",,"0","-1,716,000","-32,859,000",,"-15,192,000","-4,765,000","9,275,000","4,352,000","2,601,000","-65,992,000","-111,000","-31,625,000",,"-12,476,000","-46,045,000",,"-10,000,000",,"-10,000,000",,,,,"300,000"
	GainOnSaleOfSecurity,"17,600,000","14,300,000","700,000","-1,200,000","3,800,000","10,600,000","2,000,000","6,500,000","-5,800,000","800,000","-3,400,000","-2,800,000","1,600,000","-5,600,000","-1,900,000","600,000","-500,000","7,900,000","4,700,000","800,000","1,200,000","-1,900,000","1,900,000","3,600,000","-5,400,000","0","6,000,000","200,000","600,000","2,800,000","-1,900,000","800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
