name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,364,000","1,364,000","1,386,000","5,217,000","5,226,000","5,226,000","5,226,000","5,226,000","4,567,000","1,273,000","666,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,364,000","1,364,000","1,386,000","5,217,000","5,226,000","5,226,000","5,226,000","5,226,000","4,567,000","1,273,000","666,000",,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,364,000","1,364,000","1,386,000","5,217,000","5,226,000","5,226,000","5,226,000","5,226,000","4,567,000","1,273,000","666,000",,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,364,000","1,364,000","1,386,000","5,217,000","5,226,000","5,226,000","5,226,000","5,226,000","4,567,000","1,273,000","666,000",,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,200,000",,,,,,,,,,,,,,,,,"0",,"-25,339,000",,,,,,,,,,"-1,992,000","465,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"4,300,000",,
OperatingIncome,"1,202,000,000","327,000,000","302,000,000","272,000,000","301,000,000","261,000,000","222,000,000","149,000,000","277,000,000","268,000,000","258,000,000","125,000,000","313,000,000","311,000,000","286,000,000","273,000,000","287,000,000","253,000,000","219,000,000","148,000,000","247,000,000","225,000,000","142,000,000","93,000,000","99,000,000","167,000,000","146,000,000","1,000,000","161,600,000","202,500,000","192,500,000","159,900,000","262,600,000","226,700,000","188,000,000","145,300,000","204,400,000","189,600,000","135,300,000","80,200,000","223,800,000","160,000,000","194,100,000","178,400,000","271,300,000","198,500,000","197,500,000","164,500,000","173,891,000","129,364,000","116,553,000","31,192,000","69,379,000","-72,128,000","65,604,000","38,725,000","103,654,000","105,684,000","80,160,000","24,548,000","75,449,000","72,436,000","96,805,000","56,478,000","87,351,000","83,582,000","79,927,000","62,316,000","70,027,000","67,538,000","61,393,000","53,958,000","47,668,000","46,991,000","37,744,000","32,307,000","28,587,000","22,359,000","18,393,000","19,524,000","9,759,000","11,214,000","-3,246,000","-6,563,000","-3,627,000","46,541,000","49,144,000","44,287,000","36,065,000","27,787,000","22,699,000","18,818,000","16,988,000","14,497,000","12,406,000","11,235,000","9,840,000","8,645,000","7,587,000","6,586,000","5,672,000","4,959,000","4,016,000","-1,046,000","2,600,000","1,700,000"
NetNonOperatingInterestIncomeExpense,"-67,000,000","-17,000,000","-17,000,000","-16,000,000","-17,000,000","-17,000,000","-16,000,000","-15,000,000","-7,000,000","-4,000,000","0","4,000,000","6,000,000","6,000,000","7,000,000","11,000,000","9,000,000","3,000,000","2,000,000","3,000,000","0","-2,000,000","-2,000,000","-4,000,000","-4,000,000","0","-1,000,000","2,000,000","600,000","-2,500,000","-2,800,000","-700,000","2,100,000","1,200,000","2,000,000","-6,500,000","-17,900,000","-13,700,000","-8,800,000","-9,100,000","-9,400,000","-10,200,000","-8,100,000","-8,800,000","-9,400,000","-8,700,000","-9,100,000","-8,800,000","-10,617,000","-10,762,000","-10,937,000","-10,584,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"7,000,000","2,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","7,000,000","10,000,000","12,000,000","19,000,000","20,000,000","22,000,000","21,000,000","25,000,000","24,000,000","20,000,000","19,000,000","16,000,000","13,000,000","10,000,000","10,000,000","11,000,000","11,000,000","11,000,000","11,000,000","13,000,000","11,600,000","8,600,000","8,100,000","8,300,000","8,500,000","7,900,000","8,500,000","10,000,000","10,100,000","10,300,000","11,000,000","10,800,000","10,600,000","8,700,000","8,300,000","10,600,000","10,300,000","10,300,000","9,500,000","9,800,000","8,140,000","7,464,000","6,979,000","8,617,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"74,000,000","19,000,000","18,000,000","18,000,000","19,000,000","19,000,000","18,000,000","18,000,000","14,000,000","14,000,000","12,000,000","15,000,000","14,000,000","16,000,000","14,000,000","14,000,000","15,000,000","17,000,000","17,000,000","13,000,000","13,000,000","12,000,000","12,000,000","15,000,000","15,000,000","11,000,000","12,000,000","11,000,000","11,000,000","11,100,000","10,900,000","9,000,000","6,400,000","6,700,000","6,500,000","16,500,000","28,000,000","24,000,000","19,800,000","19,900,000","20,000,000","18,900,000","16,400,000","19,400,000","19,700,000","19,000,000","18,600,000","18,600,000","18,757,000","18,226,000","17,916,000","19,201,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"124,000,000","-4,000,000","-5,000,000","-19,000,000","152,000,000","3,000,000","-31,000,000","-30,000,000","-20,000,000","12,000,000","41,000,000","-10,000,000","65,000,000","2,000,000","7,000,000","-12,000,000","7,000,000","229,000,000","4,000,000","2,000,000","1,000,000","-40,000,000","2,000,000","3,000,000","-35,000,000","-4,000,000","-1,000,000","-25,000,000","1,900,000","100,000","-800,000","500,000","-38,100,000","1,700,000","2,200,000","-46,500,000","2,400,000","-100,000","1,200,000","3,100,000","100,000","-2,900,000","-2,100,000","-2,500,000","-2,600,000","500,000","-1,500,000","1,900,000","664,000","-704,000","356,000","38,584,000","-37,899,000","-21,895,000","-23,092,000","-4,610,000","-1,025,000","-1,624,000","13,850,000","832,000","-784,000","1,417,000","25,217,000","853,000","813,000","884,000","-5,854,000","1,017,000","74,000","-189,000","90,000","-912,000","-3,131,000","-1,081,000","-2,319,000","98,000","-965,000","-987,000","-189,000","-1,122,000","-4,246,000",,"-20,988,000","12,000","205,000","625,000","202,000","-26,572,000","-1,458,000","49,000","-356,000","2,063,000","-2,439,000","542,000","995,000","121,000",,"243,000","229,000","168,000","-11,312,000","241,000","261,000","-4,009,000","468,000","200,000"
