name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
	OtherOperatingExpenses,"21,264,000","6,984,000","5,894,000","4,965,000","3,421,000","4,497,000","3,808,000","3,644,000","3,566,000","4,986,000","3,064,000","2,118,000","940,000","1,756,000","2,127,000","2,014,000","2,649,000","2,577,000","2,792,000","2,903,000","4,069,000","4,118,000","4,490,000","4,133,000","4,421,000","5,452,000","4,367,000","3,668,000","3,435,000","4,088,000","3,829,000","3,392,000","4,300,000","4,775,000","4,604,000","3,246,000","2,886,000",,,,,,,,"1,661,000","2,004,000","1,511,000","1,512,000","1,269,000","1,204,000","1,544,000","1,344,000","1,864,000",,"2,379,000","1,370,000","1,463,000","794,000","1,784,000","1,843,000","1,292,000","7,915,000","1,106,000","1,116,000","623,000","1,313,000","603,000"
OperatingIncome,"824,234,000","162,995,000","244,338,000","249,791,000","167,110,000","124,750,000","115,087,000","447,000","80,457,000","103,894,000","121,548,000","124,507,000","117,103,000","49,616,000","64,445,000","113,279,000","97,667,000","63,361,000","37,614,000","106,341,000","76,823,000","32,387,000","26,363,000","44,082,000","-44,388,000","109,063,000","236,915,000","228,804,000","202,001,000","190,081,000","209,042,000","181,444,000","137,209,000","130,711,000","139,559,000","147,817,000","121,384,000","103,091,000","119,062,000","135,265,000","103,474,000","95,358,000","99,288,000","85,240,000","74,821,000","73,992,000","77,584,000","74,959,000","61,296,000","50,385,000","54,809,000","57,322,000","-1,007,000","13,544,000","33,942,000","38,314,000","26,793,000","37,496,000","31,396,000","30,682,000","18,649,000","15,496,000","17,853,000","15,870,000","12,733,000","7,735,000","7,753,000"
NetNonOperatingInterestIncomeExpense,"7,820,000","9,263,000","-126,000","851,000","-2,168,000","846,000","-595,000","623,000","2,743,000","2,840,000","4,411,000","3,947,000","3,129,000","3,858,000","2,493,000","2,323,000","1,394,000","1,437,000","1,275,000","1,049,000","1,188,000","588,000","672,000","786,000","2,126,000","1,795,000","1,518,000","1,742,000","1,223,000","885,000","785,000","1,144,000","689,000","390,000","765,000","330,000","266,000","462,000","547,000","377,000","434,000","414,000","448,000","-2,006,000","287,000","311,000","381,000","342,000","196,000","230,000","58,000","107,000","125,000",,,,,,,,,,,,,,
	InterestIncomeNonOperating,"7,820,000",,,"851,000",,"846,000",,"623,000","2,743,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"571,000","567,000","475,000","475,000","402,000","395,000","427,000","275,000","302,000","132,000","293,000","198,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,"126,000",,"2,168,000",,"595,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157,000","119,000","2,481,000","188,000","91,000","14,000","85,000","79,000","72,000","74,000","186,000","73,000",,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,"-851,000",,,,,,"-2,840,000","-4,411,000","-3,947,000","-3,129,000","-3,858,000","-2,493,000","-2,323,000","-1,394,000","-1,437,000","-1,275,000","-1,049,000","-1,188,000","-588,000","-672,000","-786,000","-2,126,000","-1,795,000","-1,518,000","-1,742,000","-1,223,000","-885,000","-785,000","-1,144,000","-689,000","-390,000","-765,000","-330,000","-266,000","-462,000","-547,000","-377,000","-434,000",,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-19,291,000","-4,699,000","-4,658,000","-4,266,000","-5,668,000","-7,864,000","-7,991,000","-5,386,000","-9,336,000","-5,738,000","-5,927,000","-4,487,000","-6,942,000","-10,004,000","-6,454,000","-45,322,000","-4,859,000","-3,332,000","-6,747,000","384,000","-3,650,000","-1,837,000","-16,637,000","-3,187,000","-2,216,000","-5,450,000","-2,156,000","-1,388,000","-4,200,000","-2,209,000","-1,606,000","-1,602,000","-1,559,000","-1,607,000","-2,405,000","-1,399,000","-1,340,000","-903,000","-1,399,000","-1,475,000","-1,250,000","-1,490,000","-1,278,000","-1,377,000",,,,,,,,,,,"-5,263,000","-1,370,000","-1,463,000","-10,834,000","-1,784,000","-1,843,000","-1,292,000","-7,915,000","-1,106,000","-1,116,000","-623,000","-1,313,000","-602,000"
	SpecialIncomeCharges,"-19,291,000","-4,699,000","-4,658,000","-4,266,000","-5,668,000","-7,864,000","-7,991,000","-5,386,000","-9,336,000","-5,738,000","-5,927,000","-4,487,000","-6,942,000","-10,004,000","-6,454,000","-45,322,000","-4,859,000","-3,332,000","-6,747,000","384,000","-3,650,000","-1,837,000","-16,637,000","-3,187,000","-2,216,000","-5,450,000","-2,156,000","-1,388,000","-4,200,000","-2,209,000","-1,606,000","-1,602,000","-1,559,000","-1,607,000","-2,405,000","-1,399,000","-1,340,000","-903,000","-1,399,000","-1,475,000","-1,250,000","-1,490,000","-1,278,000","-1,377,000",,,,,,,,,,,"-5,263,000","-1,370,000","-1,463,000","-10,834,000","-1,784,000","-1,843,000","-1,292,000","-7,915,000","-1,106,000","-1,116,000","-623,000","-1,313,000","-602,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,884,000",,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"19,291,000","4,699,000","4,658,000","4,266,000","5,668,000","7,864,000","7,991,000","5,386,000","9,336,000","5,738,000","5,927,000","4,487,000","6,942,000","10,004,000","6,454,000","45,322,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
