name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,08/31/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"13,857,000,000","4,446,000,000","3,946,000,000","3,149,000,000","2,316,000,000","2,172,000,000","2,254,000,000","1,464,000,000","4,681,000,000","5,371,000,000","5,284,000,000","5,305,000,000","5,012,000,000","5,357,000,000","5,049,000,000","5,346,000,000","5,006,000,000","5,875,000,000","5,663,000,000","5,795,000,000","5,561,000,000","5,456,000,000","3,942,000,000","3,902,000,000","3,772,000,000","3,706,000,000","3,578,000,000","3,689,000,000","3,513,000,000","3,559,000,000","3,460,000,000","3,484,000,000","3,293,000,000","3,219,000,000","3,160,000,000","3,263,000,000","3,142,000,000","3,757,000,000","2,729,000,000","2,729,000,000","2,776,000,000","2,552,000,000","3,693,000,000","2,874,000,000","2,972,000,000","2,778,000,000","3,642,000,000","2,648,000,000","2,771,000,000","2,630,000,000","3,380,000,000","2,471,000,000","2,562,000,000","2,495,000,000","3,784,000,000","2,963,000,000","3,185,000,000","2,947,000,000","3,836,000,000","3,040,000,000","3,210,000,000","2,904,000,000","3,861,000,000","2,703,000,000","2,851,000,000","2,705,000,000","3,641,000,000","2,714,000,000","2,661,000,000","2,534,000,000","3,141,000,000","2,304,000,000","2,402,000,000","2,252,000,000","2,861,000,000","2,101,000,000","2,038,000,000","2,014,000,000","1,037,000,000","2,454,000,000","2,586,000,000","2,364,000,000","2,868,000,000","2,373,000,000","2,450,000,000","2,461,000,000","3,156,000,000","2,303,000,000","2,391,000,000","2,167,000,000","2,807,000,000","1,995,000,000","2,042,000,000","1,895,000,000","974,000,000","2,263,000,000","2,539,000,000","2,192,000,000"
	OperatingRevenue,"3,415,000,000","1,072,000,000","996,000,000","811,000,000","536,000,000","508,000,000","465,000,000","262,000,000","884,000,000","1,383,000,000","1,332,000,000","1,402,000,000","1,256,000,000","1,305,000,000","1,316,000,000","1,361,000,000","1,233,000,000","1,318,000,000","1,283,000,000","1,307,000,000","1,221,000,000","1,249,000,000","790,000,000","760,000,000","727,000,000","711,000,000","694,000,000","736,000,000","715,000,000","705,000,000","692,000,000","721,000,000","623,000,000","648,000,000","598,000,000","653,000,000","594,000,000","10,172,000,000","519,000,000","519,000,000","606,000,000","517,000,000","9,853,000,000","829,000,000","856,000,000","779,000,000","9,342,000,000","748,000,000","831,000,000","770,000,000","3,380,000,000","2,471,000,000","2,562,000,000","2,495,000,000","3,784,000,000","2,963,000,000","3,185,000,000","2,947,000,000","3,836,000,000","3,040,000,000","3,210,000,000","2,904,000,000","3,861,000,000","2,703,000,000","2,851,000,000","2,705,000,000","3,641,000,000","2,714,000,000","2,661,000,000","2,534,000,000","3,141,000,000","2,304,000,000","2,402,000,000","2,252,000,000","2,861,000,000","2,101,000,000","2,038,000,000","2,014,000,000","1,037,000,000","2,454,000,000","2,586,000,000","2,364,000,000","2,868,000,000","2,373,000,000","2,450,000,000","2,461,000,000","3,156,000,000","2,303,000,000","2,391,000,000","2,167,000,000","2,807,000,000","1,995,000,000","2,042,000,000","1,895,000,000","974,000,000","2,263,000,000","2,539,000,000","2,192,000,000"
CostOfRevenue,"11,056,000,000","3,544,000,000","3,121,000,000","2,423,000,000","1,968,000,000","1,784,000,000","1,817,000,000","1,362,000,000","4,149,000,000","4,704,000,000","4,396,000,000","4,438,000,000","4,217,000,000","4,406,000,000","4,194,000,000","4,313,000,000","4,171,000,000","4,915,000,000","4,736,000,000","4,843,000,000","4,698,000,000","4,574,000,000","3,346,000,000","3,315,000,000","3,211,000,000","3,176,000,000","3,059,000,000","3,136,000,000","2,992,000,000","3,056,000,000","2,957,000,000","2,962,000,000","2,855,000,000","2,781,000,000","2,748,000,000","2,805,000,000","2,736,000,000","3,242,000,000","2,384,000,000","2,384,000,000","2,373,000,000","2,230,000,000","3,192,000,000","2,838,000,000","2,581,000,000","2,428,000,000","3,169,000,000","2,332,000,000","2,403,000,000","2,312,000,000","2,943,000,000","2,210,000,000","2,283,000,000","2,237,000,000","3,385,000,000","2,593,000,000","2,688,000,000","2,590,000,000","3,082,000,000","2,693,000,000","2,703,000,000","2,556,000,000","3,319,000,000","2,325,000,000","2,476,000,000","2,352,000,000","3,224,000,000","2,430,000,000","2,336,000,000","2,252,000,000","3,069,000,000","1,961,000,000","2,157,000,000","1,969,000,000","2,319,000,000","1,964,000,000","1,905,000,000","1,926,000,000","874,000,000","2,343,000,000","2,434,000,000","2,217,000,000","2,815,000,000","2,195,000,000","2,211,000,000","2,235,000,000","2,829,000,000","2,040,000,000","2,098,000,000","1,933,000,000","2,515,000,000","1,773,000,000","1,790,000,000","1,669,000,000","704,000,000","2,068,000,000","2,321,000,000","1,999,000,000"
GrossProfit,"2,801,000,000","902,000,000","825,000,000","726,000,000","348,000,000","388,000,000","437,000,000","102,000,000","532,000,000","667,000,000","888,000,000","867,000,000","795,000,000","951,000,000","855,000,000","1,033,000,000","835,000,000","960,000,000","927,000,000","952,000,000","863,000,000","882,000,000","596,000,000","587,000,000","561,000,000","530,000,000","519,000,000","553,000,000","521,000,000","503,000,000","503,000,000","522,000,000","438,000,000","438,000,000","412,000,000","458,000,000","406,000,000","515,000,000","345,000,000","345,000,000","403,000,000","322,000,000","501,000,000","36,000,000","391,000,000","350,000,000","473,000,000","316,000,000","368,000,000","318,000,000","437,000,000","261,000,000","279,000,000","258,000,000","399,000,000","370,000,000","497,000,000","357,000,000","754,000,000","347,000,000","507,000,000","348,000,000","542,000,000","378,000,000","375,000,000","353,000,000","417,000,000","284,000,000","325,000,000","282,000,000","72,000,000","343,000,000","245,000,000","283,000,000","542,000,000","137,000,000","133,000,000","88,000,000","163,000,000","111,000,000","152,000,000","147,000,000","53,000,000","178,000,000","239,000,000","226,000,000","327,000,000","263,000,000","293,000,000","234,000,000","292,000,000","222,000,000","252,000,000","226,000,000","270,000,000","195,000,000","218,000,000","193,000,000"
OperatingExpense,"1,043,000,000","267,000,000","276,000,000","237,000,000","263,000,000","254,000,000","184,000,000","250,000,000","420,000,000","446,000,000","272,000,000","285,000,000","276,000,000","304,000,000","273,000,000","275,000,000","301,000,000","331,000,000","267,000,000","311,000,000","275,000,000","305,000,000","197,000,000","198,000,000","194,000,000","220,000,000","180,000,000","184,000,000","189,000,000","212,000,000","205,000,000","206,000,000","184,000,000","200,000,000","167,000,000","179,000,000","180,000,000","206,000,000","132,000,000","132,000,000","160,000,000","147,000,000","254,000,000","180,000,000","159,000,000","159,000,000","351,000,000","149,000,000","142,000,000","138,000,000","258,000,000","144,000,000","146,000,000","174,000,000","270,000,000","167,000,000","184,000,000","162,000,000","250,000,000","164,000,000","207,000,000","147,000,000","237,000,000","149,000,000","141,000,000","2,272,000,000","196,000,000","149,000,000","284,000,000","124,000,000","-37,000,000","244,000,000","127,000,000","132,000,000","434,000,000","35,000,000","24,000,000","30,000,000","61,000,000","25,000,000","23,000,000","29,000,000","115,000,000","13,000,000","29,000,000","30,000,000","101,000,000","76,000,000","71,000,000","67,000,000","136,000,000","64,000,000","64,000,000","62,000,000","83,000,000","56,000,000","56,000,000","55,000,000"
	SellingGeneralAndAdministration,"823,000,000","213,000,000","212,000,000","187,000,000","211,000,000","183,000,000","131,000,000","178,000,000","270,000,000","267,000,000","220,000,000","229,000,000","222,000,000","242,000,000","221,000,000","217,000,000","247,000,000","259,000,000","199,000,000","226,000,000","210,000,000","234,000,000","161,000,000","168,000,000","163,000,000","188,000,000","149,000,000","152,000,000","145,000,000","180,000,000","172,000,000","159,000,000","148,000,000","200,000,000","167,000,000","179,000,000","180,000,000","206,000,000","132,000,000","132,000,000","160,000,000","147,000,000","254,000,000","180,000,000","159,000,000","159,000,000","351,000,000","149,000,000","142,000,000","138,000,000","258,000,000","144,000,000","146,000,000","174,000,000","290,000,000","167,000,000","184,000,000","162,000,000","267,000,000","164,000,000","207,000,000","147,000,000","234,000,000","149,000,000","141,000,000","150,000,000","196,000,000","149,000,000","284,000,000","124,000,000","-37,000,000","244,000,000","127,000,000","132,000,000","434,000,000","35,000,000","24,000,000","30,000,000","61,000,000","25,000,000","23,000,000","29,000,000","115,000,000","13,000,000","29,000,000","30,000,000","40,000,000","29,000,000","25,000,000","26,000,000","77,000,000","30,000,000","28,000,000","29,000,000","36,000,000","25,000,000","24,000,000","25,000,000"
		GeneralAndAdministrativeExpense,"823,000,000","213,000,000","212,000,000","187,000,000","211,000,000","183,000,000","131,000,000","178,000,000","270,000,000","267,000,000","220,000,000","229,000,000","222,000,000","242,000,000","221,000,000","217,000,000","247,000,000","259,000,000","199,000,000","226,000,000","210,000,000","234,000,000","161,000,000","168,000,000","163,000,000","188,000,000","149,000,000","152,000,000","145,000,000","180,000,000","172,000,000","159,000,000","148,000,000","200,000,000","167,000,000","179,000,000","180,000,000","206,000,000","132,000,000","132,000,000","160,000,000","147,000,000",,"180,000,000","159,000,000","159,000,000","351,000,000","149,000,000","142,000,000","138,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"823,000,000","213,000,000","212,000,000","187,000,000","211,000,000","183,000,000","131,000,000","178,000,000","270,000,000","267,000,000","220,000,000","229,000,000","222,000,000","242,000,000","221,000,000","217,000,000","247,000,000","259,000,000","199,000,000","226,000,000","210,000,000","234,000,000","161,000,000","168,000,000","163,000,000","188,000,000","149,000,000","152,000,000","145,000,000","180,000,000","172,000,000","159,000,000","148,000,000","200,000,000","167,000,000","179,000,000","180,000,000","206,000,000","132,000,000","132,000,000","160,000,000","147,000,000",,"180,000,000","159,000,000","159,000,000","351,000,000","149,000,000","142,000,000","138,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"220,000,000","54,000,000","64,000,000","50,000,000","52,000,000","71,000,000","53,000,000","72,000,000","150,000,000","179,000,000","52,000,000","56,000,000","54,000,000","62,000,000","52,000,000","58,000,000","54,000,000","72,000,000","68,000,000","85,000,000","65,000,000","71,000,000","36,000,000","30,000,000","31,000,000","32,000,000","31,000,000","32,000,000","44,000,000","32,000,000","33,000,000","47,000,000","36,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,000,000","47,000,000","46,000,000","41,000,000","59,000,000","34,000,000","36,000,000","33,000,000","47,000,000","31,000,000","32,000,000","30,000,000"
		DepreciationAndAmortizationInIncomeStatement,"220,000,000","54,000,000","64,000,000","50,000,000","52,000,000","71,000,000","53,000,000","72,000,000","150,000,000","179,000,000","52,000,000","56,000,000","54,000,000","62,000,000","52,000,000","58,000,000","54,000,000","72,000,000","68,000,000","85,000,000","65,000,000","71,000,000","36,000,000","30,000,000","31,000,000","32,000,000","31,000,000","32,000,000","44,000,000","32,000,000","33,000,000","47,000,000","36,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,000,000","47,000,000","46,000,000","41,000,000","59,000,000","34,000,000","36,000,000","33,000,000","47,000,000","31,000,000","32,000,000","30,000,000"
