name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
NormalizedIncome,"8,595,320,000","1,208,000,000","1,530,000,000","2,158,000,000","2,828,000,000","819,000,000","1,487,000,000","-2,409,000,000","-271,000,000","1,128,000,000","1,418,000,000","708,000,000","932,000,000","842,000,000","1,672,000,000","197,000,000","1,363,000,000","3,765,000,000","2,238,000,000","491,000,000","1,369,000,000","284,000,000","1,827,000,000","921,000,000","1,336,000,000","735,000,000","1,465,000,000","1,406,000,000","2,036,000,000","-1,463,000,000","512,000,000","1,086,000,000","1,234,000,000","-478,000,000","1,034,000,000","-523,000,000","-707,000,000","-147,000,000","-616,000,000","2,191,000,000","-974,000,000","672,000,000","1,543,000,000","822,000,000","594,000,000","173,000,000","1,242,000,000","1,077,000,000","699,000,000","1,864,000,000","1,086,000,000","142,000,000","13,000,000","-1,594,000,000","-171,000,000","593,000,000","68,000,000","860,000,000","871,000,000","875,000,000","1,082,000,000","1,018,000,000","1,137,000,000","468,000,000","736,000,000","367,000,000","1,378,000,000","927,000,000","921,000,000","588,000,000","729,000,000","511,000,000","483,000,000","576,000,000","353,400,000","551,429,203.54","218,000,000","-122,000,000","287,000,000","-68,000,000","153,000,000"
InterestExpense,"1,474,000,000","362,000,000","367,000,000","371,000,000","376,000,000","386,000,000","400,000,000","397,000,000","387,000,000","385,000,000","377,000,000","392,000,000","386,000,000","372,000,000","355,000,000","347,000,000","340,000,000","344,000,000","330,000,000","326,000,000","322,000,000","322,000,000","314,000,000","357,000,000","325,000,000","322,000,000","339,000,000","324,000,000",,"328,000,000","340,000,000","319,000,000","321,000,000",,,"331,000,000",,,"1,057,000,000","312,000,000",,,"296,000,000","290,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"464,000,000","459,000,000","455,000,000","452,000,000","481,000,000","468,000,000","449,000,000","448,000,000"
NetInterestIncome,"-1,474,000,000","-362,000,000","-367,000,000","-371,000,000","-376,000,000","-386,000,000","-400,000,000","-397,000,000","-387,000,000","-385,000,000","-377,000,000","-392,000,000","-386,000,000","-372,000,000","-355,000,000","-347,000,000","-340,000,000","-344,000,000","-330,000,000","-326,000,000","-322,000,000","-322,000,000","-314,000,000","-357,000,000","-325,000,000","-322,000,000","-339,000,000","-324,000,000",,"-328,000,000","-340,000,000","-319,000,000","-321,000,000",,,"-331,000,000",,,"-1,057,000,000","-312,000,000",,,"-296,000,000","-290,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-464,000,000","-459,000,000","-455,000,000","-452,000,000","-481,000,000","-468,000,000","-449,000,000","-448,000,000"
EBIT,"10,855,000,000","1,750,000,000","2,173,000,000","3,144,000,000","3,790,000,000","1,286,000,000","1,847,000,000","-1,935,000,000","49,000,000","1,729,000,000","2,102,000,000","1,268,000,000","1,526,000,000","1,425,000,000","2,193,000,000","597,000,000","2,033,000,000","1,460,000,000","3,351,000,000","934,000,000","2,064,000,000","1,165,000,000","2,629,000,000","1,698,000,000","2,057,000,000","1,165,000,000","2,388,000,000","2,453,000,000",,"-994,000,000","524,000,000","1,770,000,000","2,026,000,000",,,"-439,000,000",,,"90,000,000","3,246,000,000",,,"2,588,000,000","1,453,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,302,000,000","1,034,000,000","681,000,000","775,000,000","272,000,000","597,000,000","340,000,000","692,000,000"
ReconciledDepreciation,"204,000,000","117,000,000","42,000,000","15,000,000","30,000,000","9,000,000","65,000,000","54,000,000","329,000,000","108,000,000","441,000,000","-109,000,000","20,000,000","116,000,000","-3,000,000","70,000,000","-22,000,000","-49,000,000","164,000,000","157,000,000","-50,000,000","-84,000,000","-22,000,000","257,000,000","167,000,000","-13,000,000","174,000,000","-218,000,000","170,000,000","177,000,000","275,000,000","138,000,000","41,000,000","73,000,000","177,000,000","52,000,000","109,000,000","72,000,000","27,000,000","98,000,000","105,000,000","88,000,000","35,000,000","186,000,000","-19,000,000","-48,000,000","-17,000,000","-8,000,000","-31,000,000","17,000,000","-34,000,000","50,000,000","142,000,000","329,000,000","149,000,000","87,000,000","91,000,000","113,000,000","62,000,000","35,000,000","62,000,000","78,000,000","136,000,000","52,000,000","84,000,000","54,000,000","155,000,000","157,000,000","135,000,000","110,000,000","136,000,000","207,000,000","136,000,000","244,000,000","205,000,000","111,000,000","173,000,000","114,000,000","177,000,000","196,000,000","72,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"7,724,000,000","1,208,000,000","1,530,000,000","2,158,000,000","2,828,000,000","819,000,000","1,487,000,000","-2,409,000,000","-271,000,000","1,128,000,000","1,418,000,000","708,000,000","932,000,000","842,000,000","1,672,000,000","197,000,000","1,363,000,000","3,765,000,000","2,238,000,000","491,000,000","1,369,000,000","284,000,000","1,827,000,000","921,000,000","1,336,000,000","735,000,000","1,465,000,000","1,406,000,000","2,036,000,000","-1,463,000,000","512,000,000","1,086,000,000","1,234,000,000","-478,000,000","1,034,000,000","-523,000,000","-707,000,000","-147,000,000","-616,000,000","2,191,000,000","-974,000,000","672,000,000","1,543,000,000","822,000,000","594,000,000","173,000,000","1,242,000,000","1,077,000,000","699,000,000","1,864,000,000","1,086,000,000","142,000,000","13,000,000","-1,594,000,000","-171,000,000","593,000,000","68,000,000","860,000,000","871,000,000","875,000,000","1,082,000,000","1,018,000,000","1,137,000,000","468,000,000","736,000,000","367,000,000","1,378,000,000","927,000,000","921,000,000","588,000,000","729,000,000","511,000,000","483,000,000","576,000,000","333,000,000","183,000,000","218,000,000","-122,000,000","287,000,000","-68,000,000","153,000,000"
TotalUnusualItemsExcludingGoodwill,"-1,060,000,000","-325,000,000","75,000,000","286,000,000","64,000,000","87,000,000","-124,000,000","-624,000,000","79,000,000","42,000,000","40,000,000","91,000,000","155,000,000","11,000,000","30,000,000","-1,472,000,000","-81,000,000","-17,000,000","43,000,000","17,000,000","40,000,000","-120,000,000","87,000,000","-43,000,000","-42,000,000","-120,000,000","116,000,000","-57,000,000",,"54,000,000","-7,000,000","47,000,000","30,000,000",,,"387,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-34,000,000","-455,000,000",,,,,
TotalUnusualItems,"-1,060,000,000","-325,000,000","75,000,000","286,000,000","64,000,000","87,000,000","-124,000,000","-624,000,000","79,000,000","42,000,000","40,000,000","91,000,000","155,000,000","11,000,000","30,000,000","-1,472,000,000","-81,000,000","-17,000,000","43,000,000","17,000,000","40,000,000","-120,000,000","87,000,000","-43,000,000","-42,000,000","-120,000,000","116,000,000","-57,000,000",,"54,000,000","-7,000,000","47,000,000","30,000,000",,,"387,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-34,000,000","-455,000,000",,,,,
TaxRateForCalcs,"0.178","0.122","0.143","0.22","0.186","0.27","0.27","0.27","0.172","0.164","0.192","0.185","0.204","0.207","0.1","0.272","0.208","0.4","0.265","0.206","0.227","0.11","0.216","0.321","0.212","0.13","0.285","0.319","0.254","0.168","0.35","0.268","0.275","0.35","0.326","0.356","0.35","0.35","0.342","0.25","0.35","0.252","0.363","0.283","0.27","0.029","0.299","0.283","0.347","0.35","0.35","0.35","0.333","0.255","0.35","0.104","0.35","0.183","0.282","0.283","0.297","0.296","0.266","0.289","0.293","0.4","0.4","0.296","0.296","0.31","0.309","0.217","0.311","0.313","0.4","0.19","0.325","0.4","0.4","0.376","0.373"
TaxEffectOfUnusualItems,"-188,680,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-13,600,000","-86,570,796.46","0","0","0","0","0"
