name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,604,000","8,679,000","9,634,000","8,415,000","8,114,000","7,000,000","5,900,000","6,400,000","5,400,000","5,800,000","4,300,000","4,000,000","3,700,000","3,100,000","2,700,000","2,400,000","2,200,000","2,200,000","2,000,000","1,300,000","1,000,000","900,000","600,000","600,000","400,000","300,000","200,000","200,000","200,000","100,000","100,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,604,000","8,679,000","9,634,000","8,415,000","8,114,000","7,000,000","5,900,000","6,400,000","5,400,000","5,800,000","4,300,000","4,000,000","3,700,000","3,100,000","2,700,000","2,400,000","2,200,000","2,200,000","2,000,000","1,300,000","1,000,000","900,000","600,000","600,000","400,000","300,000","200,000","200,000","200,000","100,000","100,000"
	OtherOperatingExpenses,"37,019,000","7,543,000","9,149,000","9,843,000","10,484,000","12,429,000","14,989,000","13,253,000","2,130,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"20,000","691,000","20,000","-139,000","-145,000","-115,000","-29,000","1,126,000","406,000","509,000",,,"-918,000",,,,,,,,"2,890,000",,,,"446,000",,,,,,,,,,,"1,000","1,371,000",,,,,"-12,604,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"600,469,000","112,383,000","238,293,000","145,455,000","104,338,000","167,835,000","12,445,000","236,789,000","-657,377,000","98,179,000","137,597,000","105,220,000","80,741,000","89,463,000","35,839,000","90,542,000","-60,425,000","-122,991,000","-1,385,000","14,273,000","-125,948,000","49,205,000","30,304,000","46,860,000","36,039,000","65,078,000","-101,000","-7,394,000","-6,935,000","-25,624,000","69,943,000","-26,187,000","-22,935,000","-16,141,000","-13,183,000","17,319,000","-4,097,000","30,254,000","-10,138,000","15,219,000","-34,188,000","-44,139,000","-42,104,000","-41,114,000","-15,825,000","42,311,000","-22,056,000","13,624,000","-19,830,000","-41,221,000","-31,563,000","-32,738,000","-34,246,000","-41,772,000","-39,893,000","-40,703,000","-36,002,000","-26,903,000","-21,941,000","-16,260,000","-20,176,000","-22,664,000","-15,744,000","-19,180,000","-22,168,000","-26,594,000","-29,137,000","-27,060,000","-17,993,000","-34,093,000","-20,340,000","-60,943,000","-33,477,000","-38,449,000","-23,920,000","-26,528,000","-26,157,000","-18,770,000","-37,464,000","-22,777,000","-18,897,000","-14,376,000","-11,229,000","-17,695,000","-8,795,000","-17,051,000","-15,746,000","-14,392,000","-15,401,000","-6,800,000","-10,500,000","-7,700,000","-2,000,000","800,000","3,000,000","4,300,000","4,100,000","3,400,000","1,900,000","1,500,000","600,000","-200,000","-700,000","-2,200,000","-2,800,000","-2,500,000","-3,100,000","-3,100,000","-2,200,000","-4,300,000","-3,100,000","-2,400,000","-2,200,000","-1,300,000","-1,200,000"
NetNonOperatingInterestIncomeExpense,"-1,908,000","-752,000","-439,000","-358,000","-359,000","-428,000","-544,000","-600,000","-602,000","-607,000","-597,000","-316,000","-335,000","-355,000","-405,000","-398,000","-385,000","6,243,000","5,351,000","3,741,000","-4,735,000","-8,876,000","-8,291,000","-8,525,000","-8,642,000","-8,924,000","-8,183,000","-10,350,000","-11,057,000","-11,576,000","-10,578,000","-10,616,000","-10,708,000","-8,437,000","-7,314,000","-10,048,000","-11,529,000","-11,394,000","-11,546,000","-11,115,000","-11,238,000","-10,940,000","-10,974,000","-10,756,000","-10,687,000","-9,326,000","-10,303,000","-10,391,000","-11,584,000","-12,562,000","-6,426,000","-7,297,000","-5,790,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,"6,616,000","5,555,000","4,125,000","1,204,000","594,000","1,188,000","1,137,000","1,492,000","1,289,000","3,026,000","1,144,000","1,630,000","940,000","885,000","790,000","735,000","495,000","385,000","245,000","199,000","371,000","27,000","315,000","52,000","213,000","45,000","132,000","72,000","1,311,000","212,000",,"195,000",,"105,000",,"548,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,908,000","752,000","439,000","358,000","359,000","428,000","544,000","600,000","602,000","607,000","597,000","316,000","335,000","355,000","405,000","398,000","385,000","373,000","204,000","384,000","5,939,000","9,470,000","9,479,000","9,662,000","10,134,000","10,213,000","11,209,000","11,494,000","12,687,000","12,516,000","11,463,000","11,406,000","11,443,000","8,932,000","7,699,000","10,293,000","11,728,000","11,765,000","11,573,000","11,430,000","11,290,000","11,153,000","11,019,000","10,888,000","10,759,000","10,637,000","10,515,000","10,391,000","11,779,000","12,612,000","6,531,000","7,297,000","6,338,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-28,166,000","8,365,000","-28,412,000","26,523,000","-34,642,000","706,000","-15,399,000","71,037,000","-46,097,000","28,481,000","11,019,000","3,767,000","23,691,000","-18,368,000","-4,458,000","-36,136,000","20,456,000","-31,550,000","39,388,000","-27,398,000","-67,300,000","-30,897,000","16,289,000","-3,125,000","-2,950,000","-466,000","-31,289,000","27,174,000",,"0",,,"-265,000","-18,156,000","-1,491,000","-9,771,000",,,,,,,,,,"0",,"142,000","-3,988,000","-34,659,000","-5,368,000",,,"-668,000","100,000","918,000","-123,000","-125,000","566,000","73,000","-107,000","7,935,000","-13,000","-2,935,000","-165,000","-17,000","84,000","14,000","-126,000","16,000","-442,000","-77,000","-177,000","-15,564,000","-5,344,000","-182,000","-28,161,000","-39,108,000","155,000","-47,000","140,000","-129,981,000","-6,829,000","1,841,000","-627,000","0",,,"-1,283,000","-1,200,000","-1,900,000","300,000","100,000","900,000","-9,200,000","1,800,000",,"1,500,000","1,300,000","500,000","500,000","700,000","-2,600,000","600,000","700,000","400,000","200,000","300,000","300,000","500,000","100,000",,,,
	GainOnSaleOfSecurity,"-24,072,000","4,322,000","-27,450,000","26,765,000","-27,709,000","-509,000","-13,207,000","72,274,000","-48,132,000","15,755,000","2,339,000","-4,625,000","20,989,000","-22,182,000","-9,949,000","-34,641,000","22,679,000","-21,932,000","23,045,000","-19,574,000","-5,814,000","-23,758,000","24,301,000","-854,000","-2,950,000","-466,000","-31,289,000","27,174,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-14,741,000","-1,673,000","-2,910,000","-4,632,000","-5,526,000","-3,595,000","-7,109,000","-6,054,000","-6,627,000","-3,122,000","-3,281,000","-6,608,000","-6,671,000","-7,465,000","-4,720,000","-7,303,000","-6,685,000","-9,618,000","16,343,000","-7,824,000","-61,486,000","-7,139,000","-8,012,000","-2,271,000",,"0",,"0","0","0","0","0","-265,000","-18,156,000","-1,491,000","-9,771,000",,,,,,"0","0","0","0","0","0","142,000","-3,988,000","-34,659,000","-5,368,000",,,"-668,000","100,000","918,000","-123,000","-125,000","566,000","73,000","-107,000","7,935,000","-13,000","-2,935,000","-165,000","-17,000","84,000","14,000","-126,000","16,000","-442,000","-77,000","-177,000","-15,564,000","-5,344,000","-182,000","-28,161,000","-39,108,000","155,000","-47,000","140,000","-129,981,000","-6,829,000","1,841,000","-627,000","0",,,"-1,283,000","-1,200,000","-1,900,000","300,000","100,000","900,000","-9,200,000","1,800,000",,"1,500,000","1,300,000","500,000","500,000","700,000","-2,600,000","600,000","700,000","400,000","200,000","300,000","300,000","500,000","100,000",,,,
