name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
			Amortization,"44,849,000","13,834,000","14,183,000","11,420,000","5,412,000","5,486,000","5,392,000","5,392,000","5,392,000","5,683,000","5,646,000","5,266,000","4,850,000","4,475,000","4,386,000","4,041,000","3,315,000","3,499,000","3,492,000","3,463,000","3,458,000","3,458,000","3,458,000","3,453,000","3,362,000","2,320,000","1,282,000","1,151,000","1,152,000","1,153,000","1,136,000","1,128,000","1,129,000","1,129,000","1,129,000","1,128,000","1,131,000","1,093,000","1,103,000","1,137,000","946,000","923,000","801,000","803,000","804,000","806,000","806,000","807,000","806,000","671,000","685,000","677,000","672,000","668,000","612,000","591,000","567,000","403,000","372,000","356,000","347,000","345,000","326,000","325,000","322,000","-279,000","515,000","515,000","515,000","539,000","583,000","670,000","922,000","741,000","680,000","725,000","785,000","832,000","832,000","831,000","834,000","1,721,000","1,721,000","1,719,000","1,737,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"44,849,000","13,834,000","14,183,000","11,420,000","5,412,000","5,486,000","5,392,000","5,392,000","5,392,000","5,683,000","5,646,000","5,266,000","4,850,000","4,475,000","4,386,000","4,041,000","3,315,000","3,499,000","3,492,000","3,463,000","3,458,000","3,458,000","3,458,000","3,453,000","3,362,000","2,320,000","1,282,000","1,151,000","1,152,000","1,153,000","1,136,000","1,128,000","1,129,000","1,129,000","1,129,000","1,128,000","1,131,000","1,093,000","1,103,000","1,137,000","946,000","923,000","801,000","803,000","804,000","806,000","806,000","807,000","806,000","671,000","685,000","677,000","672,000","668,000","612,000","591,000","567,000","403,000","372,000","356,000","347,000","345,000","326,000","325,000","322,000","-279,000","515,000","515,000","515,000","539,000","583,000","670,000","922,000","741,000","680,000","725,000","785,000","832,000","832,000","831,000","834,000","1,721,000","1,721,000","1,719,000","1,737,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,045,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,516,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"180,735,000","48,052,000","56,184,000","38,291,000","38,208,000","48,036,000","49,656,000","41,341,000","33,893,000","45,157,000","40,053,000","36,666,000","34,491,000","38,927,000","37,585,000","37,142,000","38,838,000","44,259,000","43,447,000","37,075,000","36,149,000","35,404,000","36,945,000","30,915,000","28,041,000","19,780,000","31,489,000","29,596,000","27,178,000","24,593,000","26,745,000","23,622,000","19,862,000","19,452,000","17,857,000","15,349,000","14,470,000","15,419,000","18,659,000","12,455,000","10,044,000","14,322,000","12,380,000","9,833,000","9,982,000","11,189,000","11,831,000","10,485,000","8,136,000","10,949,000","12,463,000","11,397,000","9,975,000","18,753,000","11,938,000","1,782,000","4,668,000","9,580,000","7,928,000","5,796,000","3,476,000","6,255,000","6,630,000","5,628,000","3,262,000","4,794,000","4,060,000","4,471,000","654,000","5,325,000","3,401,000","5,018,000","3,376,000","5,565,000","5,112,000","3,077,000","1,758,000","4,804,000","2,934,000","2,121,000","880,000","1,665,000","691,000","631,000","1,820,000","-2,040,000","659,000","-2,255,000","-1,797,000","-3,736,000","3,700,000","4,800,000","4,000,000","-1,100,000","2,600,000","3,000,000","400,000","-100,000","200,000","-1,900,000","100,000","-6,000,000","-3,600,000","-2,500,000","-200,000","6,000,000","-2,400,000","0","-1,100,000","2,000,000","-3,300,000","200,000","-700,000","500,000","1,600,000","2,800,000","-1,500,000","0","3,400,000","2,900,000","300,000","700,000","4,000,000","1,600,000","-3,000,000","-200,000","2,100,000","2,000,000","1,000,000","-147,600,000","51,700,000","51,700,000","41,300,000","-135,600,000","48,100,000","48,200,000","38,000,000"
NetNonOperatingInterestIncomeExpense,"-23,298,000","-4,987,000","-5,396,000","-11,946,000",,,,,"990,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,"492,000",,,,,"990,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"23,298,000","4,987,000","5,396,000","12,438,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"1,544,000","295,000","445,000","-253,000","88,000","376,000","280,000","470,000","990,000","2,633,000","499,000","-247,000","586,000","1,180,000","1,041,000","558,000","599,000","914,000","75,000","-101,000","-190,000","-285,000","-526,000","-720,000","-467,000","-240,000","255,000","185,000","181,000","167,000","-47,000","-216,000","-259,000","-390,000","-285,000","-296,000","-338,000","-384,000","-849,000","-773,000","-703,000","3,990,000","-562,000","-524,000","-500,000","-1,030,000","-568,000","-102,000","-42,000","-27,000","-42,000","-63,000","-14,000","137,000","398,000","-8,801,000","402,000","548,000","441,000","364,000","447,000","477,000","306,000","200,000","97,000","303,000","224,000","-1,027,000","146,000","-410,000","138,000","41,000","102,000","339,000",,,"23,233,000",,,,,"0",,"235,000",,,"251,000","-90,000","-1,174,000","-2,251,000",,"300,000",,"1,000,000","-100,000","-700,000",,"200,000","200,000","200,000","200,000","-52,000,000","100,000","100,000","100,000",,,,,,,,,,,,,,,,,,,,,,"100,000","200,000",,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-849,000","-773,000","-703,000","3,990,000","-562,000","-524,000","-500,000","-1,030,000","-568,000","-102,000","-42,000","-27,000","-42,000","-63,000","-14,000","137,000","398,000","-8,801,000","402,000","548,000","441,000","364,000","447,000","477,000","306,000","200,000","97,000","303,000","224,000","-1,027,000","146,000","-410,000","138,000","41,000","102,000","339,000",,,"23,233,000",,,,,"0",,"235,000",,,"251,000","-90,000","-1,174,000","-2,251,000",,"300,000",,"1,000,000","-100,000","-700,000",,"200,000","200,000","200,000","200,000","-52,000,000","100,000","100,000","100,000",,,,,,,,,,,,,,,,,,,,,,"100,000","200,000",,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"1,260,000",,,,,,,,,,,,,,,,"-235,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
