name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,03/31/2000
		ImpairmentOfCapitalAssets,"0",,,,,"0","0","0","0","0","-6,792,000","0","29,782,000",,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","67,013,000","11,926,000","24,665,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,"0","0","6,792,000","0","29,782,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,"0",,"-51,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"553,000",,,,,,,,,,"700,000",,,,"52,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"32,920,000","-1,556,000","427,000","-483,000","34,532,000","1,021,000","7,147,000","-966,000","-18,549,000","1,741,000","-2,211,000","13,892,000","-5,746,000","-730,000","-837,000","-7,099,000","177,000",,,,,,,,,,,,,,,,,,,,"-988,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,012,423,000","220,012,000","261,988,000","268,802,000","261,621,000","214,542,000","184,545,000","-73,493,000","53,355,000","155,797,000","128,419,000","193,847,000","84,588,000","121,992,000","126,605,000","117,509,000","100,545,000","112,187,000","102,513,000","86,781,000","63,318,000","60,856,000","63,542,000","65,261,000","52,907,000","59,652,000","36,478,000","42,499,000","47,472,000","49,777,000","49,548,000","48,639,000","42,405,000","52,723,000","41,913,000","37,566,000","-39,063,000","16,399,000","4,150,000","36,553,000","27,194,000","26,346,000","26,194,000","16,289,000","21,112,000","14,519,000","21,840,000","45,500,000","20,144,000","14,330,000","-60,465,000","6,810,000","5,432,000","1,214,000","5,955,000","4,315,000","5,592,000","5,864,000","9,503,000","14,128,000","7,455,000","-17,059,000","-10,111,000","-2,450,000","-4,515,000","918,000","-1,213,000","955,000","2,069,000","1,272,000","3,634,000","4,166,000","690,000",,,,,"-13,913,000","-16,890,000",,,,,,,
TaxProvision,"240,403,000","29,051,000","81,019,000","69,088,000","61,245,000","55,554,000","45,174,000","-32,891,000","-1,464,776,000","34,535,000","25,895,000","43,121,000","8,796,000","22,517,000","24,601,000","7,703,000","2,902,000","103,654,000","18,344,000","15,387,000","-7,223,000","12,028,000","11,698,000","15,113,000","12,361,000","10,775,000","8,862,000","11,149,000","11,295,000","10,236,000","11,301,000","13,039,000","9,961,000","10,302,000","7,376,000","8,246,000","2,920,000","6,840,000","4,494,000","8,061,000","6,210,000","5,897,000","6,930,000","5,127,000","5,271,000","4,614,000","5,025,000","12,897,000","5,214,000","2,838,000","-10,523,000","2,265,000","2,796,000","-64,282,000","798,000","285,000","288,000","196,000","43,000","510,000","477,000","210,000","209,000","160,000","249,000","390,000","303,000","417,000","206,000","151,000","316,000","394,000","133,000",,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,"0",,,,,"0","0","0","0","0","0","-3,584,000","-3,944,000","-2,083,000","-1,132,000","-3,701,000","-1,777,000","1,731,000","-1,614,000","-2,215,000","-1,121,000","-1,207,000","-477,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"772,020,000","190,961,000","180,969,000","199,714,000","200,376,000","158,988,000","139,371,000","-40,602,000","1,518,131,000","121,262,000","102,524,000","147,142,000","71,848,000","97,392,000","100,872,000","106,105,000","95,866,000","10,264,000","82,555,000","69,179,000","69,420,000","47,621,000","51,367,000","50,148,000","40,546,000","48,877,000","27,616,000","31,350,000","36,177,000","39,541,000","38,247,000","35,600,000","32,444,000","42,421,000","34,537,000","29,320,000","-41,983,000","9,559,000","-344,000","28,492,000","20,984,000","20,449,000","19,264,000","11,162,000","15,841,000","9,905,000","16,815,000","32,603,000","14,930,000","11,492,000","-49,942,000","4,545,000","2,636,000","65,496,000","5,157,000","4,030,000","5,304,000","5,668,000","9,460,000","13,618,000","6,978,000","-17,269,000","-10,320,000","-2,610,000","-4,764,000","528,000","-1,516,000","538,000","1,863,000","1,121,000","3,318,000","3,772,000","557,000","452,000","-2,144,000","-7,759,000","-8,782,000","-13,913,000","-16,890,000","-18,816,000","-18,502,000","-20,719,000","-22,503,000","-22,294,000","-43,149,000","-8,080,000"
	NetIncome,"772,020,000","190,961,000","180,969,000","199,714,000","200,376,000","158,988,000","139,371,000","-40,602,000","1,518,131,000","121,262,000","102,524,000","147,142,000","71,848,000","97,392,000","100,872,000","106,105,000","95,866,000","10,264,000","82,555,000","69,179,000","69,420,000","47,621,000","51,367,000","50,148,000","40,546,000","48,877,000","27,616,000","31,350,000","36,177,000","39,541,000","38,247,000","35,600,000","32,444,000","42,421,000","34,537,000","29,320,000","-41,983,000","9,559,000","-344,000","28,492,000","20,984,000","20,449,000","19,264,000","11,162,000","15,841,000","9,905,000","16,815,000","32,603,000","14,930,000","11,492,000","-49,942,000","4,545,000","2,636,000","65,496,000","5,157,000","4,030,000","5,304,000","5,668,000","9,460,000","13,618,000","6,978,000","-17,269,000","-10,320,000","-2,610,000","-4,764,000","528,000","-1,516,000","538,000","1,863,000","1,121,000","3,318,000","3,772,000","557,000","452,000","-2,144,000","-7,759,000","-8,782,000","-13,913,000","-16,890,000","-18,816,000","-18,502,000","-20,719,000","-22,503,000","-22,294,000","-31,958,000","-8,080,000"
		NetIncomeIncludingNoncontrollingInterests,"772,020,000","190,961,000","180,969,000","199,714,000","200,376,000","158,988,000","139,371,000","-40,602,000","1,518,131,000","121,262,000","102,524,000","147,142,000","71,848,000","97,392,000","100,872,000","106,105,000","95,866,000","10,264,000","82,555,000","69,179,000","69,420,000","47,621,000","51,367,000","50,148,000","40,546,000","48,877,000","27,616,000","31,350,000","36,177,000","39,541,000","38,247,000","35,600,000","32,444,000","42,421,000","34,537,000","29,320,000","-41,983,000","9,559,000","-344,000","28,492,000","20,984,000","20,449,000","19,264,000","11,162,000","15,841,000","9,905,000","16,815,000","32,603,000","14,930,000","11,492,000","-49,942,000","4,545,000","2,636,000","65,496,000","5,157,000","4,030,000","5,304,000","5,668,000","9,460,000","13,618,000","6,978,000","-17,269,000","-10,320,000","-2,610,000","-4,764,000","528,000","-1,516,000","538,000","1,863,000","1,121,000","3,318,000","3,772,000","557,000","452,000","-2,144,000","-7,759,000","-8,782,000","-13,913,000","-16,890,000","-18,816,000","-18,502,000","-20,719,000","-22,503,000","-22,294,000","-31,958,000","-8,080,000"
