name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
OperatingIncome,"513,271,000","238,848,000","107,628,000","116,773,000","50,022,000","259,391,000","90,085,000","112,807,000","34,073,000","185,716,000","105,047,000","128,628,000","95,649,000","179,936,000","93,024,000","108,553,000","95,061,000","100,679,000","106,183,000","98,394,000","85,472,000","96,966,000","100,099,000","94,155,000","85,022,000","96,943,000","90,183,000","86,495,000","80,058,000","94,048,000","90,808,000","83,532,000","79,062,000","92,252,000","81,637,000","78,425,000","69,549,000","81,639,000","73,652,000","71,134,000","67,828,000","73,143,000","65,329,000","64,813,000","62,274,000","65,385,000","51,877,000","52,383,000","49,623,000","60,904,000","49,002,000","41,468,000","34,829,000","45,780,000","38,296,000","43,854,000","41,801,000","37,942,000","31,610,000","30,396,000","26,821,000","19,989,000","12,855,000","13,593,000","18,727,000","-59,866,000","15,206,000","14,209,000","14,328,000","-4,368,000","11,219,000","11,432,000","9,970,000","11,154,000","8,790,000","6,003,000","5,967,000","9,301,000","5,800,000","6,468,000","5,505,000","-38,638,000","3,367,000","4,705,000","2,814,000","5,751,000","3,805,000","4,789,000","5,234,000","4,943,000","3,900,000","3,900,000","4,700,000","4,300,000","3,600,000","3,600,000","3,800,000","3,900,000","2,600,000","3,400,000","800,000","1,200,000","1,300,000","700,000","10,700,000"
NetNonOperatingInterestIncomeExpense,"-10,327,000","-2,277,000","-2,402,000","-2,850,000","-2,798,000","-1,834,000","-1,099,000","-2,106,000","-876,000","-275,000","3,188,000","2,980,000","3,442,000","3,745,000","3,213,000","2,176,000","2,285,000","2,135,000","1,910,000","1,668,000","1,249,000","1,053,000","1,053,000","1,018,000","864,000","750,000","579,000","673,000","502,000","595,000","506,000","529,000","593,000","508,000","430,000","373,000","361,000","310,000","142,000","164,000","83,000","-198,000","36,000","-62,000","-108,000","-162,000","-411,000","-823,000","-1,181,000","-1,484,000","-1,888,000","-2,581,000","-2,708,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"2,078,000","534,000","541,000","486,000","517,000","610,000","754,000","934,000","2,775,000","3,186,000","3,188,000","2,980,000","3,442,000","3,745,000","3,213,000","2,176,000","2,285,000","2,135,000","1,910,000","1,668,000","1,249,000","1,099,000","1,083,000","1,077,000","950,000","704,000","674,000","795,000","656,000","796,000","655,000","710,000","841,000","710,000","656,000","743,000","732,000","798,000","774,000","887,000","901,000","804,000","789,000","712,000","695,000","630,000","491,000","422,000","368,000","386,000","425,000","360,000","569,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"12,405,000","2,811,000","2,943,000","3,336,000","3,315,000","2,444,000","1,853,000","3,040,000","3,651,000","2,900,000",,,,,,,,,,,,"46,000","30,000","59,000","86,000","-46,000","95,000","122,000","154,000","201,000","149,000","181,000","248,000","202,000","226,000","370,000","371,000","488,000","632,000","723,000","818,000","1,002,000","753,000","774,000","803,000","792,000","902,000","1,245,000","1,549,000","1,870,000","2,313,000","2,941,000","3,277,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"12,410,000","-1,598,000","-1,328,000","14,937,000","399,000","315,000","1,158,000","1,884,000","127,000","-294,000","594,000","-1,667,000","-425,000","1,381,000","-974,000","-1,007,000","-308,000","-484,000","-168,000","-190,000","-1,154,000","47,000","-159,000","305,000","-108,000","107,000","-383,000","91,000","767,000","-762,000","-395,000","-179,000","-198,000","-195,000","-357,000","-173,000","-321,000","-395,000","-355,000","-39,000","-616,000","175,000","78,000","-108,000","-514,000","645,000","-574,000","139,000","-507,000","-584,000","-1,316,000","-1,625,000","-488,000","446,000","-273,000","-378,000","932,000","135,000","-337,000","-482,000","84,000","-417,000","412,000","-28,363,000","1,698,000","1,471,000","1,141,000","1,046,000","613,000","1,132,000","415,000","146,000","230,000","-141,000","-808,000","772,000","534,000","-215,000","32,000","323,000","171,000","-160,000","483,000","467,000","644,000","810,000","877,000","895,000","997,000","826,000","700,000","600,000","600,000","500,000","500,000","500,000","400,000","300,000","200,000","300,000","100,000","0","400,000","100,000",
	GainOnSaleOfSecurity,"12,945,000",,,,,"299,000","1,147,000","1,885,000","146,000","-621,000","826,000","-1,869,000","-513,000","1,492,000","-1,023,000","-1,059,000","-264,000","-436,000","-209,000","-165,000","-1,125,000",,,"297,000","-107,000","124,000","-304,000","-96,000","762,000",,"-487,000","-215,000","-173,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-355,000","-39,000","-616,000","175,000","78,000","-108,000","-514,000","645,000","-574,000","139,000","-507,000","-584,000","-1,316,000","-1,625,000","-488,000","446,000","-273,000","-378,000","932,000","135,000","-337,000","-482,000","84,000","-417,000","412,000","-28,363,000","1,698,000","1,471,000","1,141,000","1,046,000","613,000","1,132,000","415,000","146,000","230,000","-141,000","-808,000","772,000","534,000","-215,000","32,000","323,000","171,000","-160,000","483,000","467,000","644,000","810,000","877,000","895,000","997,000","826,000","700,000","600,000","600,000","500,000","500,000","500,000","400,000","300,000","200,000","300,000","100,000","0","400,000","100,000",
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"548,000","1,370,000","808,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-645,000","574,000","-139,000",,"36,000","-54,000","817,000",,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-535,000","-14,543,000","-1,328,000","14,937,000","399,000","16,000","11,000","-1,000","-19,000","327,000","-232,000","202,000","88,000","-111,000","49,000","52,000","-44,000","-48,000","41,000","-25,000","-29,000","47,000","-159,000","8,000","-1,000","-17,000","-79,000","187,000","5,000","887,000","92,000","36,000","-25,000","-195,000","-357,000","-173,000","-321,000","-395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
