name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,000","156,000","105,000","102,000","99,000",,"10,000",,,,,,,,,,,,
InterestExpense,"127,000,000","30,200,000","29,900,000","31,500,000","35,400,000","35,300,000","35,300,000","34,200,000","33,500,000","33,100,000","31,300,000","30,500,000","31,900,000","32,600,000","32,400,000","31,900,000","32,800,000","32,100,000","30,300,000","28,500,000","28,400,000","28,383,000","28,150,000","31,435,000","32,032,000","32,389,000","33,003,000","37,662,000","18,262,000","17,588,000","17,498,000","17,459,000","17,439,000","17,650,000","18,692,000","19,704,000","20,090,000","20,613,000","18,133,000","17,377,000","16,385,000","14,754,000","14,593,000","14,895,000","9,615,000","9,269,000","8,484,000","8,445,000","8,466,000","9,139,000","9,449,000","8,523,000","8,154,000","8,750,000","8,393,000","7,847,000","6,326,000"
NetInterestIncome,"-127,000,000","-30,200,000","-29,900,000","-31,500,000","-35,400,000","-35,300,000","-35,300,000","-34,200,000","-33,500,000","-33,100,000","-31,300,000","-30,500,000","-31,900,000","-32,600,000","-32,400,000","-31,900,000","-32,800,000","-32,100,000","-30,300,000","-28,500,000","-28,400,000","-28,383,000","-28,150,000","-31,435,000","-32,032,000","-32,389,000","-33,003,000","-37,662,000","-18,262,000","-17,588,000","-17,498,000","-17,459,000","-17,439,000","-17,650,000","-18,692,000","-19,704,000","-20,090,000","-21,010,000","-17,997,000","-17,221,000","-16,280,000","-14,652,000","-14,494,000","-14,895,000","-9,605,000","-8,964,000","-8,484,000","-8,445,000","-8,466,000","-9,012,000","-9,449,000","-8,523,000","-8,154,000","-8,750,000","-8,393,000","-7,847,000","-6,326,000"
EBIT,"1,002,400,000","194,400,000","289,000,000","266,900,000","252,100,000","251,300,000","275,300,000","259,000,000","250,200,000","205,200,000","70,200,000","217,800,000","202,000,000","212,200,000","225,200,000","216,900,000","195,100,000","211,300,000","211,000,000","198,400,000","189,600,000","188,556,000","200,546,000","191,925,000","192,673,000","195,518,000","226,792,000","238,688,000","177,754,000","177,281,000","175,205,000","159,266,000","148,852,000","146,147,000","169,818,000","151,631,000","147,280,000","159,043,000","154,749,000","138,528,000","139,396,000","139,244,000","131,422,000","123,943,000","119,669,000","113,854,000","113,786,000","107,196,000","106,478,000","40,241,000","84,848,000","87,933,000","86,848,000","75,549,000","77,726,000","79,712,000","77,228,000"
EBITDA,"1,386,000,000"
ReconciledCostOfRevenue,"1,057,800,000","265,200,000","265,300,000","264,900,000","262,400,000","260,500,000","240,000,000","235,800,000","257,700,000","259,800,000","242,900,000","242,700,000","231,400,000","224,000,000","219,200,000","222,400,000","221,200,000","208,700,000","198,600,000","193,700,000","182,900,000","192,952,000","169,666,000","178,397,000","160,386,000","213,695,000","210,167,000","195,196,000","184,216,000","193,581,000","180,873,000","172,470,000","168,567,000","102,184,000","176,580,000","174,663,000","164,449,000","170,021,000","156,749,000","147,074,000","133,330,000","140,375,000","137,619,000","131,185,000","124,556,000","116,475,000","117,005,000","115,000,000","114,993,000","153,410,000","117,383,000","112,978,000","107,523,000","97,912,000","98,307,000","97,368,000","93,310,000"
ReconciledDepreciation,"383,600,000","96,600,000","89,700,000","103,800,000","93,500,000","93,200,000","90,900,000","86,900,000","87,100,000","85,600,000","79,100,000","79,300,000","79,800,000","76,000,000","72,700,000","73,600,000","73,700,000","64,400,000","61,200,000","55,700,000","56,100,000","50,509,000","52,179,000","53,263,000","68,649,000","67,417,000","52,044,000","57,440,000","38,583,000","37,302,000","36,138,000","34,944,000","35,099,000","35,053,000","33,097,000","34,007,000","32,421,000","30,535,000","28,156,000","25,277,000","20,231,000","19,532,000","19,595,000","19,732,000","19,760,000","17,736,000","16,193,000","16,964,000","17,233,000","17,679,000","17,633,000","18,182,000","17,705,000","17,416,000","16,095,000","15,413,000","15,948,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"666,300,000","142,000,000","201,700,000","154,000,000","168,600,000","176,200,000","185,800,000","179,000,000","171,700,000","132,200,000","32,900,000","150,400,000","134,400,000","146,200,000","166,000,000","153,500,000","133,000,000","204,600,000","120,700,000","121,000,000","108,800,000","107,457,000","127,577,000","106,736,000","109,730,000","113,757,000","131,814,000","163,320,000","98,686,000","99,310,000","99,015,000","88,099,000","84,441,000","81,157,000","96,441,000","84,205,000","80,511,000","98,299,000","82,911,000","73,331,000","74,601,000","80,318,000","70,987,000","65,577,000","65,876,000","65,893,000","62,880,000","58,404,000","55,375,000","-6,445,000","42,205,000","45,939,000","44,915,000","36,439,000","40,840,000","39,923,000","41,026,000"
TotalUnusualItemsExcludingGoodwill,"-132,100,000","-133,400,000","100,000","-500,000","1,700,000","-18,700,000","-100,000","-700,000","-2,100,000","4,800,000","-5,500,000","-500,000","-400,000","-4,000,000","14,100,000","4,600,000","600,000","1,300,000","2,600,000","3,400,000","1,900,000","3,086,000","2,124,000","846,000","44,000","-150,000","17,912,000","84,966,000","-538,000","234,000","-285,000","200,000","9,000","393,000","228,000","133,000","-145,000","466,000","-638,000","-30,000","330,000","285,000","-86,000","3,489,000","362,000","386,000","68,000","121,000","64,000","-2,112,000","53,000","82,000","-355,000","-646,000","2,000","775,000","-458,000"
TotalUnusualItems,"-132,100,000","-133,400,000","100,000","-500,000","1,700,000","-18,700,000","-100,000","-700,000","-2,100,000","4,800,000","-5,500,000","-500,000","-400,000","-4,000,000","14,100,000","4,600,000","600,000","1,300,000","2,600,000","3,400,000","1,900,000","3,086,000","2,124,000","846,000","44,000","-150,000","17,912,000","84,966,000","-538,000","234,000","-285,000","200,000","9,000","393,000","228,000","133,000","-145,000","466,000","-638,000","-30,000","330,000","285,000","-86,000","3,489,000","362,000","386,000","68,000","121,000","64,000","-2,112,000","53,000","82,000","-355,000","-646,000","2,000","775,000","-458,000"
NormalizedEBITDA,"1,518,100,000","424,400,000","378,600,000","371,200,000","343,900,000","363,200,000","366,300,000","346,600,000","339,400,000","286,000,000","154,800,000","297,600,000","282,200,000","292,200,000","283,800,000","285,900,000","268,200,000","274,400,000","269,700,000","250,700,000","243,800,000","235,979,000","250,602,000","244,342,000","261,278,000","263,085,000","260,924,000","211,162,000","216,875,000","214,349,000","211,628,000","194,010,000","183,942,000","180,807,000","202,687,000","185,505,000","179,846,000","189,112,000","183,543,000","163,835,000","159,297,000","158,491,000","151,103,000","140,186,000","139,067,000","131,204,000","129,911,000","124,039,000","123,647,000","60,032,000","102,428,000","106,033,000","104,908,000","93,611,000","93,819,000","94,350,000","93,634,000"
TaxRateForCalcs,"0.239","0.136","0.209","0.356","0.225","0.184","0.226","0.204","0.208","0.232","0.155","0.197","0.21","0.186","0.139","0.17","0.18","0.4","0.332","0.288","0.325","0.329","0.26","0.335","0.317","0.303","0.32","0.188","0.381","0.378","0.372","0.379","0.357","0.368","0.362","0.362","0.367","0.29","0.393","0.395","0.394","0.355","0.392","0.399","0.4","0.37","0.4","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"-31,571,900","-18,198,294.762","20,900","-178,000","382,500","-3,445,648.148","-22,600","-142,800","-436,800","1,112,841.371","-852,500","-98,500","-84,000","-743,875.278","1,961,310","783,380","108,240","520,000","862,940","979,200","617,500","1,015,661.666","552,240","283,410","13,948","-45,398.427","5,731,840","15,973,608","-204,978","88,479.908","-106,020","75,800","3,213","144,786.415","82,536","48,146","-53,215","135,093.881","-250,803.639","-11,841.421","129,868.874","101,124.749","-33,745.149","1,390,858.328","144,800","142,803.576","27,200","42,350","22,400","-739,200","18,550","28,700","-124,250","-226,100","700","271,250","-160,300"
