name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
BasicEPS,,"1.58","1.5","1.2","1","0.95","1.24","0.67","0.8","0.75","0.68","0.48","0.61","0.65","0.75","0.57","0.52","0.29","0.57","0.36","0.35","0.41","0.35","0.28","0.26","0.26","0.28","0.2","0.15","0.23","0.29","0.17","0.23","0.2","0.2","0.15","0.07","0.01","0.17","0.19","0.09",,"0.16","0.1","0.05",,"0.37","0.18","0.18",,"0.36","0.09","-0.02",,"0.31","0.14","0.18",,"0.26","-0.2","0",,"-0.06","0.04","-0.01",,"0.33","-0.24","-0.05",,"-0.22","-0.16","-0.5",,"-0.03","-0.33","-0.37",,"-0.18","-0.12","-0.17"
DilutedEPS,,"1.51","1.44","1.16","0.95","0.9","1.18","0.64","0.77","0.7","0.64","0.45","0.58","0.61","0.71","0.55","0.49","0.27","0.54","0.35","0.33","0.39","0.34","0.27","0.25","0.24","0.28","0.19","0.15","0.22","0.28","0.16","0.23","0.19","0.19","0.14","0.07","0.01","0.16","0.18","0.08",,"0.16","0.1","0.05",,"0.35","0.17","0.17",,"0.34","0.09","-0.02",,"0.29","0.13","0.17",,"0.23","-0.2","0",,"-0.06","0.03","-0.01",,"0.31","-0.24","-0.05",,"-0.22","-0.16","-0.5",,"-0.03","-0.33","-0.37",,"-0.18","-0.12","-0.17"
BasicAverageShares,,"46,139,000","45,970,000","45,796,000","45,498,000","45,148,000","44,970,000","44,785,000","44,455,000","43,496,000","43,308,000","43,109,000","42,749,000","42,467,000","42,362,000","42,237,000","41,922,000","41,574,000","41,458,000","41,323,000","41,047,000","40,739,000","40,590,000","40,387,000","40,028,000","39,615,000","39,592,000","39,570,000","39,105,000","38,807,000","38,785,000","38,684,000","38,470,000","38,328,000","37,910,000","37,053,000","36,259,000","35,556,000","35,145,000","34,665,000","34,105,000",,"33,594,000","33,846,000","35,024,000",,"36,185,000","36,291,000","35,421,000",,"34,552,000","34,070,000","33,696,000",,"33,869,000","33,229,000","33,340,000",,"31,995,000","31,382,000","30,482,000",,"29,736,000","29,412,000","28,816,000",,"28,093,000","27,721,000","27,537,204",,"6,818,000","6,706,000","6,482,000",,"6,147,000","6,051,000","6,018,000",,"5,905,000","5,861,000","5,709,000"
DilutedAverageShares,,"48,240,000","47,852,000","47,754,000","47,711,000","47,600,000","46,955,000","46,831,000","46,670,000","46,503,000","45,833,000","45,483,000","45,232,000","45,058,000","44,669,000","44,400,000","44,282,000","44,160,000","43,486,000","43,397,000","43,268,000","42,404,000","41,895,000","41,716,000","41,646,000","41,445,000","40,689,000","40,745,000","40,596,000","40,321,000","39,727,000","39,608,000","39,517,000","39,524,000","39,009,000","38,239,000","37,708,000","36,763,000","36,438,000","35,997,000","35,538,000",,"34,240,000","34,903,000","36,105,000",,"37,727,000","38,355,000","37,783,000",,"37,247,000","36,389,000","33,696,000",,"36,602,000","36,232,000","35,891,000",,"35,953,000","31,382,000","33,759,000",,"29,736,000","33,604,000","28,816,000",,"30,642,000","27,721,000","27,537,204",,"6,818,000","6,706,000","6,482,000",,"6,147,000","6,051,000","6,018,000",,"5,905,000","5,861,000","5,709,000"
TotalOperatingIncomeAsReported,"262,417,000","78,572,000","77,131,000","60,628,000","46,086,000","39,962,000","59,979,000","27,955,000","30,986,000","30,694,000","30,032,000","20,119,000","21,717,000","33,077,000","33,493,000","24,882,000","22,037,000","25,053,000","23,832,000","14,970,000","13,570,000","17,543,000","15,001,000","11,527,000","10,376,000","11,792,000","13,310,000","10,111,000","5,857,000","9,165,000","10,446,000","6,604,000","9,085,000","8,040,000","8,656,000","4,914,000","2,305,000","980,000","6,320,000","6,781,000","3,198,000","2,411,000","5,051,000","4,039,000","1,916,000","3,961,000","13,435,000","6,806,000","6,296,000","4,421,000","13,125,000","3,064,000","-1,080,000","2,239,000","10,620,000","4,319,000","5,329,000","7,895,000","8,514,000","-7,294,000","557,000","1,248,000","-666,000","1,821,000","-1,168,000","14,050,000","6,572,000","-11,944,000","-2,214,373","-745,529","-1,103,000","-758,000","-2,924,000","310,960","160,000","-1,726,000","-1,951,000","-655,679","-957,000","-723,000","-959,000"
TotalExpenses,"939,156,000","258,352,000","242,970,000","231,093,000","206,741,000","191,541,000","197,602,000","156,172,000","132,451,000","135,053,000","138,089,000","130,385,000","119,368,000","120,011,000","126,139,000","114,239,000","106,582,000","104,037,000","104,780,000","96,938,000","86,506,000","86,396,000","91,400,000","82,560,000","74,091,000","74,844,000","77,748,000","70,994,000","67,411,000","66,472,000","67,557,000","61,558,000","59,676,000","55,436,000","56,587,000","53,057,000","49,466,000","49,834,000","50,417,000","52,070,000","47,158,000","44,145,000","47,189,000","46,650,000","42,552,000","43,096,000","52,408,000","48,884,000","43,954,000","42,126,000","34,841,000","35,876,000","28,356,000","25,756,000","38,271,000","37,183,000","30,080,000","30,592,000","31,674,000","38,127,000","23,939,000","25,148,000","27,921,000","24,780,000","25,931,000","18,481,000","23,134,000","34,201,000","16,851,382","15,544,728","15,840,000","6,693,000","4,637,000","15,537,578","4,916,000","3,810,000","3,147,000","7,830,280","3,003,000","2,526,000","2,141,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"242,023,000","72,671,000","68,770,000","55,169,000","45,413,000","42,887,000","55,566,000","30,167,000","35,756,000","32,437,000","29,528,000","20,693,000","26,181,000","27,638,000","31,568,000","24,206,000","21,856,000","12,071,000","23,642,000","15,014,000","14,477,000","16,574,000","14,373,000","11,198,000","10,575,000","10,109,000","11,201,000","7,899,000","5,963,000","8,860,000","11,221,000","6,397,000","9,018,000","7,499,000","7,410,000","5,489,000","2,499,000","248,000","5,921,000","6,592,000","2,995,000","2,453,000","5,473,000","3,482,000","1,893,000","3,581,000","13,219,000","6,407,000","6,356,000","4,654,000","12,562,000","3,186,000","-728,000","3,234,000","10,457,000","4,600,000","5,935,000","7,335,000","8,270,000","-6,374,000","62,000","-1,642,000","-1,872,000","1,059,000","-408,000","9,257,000","3,985,000","-6,713,000","-1,421,968","319,392","-1,147,000","-725,000","-2,899,000","356,057","166,000","-1,683,000","-1,875,000","-586,528","-976,000","-727,000","-948,000"
NormalizedIncome,"248,203,328","72,460,868.27","71,940,035.419","56,889,128","46,917,929","44,831,496.31","57,877,400","32,182,650","37,462,740","32,603,915.901","29,932,902","20,517,060","25,118,120","29,618,424.55","30,631,472","23,855,051","22,940,752","11,943,800","23,574,176","14,904,686","14,149,715.805","15,097,260.195","14,423,092.833","11,190,611.019","10,618,582.288","10,340,797.683","11,315,502.105","8,136,443.36","6,210,731.959","8,921,097.064","11,436,800","6,651,062.618","559,067.385","7,577,907.178","7,499,640.572","5,321,950","2,303,350","-1,442,000","5,711,625.54","6,366,727.171","3,111,029.056","3,691,227.49","5,942,300","4,286,725.08","1,893,000","3,581,000","13,219,000","6,407,000","6,356,000","4,932,850","12,562,000","4,637,450","1,159,817.49","4,043,900","11,501,262.941","8,537,093.881","6,581,464.407","8,284,954.491","9,502,225.757","2,291,800","1,912,550","234,800","1,587,000","2,751,600","2,186,854.46","1,673,535.695","4,029,400","514,000","-1,421,968","319,392","-1,147,000","-725,000","-2,899,000","356,057","166,000","-1,683,000","-1,875,000","-586,528","-976,000","-727,000","-948,000"
InterestIncome,"11,637,000","3,535,000","3,050,000","2,770,000","2,282,000","2,254,000","2,311,000","2,388,000","2,374,000","2,098,000","1,850,000","1,661,000","1,696,000","1,715,000","1,583,000","1,563,000","1,460,000","1,415,000","1,346,000","1,327,000","1,264,000","568,000","780,000","597,000","543,000","550,000","-6,000","235,000","642,000","406,000","202,000","295,000","190,000","-57,000","-59,000","218,000","-10,000","-10,000","156,000","359,000","157,000","137,000","103,000","160,000","271,000","231,000","240,000","338,000","347,000","220,000","161,000","281,000","385,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,000",,"100,000","136,000","88,000",,"159,000","4,000","0",,"76,000","185,000","94,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
