name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,140,000","8,000","2,104,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","0","27,766,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"717,336,000","177,521,000","179,412,000","183,838,000","176,565,000","168,013,000","166,456,000","178,188,000","171,094,000","169,897,000","165,862,000","177,411,000","164,594,000","165,439,000","157,996,000","156,417,000","165,797,000","154,259,000","152,164,000","151,919,000","159,205,000","178,032,000","203,748,000","153,175,000","159,448,000","164,460,000","153,015,000","167,844,000","154,223,000","162,430,000","157,245,000","154,628,000","154,270,000","151,714,000","154,193,000","134,604,000","120,595,000","121,125,000","111,360,000","111,643,000","109,673,000","109,181,000","109,495,000","111,080,000","109,428,000","92,763,000","81,133,000","81,400,000","83,075,000","79,125,000","78,181,000","87,005,000","77,370,000","79,766,000","75,321,000","74,389,000","74,671,000","69,315,000","71,616,000","74,621,000","70,478,000","70,452,000","71,548,000","67,912,000","66,847,000","65,727,000","65,905,000","67,219,000","67,983,000","68,735,000","66,523,000","60,737,000","56,477,000","56,051,000","53,455,000","50,742,000","49,824,000","53,903,000","45,534,000","43,796,000","42,944,000","40,230,000","38,518,000","36,675,000","34,740,000","36,088,000","32,436,000","32,395,000","32,231,000",,,,,"24,218,000","21,500,000","16,600,000","13,100,000","28,673,000","9,300,000","800,000"
		DepreciationAndAmortizationInIncomeStatement,"717,336,000","177,521,000","179,412,000","183,838,000","176,565,000","168,013,000","166,456,000","178,188,000","171,094,000","169,897,000","165,862,000","177,411,000","164,594,000","165,439,000","157,996,000","156,417,000","165,797,000","154,259,000","152,164,000","151,919,000","159,205,000","178,032,000","203,748,000","153,175,000","159,448,000","164,460,000","153,015,000","167,844,000","154,223,000","162,430,000","157,245,000","154,628,000","154,270,000","151,714,000","154,193,000","134,604,000","120,595,000","121,125,000","111,360,000","111,643,000","109,673,000","109,181,000","109,495,000","111,080,000","109,428,000","92,763,000","81,133,000","81,400,000","83,075,000","79,125,000","78,181,000","87,005,000","77,370,000","79,766,000","75,321,000","74,389,000","74,671,000","69,315,000","71,616,000","74,621,000","70,478,000","70,452,000","71,548,000","67,912,000","66,847,000","65,727,000","65,905,000","67,219,000","67,983,000","68,735,000","66,523,000","60,737,000","56,477,000","56,051,000","53,455,000","50,742,000","49,824,000","53,903,000","45,534,000","43,796,000","42,944,000","40,230,000","38,518,000","36,675,000","34,740,000","36,088,000","32,436,000","32,395,000","32,231,000",,,,,"24,218,000","21,500,000","16,600,000","13,100,000","28,673,000","9,300,000","800,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,500,000","16,600,000","13,100,000","28,673,000","9,300,000","800,000"
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,759,000",,,,,,,,,"-210,953,000",,,,,"-206,047,000",,"-204,073,000",,"-203,683,000","-214,569,000","-202,629,000","-188,470,000","-181,787,000",,"-183,986,000","-170,708,000",,,"-162,755,000","-149,052,000","-143,702,000","-132,504,000","-129,812,000","-129,920,000","-118,088,000","-113,214,000","-110,461,000","-105,019,000","-104,816,000","-104,900,000","-105,200,000","-97,100,000","-91,800,000","-201,700,000","-19,600,000","-13,600,000","-13,500,000",,"-8,500,000","-600,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,968,000","-731,000","6,729,000","-5,230,000",,"-1,301,000","-700,000","587,000",,"6,318,000","-257,000","127,418,000","0","2,695,000","210,953,000","722,000","11,000","208,000","31,457,000","206,514,000","0","204,073,000","12,896,000","203,683,000","220,827,000","202,629,000","188,470,000","188,045,000","707,884,000","183,101,000","171,699,000","2,406,000","-437,608,000","270,910,000","149,052,000","147,999,000","130,424,000","194,667,000","136,420,000","118,088,000","112,880,000","178,615,000","169,054,000","104,816,000",,,,,,,,,,,
OperatingIncome,"973,076,000","254,789,000","250,851,000","238,210,000","229,226,000","205,642,000","234,629,000","194,598,000","271,984,000","275,411,000","269,769,000","251,805,000","250,636,000","248,552,000","239,278,000","231,098,000","208,173,000","229,562,000","233,968,000","238,989,000","206,259,000","200,902,000","159,637,000","219,037,000","250,378,000","210,950,000","228,004,000","205,134,000","206,536,000","209,489,000","216,205,000","201,934,000","177,334,000","193,103,000","188,118,000","171,350,000","139,184,000","171,530,000","163,962,000","173,711,000","144,661,000","161,994,000","164,561,000","154,146,000","138,022,000","151,939,000","155,520,000","160,808,000","144,861,000","175,142,000","144,695,000","154,564,000","125,068,000","173,479,000","122,618,000","151,369,000","25,252,000","162,490,000","156,592,000","164,175,000","156,098,000","167,246,000","162,472,000","132,182,000","150,057,000","156,402,000","157,713,000","145,682,000","152,506,000","148,046,000","157,087,000","156,663,000","145,609,000","154,647,000","147,183,000","152,662,000","145,778,000","145,700,000","144,408,000","145,789,000","130,921,000","135,670,000","163,967,000","126,349,000","118,423,000","115,647,000","112,852,000","112,240,000","105,438,000","-466,918,000","300,200,000","281,500,000","273,000,000","2,735,000","107,400,000","81,000,000","74,300,000","81,806,000","49,600,000","3,900,000"
NetNonOperatingInterestIncomeExpense,"-417,642,000","-101,767,000","-104,274,000","-104,867,000","-106,734,000","-110,315,000","-111,038,000","-105,837,000","-98,574,000","-98,487,000","-99,293,000","-98,742,000","-97,256,000","-96,604,000","-92,544,000","-89,625,000","-88,572,000","-89,436,000","-90,703,000","-93,639,000","-94,920,000","-97,323,000","-101,013,000","-103,479,000","-103,804,000","-105,738,000","-105,090,000","-107,241,000","-107,350,000","-115,980,000","-109,887,000","-108,868,000","-112,243,000","-119,470,000","-118,294,000","-101,844,000","-98,962,000","-103,334,000","-101,029,000","-97,519,000","-101,591,000","-102,788,000","-94,525,000","-93,283,000","-98,177,000","-84,860,000","-97,103,000","-96,755,000","-90,319,000","-90,455,000","-75,577,000","-78,191,000","-78,610,000","-87,367,000","-68,096,000","-60,449,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"5,704,000","1,564,000","1,520,000","1,452,000","1,168,000","1,676,000",,"1,305,000","3,017,000","4,393,000","7,178,000","3,615,000","3,753,000","3,774,000","2,822,000","2,579,000","1,648,000","2,336,000","1,329,000","1,504,000","614,000","573,000","3,628,000","1,524,000","1,505,000","440,000","3,637,000","1,293,000","1,407,000","1,924,000","3,421,000","2,109,000","1,311,000","1,664,000","3,879,000","1,296,000","1,471,000","2,062,000","4,001,000","2,382,000","1,646,000","1,179,000","1,252,000","1,953,000","974,000",,,"2,117,000","1,710,000",,"1,513,000","442,000","320,000",,"212,000","4,115,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
