name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
		NetIncomeIncludingNoncontrollingInterests,"795,000,000","164,000,000","208,000,000","317,000,000","105,000,000","50,000,000","82,000,000","-6,000,000","319,000,000","305,000,000","348,027,000","144,610,000","202,408,000","196,042,000","228,763,000","217,246,000","196,278,000","314,775,000","153,458,000","169,053,000","155,505,000","118,871,000","192,288,000","140,597,000","138,627,000","114,901,000","141,673,000","99,112,000","110,894,000","95,533,000","114,255,000","16,177,000","90,355,000","86,123,000","84,027,000","76,655,000","67,937,000","74,170,000","87,866,000","90,446,000","81,552,000","65,105,000","67,395,000","56,280,000","55,817,000","-7,347,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
			NetIncomeContinuousOperations,"794,000,000","163,000,000","208,000,000","317,000,000","105,000,000","50,000,000","101,000,000","-5,000,000","323,000,000","234,000,000","297,595,000","144,610,000","202,632,000","196,042,000","230,294,000","217,391,000","201,840,000","312,011,000","185,112,000","169,053,000","155,505,000","118,871,000","192,288,000","140,597,000","138,627,000","114,901,000","141,673,000","99,112,000","110,894,000","95,533,000","114,255,000","16,177,000","90,355,000","86,123,000","84,027,000","76,655,000","67,937,000","74,170,000","87,866,000","90,446,000","81,552,000","65,105,000","64,313,000","58,368,000","36,673,000","-7,347,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
			NetIncomeDiscontinuousOperations,"1,000,000","1,000,000","0","0","0","0","-19,000,000","-1,000,000","-4,000,000","71,000,000","50,432,000","0","-224,000","0","-1,531,000","-145,000","-5,562,000","2,764,000","-30,689,000",,,,,,,,,,,,,,,,,,,,"0","0","0","0","3,082,000","-2,088,000","19,144,000",,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-2,000,000","-1,000,000","1,000,000","0","-1,000,000","0","0","0","0","-1,000,000","-1,157,000","-160,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,299,000",,,,"2,810,000",,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"46,000,000","46,000,000","0","0","0","73,000,000","0",,,"185,000,000","86,712,000","0","0","24,309,000","0","0","0","56,148,000","63,286,000","0","0","95,971,000","0","0","0","3,000,000","0","0","0","3,365,000","6,098,000","110,903,000","5,486,000","4,139,000","95,137,000","37,976,000","0","38,130,000",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"747,000,000","117,000,000","209,000,000","317,000,000","104,000,000","-23,000,000","82,000,000","-6,000,000","319,000,000","119,000,000","260,158,000","144,450,000","202,408,000","171,733,000","228,763,000","217,246,000","196,278,000","258,627,000","90,172,000","169,053,000","155,505,000","22,900,000","192,288,000","140,597,000","138,627,000","111,901,000","141,673,000","99,112,000","110,894,000","92,168,000","108,157,000","-94,726,000","84,869,000","81,984,000","-11,110,000","38,679,000","67,937,000","36,040,000","87,866,000","90,446,000","81,552,000","61,806,000","70,206,000","56,280,000","55,817,000","-10,157,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
BasicEPS,,"1.98","3.58","5.43","1.79","-0.42","1.43","-0.1","5.56","2.07","4.63","2.57","3.6","3.05","4.11","3.91","3.53","4.65","1.65","3.08","2.78","0.41","2.77","2.52","2.47","1.97","2.5","1.75","1.96","1.63","1.91","-1.66","1.49","1.44","-0.2","0.71","1.25","0.66","1.63","1.68","1.51","1.15",,"1.06","1.05","-0.19",,"0.83","0.72","0.01",,"0.86","0.84","0.81",,"0.75","0.68","0.57",,"0.48","0.48","0.45",,"-0.3","0.32","30.41"
DilutedEPS,,"1.98","3.58","5.43","1.79","-0.42","1.43","-0.1","5.56","2.07","4.63","2.57","3.6","3.05","4.11","3.91","3.53","4.65","1.65","3.08","2.78","0.41","2.77","2.52","2.47","1.97","2.5","1.75","1.96","1.63","1.91","-1.66","1.49","1.44","-0.2","0.71","1.25","0.66","1.63","1.68","1.51","1.15",,"1.06","1.05","-0.19",,"0.83","0.72","0.01",,"0.82","0.8","0.78",,"0.72","0.64","0.54",,"0.45","0.45","0.43",,"-0.3","0.3","28.81"
BasicAverageShares,,"59,200,000","58,400,000","58,400,000","58,400,000","54,700,000","57,300,000","57,300,000","57,400,000","57,400,000","56,265,000","56,265,000","56,265,000","56,266,000","55,595,000","55,597,000","55,605,000","55,600,000","54,796,000","54,890,000","55,894,000","56,524,000","55,832,000","55,832,000","56,134,000","56,805,000","56,610,000","56,608,000","56,604,000","56,591,000","56,731,000","57,170,000","57,068,000","56,991,000","56,862,000","54,506,000","54,453,000","54,453,000","53,882,000","53,882,000","53,882,000","53,882,000",,"53,333,000","53,333,000","53,328,000",,"52,923,000","52,922,000","52,869,000",,"48,376,000","48,261,000","48,603,000",,"48,084,000","47,605,000","47,223,000",,"45,800,000","44,972,000","44,773,000",,"44,578,000","44,255,000","295,500"
