name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
BasicAverageShares,,"46,692,296","46,653,888","46,605,286","37,060,838","36,951,607","36,871,712","36,856,873","36,600,000","36,547,966","36,468,438","36,376,376","36,232,598","36,087,297","36,072,347","35,908,645","35,739,323","35,540,233","35,436,187","35,331,691","35,238,500","35,110,762","34,940,356","34,619,385","34,479,367","34,514,599","35,438,456","35,384,799","35,331,555","36,655,584","36,551,765","37,557,095","37,560,180","38,125,000","37,490,566","37,416,824","37,356,380","37,162,697","36,887,303","36,788,556","36,740,827",,"36,942,982","36,775,396","36,711,050",,"36,288,891","36,200,000","36,223,382",,"36,000,000","36,000,000","36,000,000",,"35,600,000","35,400,000","35,200,000",,"35,000,000","35,000,000","34,800,000",,"34,600,000","34,400,000","34,000,000",,"33,300,000","33,100,000","33,000,000",,"32,500,000","32,400,000","32,300,000",,"32,200,000","32,200,000","32,200,000",,"32,000,000","32,000,000","31,973,556",,"31,700,000","31,600,000","32,500,000",,"29,000,000","28,181,818","27,100,000",,"27,674,419","27,674,419","27,674,419",,"28,000,000","28,367,347","28,250,000"
DilutedAverageShares,,"47,700,000","47,700,000","46,605,286","38,000,000","38,000,000","37,800,000","37,800,000","37,800,000","37,800,000","37,600,000","37,400,000","37,200,000","37,200,000","37,200,000","37,000,000","36,800,000","36,700,000","36,400,000","36,200,000","36,100,000","35,900,000","35,600,000","35,000,000","34,900,000","35,400,000","36,100,000","36,100,000","36,500,000","37,200,000","37,800,000","38,100,000","38,300,000","38,200,000","38,100,000","38,000,000","37,800,000","37,600,000","37,400,000","37,300,000","37,200,000",,"37,400,000","37,300,000","37,200,000",,"36,800,000","36,900,000","36,800,000",,"36,600,000","36,600,000","36,500,000",,"36,700,000","36,500,000","36,300,000",,"36,200,000","36,100,000","35,800,000",,"35,700,000","35,400,000","35,100,000",,"34,800,000","34,500,000","34,400,000",,"33,600,000","33,200,000","33,100,000",,"32,700,000","32,500,000","32,500,000",,"32,700,000","32,900,000","32,500,000",,"32,500,000","31,600,000","32,500,000",,"30,200,000","28,181,818","27,100,000",,"27,674,419","27,674,419","27,674,419",,"28,000,000","28,367,347","28,250,000"
TotalOperatingIncomeAsReported,"624,300,000","195,100,000","189,600,000","104,400,000","135,200,000","143,800,000","122,500,000","109,800,000","104,000,000","133,800,000","128,700,000","131,900,000","97,300,000","111,200,000","105,500,000","111,500,000","88,400,000","98,400,000","92,900,000","86,200,000","58,100,000","68,000,000","70,500,000","54,300,000","61,000,000","76,000,000","69,500,000","68,900,000","67,300,000","79,900,000","74,300,000","74,300,000","66,000,000","63,500,000","53,000,000","64,900,000","58,900,000","67,600,000","60,300,000","59,700,000","55,500,000","53,800,000","56,800,000","61,900,000","54,700,000","46,000,000","46,900,000","45,700,000","39,900,000","43,300,000","43,700,000","43,700,000","35,300,000","33,500,000","51,900,000","55,800,000","47,700,000","41,800,000","40,000,000","43,600,000","36,900,000","33,200,000","32,100,000","33,500,000","26,300,000","27,000,000","23,400,000","26,700,000","273,900,000","22,100,000","18,500,000","16,700,000","210,000,000","13,300,000","11,900,000","12,600,000","9,200,000","12,500,000","11,500,000","10,300,000","8,600,000","10,900,000","9,700,000","-17,900,000","8,100,000","15,300,000","16,900,000","6,100,000","18,700,000",,,,,,,,
TotalExpenses,"3,990,000,000","1,180,600,000","1,122,300,000","1,016,600,000","670,500,000","665,500,000","626,500,000","633,500,000","680,600,000","700,400,000","673,500,000","650,100,000","647,900,000","637,200,000","619,800,000","621,000,000","607,200,000","606,000,000","569,300,000","584,900,000","508,000,000","495,000,000","456,300,000","480,600,000","469,500,000","524,000,000","485,900,000","508,800,000","497,700,000","542,400,000","526,800,000","522,800,000","507,500,000","533,100,000","518,600,000","536,100,000","510,500,000","499,800,000","487,100,000","458,800,000","438,500,000","420,700,000","439,600,000","441,000,000","413,400,000","272,600,000","397,000,000","396,800,000","399,300,000","411,100,000","385,700,000","397,400,000","405,000,000","431,300,000","445,700,000","423,000,000","404,100,000","385,700,000","368,900,000","356,700,000","348,700,000","358,100,000","331,500,000","314,600,000","303,900,000","283,400,000","271,900,000","276,600,000","23,600,000","266,000,000","251,500,000","222,200,000","9,600,000","209,100,000","203,800,000","192,800,000","188,000,000","197,200,000","180,300,000","178,300,000","174,700,000","174,000,000","175,900,000","193,200,000","181,600,000","181,000,000","184,200,000","196,200,000","184,800,000",,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"445,300,000","161,800,000","134,100,000","64,700,000","84,700,000","132,100,000","93,900,000","93,700,000","82,200,000","115,700,000","106,700,000","104,600,000","75,300,000","91,100,000","90,300,000","85,900,000","66,500,000","67,600,000","69,000,000","60,100,000","30,500,000","53,000,000","52,000,000","45,700,000","38,400,000","55,500,000","48,300,000","48,300,000","43,700,000","60,200,000","55,600,000","56,100,000","45,800,000","54,900,000","46,800,000","42,900,000","40,400,000","46,200,000","42,700,000","39,500,000","35,700,000","36,800,000","34,100,000","152,300,000","32,000,000","36,600,000","30,300,000","28,600,000","25,000,000","32,200,000","35,100,000","25,200,000","20,800,000","19,900,000","30,900,000","32,600,000","27,900,000","26,600,000","27,100,000","24,300,000","20,500,000","18,900,000","22,600,000","20,900,000","17,900,000","16,600,000","15,700,000","16,100,000","15,800,000","13,400,000","12,500,000","9,900,000","5,900,000","7,800,000","9,900,000","6,500,000","5,500,000","7,200,000","6,900,000","6,200,000","5,100,000","6,500,000","5,700,000","-10,400,000","4,800,000","9,200,000","9,800,000","3,100,000","10,200,000","13,200,000","11,900,000","11,900,000","11,900,000","10,900,000","12,600,000","13,900,000","11,300,000"
NormalizedIncome,"445,300,000","161,800,000","134,100,000","64,700,000","84,700,000","132,100,000","93,900,000","93,700,000","82,200,000","115,700,000","106,700,000","104,600,000","75,300,000","91,100,000","90,300,000","85,900,000","66,500,000","67,600,000","69,000,000","60,100,000","30,500,000","51,400,000","53,100,000","46,100,000","38,400,000","55,500,000","48,300,000","48,300,000","43,700,000","60,200,000","55,600,000","56,100,000","45,800,000","54,900,000","46,800,000","42,900,000","40,400,000","43,406,339.144","41,792,631.579","38,527,368.421","35,978,669.276","34,657,438.795","36,728,397.566","37,651,351.351","32,695,000","35,418,013.857","30,501,769.912","28,285,714.286","24,558,080.808","32,123,877.069","35,100,000","25,566,346.154","20,557,225.434","19,769,078.947","30,962,932.79","32,171,857.411","28,028,275.862","25,602,500","26,440,810.811","24,176,649.746","20,313,069.909","19,094,845.361","22,381,290.323","20,582,370.821","15,717,073.171","16,226,966.292","14,017,857.143","16,100,000","14,238,735.178","13,400,000","10,861,650.485","9,840,000","5,778,350.515","7,984,251.969","9,494,262.295","7,532,710.28","5,561,111.111","7,442,016.807","6,960,526.316","5,718,446.602","4,980,000","6,439,814.815","5,580,000","-1,569,230.769","4,739,240.506","8,979,470.199","9,398,757.764","2,617,391.304","10,140,000","13,200,000","11,900,000","11,900,000","11,900,000","10,900,000","12,600,000","13,900,000","11,300,000"
InterestExpense,"104,200,000","23,500,000","23,800,000","21,200,000","35,700,000","3,400,000","4,100,000","3,700,000","4,100,000","4,700,000","5,500,000","5,400,000","5,400,000","5,700,000","6,000,000","6,700,000","7,100,000","7,600,000","8,200,000","9,100,000","8,200,000","6,000,000","5,600,000","5,900,000","5,700,000","6,000,000","6,000,000","6,000,000","5,900,000","5,100,000","4,600,000","4,600,000","4,700,000","4,800,000","5,100,000","5,100,000","5,400,000","5,200,000","4,500,000","4,100,000","4,000,000","3,800,000","3,700,000","4,300,000","4,400,000",,"1,400,000","700,000","1,000,000",,"1,100,000","1,500,000","1,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-104,200,000","-23,500,000","-23,800,000","-21,200,000","-35,700,000","-3,400,000","-4,100,000","-3,700,000","-4,100,000","-4,700,000","-5,500,000","-5,400,000","-5,400,000","-5,700,000","-6,000,000","-6,700,000","-7,100,000","-7,600,000","-8,200,000","-9,100,000","-8,200,000","-6,000,000","-5,600,000","-5,900,000","-5,700,000","-6,000,000","-6,000,000","-6,000,000","-5,900,000","-5,100,000","-4,600,000","-4,600,000","-4,700,000","-4,800,000","-5,100,000","-5,100,000","-5,400,000","-5,200,000","-4,500,000","-4,100,000","-4,000,000","-3,800,000","-3,700,000","-4,300,000","-4,400,000","-3,400,000","-1,400,000","-700,000","-1,000,000","-1,100,000","-1,100,000","-1,500,000","-1,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"638,000,000","196,000,000","191,700,000","113,300,000","137,000,000","144,500,000","123,800,000","111,600,000","105,100,000","134,200,000","128,900,000","133,300,000","98,300,000","112,800,000","106,200,000","111,100,000","89,300,000","95,900,000","89,900,000","85,500,000","48,800,000","63,500,000","69,800,000","71,500,000","59,700,000","74,300,000","67,400,000","72,300,000","68,100,000","79,500,000","72,500,000","82,500,000","66,600,000","68,800,000","52,300,000","64,900,000","58,400,000","68,300,000","61,500,000","59,700,000","55,100,000","56,900,000","53,000,000","63,500,000","54,400,000","45,100,000","46,600,000","45,700,000","40,600,000","43,500,000","43,700,000","43,100,000","35,700,000","33,500,000","51,900,000","55,800,000","47,700,000","41,800,000","40,000,000","43,600,000","36,900,000","33,200,000","32,100,000","33,500,000","26,300,000","27,000,000","23,400,000","26,700,000","273,900,000","22,100,000","18,500,000","16,700,000","210,000,000","13,300,000","11,900,000","12,600,000","9,200,000","12,400,000","11,500,000","9,700,000","8,600,000","11,000,000","9,700,000","-9,200,000","8,100,000","15,300,000","16,900,000","6,100,000","18,700,000","-521,200,000","201,000,000","201,000,000","201,000,000","-507,300,000","189,500,000","200,500,000","198,800,000"
EBITDA,"1,009,800,000"
ReconciledCostOfRevenue,"2,550,400,000","747,000,000","717,600,000","612,800,000","492,500,000","493,600,000","458,500,000","460,600,000","492,600,000","505,100,000","487,700,000","463,600,000","463,900,000","459,600,000","446,200,000","447,000,000","438,200,000","433,900,000","405,800,000","418,300,000","354,200,000","349,200,000","317,000,000","331,800,000","324,800,000","378,400,000","345,800,000","357,700,000","345,900,000","391,600,000","375,400,000","368,400,000","351,700,000","382,000,000","369,000,000","383,600,000","365,400,000","359,000,000","349,000,000","343,000,000","328,100,000","315,700,000","331,300,000","330,600,000","313,100,000","218,400,000","307,600,000","309,900,000","312,200,000","324,200,000","304,200,000","313,800,000","313,800,000","344,800,000","348,500,000","330,900,000","315,300,000","304,600,000","284,900,000","274,900,000","272,000,000","276,700,000","261,300,000","245,400,000","236,800,000","222,600,000","212,500,000","220,000,000","214,500,000","205,100,000","194,600,000","178,300,000","168,300,000","168,500,000","163,100,000","153,500,000","151,600,000","160,600,000","143,600,000","141,700,000","139,000,000","138,100,000","141,100,000","147,900,000","146,300,000","143,600,000","141,600,000","143,400,000","143,600,000",,,,,,,,
ReconciledDepreciation,"371,800,000","134,000,000","125,400,000","83,100,000","29,300,000","28,700,000","29,200,000","29,000,000","29,300,000","29,300,000","27,900,000","27,100,000","27,600,000","29,300,000","27,300,000","27,600,000","28,800,000","25,600,000","31,400,000","33,200,000","22,800,000","22,300,000","22,400,000","21,500,000","21,100,000","22,400,000","21,900,000","22,800,000","23,200,000","24,200,000","23,500,000","23,400,000","23,200,000","24,000,000","23,100,000","22,100,000","21,900,000","21,900,000","21,500,000","18,100,000","16,800,000","16,800,000","16,700,000","16,800,000","13,900,000","10,200,000","12,600,000","11,200,000","11,200,000","11,500,000","10,200,000","11,300,000","11,700,000","10,900,000","12,600,000","13,100,000","10,700,000","9,100,000","9,000,000","8,900,000","7,700,000","11,100,000","7,800,000","6,500,000","6,600,000","7,100,000","6,300,000","6,100,000","6,100,000","6,400,000","7,000,000","5,800,000","5,600,000","6,000,000","5,900,000","5,600,000","5,600,000","5,500,000","5,500,000","5,700,000","5,100,000","5,300,000","4,700,000","5,100,000","5,400,000","3,200,000","3,800,000","3,500,000","4,300,000",,,,,,,,
