name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,12/31/2004
	SpecialIncomeCharges,"-40,518,000","-14,136,000","-16,656,000","-2,613,000","-7,113,000","-51,998,000","-74,201,000","-38,937,000","-436,463,000","0","0","0","0","-48,229,000","-18,601,000","-78,840,000","-37,480,000","-35,952,000","-84,998,000",,,,,,,,,,,,,,,,,,,,"-31,000","510,000","82,000","1,000","-1,193,000","-362,000","-510,000","-142,000","-184,000","-167,000","-685,000","-258,000","96,000","-362,000","13,000","-4,163,000","-1,736,000","-786,000","510,000","-90,000","674,000","1,500,000","694,000",,,,,,,
		RestructuringAndMergernAcquisition,"33,947,000","13,029,000","12,537,000","2,566,000","5,815,000","51,998,000","74,201,000","38,937,000","3,182,000","0","0","0","0","48,229,000","18,601,000","78,840,000","37,480,000","-6,779,000","58,529,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"4,750,000","1,686,000","3,064,000","0","0",,,,"433,281,000",,,,,,,,,,"26,469,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"1,821,000","-579,000","1,055,000","47,000","1,298,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-51,113,000","24,037,000","-29,476,000","-38,494,000","-7,180,000","178,646,000","-7,184,000","-4,843,000","1,534,000","-3,464,000","-429,000","-1,128,000","-667,000","272,000","-4,294,000","-8,069,000","2,888,000","-2,231,000","-1,069,000","-2,884,000","2,570,000","-1,730,000","-772,000","-2,955,000","2,702,000","-2,196,000","-3,239,000","41,000","-1,840,000","-2,428,000","-3,355,000","247,000","-874,000","-502,000","-113,000","-797,000","240,000","-634,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"390,877,000","102,573,000","133,327,000","69,404,000","85,573,000","219,484,000","36,431,000","-185,853,000","-562,606,000","65,250,000","132,836,000","-18,598,000","30,354,000","-17,478,000","105,521,000","-121,496,000","-34,337,000","-48,620,000","51,536,000","-15,510,000","2,286,000","154,212,000","190,349,000","10,669,000","33,053,000","171,330,000","164,058,000","27,680,000","23,617,000","142,144,000","141,216,000","33,714,000","25,136,000","97,159,000","120,025,000","30,802,000","13,007,000","79,753,000","89,646,000","10,910,000","23,130,000","53,890,000","72,220,000","10,699,000","20,053,000","34,458,000","55,963,000","6,145,000","12,353,000","26,240,000","46,693,000","2,436,000","7,049,000","17,860,000","44,743,000","2,488,000","4,809,000","28,164,000","34,483,000","9,665,000","16,731,000","18,497,000","22,160,000","3,752,000","14,678,000","12,073,000","6,967,000","9,134,000"
TaxProvision,"32,072,000","-6,798,000","18,962,000","10,027,000","9,881,000","34,691,000","-3,714,000","-3,137,000","21,547,000","38,289,000","29,344,000","-5,740,000","8,131,000","-21,243,000","30,874,000","-26,090,000","-4,093,000","39,300,000","-2,706,000","-3,202,000","4,558,000","50,981,000","62,124,000","4,325,000","13,873,000","65,728,000","63,581,000","12,914,000","11,889,000","54,435,000","52,111,000","16,024,000","11,598,000","32,993,000","47,241,000","13,236,000","5,193,000","29,621,000","32,329,000","4,242,000","8,469,000","21,338,000","26,233,000","4,458,000","7,914,000","11,510,000","21,106,000","2,643,000","5,183,000","11,038,000","20,511,000","997,000","3,087,000","9,539,000","19,080,000","1,113,000","1,939,000","11,289,000","14,453,000","3,953,000","6,790,000","6,646,000","6,190,000","1,328,000","5,944,000","5,079,000","2,725,000","2,974,000"
EarningsFromEquityInterestNetOfTax,"1,255,000","286,000","-921,000","-170,000","2,060,000","-340,000","-1,199,000","-179,000","-5,528,000","-42,265,000","-1,177,000","-4,491,000","254,000","453,000","619,000","-138,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"360,060,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,266,000","-95,544,000","-30,244,000","-87,920,000","54,242,000","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,102,000","72,711,000","17,548,000","7,806,000","49,746,000","57,317,000","6,668,000","14,661,000","32,552,000","45,987,000","6,241,000","12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","3,483,000","3,643,000","5,662,000"
	NetIncome,"360,060,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,266,000","-95,544,000","-30,244,000","-87,920,000","54,242,000","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,166,000","72,784,000","17,566,000","7,814,000","50,132,000","57,317,000","6,668,000","14,661,000","32,552,000","45,987,000","6,241,000","12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","6,994,000","4,242,000","6,160,000"
