name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
	OtherOperatingExpenses,"5,200,000","2,600,000","1,300,000","25,100,000","1,300,000","2,900,000","600,000","1,100,000","1,500,000","800,000","-100,000","100,000","1,200,000","-1,000,000","-300,000","900,000","1,700,000","-173,400,000","17,400,000","800,000","5,587,000","-4,513,000","12,400,000","2,200,000","2,267,000"
OperatingIncome,"622,400,000","162,800,000","180,100,000","165,200,000","151,000,000","166,100,000","121,600,000","-3,400,000","32,400,000","79,400,000","95,900,000","92,700,000","80,900,000","138,600,000","122,900,000","101,900,000","89,700,000","93,900,000","95,900,000","-97,200,000","38,974,000","89,327,000","20,200,000","32,400,000","23,853,000"
NetNonOperatingInterestIncomeExpense,"-87,700,000","-19,400,000","-22,500,000","-22,700,000","-23,100,000","-24,400,000","-28,800,000","-30,800,000","-27,100,000","-20,900,000","-23,200,000","-22,400,000","-22,400,000","-23,100,000","-24,400,000","-26,100,000","-26,000,000","-25,300,000","-30,100,000","-39,500,000","-45,863,000","-41,638,000","-43,000,000","-42,700,000","-43,041,000"
	InterestExpenseNonOperating,"87,700,000","19,400,000","22,500,000","22,700,000","23,100,000","24,400,000","28,800,000","30,800,000","27,100,000","20,900,000","23,200,000","22,400,000","22,400,000","23,100,000","24,400,000","26,100,000","26,000,000","25,300,000","30,100,000","39,500,000","45,863,000","41,638,000","43,000,000","42,700,000","43,041,000"
OtherIncomeExpense,"-21,700,000","-18,500,000","-21,700,000","9,000,000","1,200,000","-32,800,000","-44,700,000","-46,500,000","-101,000,000","-30,200,000","-22,400,000","-17,100,000","600,000","-4,100,000","-3,700,000","1,700,000","2,100,000","-15,000,000","-33,400,000","-53,500,000","-1,697,000","-50,539,000","700,000","-4,700,000","-3,933,000"
	GainOnSaleOfSecurity,"12,000,000","-1,600,000","-1,100,000","-3,400,000","18,100,000","-6,900,000","-6,200,000","-5,200,000","-2,600,000","-5,000,000","600,000","-600,000","-3,100,000","1,300,000","800,000","2,400,000","-2,600,000",,,"-4,000,000","-624,000",,,"6,000,000","-2,917,000"
	SpecialIncomeCharges,"-77,700,000","-20,800,000","-24,100,000","-22,100,000","-17,700,000","-28,800,000","-41,100,000","-43,600,000","-98,600,000","-26,800,000","-23,600,000","-17,700,000","2,400,000","-5,900,000","-6,900,000","-3,100,000","2,700,000","-6,900,000","-34,100,000","-50,800,000","-1,699,000","-56,650,000","0","-12,400,000","-1,379,000"
		RestructuringAndMergernAcquisition,"68,700,000","20,800,000","15,100,000","22,100,000","17,700,000","28,800,000","21,200,000","43,600,000","96,600,000","25,900,000","23,400,000","17,900,000","3,500,000","10,800,000","5,900,000","2,900,000","3,000,000",,,"400,000","1,699,000",,,"10,900,000","1,379,000"
		ImpairmentOfCapitalAssets,"0","0","0",,"0","0","19,900,000",,,,,,,"0",,,,"1,600,000","0","0",,"23,752,000","0","1,500,000",
		OtherSpecialCharges,"9,000,000","0","9,000,000",,,"0",,,"2,000,000","0",,"200,000","-6,000,000","-4,900,000","900,000","200,000","-4,500,000","0","34,100,000","50,400,000",,,,,
		GainOnSaleOfPPE,,,,,,,,,,"-900,000","-200,000","400,000","-100,000","0","-100,000","0","1,200,000",,,,,,,,
	OtherNonOperatingIncomeExpenses,"44,000,000","3,900,000","3,500,000","34,500,000","800,000","2,900,000","2,600,000","2,300,000","200,000","1,600,000","600,000","1,200,000","1,300,000","500,000","2,400,000","2,400,000","2,000,000","1,200,000","700,000","1,300,000","626,000","244,000","700,000","1,700,000","363,000"
