name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315,222,000","306,775,000","293,224,000",,"119,541,000","104,681,000","66,543,000"
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315,222,000","306,775,000","293,224,000",,"119,541,000","104,681,000","66,543,000"
	OtherOperatingExpenses,,"45,000,000",,,,"35,000,000","14,000,000",,,"32,000,000",,,"-5,000,000","119,000,000",,,,"-28,000,000",,"135,000,000",,"-157,000,000",,,,"20,000,000",,,,"20,000,000","16,000,000",,"7,000,000","7,000,000",,,,,"3,000,000","-4,000,000","3,000,000",,,"1,000,000","5,000,000",,,"7,000,000","12,000,000","10,000,000","2,000,000","-50,000,000","-38,000,000","15,000,000","25,000,000",,"148,000,000","64,000,000",,,"7,000,000","64,000,000","7,000,000","99,000,000","4,000,000","22,000,000","6,000,000","43,000,000","17,000,000","2,436,000,000","89,000,000","-82,000,000","-86,000,000","8,000,000","8,000,000","2,000,000",,,,,,,,,,,,,,,,
OperatingIncome,"10,855,000,000","3,001,000,000","2,918,000,000","2,566,000,000","2,370,000,000","2,497,000,000","2,186,000,000","1,971,000,000","1,809,000,000","1,991,000,000","1,600,000,000","1,603,000,000","1,420,000,000","1,558,000,000","1,398,000,000","1,389,000,000","1,111,000,000","1,176,000,000","1,054,000,000","1,187,000,000","1,035,000,000","1,648,000,000","1,131,000,000","1,241,000,000","320,000,000","343,000,000","292,000,000","301,000,000","267,000,000","297,000,000","234,000,000","252,000,000","250,000,000","253,000,000","228,000,000","241,000,000","234,000,000","221,000,000","211,000,000","269,000,000","230,000,000","258,000,000","238,000,000","271,000,000","269,000,000","304,000,000","240,000,000","254,000,000","251,000,000","263,000,000","301,000,000","334,000,000","320,000,000","208,000,000","230,000,000","205,000,000","85,000,000","107,000,000","200,000,000","156,000,000","163,000,000","66,000,000","146,000,000","7,000,000","119,000,000","63,000,000","110,000,000","51,000,000","108,000,000","-2,344,000,000","15,000,000","175,000,000","210,000,000","117,000,000","112,000,000","86,000,000","-4,236,273,000","-17,527,000","8,208,000","-38,408,000","-333,290,000","-250,813,000","-297,748,000","-314,004,000","-310,347,000","-223,282,000","-226,040,000","-211,765,000","-43,453,000","-31,060,000","-31,630,000","-28,864,000"
NetNonOperatingInterestIncomeExpense,"-4,037,000,000","-1,034,000,000","-1,016,000,000","-1,004,000,000","-983,000,000","-965,000,000","-946,000,000","-957,000,000","-980,000,000","-964,000,000","-963,000,000","-945,000,000","-925,000,000","-910,000,000","-901,000,000","-878,000,000","-851,000,000","-840,000,000","-788,000,000","-749,000,000","-713,000,000","-728,000,000","-724,000,000","-593,000,000","-454,000,000","-435,000,000","-353,000,000","-229,000,000","-289,000,000","-273,000,000","-217,000,000","-210,000,000","-211,000,000","-211,000,000","-214,000,000","-211,000,000","-210,000,000","-216,000,000","-229,000,000","-225,000,000","-237,000,000","-245,000,000","-244,000,000","-241,000,000","-233,000,000","-232,000,000","-222,000,000","-219,000,000","-204,000,000","-206,000,000","-216,000,000","-463,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-282,676,000","-250,453,000","-225,479,000","-172,908,000","-122,840,000","-103,822,000","-43,762,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"624,000","675,000","5,435,000","16,141,000","8,241,000","8,421,000","1,664,000"
	InterestExpenseNonOperating,"4,037,000,000","1,034,000,000","1,016,000,000","1,004,000,000","983,000,000","965,000,000","946,000,000","957,000,000","980,000,000","964,000,000","963,000,000","945,000,000","925,000,000","910,000,000","901,000,000","878,000,000","851,000,000","840,000,000","788,000,000","749,000,000","713,000,000","728,000,000","724,000,000","593,000,000","454,000,000","435,000,000","353,000,000","229,000,000","289,000,000","273,000,000","217,000,000","210,000,000","211,000,000","211,000,000","214,000,000","211,000,000","210,000,000",,,"225,000,000","237,000,000","245,000,000","244,000,000","241,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"283,300,000","251,128,000","230,914,000","189,049,000","131,081,000","112,243,000","45,426,000"
	TotalOtherFinanceCost,,,,,,,,,"980,000,000","964,000,000","963,000,000","945,000,000","925,000,000","910,000,000","901,000,000","878,000,000","851,000,000","840,000,000","788,000,000","749,000,000","713,000,000","728,000,000","724,000,000","593,000,000","454,000,000","435,000,000","353,000,000","229,000,000","289,000,000","273,000,000","217,000,000","210,000,000","211,000,000","211,000,000","214,000,000","211,000,000","210,000,000","216,000,000","229,000,000",,,,,"241,000,000","233,000,000",,"222,000,000","219,000,000","204,000,000","206,000,000","216,000,000","463,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-430,000,000","91,000,000","-148,000,000","-123,000,000","-250,000,000","123,000,000","-131,000,000","28,000,000","-333,000,000","-95,000,000","-44,000,000","-188,000,000","-59,000,000","-286,000,000","196,000,000","-131,000,000","-9,000,000","95,000,000","-148,000,000","-195,000,000","-86,000,000","-141,000,000","-141,000,000","-713,000,000","-26,000,000","-18,000,000","-27,000,000","-159,000,000","-24,000,000","-24,000,000","-11,000,000","-22,000,000","-12,000,000","-7,000,000","-27,000,000","-68,000,000","-57,000,000","4,000,000",,"-59,000,000","-16,000,000","-13,000,000","-7,000,000","-56,000,000","-67,000,000","-73,000,000","-4,000,000","-33,000,000","-4,000,000","-3,052,000,000","-184,000,000","-144,000,000","-1,555,000,000","-10,000,000","4,000,000","-38,000,000","-194,000,000","-84,000,000","-29,000,000","-2,000,000","-10,000,000","69,000,000","-28,000,000","-88,000,000","29,000,000","485,000,000","14,000,000","-8,000,000","-3,000,000","-2,444,000,000","-60,000,000","65,000,000","109,000,000","285,000,000","-20,000,000","1,000,000","-4,678,024,000","-80,745,000","-66,241,000","30,010,000","6,923,000","-88,917,000","-23,991,000","-59,917,000","15,796,000","-17,506,000","-17,643,000","-12,376,000","-33,187,000","-10,253,000","-5,478,000","-10,549,000"
	GainOnSaleOfSecurity,"-86,000,000","21,000,000","-64,000,000","-91,000,000","48,000,000","170,000,000","69,000,000","64,000,000","-318,000,000","62,000,000","-34,000,000","-119,000,000","37,000,000","-110,000,000","12,000,000","-75,000,000","63,000,000","84,000,000","17,000,000","-70,000,000","38,000,000","73,000,000","71,000,000","-50,000,000","-5,000,000","6,000,000","-5,000,000","1,000,000","-6,000,000","-4,000,000","5,000,000","-6,000,000","-2,000,000","2,000,000","-8,000,000","20,000,000","-3,000,000",,,"-59,000,000","-15,000,000","-19,000,000","-4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
