name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014
NormalizedIncome,"2,201,423,225.806","583,800,000","515,728,794.643","606,452,000","459,477,000","463,170,000","398,630,000","282,020,000","174,605,000","430,791,000","611,452,282.158","508,090,000","543,712,000","279,930,000","-740,610,000","602,660,000","977,020,000","1,667,420,000","604,800,000","496,400,000","-310,600,000","647,034,000","594,800,000","735,168,000","589,010,000","624,399,000","1,958,600,000","801,017,000","631,316,000","684,880,000","871,639,097.744","713,005,917.16"
InterestExpense,"172,000,000","5,000,000","106,000,000","50,000,000","11,000,000","44,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-172,000,000","-5,000,000","-106,000,000","-50,000,000","-11,000,000","-44,000,000","-57,000,000","-71,000,000","-68,000,000","-19,000,000","-38,000,000","-70,000,000","-18,000,000","-51,000,000","-111,000,000","-64,000,000","-78,000,000","-21,000,000","-67,000,000","-97,000,000","-85,000,000","-78,000,000","-100,000,000","-18,000,000","-129,000,000","-65,000,000","-9,000,000","4,000,000","-30,000,000","-18,000,000","-28,000,000","-16,000,000"
EBIT,"4,047,000,000","498,000,000","2,183,000,000","579,000,000","501,000,000","535,000,000","461,000,000","356,000,000","236,000,000","438,000,000","946,000,000","523,000,000","569,000,000","816,000,000","715,000,000","673,000,000","146,000,000","-404,000,000","146,000,000","571,000,000","483,000,000","936,000,000","1,582,000,000","869,000,000","797,000,000","811,000,000","1,075,000,000","883,000,000","854,000,000","912,000,000","1,376,000,000","922,000,000"
EBITDA,"6,591,000,000"
ReconciledCostOfRevenue,"16,253,000,000","4,069,000,000","4,372,000,000","3,954,000,000","3,858,000,000","3,981,000,000","4,430,000,000","4,202,000,000","3,538,000,000","4,097,000,000","4,274,000,000","4,194,000,000","4,266,000,000","4,640,000,000","4,916,000,000","4,815,000,000","4,613,000,000","4,934,000,000","4,229,000,000","4,891,000,000","4,242,000,000","7,369,000,000","7,943,000,000","7,894,000,000","8,309,000,000","8,341,000,000","8,695,000,000","8,543,000,000","8,196,000,000","8,639,000,000","8,942,000,000","8,989,000,000"
ReconciledDepreciation,"2,544,000,000","621,000,000","641,000,000","643,000,000","639,000,000","674,000,000","652,000,000","642,000,000","641,000,000","690,000,000","616,000,000","632,000,000","648,000,000","639,000,000","645,000,000","641,000,000","655,000,000","635,000,000","682,000,000","737,000,000","792,000,000","840,000,000","872,000,000","954,000,000","960,000,000","989,000,000","988,000,000","989,000,000","973,000,000","997,000,000","1,031,000,000","1,016,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"3,717,000,000","513,000,000","2,553,000,000","392,000,000","259,000,000","223,000,000","157,000,000","9,000,000","-821,000,000","333,000,000","480,000,000","-27,000,000","419,000,000","177,000,000","-772,000,000","452,000,000","850,000,000","1,482,000,000","420,000,000","248,000,000","-487,000,000","267,000,000","302,000,000","2,272,000,000","320,000,000","267,000,000","1,385,000,000","224,000,000","305,000,000","547,000,000","516,000,000","266,000,000"
TotalUnusualItemsExcludingGoodwill,"1,580,000,000","-118,000,000","2,145,000,000","-222,000,000","-223,000,000","-329,000,000","-331,000,000","-374,000,000","-1,105,000,000","-111,000,000","-198,000,000","-733,000,000","-131,000,000","-141,000,000","-43,000,000","-155,000,000","-174,000,000","-254,000,000","-308,000,000","-414,000,000","-294,000,000","-491,000,000","-488,000,000","1,628,000,000","-305,000,000","-427,000,000","-956,000,000","-639,000,000","-426,000,000","-180,000,000","-550,000,000","-568,000,000"
TotalUnusualItems,"1,580,000,000","-118,000,000","2,145,000,000","-222,000,000","-223,000,000","-329,000,000","-331,000,000","-374,000,000","-1,105,000,000","-111,000,000","-198,000,000","-733,000,000","-131,000,000","-141,000,000","-43,000,000","-155,000,000","-174,000,000","-254,000,000","-308,000,000","-414,000,000","-294,000,000","-491,000,000","-488,000,000","1,628,000,000","-305,000,000","-427,000,000","-956,000,000","-639,000,000","-426,000,000","-180,000,000","-550,000,000","-568,000,000"
NormalizedEBITDA,"5,011,000,000","1,237,000,000","679,000,000","1,444,000,000","1,363,000,000","1,538,000,000","1,444,000,000","1,372,000,000","1,982,000,000","1,239,000,000","1,760,000,000","1,888,000,000","1,348,000,000","1,596,000,000","1,403,000,000","1,469,000,000","975,000,000","485,000,000","1,136,000,000","1,722,000,000","1,569,000,000","2,267,000,000","2,942,000,000","195,000,000","2,062,000,000","2,227,000,000","3,019,000,000","2,511,000,000","2,253,000,000","2,089,000,000","2,957,000,000","2,506,000,000"
TaxRateForCalcs,"0.041","0.4","0.05","0.034","0.101","0.27","0.27","0.27","0.099","0.119","0.336","0.27","0.048","0.27","0.27","0.028","0.27","0.27","0.4","0.4","0.4","0.226","0.4","0.056","0.118","0.163","0.4","0.097","0.234","0.234","0.353","0.213"
TaxEffectOfUnusualItems,"64,423,225.806","-47,200,000","107,728,794.643","-7,548,000","-22,523,000","-88,830,000","-89,370,000","-100,980,000","-109,395,000","-13,209,000","-66,547,717.842","-197,910,000","-6,288,000","-38,070,000","-11,610,000","-4,340,000","-46,980,000","-68,580,000","-123,200,000","-165,600,000","-117,600,000","-110,966,000","-195,200,000","91,168,000","-35,990,000","-69,601,000","-382,400,000","-61,983,000","-99,684,000","-42,120,000","-194,360,902.256","-120,994,082.84"
