name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
EBIT,"1,385,000,000","329,000,000","306,000,000","373,000,000","377,000,000","314,000,000","282,000,000","312,300,000","281,900,000","283,000,000","154,900,000","216,100,000","185,900,000","232,400,000",
EBITDA,"2,004,000,000"
ReconciledCostOfRevenue,"10,866,000,000","2,862,000,000","2,770,000,000","2,709,000,000","2,525,000,000","2,452,000,000","2,443,000,000","2,423,200,000","2,489,000,000","2,425,800,000","2,594,000,000","2,068,000,000","1,890,100,000","1,832,400,000",
ReconciledDepreciation,"619,000,000","155,000,000","177,000,000","148,000,000","139,000,000","142,000,000","145,000,000","152,300,000","167,500,000","147,500,000","184,300,000","183,400,000",,,
NetIncomeFromContinuingOperationNetMinorityInterest,"949,000,000","225,000,000","202,000,000","255,000,000","267,000,000","219,000,000","198,000,000","179,100,000","181,500,000","185,600,000","73,700,000","79,900,000","112,600,000","138,600,000",
TotalUnusualItemsExcludingGoodwill,"-66,000,000","-10,000,000","-8,000,000","-72,000,000","24,000,000","-23,000,000","-23,000,000","-53,300,000","-20,100,000","-24,100,000","-17,600,000","-69,900,000","-8,500,000","-39,900,000",
TotalUnusualItems,"-66,000,000","-10,000,000","-8,000,000","-72,000,000","24,000,000","-23,000,000","-23,000,000","-53,300,000","-20,100,000","-24,100,000","-17,600,000","-69,900,000","-8,500,000","-39,900,000",
NormalizedEBITDA,"2,070,000,000","494,000,000","491,000,000","593,000,000","492,000,000","479,000,000","450,000,000","517,900,000","469,500,000","454,600,000","356,800,000","469,400,000","194,400,000","272,300,000",
TaxRateForCalcs,"0.219","0.21","0.237","0.222","0.208","0.199","0.252","0.243","0.238","0.195","0.229","0.18","0.208","0.172",
TaxEffectOfUnusualItems,"-14,434,146.341","-2,100,000","-1,896,000","-16,000,000","4,997,067.449","-4,566,787.004","-5,796,000","-12,940,235.562","-4,775,984.752","-4,711,356.74","-4,030,400","-12,582,000","-1,765,578.635","-6,882,362.729",
