name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
NetNonOperatingInterestIncomeExpense,"-365,000,000","-90,000,000","-87,000,000","-90,000,000","-98,000,000","-101,000,000","-104,000,000","-108,000,000","-110,000,000","-113,000,000","-121,000,000","-127,000,000","-123,000,000","-128,000,000","-117,000,000","-115,000,000","-102,000,000","-101,000,000","-89,000,000","-103,000,000","-103,000,000","-115,000,000","-129,000,000","-135,000,000","-136,000,000","-148,000,000","-139,000,000","-147,000,000","-175,000,000","-196,000,000","-188,000,000","-224,000,000","-720,000,000","-285,000,000","-218,000,000","-235,000,000","-279,000,000","669,000,000","-864,000,000","-429,000,000","-553,000,000","-333,000,000","-425,000,000","-441,000,000","-446,000,000","-294,000,000","-433,000,000","-448,000,000","-625,000,000","-345,000,000","-323,000,000","-312,000,000","-280,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,000,000","227,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"365,000,000","90,000,000","87,000,000","90,000,000","98,000,000","101,000,000","104,000,000","108,000,000","110,000,000","113,000,000","121,000,000","127,000,000","123,000,000","128,000,000","117,000,000","115,000,000","102,000,000","101,000,000","89,000,000","103,000,000","103,000,000","115,000,000","129,000,000","135,000,000","136,000,000","148,000,000","139,000,000","147,000,000","175,000,000","196,000,000","188,000,000","224,000,000","720,000,000","285,000,000","218,000,000","235,000,000","279,000,000","-669,000,000","864,000,000","429,000,000","553,000,000","333,000,000","425,000,000","441,000,000","446,000,000","294,000,000","433,000,000","448,000,000","625,000,000","345,000,000","323,000,000","312,000,000","280,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"447,000,000","89,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"864,000,000",,"-553,000,000",,"425,000,000","441,000,000","-446,000,000",,"-433,000,000","439,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-123,000,000","102,000,000","-20,000,000","-48,000,000","-157,000,000","-155,000,000","-70,000,000","-61,000,000","-62,000,000","2,000,000","-202,000,000","64,000,000","40,000,000","-74,000,000","-76,000,000","-229,000,000","-19,000,000","-137,000,000","74,000,000","-211,000,000","-182,000,000","-793,000,000","-206,000,000","-182,000,000","-262,000,000","-1,497,000,000","6,992,000,000","-385,000,000","-371,000,000","-182,000,000","227,000,000","-55,000,000","-42,000,000","-698,000,000","-43,000,000","-42,000,000","-22,000,000","-493,000,000","-57,000,000","-84,000,000","-98,000,000","-240,000,000","7,000,000",,,"-267,000,000","9,000,000","9,000,000","1,000,000","55,000,000",,"26,000,000",,"-685,000,000","-122,000,000","-177,000,000","-98,000,000","-109,000,000","-174,000,000","-99,000,000","-55,000,000","-318,000,000","123,000,000","-234,000,000","-205,000,000","-281,000,000","-26,000,000","-30,000,000","-34,000,000","-116,000,000","-53,000,000","-129,000,000","-308,000,000","21,000,000","17,000,000",,,,,,,,,,
	GainOnSaleOfSecurity,,,,,,"0",,,"-103,000,000","0","-111,000,000",,,"0",,"-5,000,000","14,000,000",,,,,"0",,,"-97,000,000","0","29,000,000","-144,000,000","517,000,000","215,000,000","420,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-341,000,000","73,000,000","-62,000,000","-134,000,000","-218,000,000","-233,000,000","-123,000,000","-115,000,000","-15,000,000","-59,000,000","-131,000,000","26,000,000","-20,000,000","-99,000,000","-125,000,000","-251,000,000","-54,000,000","-118,000,000","4,000,000","-201,000,000","-166,000,000","-760,000,000","-190,000,000","-166,000,000","-154,000,000","-1,486,000,000","6,967,000,000","-218,000,000","-873,000,000","-407,000,000","-188,000,000","-55,000,000","-42,000,000","-748,000,000","-43,000,000","-42,000,000","-22,000,000","-416,000,000","-57,000,000","-84,000,000","-98,000,000","-240,000,000","7,000,000",,,"-267,000,000","9,000,000","9,000,000","1,000,000","55,000,000","0","26,000,000","0","-685,000,000","-122,000,000","-177,000,000","-98,000,000","-109,000,000","-174,000,000","-99,000,000","-55,000,000","-318,000,000","123,000,000","-234,000,000","-205,000,000","-281,000,000","-26,000,000","-30,000,000","-34,000,000","-116,000,000","-53,000,000","-129,000,000","-308,000,000","21,000,000","17,000,000",,,,,,,,,,
		RestructuringAndMergernAcquisition,"-8,000,000","1,000,000","0","0","-9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000,000",,,"18,000,000",,,,,,"3,000,000","226,000,000",,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"212,000,000","-74,000,000","62,000,000","134,000,000","90,000,000","48,000,000","123,000,000","115,000,000","15,000,000","59,000,000","134,000,000","15,000,000","20,000,000","99,000,000","125,000,000","111,000,000","54,000,000","120,000,000","183,000,000","187,000,000","166,000,000","342,000,000","190,000,000","166,000,000","154,000,000","355,000,000","155,000,000","231,000,000","160,000,000","407,000,000","188,000,000","55,000,000","42,000,000","138,000,000","43,000,000","48,000,000","44,000,000",,,"84,000,000","98,000,000",,"-7,000,000",,,,"-9,000,000","0",,,"0","-26,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"137,000,000","0",,,"137,000,000",,,,,,,,,"0",,"140,000,000",,"0",,"11,000,000",,,,,,"40,000,000",,,"713,000,000","0",,,,,,,,,,,,,,,,,,"-9,000,000",,,,,,"686,000,000",,,"80,000,000",,,,,,"-126,000,000","8,000,000",,,,,,,,,,,,,,,,,,,,,
