name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
NetIncomeCommonStockholders,"1,681,498,000","1,057,629,000","124,094,000","127,369,000","372,406,000","44,177,000","-37,370,000","53,676,000","202,859,000","315,577,000","49,827,000","31,738,000","95,869,000","31,230,000","67,268,000","65,134,000","86,298,000","53,306,000","-4,140,000","57,837,000","66,145,000","77,682,000","187,330,000","27,951,000","39,125,000","-40,039,000","38,522,000","117,055,000","101,728,000","-52,292,000","109,314,000","41,510,000","34,186,000","42,977,000","138,872,000","47,077,000","42,657,000","44,815,000","45,615,000","42,021,000","39,211,000","35,990,000","31,908,000","31,990,000","30,980,000","24,865,000","9,639,000","9,091,000","14,744,000","14,286,000","12,406,000","10,271,000","10,295,000","14,436,000","8,083,000","3,728,000","2,850,000","254,000","-224,000","2,591,000","18,641,000","2,978,000","11,342,000","1,650,000","1,642,000","1,157,000","1,326,000","2,136,000","1,468,000","-5,359,000","3,359,000","-1,792,000","3,461,000","3,886,000","3,655,000"
	NetIncome,"1,709,259,000","1,067,810,000","134,275,000","121,254,000","385,920,000","57,691,000","-138,000","74,831,000","224,014,000","336,284,000","66,497,000","60,168,000","116,812,000","51,559,000","87,597,000","85,463,000","106,627,000","73,635,000","12,435,000","78,651,000","83,538,000","95,075,000","219,188,000","50,375,000","61,549,000","-15,983,000","56,978,000","135,511,000","120,183,000","-33,837,000","127,769,000","60,339,000","45,912,000","54,703,000","150,598,000","58,476,000","50,711,000","54,566,000","55,392,000","52,334,000","48,042,000","45,716,000","36,344,000","36,703,000","37,502,000","35,221,000","23,036,000","19,192,000","24,845,000","24,387,000","22,507,000","20,372,000","20,396,000","24,538,000","18,185,000","13,830,000","11,108,000","5,613,000","5,135,000","7,758,000","22,086,000","6,423,000","14,787,000","5,095,000","5,087,000","4,602,000","4,425,000","4,335,000","2,739,000","-5,359,000","3,359,000","-1,792,000","3,461,000","3,886,000","3,655,000"
		NetIncomeIncludingNoncontrollingInterests,"1,747,412,000","1,090,397,000","136,541,000","125,798,000","394,676,000","59,508,000","-1,454,000","75,978,000","228,698,000","349,326,000","67,574,000","61,324,000","120,997,000","52,597,000","90,264,000","88,159,000","110,095,000","79,658,000","12,475,000","79,571,000","84,563,000","96,140,000","222,435,000","50,944,000","62,333,000","-16,573,000","57,842,000","137,997,000","122,325,000","-34,795,000","130,161,000","61,332,000","46,717,000","55,667,000","153,480,000","59,621,000","51,681,000","55,895,000","56,921,000","53,968,000","49,263,000","47,197,000","37,689,000","38,228,000","39,012,000","36,298,000","23,626,000","19,902,000","25,586,000","24,897,000","23,945,000","21,203,000","21,189,000","24,538,000","18,185,000","13,830,000","11,402,000","5,641,000","5,110,000","8,063,000","22,587,000","171,000","23,251,000","6,508,000","6,918,000","5,939,000","6,049,000","7,474,000","580,000","4,827,000","3,387,000","1,167,000","3,461,000","4,161,000","3,708,000"
			NetIncomeContinuousOperations,"1,747,412,000","1,090,397,000","136,541,000","125,798,000","394,676,000","59,508,000","-1,454,000","75,978,000","228,698,000","349,326,000","67,574,000","61,324,000","120,997,000","52,597,000","90,264,000","88,159,000","110,095,000","79,658,000","12,475,000","79,571,000","84,563,000","96,140,000","222,435,000","50,944,000","62,333,000","-16,573,000","57,842,000","137,997,000","122,325,000","-34,795,000","130,161,000","61,332,000","46,717,000","55,667,000","153,480,000","59,621,000","51,681,000","55,895,000","56,921,000","53,968,000","49,263,000","47,197,000","37,689,000","38,228,000","39,012,000","36,298,000","23,626,000","19,902,000","25,586,000","24,897,000","23,945,000","21,203,000","21,189,000","24,538,000","18,185,000","13,830,000","11,108,000","5,613,000","5,151,000","7,720,000","5,928,000","6,409,000","4,354,000","5,185,000","1,642,000","1,157,000","1,326,000","2,136,000","1,468,000","-5,359,000","3,359,000","-1,792,000","3,461,000","4,161,000","3,708,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-16,000","38,000","16,158,000","14,000","10,433,000","-90,000",,,,,,,,,,,
		MinorityInterests,"-38,153,000","-22,587,000","-2,266,000","-4,544,000","-8,756,000","-1,817,000","1,316,000","-1,147,000","-4,684,000","-13,042,000","-1,077,000","-1,156,000","-4,185,000","-1,038,000","-2,667,000","-2,696,000","-3,468,000","-6,023,000","-40,000","-920,000","-1,025,000","-1,065,000","-3,247,000","-569,000","-784,000","590,000","-864,000","-2,486,000","-2,142,000","958,000","-2,392,000","-993,000","-805,000","-964,000","-2,882,000","-1,145,000","-970,000","-1,329,000","-1,529,000","-1,634,000","-1,221,000","-1,481,000","-1,345,000","-1,525,000","-1,510,000","-1,077,000","-590,000","-710,000","-741,000","-510,000","-1,438,000","-831,000","-793,000",,"-884,000",,"-294,000","-28,000","25,000","-305,000","-501,000","6,252,000","-8,464,000","-1,413,000","-1,831,000","-1,337,000","-1,624,000","-3,139,000","2,159,000","-10,186,000","-28,000","-2,959,000","0","-275,000","-53,000"
	PreferredStockDividends,"45,761,000","10,181,000","10,181,000","11,885,000","13,514,000","13,514,000","20,712,000","21,155,000","21,155,000","20,707,000","16,670,000","16,670,000","20,943,000","20,329,000","20,329,000","20,329,000","20,329,000","20,329,000","16,575,000","14,505,000","17,393,000","17,393,000","21,530,000","22,424,000","22,424,000","24,056,000","18,456,000","18,456,000","18,455,000","18,455,000","18,455,000","18,829,000","11,726,000","11,726,000","11,726,000","11,399,000","8,054,000","9,751,000","9,777,000","10,313,000","8,831,000",,,"4,713,000","6,522,000",,"9,194,000","10,101,000","10,101,000","10,101,000","10,101,000","10,101,000","10,101,000","10,102,000","10,102,000","10,102,000","8,258,000","5,359,000","5,359,000","5,167,000","3,445,000","3,445,000","3,445,000","3,445,000","3,445,000","3,445,000","3,099,000","2,199,000","1,271,000",,,,,,
	OtherunderPreferredStockDividend,"-18,000,000","0","0","-18,000,000","0","0","16,520,000","0","0","0","0","11,760,000",,"0","0",,"0","0","0","6,309,000",,"0","10,328,000",,,,,,,,,,,,,,,,,,,"9,726,000","4,436,000",,,"10,356,000","13,397,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,681,498,000","1,057,629,000","124,094,000","127,369,000","372,406,000","44,177,000","-37,370,000","53,676,000","202,859,000","315,577,000","49,827,000","31,738,000","95,869,000","31,230,000","67,268,000","65,134,000","86,298,000","53,306,000","-4,140,000","57,837,000","66,145,000","77,682,000","187,330,000","27,951,000","39,125,000","-40,039,000","38,522,000","117,055,000","101,728,000","-52,292,000","109,314,000","41,510,000","34,186,000","42,977,000","138,872,000","47,077,000","42,657,000","44,815,000","45,615,000","42,021,000","39,211,000","35,990,000","31,908,000","31,990,000","30,980,000","24,865,000","9,639,000","9,091,000","14,744,000","14,286,000","12,406,000","10,271,000","10,295,000","14,436,000","8,083,000","3,728,000","2,850,000","254,000","-224,000","2,591,000","18,641,000","2,978,000","11,342,000","1,650,000","1,642,000","1,157,000","1,326,000","2,136,000","1,468,000","-5,359,000","3,359,000","-1,792,000","3,461,000","3,886,000","3,655,000"
BasicEPS,,"3.73","0.44","0.45","1.32","0.16","-0.14","0.2","0.91","1.51","0.24","0.15","0.46","0.15","0.33","0.32","0.42","0.26","-0.02","0.357","0.42","0.49","1.27","0.19","0.27","-0.28","0.28","0.86","0.75","-0.39","0.81","0.31","0.27","0.33","1.08","0.37","0.34","0.36","0.37","0.38","0.37",,"0.32","0.33","0.34",,"0.11","0.11","0.19",,"0.16","0.13","0.14",,"0.11","0.06","0.04",,"0","0.04","0.33",,"0.31","0.05","0.06",,"0.05","0.1","0.07",,"0.157","-0.09","0.173",,"0.183"
DilutedEPS,,"3.71","0.44","0.45","1.32","0.16","-0.14","0.2","0.9","1.5","0.24","0.15","0.46","0.15","0.33","0.32","0.42","0.26","-0.02","0.357","0.41","0.49","1.25","0.19","0.27","-0.28","0.28","0.86","0.75","-0.39","0.8","0.31","0.26","0.33","1.06","0.37","0.34","0.36","0.37","0.38","0.36",,"0.31","0.33","0.33",,"0.11","0.11","0.18",,"0.16","0.13","0.14",,"0.11","0.05","0.04",,"0","0.04","0.32",,"0.3","0.05","0.06",,"0.05","0.1","0.07",,"0.157","-0.09","0.173",,"0.183"
BasicAverageShares,,"283,869,662","283,105,966","281,791,855","281,094,798","280,117,213","270,214,413","267,569,823","222,163,324","208,776,355","208,421,470","208,284,407","207,809,383","206,345,138","206,118,472","205,956,005","205,714,173","205,448,689","170,194,254","162,183,489","159,297,027","158,956,606","147,397,853","146,824,268","146,565,564","145,561,559","135,832,503","135,810,060","135,704,525","135,544,597","135,492,618","133,802,622","128,535,995","128,443,395","128,427,444","128,419,745","126,445,285","123,824,957","122,026,421","109,761,017","107,099,856",,"100,588,235","96,295,585","91,428,355",,"87,908,953","80,542,329","77,770,691",,"76,301,577","76,121,380","74,703,755",,"70,916,019","65,889,122","65,431,586",,"60,717,153","60,697,740","56,511,200",,"36,114,253","33,372,240","27,503,248",,"25,704,721","21,421,300","21,421,300",,"20,000,000","20,000,000","20,000,000",,"20,000,000"
DilutedAverageShares,,"284,868,184","283,817,950","282,433,857","281,928,182","281,122,368","270,214,413","270,744,408","224,474,295","210,286,278","209,801,771","209,435,572","208,526,249","207,113,100","206,766,256","206,563,079","206,507,476","206,185,084","170,194,254","162,183,489","160,421,655","159,699,411","149,384,871","147,808,268","147,433,194","145,561,559","138,259,936","136,499,004","136,128,800","135,544,597","135,946,533","133,977,885","129,136,961","128,640,121","135,301,765","128,623,076","126,738,339","124,145,590","122,353,511","110,166,082","107,584,856",,"101,912,342","97,511,811","92,600,215",,"90,136,911","83,021,817","80,612,660",,"77,674,137","76,851,202","74,895,168",,"73,338,871","68,068,600","67,142,783",,"60,717,153","62,970,291","58,424,427",,"37,446,894","33,872,344","28,354,597",,"26,004,324","21,584,913","21,535,485",,"20,000,000","20,000,000","20,000,000",,"20,000,000"
TotalOperatingIncomeAsReported,"694,009,000","131,497,000","184,365,000","185,628,000","192,519,000","160,263,000","144,403,000","152,811,000","100,049,000","138,933,000","164,767,000","148,972,000","141,543,000","122,847,000","139,065,000","144,062,000","143,813,000","117,198,000","66,157,000","130,657,000","137,283,000","151,122,000","115,750,000","112,298,000","118,116,000","41,410,000","104,130,000","107,053,000","149,318,000","-6,166,000","82,372,000","92,453,000","90,007,000","98,055,000","85,177,000","99,994,000","98,586,000","94,638,000","97,075,000","88,449,000","85,916,000","81,299,000","71,626,000","76,720,000","74,665,000","72,560,000","60,401,000","54,150,000","55,195,000","50,084,000","45,656,000","42,846,000","39,203,000","40,462,000","33,532,000","28,129,000","25,221,000","20,958,000","21,425,000","22,541,000","21,965,000","21,658,000","19,192,000","18,591,000","18,131,000","16,927,000","16,773,000","16,763,000","13,016,000","-6,912,000","11,313,000",,"7,320,000","7,214,000","6,395,000"
RentExpenseSupplemental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalExpenses,"3,668,156,000","948,952,000","934,967,000","900,485,000","883,752,000","883,056,000","858,830,000","824,566,000","666,487,000","631,424,000","637,584,000","647,615,000","665,127,000","629,503,000","620,233,000","605,251,000","596,377,000","598,566,000","471,967,000","421,097,000","409,963,000","416,704,000","424,528,000","399,021,000","384,183,000","455,934,000","322,411,000","309,724,000","300,232,000","308,080,000","318,635,000","307,472,000","303,905,000","281,768,000","294,036,000","262,017,000","258,021,000","243,978,000","245,404,000","214,918,000","196,555,000","189,313,000","201,850,000","191,161,000","175,305,000","166,112,000","177,026,000","143,314,000","136,582,000","119,596,000","117,167,000","112,161,000","109,646,000","106,487,000","107,593,000","95,509,000","89,326,000","84,945,000","83,369,000","73,042,000","67,002,000","62,850,000","53,958,000","45,692,000","42,795,000","46,145,000","39,783,000","32,900,000","26,627,000","43,117,000","18,033,000","-22,228,000","11,450,000","11,067,000","7,575,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,709,259,000","1,067,810,000","134,275,000","121,254,000","385,920,000","57,691,000","-138,000","74,831,000","224,014,000","336,284,000","66,497,000","60,168,000","116,812,000","51,559,000","87,597,000","85,463,000","106,627,000","73,635,000","12,435,000","78,651,000","83,538,000","95,075,000","219,188,000","50,375,000","61,549,000","-15,983,000","56,978,000","135,511,000","120,183,000","-33,837,000","127,769,000","60,339,000","45,912,000","54,703,000","150,598,000","58,476,000","50,711,000","54,566,000","55,392,000","52,334,000","48,042,000","45,716,000","36,344,000","36,703,000","37,502,000","35,221,000","23,036,000","19,192,000","24,845,000","24,387,000","22,507,000","20,372,000","20,396,000","24,538,000","18,185,000","13,830,000","11,108,000","5,613,000","5,135,000","7,758,000","22,086,000","6,423,000","14,787,000","5,095,000","5,087,000","4,602,000","4,425,000","4,335,000","2,739,000","-5,359,000","3,359,000","-1,792,000","3,461,000","3,886,000","3,655,000"
NormalizedIncome,"464,702,516.564","55,520,265.837","147,396,567.381","126,025,298.004","90,122,248.743","121,321,844.565","46,605,360","88,397,383.18","-15,822,216.992","153,386,150","75,346,020.635","83,518,499.712","71,638,679.051","71,617,940","71,090,731.509","77,078,715.84","72,575,549.604","58,672,370.547","62,489,176.966","92,061,244.557","87,284,511.361","104,045,032.709","58,901,627.18","53,836,962.554","63,258,171.208","-14,316,800","66,348,838.815","63,865,656.85","60,242,763.508","28,401,150","46,381,582.98","46,439,388.241","41,162,847.245","55,457,650","36,752,100.837","54,883,653.14","52,433,895.45","54,566,000","55,392,000","52,960,010.802","48,709,234.535","45,783,600","36,349,927.497","37,063,800.915","38,872,959.229","36,119,612.813","24,161,657.808","20,692,733.118","24,846,945.555","24,448,100","22,905,458.687","20,372,000","20,675,253.873","24,640,050","18,764,150","14,038,000","11,108,000","5,613,000","5,151,000","7,720,000","5,928,000","6,622,600","4,377,400","5,440,000","5,121,200","4,602,000","4,425,000","4,335,000","2,739,000","-5,359,000","3,359,000","-1,792,000","3,461,000","3,886,000","3,655,000"
InterestIncome,,,,"10,124,000",,"-2,747,000","4,348,000","22,163,000","-3,542,000","10,734,000","16,842,000","16,980,000","21,444,000","1,106,000","-981,000","3,398,000","-42,000","324,000","2,813,000","367,000","151,000","-970,000","355,000","-3,325,000","-624,000","498,000","-358,000","-231,000","-2,290,000","641,000","378,000","-83,000","1,727,000","231,000","-127,000","-6,000","41,000","-116,000","83,000","1,216,000","709,000","398,000","2,218,000","380,000","264,000","224,000","327,000","34,000","31,000","17,000","90,000","403,000","243,000","591,000","453,000","407,000",,,,,,,,,,,,,,,,,,,
InterestExpense,"293,846,000","71,762,000","71,417,000","75,014,000","82,839,000","77,848,000","89,499,000","79,874,000","89,342,000","80,880,000","84,574,000","86,051,000","101,552,000","84,883,000","81,832,000","78,810,000","77,027,000","73,989,000","71,621,000","57,582,000","55,450,000","57,196,000","63,084,000","63,234,000","57,885,000","61,219,000","48,496,000","46,345,000","47,756,000","46,396,000","48,169,000","49,229,000","47,374,000","45,904,000","47,869,000","47,589,000","48,078,000","40,350,000","41,047,000","37,681,000","38,030,000","36,856,000","37,078,000","39,334,000","36,082,000","36,583,000","36,737,000","33,162,000","30,902,000","24,451,000","22,559,000","22,495,000","18,937,000","17,083,000","15,094,000","14,281,000",,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-293,846,000","-71,762,000","-71,417,000","-75,014,000","-82,839,000","-80,595,000","-85,151,000","-57,711,000","-89,342,000","-70,146,000","-67,732,000","-69,071,000","-80,108,000","-83,777,000","-81,832,000","-75,412,000","-77,027,000","-73,665,000","-68,808,000","-57,215,000","-55,299,000","-57,196,000","-62,729,000","-63,234,000","-57,885,000","-61,219,000","-48,496,000","-46,345,000","-47,756,000","-45,755,000","-47,791,000","-49,229,000","-45,647,000","-45,765,000","-47,869,000","-47,589,000","-48,037,000","-40,466,000","-40,964,000","-36,465,000","-37,321,000","-36,458,000","-34,860,000","-38,954,000","-35,818,000","-36,359,000","-36,410,000","-33,128,000","-30,871,000","-24,434,000","-22,469,000","-22,092,000","-18,694,000","-16,492,000","-14,641,000","-13,874,000",,,,,,,,,,,,,,,,,,,
EBIT,"2,114,057,000","1,166,120,000","221,667,000","248,394,000","485,062,000","140,678,000","104,098,000","167,342,000","325,222,000","428,475,000","156,974,000","152,009,000","226,815,000","131,637,000","174,528,000","169,090,000","190,496,000","154,192,000","86,590,000","139,792,000","142,236,000","155,640,000","289,239,000","116,430,000","122,327,000","45,053,000","108,092,000","186,957,000","171,756,000","12,802,000","179,508,000","111,582,000","95,929,000","101,098,000","201,701,000","107,420,000","100,962,000","95,952,000","98,678,000","92,855,000","88,014,000","82,889,000","75,228,000","77,795,000","75,522,000","73,139,000","60,706,000","53,598,000","57,204,000","49,325,000","46,837,000","43,990,000","40,562,000","42,913,000","34,163,000","28,527,000","25,221,000","20,958,000","21,425,000","22,541,000","21,965,000","21,664,000","19,231,000","19,016,000","18,188,000","16,802,000","16,773,000","16,763,000","13,016,000","-6,912,000","11,313,000","59,252,000","7,320,000","7,214,000","6,395,000"
EBITDA,"3,600,689,000"
ReconciledCostOfRevenue,"1,778,320,000","465,362,000","466,962,000","431,714,000","414,282,000","420,312,000","401,338,000","381,088,000","311,378,000","377,971,000","384,191,000","385,707,000","399,194,000","386,496,000","383,354,000","364,091,000","369,261,000","364,054,000","277,457,000","248,670,000","240,917,000","241,722,000","243,100,000","235,119,000","223,341,000","238,438,000","177,773,000","166,892,000","165,203,000","168,408,000","178,573,000","170,721,000","159,663,000","158,184,000","173,904,000","145,160,000","146,543,000","192,450,000","120,154,000","93,283,000","80,038,000","95,817,000","108,274,000","65,363,000","91,633,000","76,710,000","89,986,000","69,574,000","68,246,000","56,265,000","56,526,000","53,568,000","53,923,000","51,555,000","50,720,000","37,429,000",,,,,,,,,,,,,,,"9,010,000",,,"5,135,000","1,966,000"
ReconciledDepreciation,"1,486,632,000","378,883,000","369,035,000","368,981,000","369,733,000","359,915,000","365,842,000","349,165,000","291,457,000","196,794,000","203,316,000","201,810,000","207,552,000","200,096,000","191,445,000","192,303,000","186,431,000","185,767,000","145,104,000","132,318,000","131,807,000","131,224,000","132,845,000","127,472,000","127,175,000","118,235,000","119,692,000","115,071,000","111,696,000","115,559,000","115,620,000","113,883,000","111,142,000","105,885,000","101,710,000","96,711,000","93,286,000","41,229,000","106,951,000","83,889,000","83,995,000","78,339,000","73,383,000","95,021,000","55,745,000","74,569,000","68,328,000","57,440,000","55,249,000","50,296,000","48,486,000","47,065,000","44,165,000","45,026,000","44,273,000","47,059,000","26,233,000","24,042,000","21,961,000","18,448,000","16,829,000","17,130,000","14,371,000","11,452,000","9,842,000","10,250,000","9,169,000","7,530,000","6,801,000","5,983,000","4,930,000","4,101,000","3,240,000","3,149,000","3,844,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,709,259,000","1,067,810,000","134,275,000","121,254,000","385,920,000","57,691,000","-138,000","74,831,000","224,014,000","336,284,000","66,497,000","60,168,000","116,812,000","51,559,000","87,597,000","85,463,000","106,627,000","73,635,000","12,435,000","78,651,000","83,538,000","95,075,000","219,188,000","50,375,000","61,549,000","-15,983,000","56,978,000","135,511,000","120,183,000","-33,837,000","127,769,000","60,339,000","45,912,000","54,703,000","150,598,000","58,476,000","50,711,000","54,566,000","55,392,000","52,334,000","48,042,000","45,716,000","36,344,000","36,703,000","37,502,000","35,221,000","23,036,000","19,192,000","24,845,000","24,387,000","22,507,000","20,372,000","20,396,000","24,538,000","18,185,000","13,830,000","11,108,000","5,613,000","5,151,000","7,720,000","5,928,000","6,409,000","4,354,000","5,185,000","5,087,000","4,602,000","4,425,000","4,335,000","2,739,000","-5,359,000","3,359,000","-1,792,000","3,461,000","3,886,000","3,655,000"
TotalUnusualItemsExcludingGoodwill,"1,296,406,000","1,015,967,000","-14,439,000","-6,576,000","301,454,000","-67,183,000","-64,032,000","-15,618,000","247,368,000","250,545,000","-9,481,000","-25,115,000","46,766,000","-27,478,000","16,951,000","8,586,000","35,095,000","15,065,000","-60,061,000","-13,855,000","-3,845,000","-9,185,000","162,967,000","-3,615,000","-1,767,000","-2,777,000","-9,655,000","73,003,000","60,761,000","-95,751,000","82,124,000","14,131,000","4,936,000","-1,161,000","114,107,000","3,605,000","-1,763,000","-5,331,000",,"-640,000","-677,000","-104,000","-6,000","-363,000","-1,386,000","-905,000","-1,142,000","-1,541,000","-2,000","-94,000","-404,000","0","-285,000","-157,000","-891,000","-320,000",,,,,,"-356,000","-39,000","-425,000","-57,000",,,,,,,,,,
TotalUnusualItems,"1,296,406,000","1,015,967,000","-14,439,000","-6,576,000","301,454,000","-67,183,000","-64,032,000","-15,618,000","247,368,000","250,545,000","-9,481,000","-25,115,000","46,766,000","-27,478,000","16,951,000","8,586,000","35,095,000","15,065,000","-60,061,000","-13,855,000","-3,845,000","-9,185,000","162,967,000","-3,615,000","-1,767,000","-2,777,000","-9,655,000","73,003,000","60,761,000","-95,751,000","82,124,000","14,131,000","4,936,000","-1,161,000","114,107,000","3,605,000","-1,763,000","-5,331,000",,"-640,000","-677,000","-104,000","-6,000","-363,000","-1,386,000","-905,000","-1,142,000","-1,541,000","-2,000","-94,000","-404,000","0","-285,000","-157,000","-891,000","-320,000",,,,,,"-356,000","-39,000","-425,000","-57,000",,,,,,,,,,
NormalizedEBITDA,"2,304,283,000","529,036,000","605,141,000","623,951,000","553,341,000","567,776,000","533,972,000","532,125,000","369,311,000","452,938,000","453,173,000","467,686,000","491,535,000","458,477,000","451,534,000","459,292,000","450,190,000","427,100,000","346,565,000","331,758,000","322,547,000","341,406,000","304,405,000","295,639,000","293,110,000","220,786,000","254,721,000","245,478,000","240,068,000","241,880,000","234,858,000","234,543,000","221,613,000","229,035,000","208,792,000","219,682,000","214,348,000","203,670,000","205,629,000","182,495,000","172,686,000","163,605,000","154,281,000","173,179,000","150,826,000","150,427,000","131,976,000","114,999,000","114,738,000","101,545,000","97,680,000","93,173,000","87,151,000","90,123,000","81,574,000","75,906,000","64,358,000","58,776,000","56,770,000","54,373,000","51,364,000","50,193,000","44,009,000","38,952,000","36,501,000","35,606,000","33,730,000","31,091,000","25,159,000","3,664,000","19,917,000","63,353,000","12,827,000","12,478,000","10,239,000"
TaxRateForCalcs,"0.04","0.004","0.091","0.274","0.019","0.053","0.27","0.131","0.03","0.27","0.067","0.07","0.034","0.27","0.026","0.023","0.03","0.007","0.167","0.032","0.026","0.023","0.016","0.042","0.033","0.4","0.029","0.019","0.014","0.35","0.009","0.016","0.038","0.35","0.002","0.004","0.023","0","0.012","0.022","0.014","0.35","0.012","0.006","0.011","0.007","0.014","0.026","0.027","0.35","0.014","0.014","0.02","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"51,849,516.564","3,677,265.837","-1,317,432.619","-1,804,701.996","5,656,248.743","-3,552,155.435","-17,288,640","-2,051,616.82","7,531,783.008","67,647,150","-631,979.365","-1,764,500.288","1,592,679.051","-7,419,060","444,731.509","201,715.84","1,043,549.604","102,370.547","-10,006,823.034","-444,755.443","-98,488.639","-214,967.291","2,680,627.18","-153,037.446","-57,828.792","-1,110,800","-284,161.185","1,357,656.85","820,763.508","-33,512,850","736,582.98","231,388.241","186,847.245","-406,350","261,100.837","12,653.14","-40,104.55","0","0","-13,989.198","-9,765.465","-36,400","-72.503","-2,199.085","-15,040.771","-6,387.187","-16,342.192","-40,266.882","-54.445","-32,900","-5,541.313","0","-5,746.127","-54,950","-311,850","-112,000","0","0","0","0","0","-142,400","-15,600","-170,000","-22,800","0","0","0","0","0","0","0","0","0","0"
