name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
	DepreciationAmortizationDepletionIncomeStatement,"1,486,632,000","378,883,000","369,035,000","368,981,000","369,733,000","359,915,000","365,842,000","349,165,000","291,457,000","275,008,000","286,718,000","290,562,000","311,486,000","299,362,000","293,957,000","298,788,000","294,789,000","287,973,000","199,914,000","178,111,000","176,466,000","176,581,000","178,133,000","175,594,000","169,016,000","172,956,000","136,974,000","131,524,000","129,073,000","133,327,000","137,474,000","137,092,000","130,620,000","126,776,000","121,198,000","115,867,000","111,623,000","107,718,000","101,840,000","89,000,000","83,995,000","80,612,000","79,047,000","76,848,000","73,918,000","76,383,000","70,128,000","59,860,000","57,532,000","52,126,000","50,439,000","49,183,000","46,304,000","47,053,000","46,520,000","39,570,000","39,137,000","37,818,000","35,345,000","31,832,000","29,399,000","28,173,000","24,739,000","19,511,000","18,256,000","18,804,000","16,957,000","14,328,000","12,143,000","10,576,000","8,604,000",,"5,507,000","5,264,000","3,844,000"
		DepreciationAndAmortizationInIncomeStatement,"1,486,632,000","378,883,000","369,035,000","368,981,000","369,733,000","359,915,000","365,842,000","349,165,000","291,457,000","275,008,000","286,718,000","290,562,000","311,486,000","299,362,000","293,957,000","298,788,000","294,789,000","287,973,000","199,914,000","178,111,000","176,466,000","176,581,000","178,133,000","175,594,000","169,016,000","172,956,000","136,974,000","131,524,000","129,073,000","133,327,000","137,474,000","137,092,000","130,620,000","126,776,000","121,198,000","115,867,000","111,623,000","107,718,000","101,840,000","89,000,000","83,995,000","80,612,000","79,047,000","76,848,000","73,918,000","76,383,000","70,128,000","59,860,000","57,532,000","52,126,000","50,439,000","49,183,000","46,304,000","47,053,000","46,520,000","39,570,000","39,137,000","37,818,000","35,345,000","31,832,000","29,399,000","28,173,000","24,739,000","19,511,000","18,256,000","18,804,000","16,957,000","14,328,000","12,143,000","10,576,000","8,604,000",,"5,507,000","5,264,000","3,844,000"
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,769,000","16,042,000",,,"13,962,000","13,471,000",,,,"12,721,000",,"9,295,000",,,,,,"-89,326,000","-84,945,000","-83,369,000","-73,042,000","-67,002,000","-62,856,000","-53,997,000","-46,117,000","-42,852,000","-46,145,000","-39,783,000","-32,900,000","-26,627,000",,"-18,033,000","-34,593,000",,,
	OtherOperatingExpenses,"2,550,000","-1,000","510,000","2,298,000","-257,000","641,000","298,000","22,000","114,000","1,989,000","92,000","7,115,000","4,922,000","1,096,000","1,139,000","152,000","431,000","2,000","3,051,000","24,000",,"236,000","-22,000",,"-1,000","60,914,000","51,000","-6,000","-16,000","453,000","1,588,000","651,000",,"7,000","3,000","17,000","36,000","0","923,000","337,000",,,,,"90,000",,"59,000","165,000","2,000",,"404,000",,,,"50,616,000",,"130,670,000","123,913,000","123,618,000","105,796,000","97,395,000","90,998,000","78,230,000","67,624,000","63,145,000","69,061,000","59,285,000","49,019,000","38,698,000","-21,832,000","22,040,000",,"5,851,000","2,528,000","1,734,000"
OperatingIncome,"759,726,000","162,215,000","198,169,000","192,703,000","206,639,000","179,553,000","165,838,000","168,429,000","156,850,000","156,039,000","168,882,000","153,182,000","149,388,000","148,764,000","148,691,000","149,668,000","147,991,000","132,879,000","137,958,000","144,892,000","140,606,000","160,083,000","121,765,000","115,913,000","120,016,000","44,509,000","113,578,000","110,571,000","106,377,000","104,136,000","93,551,000","93,974,000","86,685,000","99,163,000","85,420,000","101,485,000","100,349,000","105,758,000","97,075,000","88,786,000","86,593,000","81,299,000","71,626,000","76,720,000","75,436,000","72,560,000","60,460,000","54,150,000","55,197,000","50,178,000","46,060,000","42,846,000","39,488,000","40,619,000","34,423,000","28,267,000","25,221,000","20,958,000","21,425,000","22,541,000","21,965,000","21,664,000","19,231,000","19,016,000","18,188,000","16,802,000","16,773,000","16,763,000","13,016,000","-6,912,000","11,313,000","59,252,000","7,320,000","7,214,000","6,395,000"
NetNonOperatingInterestIncomeExpense,"-293,846,000","-71,762,000","-71,417,000","-75,014,000","-82,839,000","-80,595,000","-85,151,000","-57,711,000","-89,342,000","-70,146,000","-67,732,000","-69,071,000","-80,108,000","-83,777,000","-81,832,000","-75,412,000","-77,027,000","-73,665,000","-68,808,000","-57,215,000","-55,299,000","-57,196,000","-62,729,000","-63,234,000","-57,885,000","-61,219,000","-48,496,000","-46,345,000","-47,756,000","-45,755,000","-47,791,000","-49,229,000","-45,647,000","-45,765,000","-47,869,000","-47,589,000","-48,037,000","-40,466,000","-40,964,000","-36,465,000","-37,321,000","-36,458,000","-34,860,000","-38,954,000","-35,818,000","-36,359,000","-36,410,000","-33,128,000","-30,871,000","-24,434,000","-22,469,000","-22,092,000","-18,694,000","-16,492,000","-14,641,000","-13,874,000",,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,"10,124,000",,"-2,747,000","4,348,000","22,163,000","-3,542,000","10,734,000","16,842,000","16,980,000","21,444,000","1,106,000","-981,000","3,398,000","-42,000","324,000","2,813,000","367,000","151,000","-970,000","355,000","-3,325,000","-624,000","498,000","-358,000","-231,000","-2,290,000","641,000","378,000","-83,000","1,727,000","231,000","-127,000","-6,000","41,000","-116,000","83,000","1,216,000","709,000","398,000","2,218,000","380,000","264,000","224,000","327,000","34,000","31,000","17,000","90,000","403,000","243,000","591,000","453,000","407,000",,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"293,846,000","71,762,000","71,417,000","75,014,000","82,839,000","77,848,000","89,499,000","79,874,000","89,342,000","80,880,000","84,574,000","86,051,000","101,552,000","84,883,000","81,832,000","78,810,000","77,027,000","73,989,000","71,621,000","57,582,000","55,450,000","57,196,000","63,084,000","63,234,000","57,885,000","61,219,000","48,496,000","46,345,000","47,756,000","46,396,000","48,169,000","49,229,000","47,374,000","45,904,000","47,869,000","47,589,000","48,078,000","40,350,000","41,047,000","37,681,000","38,030,000","36,856,000","37,078,000","39,334,000","36,082,000","36,583,000","36,737,000","33,162,000","30,902,000","24,451,000","22,559,000","22,495,000","18,937,000","17,083,000","15,094,000","14,281,000",,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"1,354,331,000","1,003,905,000","23,498,000","55,691,000","278,423,000","-36,128,000","-66,088,000","-23,250,000","168,372,000","261,702,000","-28,750,000","-18,153,000","55,983,000","-18,233,000","25,837,000","16,024,000","42,505,000","20,989,000","-54,181,000","-5,467,000","1,479,000","-4,443,000","167,119,000","517,000","2,311,000","544,000","-5,486,000","76,386,000","65,379,000","-91,975,000","85,579,000","17,608,000","7,517,000","1,796,000","116,281,000","5,935,000","572,000","-9,690,000","1,520,000","2,853,000","712,000","1,192,000","1,384,000","695,000","-178,000","355,000","-81,000","-586,000","1,976,000","-870,000","687,000","741,000","831,000","1,703,000","-713,000","-147,000",,,,,,"-356,000","-39,000","-425,000","-57,000",,,,,,,,,,
	GainOnSaleOfSecurity,"1,380,795,000","1,047,010,000","-635,000","499,000","333,921,000","1,683,000","10,410,000",,"304,801,000","200,154,000",,,"67,497,000","7,000","26,577,000","14,192,000","39,273,000","30,746,000","9,750,000","380,000","-522,000","-195,000","169,000,000",,"1,097,000","322,000","-207,000","76,669,000","17,820,000","14,551,000","93,498,000","15,945,000","1,906,000","555,000","115,054,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
