name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalRevenue,"16,610,000,000","4,425,000,000","3,824,000,000","3,150,000,000","5,211,000,000","3,115,000,000","2,919,000,000","2,560,000,000","3,106,000,000","3,352,000,000","3,214,000,000","3,214,000,000","3,429,000,000","3,781,000,000","3,517,000,000","3,428,000,000","3,418,000,000","3,632,000,000","3,281,000,000","3,368,000,000","3,424,000,000","3,389,000,000","3,330,000,000","3,144,000,000","3,195,000,000","3,636,000,000","3,707,000,000","3,463,000,000","3,597,000,000","3,951,000,000","4,291,000,000","3,937,000,000","4,047,000,000","3,872,000,000","3,756,000,000","3,382,000,000","3,060,000,000","3,079,000,000","2,870,000,000","2,167,000,000","1,857,000,000","2,017,300,000","2,206,000,000","2,033,500,000","2,008,100,000","1,953,900,000","2,088,200,000","1,990,900,000","2,157,600,000","1,950,700,000"
	OperatingRevenue,"16,471,000,000","4,394,000,000","3,796,000,000","3,135,000,000","5,146,000,000","3,073,000,000","2,863,000,000","2,514,000,000","3,059,000,000","3,152,000,000","3,214,000,000","3,214,000,000","3,429,000,000","3,781,000,000","3,517,000,000","3,428,000,000","3,418,000,000","3,632,000,000","3,281,000,000","3,368,000,000","3,424,000,000","3,389,000,000","3,330,000,000","3,144,000,000","3,195,000,000","3,636,000,000","3,707,000,000","3,463,000,000","3,597,000,000","3,951,000,000","4,291,000,000","3,937,000,000","4,047,000,000","3,872,000,000","3,756,000,000","3,382,000,000","3,060,000,000","3,079,000,000","2,870,000,000","2,167,000,000","1,857,000,000","2,017,300,000","2,206,000,000","2,033,500,000","2,008,100,000","1,953,900,000","2,088,200,000","1,990,900,000","2,157,600,000","1,950,700,000"
CostOfRevenue,"8,628,000,000","2,529,000,000","2,085,000,000","1,464,000,000","2,550,000,000","1,314,000,000","1,194,000,000","973,000,000","1,228,000,000","1,437,000,000","1,340,000,000","1,356,000,000","1,541,000,000","1,786,000,000","1,704,000,000","1,639,000,000","1,589,000,000","1,709,000,000","1,591,000,000","1,667,000,000","1,639,000,000","1,601,000,000","1,520,000,000","1,304,000,000","1,282,000,000","1,418,000,000","1,723,000,000","1,655,000,000","1,628,000,000","1,905,000,000","2,162,000,000","2,112,000,000","2,139,000,000","1,965,000,000","2,010,000,000","1,696,000,000","1,382,000,000","1,221,000,000","1,345,000,000","1,024,000,000","886,000,000","1,098,700,000","1,354,400,000","1,363,000,000","1,125,200,000","2,206,000,000","1,294,900,000","1,167,100,000","1,471,100,000","828,200,000"
GrossProfit,"7,982,000,000","1,896,000,000","1,739,000,000","1,686,000,000","2,661,000,000","1,801,000,000","1,725,000,000","1,587,000,000","1,878,000,000","1,915,000,000","1,874,000,000","1,858,000,000","1,888,000,000","1,995,000,000","1,813,000,000","1,789,000,000","1,829,000,000","1,923,000,000","1,690,000,000","1,701,000,000","1,785,000,000","1,788,000,000","1,810,000,000","1,840,000,000","1,913,000,000","2,218,000,000","1,984,000,000","1,808,000,000","1,969,000,000","2,046,000,000","2,129,000,000","1,825,000,000","1,908,000,000","1,907,000,000","1,746,000,000","1,686,000,000","1,678,000,000","1,858,000,000","1,525,000,000","1,143,000,000","971,000,000","918,600,000","851,600,000","670,500,000","882,900,000","-252,100,000","793,300,000","823,800,000","686,500,000","1,122,500,000"
OperatingExpense,"3,442,000,000","918,000,000","894,000,000","850,000,000","779,000,000","874,000,000","896,000,000","864,000,000","864,000,000","915,000,000","925,000,000","897,000,000","870,000,000","836,000,000","886,000,000","866,000,000","880,000,000","1,112,000,000","853,000,000","780,000,000","798,000,000","775,000,000","853,000,000","902,000,000","863,000,000","880,000,000","880,000,000","870,000,000","836,000,000","818,000,000","797,000,000","805,000,000","765,000,000","765,000,000","770,000,000","928,000,000","657,000,000","884,000,000","677,000,000","903,000,000","453,000,000","443,200,000","435,900,000","427,100,000","485,200,000","-701,900,000","611,800,000","415,300,000","443,400,000","763,100,000"
	SellingGeneralAndAdministration,"655,000,000","165,000,000","174,000,000","160,000,000","156,000,000","187,000,000","153,000,000","155,000,000","153,000,000","134,000,000","154,000,000","148,000,000","154,000,000","110,000,000","154,000,000","164,000,000","173,000,000","175,000,000","164,000,000","153,000,000","181,000,000","119,000,000","171,000,000","189,000,000","190,000,000","150,000,000","160,000,000","164,000,000","216,000,000","149,000,000","135,000,000","154,000,000","172,000,000","132,000,000","158,000,000","183,000,000","140,000,000","113,000,000","186,000,000","501,000,000","129,000,000","115,800,000","109,100,000","109,700,000","180,400,000","102,400,000","308,200,000","104,800,000","115,700,000","103,800,000"
		GeneralAndAdministrativeExpense,"655,000,000","165,000,000","174,000,000","160,000,000","156,000,000","187,000,000","153,000,000","155,000,000","153,000,000","134,000,000","154,000,000","148,000,000","154,000,000","110,000,000","154,000,000","164,000,000","173,000,000","175,000,000","164,000,000","153,000,000","181,000,000","119,000,000","171,000,000","189,000,000","190,000,000","150,000,000","160,000,000","164,000,000","216,000,000","149,000,000","135,000,000","154,000,000","172,000,000","132,000,000","158,000,000","183,000,000","140,000,000","113,000,000",,,,,,,,,,,,
			OtherGandA,"655,000,000","165,000,000","174,000,000","160,000,000","156,000,000","187,000,000","153,000,000","155,000,000","153,000,000","134,000,000","154,000,000","148,000,000","154,000,000","110,000,000","154,000,000","164,000,000","173,000,000","175,000,000","164,000,000","153,000,000","181,000,000","119,000,000","171,000,000","189,000,000","190,000,000","150,000,000","160,000,000","164,000,000","216,000,000","149,000,000","135,000,000","154,000,000","172,000,000","132,000,000","158,000,000","183,000,000","140,000,000","113,000,000",,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"403,000,000","333,000,000","274,000,000","284,300,000","287,800,000","263,700,000","256,100,000","265,100,000","261,700,000","269,700,000","282,300,000","293,100,000"
	OtherTaxes,"426,000,000","102,000,000","106,000,000","108,000,000","110,000,000","83,000,000","100,000,000","103,000,000","92,000,000","102,000,000","103,000,000","103,000,000","118,000,000","86,000,000","86,000,000","85,000,000","88,000,000","101,000,000","102,000,000","91,000,000","104,000,000","97,000,000","106,000,000","110,000,000","108,000,000","100,000,000","108,000,000","116,000,000","115,000,000","92,000,000","105,000,000","111,000,000","110,000,000","100,000,000","95,000,000","102,000,000","98,000,000","79,000,000","88,000,000","69,000,000","50,000,000","43,100,000","39,000,000","53,700,000","48,700,000","43,300,000","41,900,000","40,800,000","45,400,000","38,200,000"
