name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988
TotalRevenue,"1,835,830,000","457,721,000","480,655,000","435,668,000","461,785,000","429,050,000","390,981,000","351,721,000","359,603,000","356,110,000","335,005,000","295,486,000","290,451,000","334,689,000","312,521,000","314,777,000","307,883,000","306,644,000","306,379,000","291,293,000","280,040,000","286,327,000","288,237,000","288,652,000","272,627,000","291,017,000","312,568,000","303,113,000","314,119,000","325,442,000","366,708,000","336,634,000","328,700,000","324,925,000","344,845,000","314,996,000","313,949,000","319,751,000","325,295,000","310,983,000","301,125,000","318,276,000","339,425,000","291,783,000","269,189,000","266,552,000","268,066,000","242,998,000","240,556,000","258,429,000","246,343,000","226,159,000","225,292,000","240,391,000","299,547,000","271,748,000","257,793,000","241,242,000","266,420,000","225,096,000","228,096,000","221,667,000","245,502,000","216,704,000","200,194,000","192,518,000","195,092,000","180,334,000","176,103,000","169,190,000","170,134,000","168,377,000","164,708,000","156,810,000","163,703,000","165,244,000","171,026,000","171,967,000","174,557,000","182,508,000","185,015,000","198,605,000","225,439,000","229,093,000","245,130,000","234,944,000","235,018,000","227,254,000","227,105,000","239,000,000","280,100,000","264,100,000","263,200,000","250,100,000","250,100,000","245,000,000","264,100,000","223,000,000","220,200,000","207,100,000","198,000,000","183,500,000","177,100,000","157,100,000","140,500,000","125,400,000","141,700,000","97,000,000","83,500,000","72,000,000","69,100,000","63,600,000","58,000,000","53,500,000","49,000,000","43,500,000","38,000,000","32,500,000","27,500,000","23,500,000","19,200,000","16,500,000","13,700,000","11,800,000","10,300,000","8,800,000","8,000,000","6,700,000","5,900,000","4,900,000","4,000,000","3,000,000","2,300,000","1,700,000"
	OperatingRevenue,"1,835,830,000","457,721,000","480,655,000","435,668,000","461,785,000","429,050,000","390,981,000","351,721,000","359,603,000","356,110,000","335,005,000","295,486,000","290,451,000","334,689,000","312,521,000","314,777,000","307,883,000","306,644,000","306,379,000","291,293,000","280,040,000","286,327,000","288,237,000","288,652,000","272,627,000","291,017,000","312,568,000","303,113,000","314,119,000","325,442,000","366,708,000","336,634,000","328,700,000","324,925,000","344,845,000","314,996,000","313,949,000","319,751,000","325,295,000","310,983,000","301,125,000","318,276,000","339,425,000","291,783,000","269,189,000","266,552,000","268,066,000","242,998,000","240,556,000","258,429,000","246,343,000","226,159,000","225,292,000","240,391,000","299,547,000","271,748,000","257,793,000","241,242,000","266,420,000","225,096,000","228,096,000","221,667,000","245,502,000","216,704,000","200,194,000","192,518,000","195,092,000","180,334,000","176,103,000","169,190,000","170,134,000","168,377,000","164,708,000","156,810,000","163,703,000","165,244,000","171,026,000","171,967,000","174,557,000","182,508,000","185,015,000","198,605,000","225,439,000","229,093,000","245,130,000","234,944,000","235,018,000","227,254,000","227,105,000","239,000,000","280,100,000","264,100,000","263,200,000","250,100,000","250,100,000","245,000,000","264,100,000","223,000,000","220,200,000","207,100,000","198,000,000","183,500,000","177,100,000","157,100,000","140,500,000","125,400,000","141,700,000","97,000,000","83,500,000","72,000,000","69,100,000","63,600,000","58,000,000","53,500,000","49,000,000","43,500,000","38,000,000","32,500,000","27,500,000","23,500,000","19,200,000","16,500,000","13,700,000","11,800,000","10,300,000","8,800,000","8,000,000","6,700,000","5,900,000","4,900,000","4,000,000","3,000,000","2,300,000","1,700,000"
CostOfRevenue,"379,390,000","95,118,000","99,747,000","95,077,000","89,448,000","86,830,000","84,615,000","79,224,000","83,027,000","87,405,000","85,417,000","82,705,000","79,904,000","77,352,000","78,049,000","81,556,000","83,631,000","82,958,000","82,806,000","82,268,000","81,830,000","82,115,000","82,856,000","82,470,000","80,191,000","80,147,000","76,362,000","79,376,000","86,054,000","92,942,000","95,854,000","91,076,000","93,797,000","92,956,000","91,529,000","91,168,000","93,270,000","97,072,000","87,839,000","92,854,000","93,216,000","98,219,000","98,527,000","90,409,000","81,771,000","86,061,000","77,147,000","74,711,000","77,166,000","78,671,000","73,350,000","73,806,000","79,278,000","83,325,000","88,786,000","85,562,000","80,653,000","75,785,000","74,100,000","71,757,000","72,825,000","72,128,000","73,504,000","68,574,000","65,530,000","62,025,000","58,886,000","52,126,000","49,573,000","47,657,000","43,434,000","46,024,000","40,570,000","52,147,000","59,244,000","55,295,000","52,672,000","51,275,000","52,269,000","52,812,000","55,912,000","54,693,000","62,632,000","64,188,000","63,362,000","71,828,000","50,647,000","48,387,000","54,215,000","51,400,000","47,600,000","43,500,000","41,300,000","36,000,000","30,600,000","31,100,000","30,800,000","17,200,000","14,800,000","13,500,000","13,100,000","12,700,000","11,800,000","8,400,000","10,400,000","9,200,000","10,600,000","4,300,000","5,600,000","4,600,000","4,300,000","4,000,000","2,900,000","2,700,000","2,100,000","2,100,000","1,600,000","1,400,000","1,100,000","800,000","800,000","600,000","-12,400,000","5,500,000","4,700,000","4,000,000","3,700,000","2,800,000","2,700,000","1,900,000",,,,
GrossProfit,"1,456,440,000","362,603,000","380,908,000","340,591,000","372,337,000","342,220,000","306,366,000","272,497,000","276,576,000","268,705,000","249,588,000","212,781,000","210,547,000","257,337,000","234,472,000","233,221,000","224,252,000","223,686,000","223,573,000","209,025,000","198,210,000","204,212,000","205,381,000","206,182,000","192,436,000","210,870,000","236,206,000","223,737,000","228,065,000","232,500,000","270,854,000","245,558,000","234,903,000","231,969,000","253,316,000","223,828,000","220,679,000","222,679,000","237,456,000","218,129,000","207,909,000","220,057,000","240,898,000","201,374,000","187,418,000","180,491,000","190,919,000","168,287,000","163,390,000","179,758,000","172,993,000","152,353,000","146,014,000","157,066,000","210,761,000","186,186,000","177,140,000","165,457,000","192,320,000","153,339,000","155,271,000","149,539,000","171,998,000","148,130,000","134,664,000","130,493,000","136,206,000","128,208,000","126,530,000","121,533,000","126,700,000","122,353,000","124,138,000","104,663,000","104,459,000","109,949,000","118,354,000","120,692,000","122,288,000","129,696,000","129,103,000","143,912,000","162,807,000","164,905,000","181,768,000","163,116,000","184,371,000","178,867,000","172,890,000","187,600,000","232,500,000","220,600,000","221,900,000","214,100,000","219,500,000","213,900,000","233,300,000","205,800,000","205,400,000","193,600,000","184,900,000","170,800,000","165,300,000","148,700,000","130,100,000","116,200,000","131,100,000","92,700,000","77,900,000","67,400,000","64,800,000","59,600,000","55,100,000","50,800,000","46,900,000","41,400,000","36,400,000","31,100,000","26,400,000","22,700,000","18,400,000","15,900,000","26,100,000","6,300,000","5,600,000","4,800,000","4,300,000","3,900,000","3,200,000","3,000,000",,,,
OperatingExpense,"1,067,897,000","266,434,000","264,144,000","267,141,000","270,178,000","251,635,000","238,976,000","209,034,000","208,309,000","224,246,000","197,387,000","203,485,000","206,425,000","208,800,000","220,857,000","209,891,000","201,772,000","206,109,000","206,363,000","196,218,000","190,233,000","193,366,000","206,724,000","195,771,000","186,099,000","187,015,000","190,700,000","197,737,000","185,590,000","195,124,000","207,921,000","190,660,000","183,690,000","176,031,000","186,462,000","177,476,000","183,625,000","193,418,000","179,851,000","182,920,000","180,204,000","187,552,000","189,650,000","176,844,000","163,192,000","163,381,000","161,974,000","156,309,000","151,879,000","157,417,000","151,528,000","143,457,000","137,647,000","153,528,000","152,600,000","150,474,000","144,216,000","139,020,000","146,252,000","132,990,000","134,012,000","128,556,000","140,099,000","126,622,000","119,576,000","119,215,000","125,215,000","101,694,000","102,038,000","98,321,000","97,677,000","96,083,000","99,612,000","104,133,000","120,552,000","123,599,000","127,685,000","130,347,000","115,185,000","161,299,000","146,027,000","149,824,000","194,980,000","169,135,000","158,223,000","147,115,000","176,061,000","179,445,000","181,291,000","173,700,000","170,500,000","170,900,000","161,600,000","154,200,000","150,900,000","149,100,000","133,000,000","114,500,000","115,000,000","110,000,000","105,800,000","97,300,000","94,700,000","86,500,000","75,000,000","67,500,000","83,200,000","55,400,000","44,500,000","38,100,000","36,800,000","32,400,000","30,700,000","28,400,000","26,300,000","24,000,000","21,300,000","18,200,000","16,300,000","14,200,000","11,400,000","10,400,000","21,400,000","2,500,000","2,200,000","2,100,000","1,900,000","2,000,000","1,500,000","1,500,000",,,,
	SellingGeneralAndAdministration,"726,948,000","177,416,000","178,053,000","181,496,000","189,983,000","174,253,000","161,746,000","140,303,000","141,067,000","152,161,000","127,218,000","136,975,000","139,093,000","142,082,000","150,680,000","140,823,000","131,683,000","134,319,000","137,656,000","128,395,000","124,577,000","127,385,000","140,632,000","130,359,000","121,093,000","120,996,000","130,082,000","134,554,000","116,259,000","124,614,000","139,179,000","125,257,000","120,074,000","115,169,000","124,644,000","117,110,000","121,457,000","129,366,000","122,861,000","124,557,000","120,496,000","127,350,000","128,474,000","120,988,000","105,875,000","108,005,000","107,918,000","101,876,000","97,944,000","102,669,000","98,592,000","93,068,000","89,080,000","101,299,000","106,907,000","99,056,000","94,167,000","94,579,000","99,809,000","91,428,000","92,271,000","88,484,000","98,456,000","88,071,000","82,299,000","83,274,000","88,855,000","73,407,000","73,469,000","71,632,000","71,071,000","68,606,000","71,496,000","73,145,000","86,388,000","90,260,000","94,283,000","96,966,000","98,580,000","100,623,000","101,421,000","99,881,000","115,458,000","117,375,000","111,446,000","111,306,000","120,543,000","122,259,000","123,715,000","121,400,000","119,700,000","120,000,000","118,400,000","112,700,000","118,000,000","118,400,000","105,500,000","92,600,000","94,800,000","90,300,000","87,600,000","80,000,000","77,600,000","70,300,000","63,100,000","56,400,000","68,500,000","45,600,000","38,100,000","32,200,000","30,500,000","27,600,000","25,900,000","27,300,000","25,200,000","23,200,000","20,600,000","17,500,000","15,700,000","13,800,000","11,100,000","10,100,000","21,200,000","2,200,000","2,000,000","1,900,000","1,800,000","1,800,000","1,300,000","1,300,000",,,,
		GeneralAndAdministrativeExpense,"208,418,000","51,940,000","48,589,000","47,084,000","60,805,000","49,528,000","45,931,000","35,709,000","33,629,000","44,557,000","25,911,000","28,773,000","35,371,000","37,864,000","41,542,000","33,082,000","33,353,000","35,004,000","36,278,000","35,294,000","36,800,000","36,695,000","37,647,000","35,485,000","33,916,000","38,567,000","47,390,000","48,100,000","34,235,000","37,007,000","43,344,000","33,817,000","34,140,000","30,931,000","33,910,000","28,812,000","33,398,000","35,817,000","28,511,000","29,851,000","29,534,000","29,572,000","30,213,000","31,882,000","24,712,000","23,484,000","23,242,000","22,755,000","22,807,000","24,071,000","22,295,000","19,245,000","17,693,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"208,418,000","51,940,000","48,589,000","47,084,000","60,805,000","49,528,000","45,931,000","35,709,000","33,629,000","44,557,000","25,911,000","28,773,000","35,371,000","37,864,000","41,542,000","33,082,000","33,353,000","35,004,000","36,278,000","35,294,000","36,800,000","36,695,000","37,647,000","35,485,000","33,916,000","38,567,000","47,390,000","48,100,000","34,235,000","37,007,000","43,344,000","33,817,000","34,140,000","30,931,000","33,910,000","28,812,000","33,398,000","35,817,000","28,511,000","29,851,000","29,534,000","29,572,000","30,213,000","31,882,000","24,712,000","23,484,000","23,242,000","22,755,000","22,807,000","24,071,000","22,295,000","19,245,000","17,693,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"518,530,000","125,476,000","129,464,000","134,412,000","129,178,000","124,725,000","115,815,000","104,594,000","107,438,000","107,604,000","101,307,000","108,202,000","103,722,000","104,218,000","109,138,000","107,741,000","98,330,000","99,315,000","101,378,000","93,101,000","87,777,000","90,690,000","102,985,000","94,874,000","87,177,000","82,429,000","82,692,000","86,454,000","82,024,000","87,607,000","95,835,000","91,440,000","85,934,000","84,238,000","90,734,000","88,298,000","88,059,000","93,549,000","94,350,000","94,706,000","90,962,000","97,778,000","98,261,000","89,106,000","81,163,000","84,521,000","84,676,000","79,121,000","75,137,000","78,598,000","76,297,000","73,823,000","71,387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"309,616,000","80,534,000","78,403,000","78,134,000","72,545,000","70,835,000","69,884,000","61,429,000","59,954,000","65,308,000","64,114,000","60,590,000","61,402,000","60,782,000","62,393,000","61,218,000","62,194,000","63,969,000","60,585,000","59,850,000","57,710,000","57,914,000","57,934,000","57,118,000","56,610,000","57,669,000","52,180,000","54,078,000","60,158,000","61,097,000","60,387,000","57,405,000","55,631,000","53,073,000","55,127,000","53,834,000","55,528,000","57,429,000","52,131,000","53,260,000","54,576,000","54,993,000","55,730,000","51,103,000","53,051,000","51,522,000","50,320,000","50,597,000","49,960,000","50,690,000","48,826,000","46,562,000","44,752,000","48,361,000","47,366,000","47,374,000","45,734,000","41,548,000","44,416,000","39,798,000","40,153,000","37,984,000","39,861,000","36,905,000","35,989,000","34,583,000","35,392,000","28,061,000","28,347,000","26,467,000","25,383,000","26,250,000","26,780,000","29,579,000","32,703,000","31,880,000","31,942,000","31,900,000","32,348,000","33,464,000","35,572,000","34,689,000","37,374,000","38,494,000","37,265,000","35,809,000","35,820,000","36,265,000","37,611,000","34,100,000","32,200,000","32,400,000","30,300,000","29,200,000","23,200,000","24,200,000","20,700,000","15,000,000","14,100,000","13,700,000","12,700,000","12,500,000","12,300,000","10,500,000","8,900,000","7,800,000","11,300,000","5,500,000","4,600,000","4,200,000","4,700,000","3,600,000","3,600,000",,,,,,,,,,,,,,,,,,,,,
