name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002
TotalRevenue,"18,884,000,000","5,216,000,000","4,985,000,000","4,528,000,000","4,155,000,000","4,120,000,000","3,837,000,000","3,335,000,000","4,009,000,000","4,414,000,000","4,467,000,000","4,113,000,000","3,889,000,000","3,807,000,000","3,898,000,000","3,665,000,000","3,580,000,000","3,312,000,000","3,398,000,000","3,053,000,000","2,734,000,000","2,756,000,000","2,880,000,000","2,694,000,000","2,446,000,000","2,517,000,000","2,530,000,000","2,390,000,000","2,230,000,000","2,416,000,000","2,503,000,000","2,377,000,000","2,177,000,000","2,126,000,000","2,218,000,000","2,096,000,000","1,906,000,000","1,895,000,000","1,918,000,000","1,820,000,000","1,758,000,000","1,728,000,000","1,818,000,000","1,667,000,000","1,501,000,000","1,438,000,000","1,428,000,000","1,365,000,000","1,308,000,000","1,298,418,000","1,364,275,000","1,279,889,000","1,156,102,000","1,224,834,000","1,338,178,000","1,246,504,000","1,182,084,000","1,072,687,000","1,082,850,000","996,959,000","915,103,000","839,163,000","901,969,000","846,489,000","738,453,000","734,407,000","734,407,000","734,407,000","734,407,000","648,332,000","648,333,000","648,333,000","648,333,000","567,574,000","594,169,000","556,893,000","512,215,000","509,235,000","539,435,000","448,757,000"
	OperatingRevenue,"23,621,000,000","6,532,000,000","6,264,000,000","5,744,000,000","5,081,000,000","4,995,000,000","4,792,000,000","4,012,000,000","5,100,000,000","5,489,000,000","5,470,000,000","5,107,000,000","4,790,000,000","4,782,000,000","4,814,000,000","4,565,000,000","4,322,000,000","4,179,000,000","4,121,000,000","3,740,000,000","2,734,000,000","1,056,000,000","3,485,000,000","3,247,000,000","2,446,000,000","2,517,000,000","2,530,000,000","2,390,000,000","2,230,000,000","3,999,000,000","2,503,000,000","2,377,000,000","2,177,000,000","3,737,000,000","2,218,000,000","2,096,000,000","1,906,000,000","3,450,000,000","1,918,000,000","1,820,000,000","1,758,000,000","1,728,000,000","1,818,000,000","1,667,000,000","1,501,000,000","1,438,000,000","1,428,000,000","1,365,000,000","1,308,000,000","1,298,418,000","1,364,275,000","1,279,889,000","1,156,102,000","1,224,834,000","1,338,178,000","1,246,504,000","1,182,084,000","1,072,687,000","1,082,850,000","996,959,000","915,103,000","839,163,000","901,969,000","846,489,000","738,453,000","734,407,000","734,407,000","734,407,000","734,407,000","648,332,000","648,333,000","648,333,000","648,333,000","567,574,000","594,169,000","556,893,000","512,215,000","509,235,000","539,435,000","448,757,000"
CostOfRevenue,"4,489,000,000","1,089,000,000","1,166,000,000","1,130,000,000","1,104,000,000","970,000,000","940,000,000","915,000,000","962,000,000","936,000,000","937,000,000","853,000,000","811,000,000","843,000,000","822,000,000","797,000,000","752,000,000","726,000,000","723,000,000","644,000,000","594,000,000","579,000,000","575,000,000","551,000,000","520,000,000","565,000,000","584,000,000","488,000,000","468,000,000","618,000,000","511,000,000",,,"452,000,000","452,000,000",,,"1,565,000,000","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"14,395,000,000","4,127,000,000","3,819,000,000","3,398,000,000","3,051,000,000","3,150,000,000","2,897,000,000","2,420,000,000","3,047,000,000","3,478,000,000","3,530,000,000","3,260,000,000","3,078,000,000","2,964,000,000","3,076,000,000","2,868,000,000","2,828,000,000","2,586,000,000","2,675,000,000","2,409,000,000","2,140,000,000","2,177,000,000","2,305,000,000","2,143,000,000","1,926,000,000","1,952,000,000","1,946,000,000","1,902,000,000","1,762,000,000","1,798,000,000","1,992,000,000",,,"1,674,000,000","1,766,000,000",,,"330,000,000","1,918,000,000","1,820,000,000","1,758,000,000","1,728,000,000","1,818,000,000","1,667,000,000","1,501,000,000",,"1,428,000,000","1,365,000,000","1,308,000,000","1,298,418,000","1,364,275,000","1,279,889,000","1,156,102,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"4,168,000,000","1,284,000,000","1,056,000,000","982,000,000","846,000,000","1,028,000,000","769,000,000","672,000,000","882,000,000","1,059,000,000","877,000,000","850,000,000","864,000,000","980,000,000","758,000,000","766,000,000","858,000,000","1,051,000,000","711,000,000","723,000,000","582,000,000","813,000,000","623,000,000","665,000,000","538,000,000","847,000,000","589,000,000","570,000,000","499,000,000","790,000,000","590,000,000","994,000,000","892,000,000","658,000,000","504,000,000","868,000,000","799,000,000","-616,000,000","854,000,000","846,000,000","758,000,000","1,738,000,000","816,000,000","782,000,000","665,000,000","865,000,000","662,000,000","648,000,000","608,000,000","830,292,000","684,527,000","722,203,000","594,809,000","-1,720,367,000","1,617,442,000","2,479,708,000","666,477,000","900,631,000","729,547,000","728,143,000","601,165,000","793,175,000","627,209,000","1,120,455,000","555,740,000",,,,,,,,,"670,521,000","475,269,000","506,948,000","1,179,975,000","624,838,000","412,908,000","396,008,000"
	SellingGeneralAndAdministration,"3,442,000,000","1,095,000,000","868,000,000","796,000,000","683,000,000","878,000,000","628,000,000","527,000,000","738,000,000","913,000,000","740,000,000","728,000,000","747,000,000","867,000,000","647,000,000","651,000,000","738,000,000","936,000,000","593,000,000","612,000,000","490,000,000","721,000,000","530,000,000","572,000,000","443,000,000","754,000,000","495,000,000","478,000,000","412,000,000","706,000,000","507,000,000","913,000,000","819,000,000","587,000,000","440,000,000","807,000,000","737,000,000","-658,000,000","796,000,000","770,000,000","704,000,000","916,000,000","765,000,000","733,000,000","623,000,000","823,000,000","626,000,000","613,000,000","573,000,000","791,865,000","648,285,000","686,482,000","563,822,000","726,428,000","761,200,000","802,413,000","641,213,000","864,479,000","697,273,000","699,716,000","576,977,000","728,988,000","602,070,000","695,477,000","530,520,000",,,,,,,,,"1,360,535,000","447,086,000","476,355,000","429,186,000","597,273,000","385,315,000","377,079,000"
		GeneralAndAdministrativeExpense,"2,547,000,000","757,000,000","646,000,000","580,000,000","564,000,000","636,000,000","460,000,000","434,000,000","584,000,000","623,000,000","513,000,000","503,000,000","555,000,000","654,000,000","412,000,000","416,000,000","514,000,000","625,000,000","390,000,000","398,000,000","320,000,000","413,000,000","346,000,000","388,000,000","308,000,000","435,000,000","311,000,000","302,000,000","270,000,000","369,000,000","304,000,000","740,000,000","670,000,000","266,000,000","235,000,000","621,000,000","608,000,000","-953,000,000","620,000,000","591,000,000","579,000,000","597,000,000","565,000,000","540,000,000","494,000,000","518,000,000","444,000,000","433,000,000","458,000,000","506,660,000","474,457,000","506,004,000","447,853,000","478,590,000","493,740,000","499,349,000","442,000,000","495,550,000","432,848,000","431,463,000","398,526,000","376,054,000","392,883,000","388,411,000","347,837,000",,,,,,,,,"1,040,125,000","264,040,000","280,955,000","276,892,000","302,170,000","248,068,000","217,888,000"
			SalariesAndWages,,,,,,,,"915,000,000","962,000,000","936,000,000","937,000,000","853,000,000","811,000,000","843,000,000","822,000,000","797,000,000","752,000,000","726,000,000","723,000,000","644,000,000","594,000,000","579,000,000","575,000,000","551,000,000","520,000,000","565,000,000","584,000,000","488,000,000","468,000,000","618,000,000","511,000,000",,,"452,000,000","452,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,547,000,000","757,000,000","646,000,000","580,000,000","564,000,000","636,000,000","460,000,000","434,000,000","584,000,000","623,000,000","513,000,000","503,000,000","555,000,000","654,000,000","412,000,000","416,000,000","514,000,000","625,000,000","390,000,000","398,000,000","320,000,000","413,000,000","346,000,000","388,000,000","308,000,000","435,000,000","311,000,000","302,000,000","270,000,000","369,000,000","304,000,000","740,000,000","670,000,000","266,000,000","235,000,000","621,000,000","608,000,000","-953,000,000","620,000,000","591,000,000","579,000,000","597,000,000","565,000,000","540,000,000","494,000,000","518,000,000","444,000,000","433,000,000","458,000,000","506,660,000","474,457,000","506,004,000","447,853,000","478,590,000","493,740,000","499,349,000","442,000,000","495,550,000","432,848,000","431,463,000","398,526,000","376,054,000","392,883,000","388,411,000","347,837,000",,,,,,,,,"1,040,125,000","264,040,000","280,955,000","276,892,000","302,170,000","248,068,000","217,888,000"
		SellingAndMarketingExpense,"895,000,000","338,000,000","222,000,000","216,000,000","119,000,000","242,000,000","168,000,000","93,000,000","154,000,000","290,000,000","227,000,000","225,000,000","192,000,000","213,000,000","235,000,000","235,000,000","224,000,000","311,000,000","203,000,000","214,000,000","170,000,000","308,000,000","184,000,000","184,000,000","135,000,000","319,000,000","184,000,000","176,000,000","142,000,000","337,000,000","203,000,000","173,000,000","149,000,000","321,000,000","205,000,000","186,000,000","129,000,000","295,000,000","176,000,000","179,000,000","125,000,000","319,000,000","200,000,000","193,000,000","129,000,000","305,000,000","182,000,000","180,000,000","115,000,000","285,205,000","173,828,000","180,478,000","115,969,000","247,838,000","267,460,000","303,064,000","199,213,000","368,929,000","264,425,000","268,253,000","178,451,000","352,934,000","209,187,000","307,066,000","182,683,000",,,,,,,,,"320,410,000","183,046,000","195,400,000","152,294,000","295,103,000","137,247,000","159,191,000"
