name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234,600,000",,,,,,,,,,,,,,"127,200,000","77,300,000","76,200,000","73,400,000","71,600,000","78,000,000","76,900,000","79,000,000","71,600,000","76,900,000","74,400,000","73,100,000","74,800,000","72,200,000","70,700,000","61,100,000","66,700,000","69,200,000","65,500,000","58,000,000","61,200,000","61,700,000","59,400,000","56,800,000","52,400,000","53,400,000","49,400,000","44,400,000","54,600,000","56,600,000","53,900,000","39,300,000","51,300,000","50,600,000","49,200,000","46,300,000","45,400,000","44,800,000","39,600,000","33,400,000","29,800,000","26,700,000","24,900,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,"19,900,000","1,200,000","7,200,000","7,200,000","4,300,000","5,800,000","6,100,000","11,000,000","4,900,000","10,600,000","7,500,000","8,400,000","7,500,000","10,400,000","10,800,000","6,800,000","6,800,000","7,800,000","8,000,000","9,400,000","5,400,000","2,900,000","6,000,000","7,000,000","4,600,000","5,400,000","6,200,000","6,200,000","4,900,000","6,300,000","7,900,000","5,000,000","3,400,000","8,000,000","600,000","4,600,000","2,900,000","9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"82,700,000","20,800,000","20,800,000","20,700,000","20,500,000","20,500,000","20,700,000","20,800,000","20,900,000","20,500,000","20,500,000","20,500,000","20,500,000","-5,200,000","27,900,000","28,500,000","29,300,000","29,000,000","28,800,000","28,900,000","29,000,000","29,500,000","36,500,000","29,400,000","29,500,000","30,200,000","29,900,000","29,800,000","29,000,000","29,200,000","29,000,000","29,000,000","29,100,000","29,200,000","29,300,000","29,400,000","29,300,000","65,500,000","19,700,000","19,700,000","19,700,000","19,400,000","19,400,000","19,500,000","19,700,000",,,"20,200,000",,,"23,100,000","-150,100,000",,"100,200,000","4,600,000","4,500,000","4,400,000","4,500,000","4,300,000","4,200,000","4,100,000","4,100,000","4,000,000","3,800,000","3,800,000",,"3,700,000",,"3,500,000",,"3,500,000","3,400,000","3,300,000",,,"3,100,000","3,100,000",,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,093,300,000","507,800,000","568,800,000","522,600,000","494,100,000","480,300,000","489,200,000","436,100,000","441,000,000","485,100,000","452,300,000","439,100,000","426,100,000","472,700,000","437,100,000","403,700,000","404,100,000","396,500,000","425,600,000","419,200,000","376,300,000","389,300,000","408,300,000","387,000,000","353,300,000","348,400,000","432,700,000","379,100,000","363,500,000","176,500,000","373,200,000","372,000,000","296,500,000","392,400,000","384,500,000","227,100,000","330,100,000","255,600,000","349,400,000","387,000,000","323,300,000","370,100,000","414,300,000","420,600,000","375,800,000","383,200,000","395,700,000","403,300,000","387,400,000","343,800,000","400,100,000","382,900,000","389,200,000","-28,900,000","167,000,000","85,600,000","142,200,000","139,900,000","128,300,000","153,100,000","114,700,000","129,700,000","133,400,000","134,000,000","122,400,000","115,400,000","119,400,000","122,900,000","119,500,000","109,600,000","116,500,000","116,200,000","110,000,000","106,500,000","87,300,000","113,500,000","105,400,000","118,100,000","118,200,000","116,300,000","106,900,000","62,000,000","110,400,000","111,800,000","98,900,000","102,200,000","114,200,000","115,900,000","101,700,000","105,100,000","103,500,000","102,600,000","79,400,000","79,400,000","75,300,000","70,700,000"
NetNonOperatingInterestIncomeExpense,"-312,100,000","-79,200,000","-77,500,000","-77,800,000","-77,600,000","-77,000,000","-88,400,000","-88,300,000","-96,300,000","-94,100,000","-96,000,000","-97,100,000","-98,500,000","-121,100,000","-87,700,000","-88,000,000","-85,700,000","-83,800,000","-80,900,000","-80,200,000","-80,100,000","-80,300,000","-79,300,000","-82,400,000","-82,500,000","-82,700,000","-81,500,000","-81,300,000","-79,000,000","-78,300,000","-77,400,000","-77,000,000","-77,300,000","-79,800,000","-79,800,000","-79,900,000","-79,200,000","-45,800,000","-92,900,000","-98,600,000","-104,000,000","-104,800,000","-108,300,000","-111,300,000","-115,500,000","-120,200,000","-121,600,000","-130,400,000","-134,500,000","-146,800,000","-144,300,000","-150,000,000","-152,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"2,500,000","500,000","600,000","600,000","800,000","1,200,000","500,000","3,300,000","300,000","1,000,000","2,000,000","1,400,000","1,900,000","600,000","500,000","200,000","200,000","0","300,000","300,000","300,000","0","200,000","200,000","500,000","200,000","100,000","100,000","300,000","0","100,000","300,000","100,000","200,000","100,000","100,000","300,000","200,000","300,000","200,000","300,000","0","0","100,000","200,000","200,000","400,000","100,000","0","300,000","500,000","500,000","700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"314,600,000","79,700,000","78,100,000","78,400,000","78,400,000","78,200,000","88,900,000","91,600,000","96,600,000","95,100,000","98,000,000","98,500,000","100,400,000","121,700,000","88,200,000","88,200,000","85,900,000","83,800,000","81,200,000","80,500,000","80,400,000","80,300,000","79,500,000","82,600,000","83,000,000","82,900,000","81,600,000","81,400,000","79,300,000","78,300,000","77,500,000","77,300,000","77,400,000","80,000,000","79,900,000","80,000,000","79,500,000","46,000,000","93,200,000","98,800,000","104,300,000","104,800,000","108,300,000","111,400,000","115,700,000","120,400,000","122,000,000","130,500,000","134,500,000","147,100,000","144,800,000","150,500,000","153,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
