name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993
				AmortizationOfIntangiblesIncomeStatement,"109,603,000","25,826,000","27,109,000","26,154,000","30,514,000","30,444,000","31,228,000","31,208,000","32,179,000","32,172,000","31,694,000","32,164,000","33,683,000","34,384,000","50,852,000","50,127,000","51,646,000","53,260,000","51,224,000","65,500,000","6,290,000","6,183,000","6,221,000","6,210,000","6,183,000","6,359,000","2,737,000","2,107,000","2,139,000","2,463,000","2,505,000","1,979,000","1,279,000","1,357,000","1,351,000","1,404,000","1,334,000","1,373,000","1,362,000","928,000","739,000","737,000","739,000","2,522,000","2,527,000","2,531,000","2,531,000","2,537,000","2,926,000","416,000","416,000","405,000","399,000","400,000","400,000","401,000","414,000","457,000","509,000","596,000","529,000","470,000","3,484,000","3,416,000","3,383,000","3,377,000","3,451,000","3,370,000","28,000","-642,000","203,000","190,000","936,000","212,000","320,000","338,000","405,000","482,000","499,000","445,000","503,000","502,000","2,836,000","3,052,000","3,192,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"9,084,000",,,,,"1,450,000","30,514,000","2,046,000","16,394,000","17,679,000",,,"9,063,000","10,513,000","24,290,000",,,"5,426,000","32,166,000","0",,,,"15,479,000","31,084,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"921,806,000","187,746,000","231,992,000","276,016,000","226,052,000","178,974,000","89,372,000","101,808,000","126,278,000","141,446,000","70,889,000","115,644,000","51,571,000","140,461,000","69,838,000","106,058,000","50,555,000","79,240,000","6,151,000","-56,000","66,786,000","118,327,000","65,283,000","91,332,000","72,797,000","112,533,000","58,962,000","88,903,000","53,774,000","101,692,000","55,406,000","88,405,000","62,526,000","88,816,000","58,815,000","74,093,000","54,105,000","79,955,000","50,712,000","63,904,000","53,556,000","69,463,000","47,250,000","51,568,000","45,781,000","53,887,000","34,012,000","36,560,000","32,709,000","44,678,000","27,521,000","30,761,000","34,451,000","55,781,000","34,682,000","47,575,000","26,330,000","68,003,000","23,580,000","23,065,000","18,474,000","39,622,000","15,963,000","30,595,000","15,620,000","29,742,000","1,186,000","5,138,000","-10,786,000","15,225,000","5,477,000","15,786,000","6,171,000","10,835,000","13,991,000","19,846,000","2,789,000","-12,886,000","29,121,000","34,678,000","12,508,000","33,947,000","7,771,000","-3,459,000","6,996,000","12,648,000","433,000","6,386,000","21,871,000","37,100,000","31,700,000","39,700,000","44,000,000","45,700,000","34,100,000","35,400,000","40,200,000","41,200,000","26,700,000","28,700,000","29,500,000","31,600,000","24,000,000","21,200,000","19,700,000","19,300,000","9,800,000","10,300,000","10,600,000","12,600,000","6,000,000","6,600,000","7,100,000","7,600,000"
NetNonOperatingInterestIncomeExpense,"-116,620,000","-31,482,000","-31,599,000","-27,390,000","-26,149,000","-26,367,000","-30,538,000","-30,296,000","-26,349,000","-26,136,000","-24,073,000","-24,749,000","-24,847,000","-24,561,000","-26,984,000","-37,604,000","-35,059,000","-36,312,000","-38,762,000","-43,956,000","-5,906,000","-5,822,000","-5,932,000","-7,356,000","-6,006,000","-6,013,000","-6,049,000","-5,240,000","-3,480,000","-3,301,000","-2,656,000","-2,680,000","-2,250,000","-2,133,000","-2,124,000","-2,144,000","-2,436,000","-2,302,000","-2,209,000","-2,153,000","-2,195,000","-2,104,000","-2,282,000","-2,797,000","-2,784,000","-6,047,000","-3,005,000","-3,180,000","-3,384,000","-2,927,000","-4,914,000","-4,011,000","-4,180,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"1,893,000"
	InterestExpenseNonOperating,"118,513,000","33,375,000","31,599,000","27,390,000","26,149,000","28,454,000","30,538,000","30,296,000","26,349,000","29,162,000","24,073,000","24,749,000","24,847,000","27,127,000","26,984,000","37,604,000","35,059,000","39,323,000","38,762,000","43,956,000","5,906,000","8,271,000","5,932,000","7,356,000","6,006,000","7,779,000","6,049,000","5,240,000","3,480,000","4,714,000","2,656,000","2,680,000","2,250,000","3,684,000","2,124,000","2,144,000","2,436,000","2,302,000","2,209,000","2,153,000","2,195,000","3,353,000","2,282,000","2,797,000","2,784,000","7,203,000","3,005,000","3,180,000","3,384,000","3,757,000","4,914,000","4,011,000","4,180,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,"26,136,000","24,073,000","24,749,000","24,847,000",,,,,,,,,,,,,,,,,,,,,,,,,,"2,209,000",,,"2,104,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"164,684,000","20,833,000","-1,560,000","130,561,000","14,850,000","3,548,000","-44,667,000","-12,556,000","-3,075,000","-4,728,000","6,282,000","111,000","-5,671,000","-4,934,000","-4,901,000","6,618,000","-58,367,000","-14,551,000","-29,329,000","-98,739,000","-12,383,000","-6,320,000","-14,603,000","-6,785,000","-6,484,000","-9,853,000","-1,121,000","-4,151,000","-6,054,000","-6,103,000","-6,302,000","-6,469,000","-3,585,000","-211,000","-67,000","-386,000","111,000","256,000","-1,692,000","-1,258,000","-978,000","-417,000","-541,000","-571,000","-382,000","-1,113,000","-1,622,000","-2,973,000","-1,759,000","-3,348,000","-127,000","-1,132,000","-1,246,000","129,000","-860,000","-150,000","523,000","1,114,000","303,000","-7,270,000","-38,000","265,000","-541,000","173,000","-2,144,000","-31,414,000","-2,185,000","-18,715,000","-23,089,000","-1,110,000","-2,373,000","-9,367,000","-13,606,000","-25,061,000","-46,000","5,452,000","-4,860,000","-33,995,000","-11,753,000","1,409,000","-13,817,000","443,000","-32,695,000","-43,137,000","-3,835,000","3,618,000","11,451,000","5,111,000","1,618,000","-6,000,000","-24,200,000","-1,500,000","-1,800,000","2,500,000","2,500,000","2,200,000","-6,700,000","2,200,000","2,100,000","2,200,000","1,800,000","1,300,000","-33,800,000","900,000","800,000","800,000","900,000","700,000","400,000","300,000","-400,000","200,000","200,000","200,000"
	SpecialIncomeCharges,"146,255,000","14,423,000","-1,771,000","134,243,000","-640,000","-844,000","-46,536,000","-2,157,000","-1,560,000","-5,307,000","-1,742,000","358,000","-4,847,000","-3,908,000","-4,074,000","5,498,000","-59,266,000","-16,346,000","-30,500,000","-98,332,000","-13,272,000","-9,640,000","-16,557,000","-8,033,000","-8,368,000","-10,912,000","-6,488,000","-3,683,000","-5,092,000","-5,852,000","-6,015,000","-6,644,000","-3,356,000","-59,000","-72,000","-106,000","-100,000","1,508,000","-1,692,000","-1,258,000","-978,000","-417,000","-541,000","-571,000","-382,000","-1,113,000","-1,622,000","-2,973,000","-1,759,000","-3,348,000","-127,000","-1,132,000","-1,246,000","129,000","-860,000","-150,000","523,000","1,114,000","303,000","-7,270,000","-38,000","265,000","-541,000","173,000","-2,144,000","-31,414,000","-2,185,000","-18,715,000","-23,089,000","-1,110,000","-2,373,000","-9,367,000","-13,606,000","-25,061,000","-46,000","5,452,000","-4,860,000","-33,995,000","-11,753,000","1,409,000","-13,817,000","443,000","-32,695,000","-43,137,000","-3,835,000","3,618,000","11,451,000","5,111,000","1,618,000","-6,000,000","-24,200,000","-1,500,000","-1,800,000","2,500,000","2,500,000","2,200,000","-6,700,000","2,200,000","2,100,000","2,200,000","1,800,000","1,300,000","-33,800,000","900,000","800,000","800,000","900,000","700,000","400,000","300,000","-400,000","200,000","200,000","200,000"
		RestructuringAndMergernAcquisition,"6,055,000","2,342,000","1,771,000","1,302,000","640,000","844,000","1,722,000","2,157,000","1,560,000","5,307,000","1,742,000","-358,000","2,772,000","10,855,000","17,114,000","19,962,000","59,266,000","16,346,000","30,500,000","98,332,000","13,272,000","9,640,000","16,557,000","8,033,000","8,368,000","10,912,000","6,488,000","3,683,000","5,092,000","5,852,000","6,015,000","6,644,000","3,356,000","59,000","72,000","106,000","100,000","294,000","944,000","1,182,000",,"0","0","0","0","813,000","1,249,000","2,330,000","3,511,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
