name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003
		SellingAndMarketingExpense,"11,855,000,000","3,464,000,000","3,111,000,000","2,736,000,000","2,544,000,000","2,632,000,000","2,377,000,000","2,275,000,000","2,390,000,000","2,346,000,000","2,063,000,000","1,824,000,000","1,697,000,000","1,643,000,000","1,588,000,000","1,504,000,000","1,329,000,000","1,364,305,000","1,184,733,000","1,170,749,000","1,109,504,000","1,089,243,000","997,993,000","934,931,000","895,860,000","890,375,000","818,820,000","793,691,000","736,938,000","736,140,000","709,643,000","671,958,000","639,355,000","639,792,000","581,229,000","480,621,000","466,490,000","435,570,000","428,507,000","380,160,000","369,789,000","327,567,000","304,571,000","283,001,000","254,471,000","233,217,000","200,544,000","182,401,000","175,867,000","168,552,000","152,166,000","146,214,000","138,267,000",,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"4,465,000,000","1,291,000,000","1,203,000,000","1,020,000,000","951,000,000","939,000,000","902,000,000","898,000,000","859,000,000","831,000,000","774,000,000","607,000,000","554,000,000","518,000,000","481,000,000","463,000,000","424,000,000","396,547,000","393,998,000","386,447,000","376,081,000","344,192,000","311,459,000","291,506,000","260,970,000","250,860,000","239,212,000","234,100,000","222,128,000","205,990,000","195,460,000","203,109,000","188,358,000","173,090,000","170,690,000","148,079,000","131,939,000","121,187,000","114,074,000","99,442,000","94,776,000","80,613,000","76,049,000","73,393,000","65,292,000","57,530,000","47,305,000","42,930,000","40,122,000","36,447,000","32,763,000","31,103,000","31,584,000","29,460,000","26,270,000","24,033,000","19,767,000","17,703,000","16,892,000","15,096,000","14,121,000","13,331,000","11,450,000","11,008,000","8,825,000","6,956,000","6,602,000","5,470,000","4,302,000","3,159,000","2,462,000","2,074,000","2,127,000",,,,"1,240,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-285,000",,,,,,,,
OperatingIncome,"548,000,000","-176,000,000","38,000,000","332,000,000","354,000,000","193,000,000","224,000,000","178,000,000","-140,000,000","-36,000,000","65,000,000","224,000,000","210,000,000","137,000,000","92,000,000","115,000,000","191,000,000","77,869,000","115,988,000","50,793,000","-8,882,000","-23,345,000","3,036,000","32,551,000","51,986,000","20,560,000","43,434,000","19,824,000","31,105,000","-34,816,000","-22,042,000","-33,434,000","-55,341,000","-103,746,000","-97,931,000","-39,857,000","-44,540,000","-20,807,000","-54,188,000","-13,466,000","-22,249,000","-6,377,000","-10,157,000","-15,748,000","-2,803,000","-391,000","35,156,000","29,682,000","33,050,000","25,519,000","30,141,000","29,489,000","30,123,000","16,090,000","16,133,000","16,098,000","15,421,000","10,730,000","6,118,000","3,347,000","114,000","-2,076,000","-123,000","-1,279,000","-120,000","5,252,000","6,387,000","4,193,000","4,270,000","3,221,000","1,773,000","1,165,000","361,000","-68,300,000","24,006,000","24,006,000","14,318,000"
NetNonOperatingInterestIncomeExpense,,,,,,,,,,,,"-3,000,000",,"-25,000,000","-27,000,000","-27,000,000","-14,000,000","-9,514,000","-11,519,000","-12,881,000","-16,549,000","-20,383,000","-18,304,000","-14,162,000","-14,238,000","-15,238,000","-14,549,000","-14,927,000","-13,626,000","-13,804,000","-14,962,000","-15,747,000","-18,595,000","-21,260,000","-21,671,000","-16,282,000","-8,486,000","-5,973,000","-4,303,000","-3,118,000","-1,909,000","-3,181,000","1,277,000","1,266,000","4,384,000","-3,326,000","4,325,000","1,550,000","-7,060,000","-20,987,000","7,211,000","7,454,000","4,322,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,"31,000,000",,"16,000,000","13,000,000","12,000,000","20,000,000","12,047,000","10,038,000","8,748,000","5,647,000","3,940,000","3,642,000","6,546,000","7,773,000","4,227,000","3,700,000","3,169,000","3,049,000","3,078,000","2,720,000","2,567,000","1,764,000","1,483,000","1,258,000","3,374,000","3,397,000","2,382,000","3,887,000","4,915,000","4,461,000","2,488,000","5,136,000","5,112,000","8,055,000","-36,000","11,699,000","8,735,000",,,"7,211,000","7,454,000","5,334,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,"34,000,000",,"41,000,000","40,000,000","39,000,000","34,000,000","21,561,000","21,557,000","21,629,000","22,196,000","24,323,000","21,946,000","20,708,000","22,011,000","19,465,000","18,249,000","18,096,000","16,675,000","16,882,000","17,682,000","18,314,000","20,359,000","22,743,000","22,929,000","19,656,000","11,883,000","8,355,000","8,190,000","8,033,000","6,370,000","5,669,000","3,859,000","3,846,000","3,671,000","3,290,000","7,374,000","7,185,000","7,060,000",,,,"1,012,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"984,000,000","-21,000,000","261,000,000","494,000,000","250,000,000","232,000,000","1,026,000,000","661,000,000","187,000,000","32,000,000","-1,000,000","-57,000,000","272,000,000","127,000,000","63,000,000","143,000,000","208,000,000","19,862,000","1,932,000","-7,459,000","2,468,000","20,259,000","2,682,000","5,894,000","-593,000","-9,465,000","14,506,000","2,061,000","594,000","-4,878,000","15,155,000","-3,788,000","-10,833,000","1,859,000","-4,439,000","-665,000","-917,000","737,000","-4,360,000","2,552,000","-710,000","2,023,000","30,000","-3,231,000","-800,000","8,096,000","-921,000","-1,765,000","5,902,000","30,146,000","-336,000","-1,072,000","371,000","252,000","534,000","-840,000","-763,000","-595,000","1,557,000","280,000","169,000","1,463,000","309,000","137,000","-599,000","88,000","-74,000","666,000","329,000","163,000","-176,000","5,000","20,000",,,,
	GainOnSaleOfSecurity,"1,262,000,000","40,000,000","374,000,000","546,000,000","302,000,000","260,000,000","1,036,000,000","682,000,000","192,000,000","31,000,000","6,000,000","109,000,000","281,000,000","125,000,000","63,000,000","143,000,000","207,000,000","-268,000","11,000","6,000","-381,000","-313,000","900,000","5,370,000","13,213,000","-237,000","-193,000","114,000","1,512,000","-95,000","-98,000","88,000","14,000","-116,000","-148,000","1,013,000","-43,000","4,041,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-51,000,000","-6,000,000","-11,000,000","-20,000,000","-14,000,000","0","0","0",,"0","0","-166,000,000",,,,,,,,,,"0","0",,,"0","21,792,000",,,"0","15,625,000",,,,,,,,"-4,360,000","2,552,000","-710,000",,"30,000","-3,231,000","-800,000","8,096,000","-921,000","-1,765,000","5,902,000","30,146,000","-336,000","-1,072,000","371,000","252,000","534,000","-840,000","-763,000","-595,000","1,557,000","280,000","169,000","1,463,000","309,000","137,000","-599,000","88,000","-74,000","666,000","329,000","163,000","-176,000","5,000","20,000",,,,
