name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
TotalRevenue,"54,968,000,000","14,364,000,000","14,837,000,000","13,885,000,000","11,882,000,000","10,706,000,000","9,712,000,000","8,354,000,000","9,770,000,000","10,204,000,000","10,764,000,000","11,014,000,000","13,582,000,000","22,618,000,000","12,634,000,000","12,789,000,000","14,899,000,000"
	OperatingRevenue,"54,968,000,000","14,364,000,000","14,837,000,000","13,885,000,000","11,882,000,000","10,706,000,000","9,712,000,000","8,354,000,000","9,770,000,000","10,204,000,000","10,764,000,000","11,014,000,000","13,582,000,000","22,618,000,000","12,634,000,000","12,789,000,000","14,899,000,000"
CostOfRevenue,"44,191,000,000","11,778,000,000","11,611,000,000","10,740,000,000","10,062,000,000","9,135,000,000","8,371,000,000","7,610,000,000","8,230,000,000","8,718,000,000","9,377,000,000","9,420,000,000","10,707,000,000","16,729,000,000","10,456,000,000","10,540,000,000","11,552,000,000"
GrossProfit,"10,777,000,000","2,586,000,000","3,226,000,000","3,145,000,000","1,820,000,000","1,571,000,000","1,341,000,000","744,000,000","1,540,000,000","1,486,000,000","1,387,000,000","1,594,000,000","2,875,000,000","5,889,000,000","2,178,000,000","2,249,000,000","3,347,000,000"
OperatingExpense,"2,890,000,000","748,000,000","713,000,000","768,000,000","661,000,000","723,000,000","665,000,000","639,000,000","613,000,000","604,000,000","682,000,000","734,000,000","1,216,000,000","2,653,000,000","719,000,000","824,000,000","1,296,000,000"
	SellingGeneralAndAdministration,"1,645,000,000","436,000,000","403,000,000","440,000,000","366,000,000","408,000,000","372,000,000","357,000,000","334,000,000","332,000,000","388,000,000","422,000,000","701,000,000","1,470,000,000","409,000,000","485,000,000","751,000,000"
		GeneralAndAdministrativeExpense,"1,645,000,000","436,000,000","403,000,000","440,000,000",,,"372,000,000",,"334,000,000","332,000,000","388,000,000","422,000,000","701,000,000","1,470,000,000","409,000,000","485,000,000","751,000,000"
			OtherGandA,"1,645,000,000","436,000,000","403,000,000","440,000,000",,,"372,000,000",,"334,000,000","332,000,000","388,000,000","422,000,000","701,000,000","1,470,000,000","409,000,000","485,000,000","751,000,000"
	ResearchAndDevelopment,"857,000,000","225,000,000","210,000,000","228,000,000","194,000,000","214,000,000","193,000,000","182,000,000","179,000,000","173,000,000","194,000,000","208,000,000","361,000,000","914,000,000","193,000,000","221,000,000","386,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"388,000,000","87,000,000","100,000,000","100,000,000","101,000,000","101,000,000","100,000,000","100,000,000","100,000,000","99,000,000","100,000,000","104,000,000","154,000,000","269,000,000","117,000,000","118,000,000","159,000,000"
		DepreciationAndAmortizationInIncomeStatement,"388,000,000","87,000,000","100,000,000","100,000,000","101,000,000","101,000,000","100,000,000","100,000,000","100,000,000","99,000,000","100,000,000","104,000,000","154,000,000","269,000,000","117,000,000","118,000,000","159,000,000"
			Amortization,"388,000,000","87,000,000","100,000,000","100,000,000","101,000,000","101,000,000","100,000,000","100,000,000","100,000,000","99,000,000","100,000,000","104,000,000","154,000,000","269,000,000","117,000,000","118,000,000","159,000,000"
				AmortizationOfIntangiblesIncomeStatement,"388,000,000","87,000,000","100,000,000","100,000,000","101,000,000","101,000,000","100,000,000","100,000,000","100,000,000","99,000,000","100,000,000","104,000,000","154,000,000","269,000,000","117,000,000","118,000,000","159,000,000"
OperatingIncome,"7,887,000,000","1,838,000,000","2,513,000,000","2,377,000,000","1,159,000,000","848,000,000","676,000,000","105,000,000","927,000,000","882,000,000","705,000,000","860,000,000","1,659,000,000","3,236,000,000","1,459,000,000","1,425,000,000","2,051,000,000"
NetNonOperatingInterestIncomeExpense,"-676,000,000","-150,000,000","-164,000,000","-174,000,000","-188,000,000","-199,000,000","-196,000,000","-194,000,000","-200,000,000","-199,000,000","-214,000,000","-216,000,000","-247,000,000","-288,000,000","-236,000,000","-243,000,000","-270,000,000"
	InterestIncomeNonOperating,"55,000,000","20,000,000","14,000,000","13,000,000","8,000,000","11,000,000","6,000,000","6,000,000","15,000,000","23,000,000","19,000,000","21,000,000",,"49,000,000","22,000,000","18,000,000",
	InterestExpenseNonOperating,"731,000,000","170,000,000","178,000,000","187,000,000","196,000,000","210,000,000","202,000,000","200,000,000","215,000,000","222,000,000","233,000,000","237,000,000","247,000,000","337,000,000","258,000,000","261,000,000","270,000,000"
OtherIncomeExpense,"934,000,000","430,000,000","-101,000,000","253,000,000","352,000,000","1,167,000,000","-438,000,000","-94,000,000","-331,000,000","-2,879,000,000","-54,000,000","-429,000,000","-554,000,000","-234,000,000","-229,000,000","-123,000,000","-41,000,000"
