name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
OperatingIncome,"257,000,000","35,000,000","74,000,000","51,000,000","97,000,000","17,930,000","69,332,000","62,266,000","49,335,000","28,512,000","56,324,000","-27,000,000","-15,713,000","278,000","9,568,000","-31,989,000","-20,283,000","-13,132,000","-7,055,000","-38,737,000","-42,490,000","-23,603,000","-26,775,000","-48,278,000","-54,152,000","-30,858,000","-28,040,000","-53,235,000","-54,232,000","-36,684,000","-34,499,000","-44,471,000","-36,181,000","-19,361,000","-14,650,000","-19,343,000","-12,913,000","-9,538,000","-13,347,000","-9,117,000","-5,582,000","-4,163,000"
NetNonOperatingInterestIncomeExpense,"-8,000,000","-2,000,000","-2,000,000","-2,000,000","-1,000,000","-958,000","265,000","1,987,000","5,443,000","5,439,000","6,191,000","6,158,000","4,338,000","3,630,000","-3,759,000","-8,015,000","-9,896,000","-10,404,000","-12,020,000","-8,193,000","-6,100,000","-6,338,000","-6,340,000","-6,284,000","-6,284,000","-6,498,000","-6,587,000","-6,633,000","-6,630,000","-8,952,000","-5,949,000","-5,231,000","-5,963,000","-4,326,000","600,000","-1,323,000","119,000","456,000","615,000",,"492,000","-1,446,000"
	InterestIncomeNonOperating,"20,000,000","5,000,000","5,000,000","5,000,000","6,000,000","6,750,000","8,245,000","10,475,000","14,013,000","13,914,000","14,562,000","14,427,000","12,506,000","12,568,000","7,474,000","7,483,000","7,168,000","6,409,000","4,546,000","3,144,000","2,578,000","2,194,000","2,049,000","1,964,000","1,825,000","1,475,000","1,252,000","1,074,000","948,000","20,107,000","-5,949,000","-5,231,000","-5,963,000","-4,326,000","600,000","-1,323,000","119,000","456,000",,,,
	InterestExpenseNonOperating,"28,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,708,000","7,980,000","8,078,000","8,156,000","6,869,000","8,371,000","8,269,000","8,168,000","6,276,000","11,233,000","15,498,000","17,064,000","14,042,000","16,566,000","11,337,000","8,678,000","6,747,000","8,389,000","8,248,000","8,109,000","6,305,000","7,839,000","7,707,000","7,578,000","10,358,000","5,949,000","5,231,000","5,963,000","4,326,000",,"1,323,000",,,,,,
	TotalOtherFinanceCost,,,,,,,,"410,000","414,000",,,,,,,,,,,,,,,,,"4,796,000","11,791,000","7,186,000","2,874,000","-15,585,000","5,949,000","5,231,000","5,963,000","4,326,000","-600,000","1,323,000",,"-456,000","-615,000",,"-492,000","1,446,000"
OtherIncomeExpense,"20,000,000","4,000,000","-4,000,000","1,000,000","3,000,000","-3,612,000","-44,164,000","-2,223,000","-6,416,000","235,000","-1,745,000","4,527,000","-81,000","-1,953,000","1,421,000","-845,000","22,819,000","-1,344,000","-3,693,000","-10,974,000","5,138,000","-904,000","-266,000","296,000","-271,123,000","1,702,000","-5,204,000","-553,000","3,756,000",,,,,,,,,,,"41,000",,
	GainOnSaleOfSecurity,,,,,"5,000,000","-863,000","-3,322,000","-3,346,000","-6,545,000","43,000","-1,951,000","1,437,000","-123,000","354,000","527,000","1,585,000","24,852,000","-837,000","-4,119,000","-11,195,000","5,034,000","-986,000","-303,000","374,000","-1,333,000","1,822,000","-5,063,000","-534,000","3,826,000",,,,,,,,,,,,,
	SpecialIncomeCharges,"-3,000,000","0","0",,,"-4,957,000","-40,750,000",,,"0","0","0",,"4,000",,"-3,093,000",,"0","0","0","0","0","0","0","-270,000,000",,,,,,,,,,,,,,,"41,000",,
		OtherSpecialCharges,"3,000,000","0",,,,"4,957,000","40,750,000",,,,,,,"-4,000",,"3,093,000",,,,,,"0",,,"270,000,000",,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"3,000,000","-1,000,000","-4,000,000","1,000,000","-2,000,000","2,208,000","-92,000","1,123,000","129,000","192,000","206,000","3,090,000","42,000","-2,311,000","894,000","663,000","-2,033,000","-507,000","426,000","221,000","104,000","82,000","37,000","-78,000","210,000","-120,000","-141,000","-19,000","-70,000",,,,,,,,,,,,,
PretaxIncome,"249,000,000","32,000,000","68,000,000","50,000,000","99,000,000","13,360,000","25,433,000","62,030,000","48,362,000","34,186,000","60,770,000","-16,315,000","-11,456,000","1,955,000","7,230,000","-40,849,000","-7,360,000","-24,880,000","-22,768,000","-57,904,000","-43,452,000","-30,845,000","-33,381,000","-54,266,000","-331,559,000","-35,654,000","-39,831,000","-60,421,000","-57,106,000","-43,246,000","-40,448,000","-49,702,000","-42,144,000","-23,687,000","-14,050,000","-20,666,000","-12,794,000","-9,082,000","-12,732,000","-9,076,000","-5,090,000","-5,609,000"
TaxProvision,"19,000,000","6,000,000","5,000,000","-9,000,000","17,000,000","-3,288,000","12,575,000","21,264,000","131,000","-564,538,000","20,172,000","-5,236,000","-9,911,000","-5,060,000","-1,175,000","11,897,000","-17,982,000","2,927,000","1,420,000","-1,431,000","-2,790,000","1,744,000","2,877,000","-4,641,000","1,773,000","1,724,000","1,199,000","1,504,000","987,000","1,417,000","602,000","661,000","1,167,000","545,000","663,000","739,000","564,000","849,000","321,000","-352,000","550,000","1,075,000"
