name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
	DepreciationAmortizationDepletionIncomeStatement,"147,000,000","38,000,000","38,000,000","37,000,000","34,000,000","27,000,000","27,000,000","27,000,000","25,000,000","29,000,000","28,000,000","25,000,000","15,000,000","15,000,000","13,000,000","11,000,000","11,000,000","12,000,000","27,000,000","25,000,000","25,000,000","24,000,000","25,000,000","25,000,000","25,000,000","24,000,000","34,000,000","35,000,000","35,000,000","35,000,000","40,000,000","41,000,000","41,000,000","41,000,000","40,000,000","40,000,000","40,000,000","40,000,000","39,000,000","39,000,000","39,000,000","39,000,000","39,000,000","38,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","39,000,000","36,000,000","36,000,000","36,000,000","-61,185,000","70,414,000","69,994,000","66,777,000","-42,491,000","59,848,000","31,075,000","31,032,000","31,063,000","2,393,000","2,029,000","2,029,000","2,028,000","2,540,000","1,656,000","1,281,000","201,000","283,000","232,000","231,000","231,000","231,000","231,000","232,000","221,000","201,000","201,000","201,000","2,613,000","2,613,000","2,614,000","2,614,000","2,613,000","2,613,000","2,514,000","2,413,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"147,000,000","38,000,000","38,000,000","37,000,000","34,000,000","27,000,000","27,000,000","27,000,000","25,000,000","29,000,000","28,000,000","25,000,000","15,000,000","15,000,000","13,000,000","11,000,000","11,000,000","12,000,000","27,000,000","25,000,000","25,000,000","24,000,000","25,000,000","25,000,000","25,000,000","24,000,000","34,000,000","35,000,000","35,000,000","35,000,000","40,000,000","41,000,000","41,000,000","41,000,000","40,000,000","40,000,000","40,000,000","40,000,000","39,000,000","39,000,000","39,000,000","39,000,000","39,000,000","38,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","39,000,000","36,000,000","36,000,000","36,000,000","-61,185,000","70,414,000","69,994,000","66,777,000","-42,491,000","59,848,000","31,075,000","31,032,000","31,063,000","2,393,000","2,029,000","2,029,000","2,028,000","2,540,000","1,656,000","1,281,000","201,000","283,000","232,000","231,000","231,000","231,000","231,000","232,000","221,000","201,000","201,000","201,000","2,613,000","2,613,000","2,614,000","2,614,000","2,613,000","2,613,000","2,514,000","2,413,000",,,,
			Amortization,"147,000,000","38,000,000","38,000,000","37,000,000","34,000,000","27,000,000","27,000,000","27,000,000","25,000,000","29,000,000","28,000,000","25,000,000","15,000,000","15,000,000","13,000,000","11,000,000","11,000,000","12,000,000","27,000,000","25,000,000","25,000,000","24,000,000","25,000,000","25,000,000","25,000,000","24,000,000","34,000,000","35,000,000","35,000,000","35,000,000","40,000,000","41,000,000","41,000,000","41,000,000","40,000,000","40,000,000","40,000,000","40,000,000","39,000,000","39,000,000","39,000,000","39,000,000","39,000,000","38,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","39,000,000","36,000,000","36,000,000","36,000,000","-61,185,000","70,414,000","69,994,000","66,777,000","-42,491,000","59,848,000","31,075,000","31,032,000","31,063,000","2,393,000","2,029,000","2,029,000","2,028,000","2,540,000","1,656,000","1,281,000","201,000","283,000","232,000","231,000","231,000","231,000","231,000","232,000","221,000","201,000","201,000","201,000","2,613,000","2,613,000","2,614,000","2,614,000","2,613,000","2,613,000","2,514,000","2,413,000",,,,
				AmortizationOfIntangiblesIncomeStatement,"147,000,000","38,000,000","38,000,000","37,000,000","34,000,000","27,000,000","27,000,000","27,000,000","25,000,000","29,000,000","28,000,000","25,000,000","15,000,000","15,000,000","13,000,000","11,000,000","11,000,000","12,000,000","27,000,000","25,000,000","25,000,000","24,000,000","25,000,000","25,000,000","25,000,000","24,000,000","34,000,000","35,000,000","35,000,000","35,000,000","40,000,000","41,000,000","41,000,000","41,000,000","40,000,000","40,000,000","40,000,000","40,000,000","39,000,000","39,000,000","39,000,000","39,000,000","39,000,000","38,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","39,000,000","36,000,000","36,000,000","36,000,000","-61,185,000","70,414,000","69,994,000","66,777,000","-42,491,000","59,848,000","31,075,000","31,032,000","31,063,000","2,393,000","2,029,000","2,029,000","2,028,000","2,540,000","1,656,000","1,281,000","201,000","283,000","232,000","231,000","231,000","231,000","231,000","232,000","221,000","201,000","201,000","201,000","2,613,000","2,613,000","2,614,000","2,614,000","2,613,000","2,613,000","2,514,000","2,413,000",,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-904,448,000",,,,,"-772,442,000","-294,050,000","-264,050,000","-295,633,000","-256,712,000",,"-189,494,000","-183,501,000",,"-193,375,000",,"-105,959,000","-96,959,000","-95,198,000",,"-88,685,000","-82,034,000","-81,636,000","-101,990,000","-96,178,000","-86,375,000","-92,250,000","-92,554,000","-91,789,000","-88,868,000","-90,775,000","-78,249,000","-75,942,000","-71,138,000","-69,400,000",,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,000,000","14,000,000","16,000,000","18,000,000","20,000,000","21,000,000","22,000,000","23,000,000","26,000,000","27,000,000","26,000,000","24,000,000","23,000,000","26,000,000","27,000,000",,"618,353,000",,"1,529,136,000","-1,691,920,000","772,071,000","573,167,000","479,075,000","1,284,817,000","502,802,000","451,704,000","532,253,000","450,635,000","167,074,000","330,935,000","319,554,000","655,346,000","357,208,000","89,636,000","180,388,000","165,096,000","161,998,000","63,397,000","152,029,000","141,675,000","139,623,000","181,736,000","169,743,000","149,998,000","161,198,000","163,810,000","163,909,000","160,094,000","163,360,000","139,379,000","136,371,000",,,,
OperatingIncome,"7,488,000,000","2,041,000,000","1,965,000,000","1,930,000,000","1,552,000,000","1,847,000,000","1,758,000,000","1,405,000,000","1,303,000,000","1,586,000,000","1,499,000,000","1,303,000,000","1,247,000,000","1,341,000,000","1,432,000,000","1,443,000,000","1,382,000,000","1,489,000,000","1,394,000,000","1,242,000,000","1,147,000,000","1,225,000,000","1,209,000,000","1,173,000,000","1,039,000,000","1,137,000,000","1,222,000,000","1,238,000,000","1,067,000,000","1,194,000,000","1,157,000,000","1,122,000,000","1,051,000,000","1,133,000,000","966,000,000","849,000,000","909,000,000","1,005,000,000","875,000,000","829,000,000","815,000,000","840,000,000","777,000,000","866,000,000","798,000,000","940,000,000","707,000,000","697,000,000","654,000,000","389,000,000","357,000,000","261,000,000","293,000,000","376,784,000","453,536,000","404,990,000","395,690,000","467,716,000","271,718,000","282,001,000","272,231,000","246,083,000","29,008,000","96,683,000","100,027,000","112,396,000","79,669,000","81,895,000","66,582,000","55,826,000","-22,376,000","62,581,000","75,864,000","-10,997,000","118,633,000","54,802,000","54,066,000","55,003,000","55,496,000","54,705,000","49,935,000","43,016,000","42,532,000","42,708,000","41,920,000","39,672,000","36,926,000","34,322,000","32,118,000","-238,757,000","127,100,000","90,700,000","90,700,000"
NetNonOperatingInterestIncomeExpense,"-118,000,000","-4,000,000","-34,000,000","-44,000,000","-36,000,000","-26,000,000","-45,000,000","-41,000,000","-31,000,000","-22,000,000","-35,000,000","-32,000,000","-17,000,000","-5,000,000","-17,000,000","-27,000,000","-31,000,000","-32,000,000","-31,000,000","-35,000,000","-58,000,000","-44,000,000","-30,000,000","-45,000,000","-46,000,000","-46,000,000","-38,000,000","-47,000,000","-47,000,000","-52,000,000","-51,000,000","-57,000,000","-43,000,000","-48,000,000","-44,000,000","-49,000,000","-48,000,000","-48,000,000","-47,000,000","-44,000,000","-40,000,000","-39,000,000","-37,000,000","-37,000,000","-29,000,000","-25,000,000","-27,000,000","-33,000,000","-36,000,000","-19,000,000","-11,000,000","-11,000,000","-7,000,000","-2,033,000","2,868,000","-2,796,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"87,000,000","46,000,000","14,000,000","8,000,000","19,000,000","28,000,000","9,000,000","10,000,000","15,000,000","29,000,000","19,000,000","20,000,000","29,000,000","41,000,000","29,000,000","19,000,000","15,000,000","14,000,000","15,000,000","13,000,000","7,000,000","7,000,000","22,000,000","6,000,000","5,000,000","5,000,000","12,000,000","5,000,000","4,000,000","6,000,000","10,000,000","3,000,000","10,000,000","4,000,000","8,000,000","4,000,000","6,000,000","9,000,000","10,000,000","8,000,000","9,000,000","9,000,000","12,000,000","4,000,000","9,000,000","10,000,000","10,000,000","5,000,000","4,000,000","4,000,000","4,000,000","4,000,000","8,000,000","13,132,000","19,605,000","13,924,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"205,000,000","50,000,000","48,000,000","52,000,000","55,000,000","54,000,000","54,000,000","51,000,000","46,000,000","51,000,000","54,000,000","52,000,000","46,000,000","46,000,000","46,000,000","46,000,000","46,000,000","46,000,000","46,000,000","48,000,000","65,000,000","51,000,000","52,000,000","51,000,000","51,000,000","51,000,000","50,000,000","52,000,000","51,000,000","58,000,000","61,000,000","60,000,000","53,000,000","52,000,000","52,000,000","53,000,000","54,000,000","57,000,000","57,000,000","52,000,000","49,000,000","48,000,000","49,000,000","41,000,000","38,000,000","35,000,000","37,000,000","38,000,000","40,000,000","23,000,000","15,000,000","15,000,000","15,000,000","15,165,000","16,737,000","16,720,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
