name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
			NetIncomeDiscontinuousOperations,,,,,,,,,,"0","0","0","0","0","0",,"-10,000","-15,000","-19,000","-23,000","-53,000","-167,000","-118,000","-148,000","-489,000","-2,331,000","-22,383,000","67,000","-423,000","-411,000","-259,000","-255,000","3,031,000","-1,742,000","-9,084,000","-18,055,000","-5,627,000","-12,354,000","-3,447,000","31,482,000","42,329,000","1,683,000","0","0","0","20,658,000","542,000","5,544,000","460,000","397,000","120,000","42,219,000","28,288,000","14,740,000","622,000","27,659,000","954,000","0","0","134,661,000",,"0","0","0","0","5,336,000","0","0","0","20,727,000","0","0","0","63,485,000","1,220,000","467,000","0","0","0","22,851,000",,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,"18,000","35,827,000","48,000","214,985,000","458,280,000","719,000","43,289,000","66,424,000","-144,000","5,739,000","26,184,000","4,160,000","265,000","7,469,000","6,686,000","1,456,000","3,625,000","11,889,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,158,000","0","-6,919,000",,"-1,322,000","0","0","0","0","0","0","-4,207,000",,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,158,000",,"-6,919,000",,,,,,"0",,,"-4,207,000",,,,
		MinorityInterests,"-7,551,000","-1,749,000","-2,094,000","-1,897,000","-1,811,000","-1,502,000","-986,000","2,065,000","-1,613,000","-1,450,000","-1,659,000","-1,369,000","-1,803,000","-1,029,000","-1,309,000","-2,781,000","-1,395,000","-1,251,000","-1,233,000","-1,137,000","-1,021,000","-1,195,000","-732,000","-278,000","-54,000","-332,000","-265,000","-529,000","-365,000","-455,000","-569,000","-168,000","-227,000","-219,000","-303,000","47,000","-905,000","141,000","61,000","289,000","534,000","451,000","901,000","-58,000","-62,000","-1,119,000","-996,000","-898,000","-549,000","-697,000","-625,000","-802,000","-741,000","-621,000","-1,040,000","-545,000","-478,000","-610,000","-675,000","-408,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"5,199,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"49,008,000","-40,854,000","60,680,000","86,391,000","-57,209,000","110,451,000","12,751,000","-157,170,000","473,117,000","11,443,000","85,259,000","210,529,000","125,785,000","62,273,000","101,972,000","166,519,000","78,703,000","392,554,000","613,958,000","151,831,000","198,127,000","207,637,000","149,452,000","143,162,000","148,980,000","124,728,000","22,852,000","149,821,000","120,442,000","107,190,000","109,132,000","138,398,000","121,047,000","108,440,000","118,296,000","114,580,000","112,193,000","86,267,000","111,882,000","74,025,000","90,626,000","192,948,000","102,885,000","19,676,000","48,984,000","77,583,000","57,898,000","58,067,000","52,619,000","54,081,000","49,805,000","88,381,000","74,228,000","58,475,000","64,695,000","71,066,000","32,052,000","29,401,000","28,014,000","174,598,000","45,106,000","40,797,000","32,241,000","29,258,000","29,134,000","47,221,000","28,721,000","27,068,000","27,573,000","46,674,000","25,297,000","25,654,000","23,275,000","77,124,000","32,212,000","16,129,000","37,288,000","9,444,000","17,093,000","26,468,000","12,701,000","22,725,000","9,157,000","8,105,000","10,579,000","-84,278,000","8,581,000","7,512,000","2,733,000","-10,965,000","13,000,000","20,200,000","20,300,000"
BasicEPS,,"-0.1","0.16","0.23","-0.15","0.29","0.03","-0.42","1.27","0.03","0.23","0.58","0.35","0.17","0.29","0.47","0.22",,"1.72","0.43","0.56","0.59","0.43","0.42","0.44",,"0.07","0.45","0.37",,"0.37","0.47","0.41","0.37","0.4","0.39","0.38","0.29","0.38","0.26","0.31",,"0.36","0.11","0.31",,"0.37","0.37","0.34",,"0.32","0.57","0.52",,"0.46","0.51","0.24",,"0.21","1.49","0.43",,"0.31","0.28","0.28",,"0.28","0.31","0.33",,"0.3","0.31","0.28",,"0.41","0.2","0.47",,"0.25","0.38","0.18",,"0.13","0.12","0.16",,"0.13","0.11","0.04",,"0.19","0.3","0.3"
DilutedEPS,,"-0.1","0.16","0.23","-0.15","0.29","0.03","-0.42","1.26","0.03","0.23","0.58","0.35","0.17","0.28","0.46","0.22",,"1.71","0.42","0.55","0.58","0.42","0.42","0.44",,"0.07","0.45","0.37",,"0.37","0.47","0.41","0.37","0.4","0.39","0.38","0.29","0.38","0.25","0.31",,"0.35","0.11","0.3",,"0.37","0.37","0.34",,"0.32","0.57","0.52",,"0.46","0.51","0.23",,"0.21","1.48","0.42",,"0.31","0.28","0.28",,"0.28","0.3","0.32",,"0.3","0.3","0.28",,"0.4","0.2","0.47",,"0.24","0.38","0.18",,"0.13","0.12","0.15",,"0.13","0.11","0.04",,"0.19","0.3","0.3"
BasicAverageShares,,"399,142,000","381,996,000","375,067,000","374,669,000","374,473,000","373,177,000","372,982,000","372,829,000","372,663,000","372,426,000","361,722,000","356,853,000","356,389,000","356,318,000","356,228,000","356,112,000",,"355,929,000","355,024,000","354,410,000","353,911,000","350,274,000","338,901,000","335,559,000",,"332,491,000","330,715,000","325,454,000",,"294,030,000","293,988,000","293,875,000","293,674,000","292,818,000","292,635,000","291,455,000","294,704,000","294,928,000","290,170,000","288,375,000",,"287,365,000","176,262,000","160,420,000",,"156,631,000","156,611,000","156,453,000",,"156,250,000","154,441,000","143,091,000",,"140,759,000","138,133,000","136,381,000",,"133,205,000","117,419,000","106,044,000",,"104,021,000","103,884,000","103,751,000",,"103,081,000","88,574,000","84,657,000",,"84,073,000","83,820,000","81,703,000",,"79,389,000","78,935,000","78,834,000",,"69,098,000","68,850,000","68,698,000",,"68,491,000","68,409,000","68,222,000",,"68,038,000","68,027,000","67,898,000",,"68,421,053","67,333,333","67,666,667"
DilutedAverageShares,,"403,108,000","385,523,000","378,408,000","377,922,000","377,696,000","376,295,000","376,024,000","375,997,000","376,453,000","376,625,000","365,553,000","360,619,000","359,989,000","359,355,000","359,000,000","358,853,000",,"359,333,000","358,311,000","357,572,000","357,435,000","354,186,000","342,571,000","339,202,000",,"336,338,000","334,026,000","329,203,000",,"296,495,000","296,504,000","296,245,000","296,047,000","295,190,000","295,123,000","293,924,000","297,089,000","297,407,000","292,592,000","290,813,000",,"290,794,000","177,945,000","162,023,000",,"157,941,000","157,441,000","156,967,000",,"156,516,000","154,510,000","143,145,000",,"141,141,000","138,737,000","136,673,000",,"133,503,000","117,825,000","106,775,000",,"104,568,000","104,374,000","104,300,000",,"103,880,000","89,350,000","85,400,000",,"84,889,000","84,565,000","82,760,000",,"80,258,000","79,575,000","79,296,000",,"70,047,000","70,002,000","69,844,000",,"69,584,000","69,307,000","68,872,000",,"68,224,000","68,101,000","67,912,000",,"68,421,053","67,333,333","67,666,667"
