name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994
		DepreciationAndAmortizationInIncomeStatement,"897,835,000","333,229,000","198,832,000","187,789,000","177,985,000","175,041,000","169,084,000","168,328,000","164,585,000","156,594,000","149,424,000","150,426,000","137,517,000","137,711,000","136,967,000","133,999,000","131,103,000","127,033,000","127,569,000","123,089,000","121,097,000","117,751,000","113,917,000","110,342,000","107,933,000","105,739,000","104,338,000","101,101,000","98,037,000","96,537,000","95,260,000","92,894,000","89,970,000","84,974,000","80,869,000","77,698,000","69,808,000","41,315,000","37,806,000","35,475,000","35,250,000","34,209,000","31,869,000","29,001,000","26,810,000","24,892,000","24,100,000","23,524,000","23,255,000","22,667,000","22,930,000","22,961,000","22,951,000","22,934,000","22,869,000","22,916,000","22,960,000","21,060,000","19,564,000","18,518,000","18,125,000","16,531,000","14,641,000","14,801,000","13,551,000","13,145,000","11,290,000","11,243,000","10,817,000","10,259,000","10,283,000","10,205,000","9,789,000","9,046,000","8,272,000","8,265,000","8,073,000","8,025,000","7,920,000","7,421,000","7,474,000","7,523,000","7,234,000","7,158,000","7,210,000","8,498,000","6,913,000","6,844,000","6,748,000",,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"405,000",,,,,,,,,,,,,,,,,"-29,767,000","-27,404,000","-26,673,000","-25,320,000","-24,101,000","-22,394,000","-19,511,000","-19,841,000","-18,635,000",,,"-15,968,000","-15,753,000","-14,626,000","-14,280,000","-14,266,000","-13,722,000",,"-11,813,000","-11,832,000","-11,676,000",,,"-10,989,000","-10,814,000",,,"-10,027,000",,,"-9,581,000","-9,045,000","-8,947,000",,"-9,000,000","-8,500,000","-8,100,000","-8,100,000","-7,800,000","-7,500,000","-7,100,000",,"-6,500,000","-6,200,000","-6,300,000","-6,100,000","-5,700,000","-5,700,000","-6,100,000","-5,700,000","-6,000,000","-5,900,000","-5,700,000","5,200,000","-17,400,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"405,000",,"367,000","368,000",,,"335,000","277,000","277,000","-5,719,000","1,702,000","308,000","303,000","2,021,000","2,086,000","1,311,000","31,428,000","28,717,000","27,842,000","26,637,000","25,231,000","23,590,000","20,394,000","20,757,000","46,101,000","67,657,000","1,223,000","17,190,000","34,947,000","32,859,000","32,358,000","15,258,000","14,646,000","-51,557,000","19,377,000","19,310,000","18,496,000","1,040,000","1,257,000","12,209,000","11,765,000","-19,098,000","7,479,000","17,617,000","9,793,000","-49,251,000","18,570,000","16,982,000","17,282,000",,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"952,043,000","274,041,000","239,568,000","222,910,000","215,524,000","199,226,000","193,564,000","200,793,000","203,186,000","199,352,000","188,009,000","175,097,000","180,104,000","152,955,000","168,976,000","160,697,000","154,956,000","151,749,000","148,203,000","144,814,000","144,288,000","139,122,000","135,476,000","132,041,000","131,760,000","132,065,000","130,148,000","125,213,000","121,992,000","115,053,000","116,658,000","114,038,000","108,139,000","100,389,000","95,909,000","91,263,000","86,502,000","73,271,000","71,145,000","68,805,000","67,769,000","68,931,000","66,586,000","63,982,000","61,093,000","60,022,000","54,810,000","51,331,000","50,846,000","52,451,000","52,423,000","51,479,000","51,457,000","52,659,000","52,483,000","52,281,000","53,258,000","52,768,000","47,066,000","45,020,000","46,955,000","46,525,000","39,700,000","36,432,000","10,053,000","35,599,000","32,487,000","31,302,000","12,676,000","13,341,000","12,549,000","30,083,000","28,521,000","51,190,000","19,117,000","18,055,000","18,042,000","25,683,000","24,565,000","22,912,000","22,845,000","43,332,000","14,380,000","13,312,000","12,522,000","43,328,000","12,120,000","11,925,000","11,588,000","-27,632,000","35,300,000","31,600,000","30,400,000","-38,496,000","27,900,000","26,400,000","25,100,000","-22,686,000","22,600,000","21,200,000","20,600,000","-25,532,000","18,500,000","18,200,000","19,200,000","-26,218,000","17,800,000","17,400,000","16,700,000","13,900,000","26,900,000"
NetNonOperatingInterestIncomeExpense,"-320,739,000","-100,014,000","-75,422,000","-72,950,000","-72,353,000","-77,748,000","-75,683,000","-76,535,000","-75,239,000","-74,379,000","-72,716,000","-71,802,000","-69,342,000","-70,304,000","-69,607,000","-67,420,000","-61,422,000","-63,500,000","-63,319,000","-63,209,000","-58,378,000","-56,409,000","-55,003,000","-55,300,000","-54,900,000","-56,076,000","-58,770,000","-57,781,000","-57,410,000","-57,809,000","-52,292,000","-51,728,000","-51,663,000","-50,833,000","-49,107,000","-40,838,000","-41,468,000","-35,065,000","-29,720,000","-28,806,000","-28,952,000","-28,983,000","-28,550,000","-25,647,000","-25,122,000","-25,131,000","-25,135,000","-21,576,000","-21,395,000","-21,377,000","-21,374,000","-21,367,000","-21,410,000","-22,726,000","-23,915,000","-23,929,000",,,,,,,,,,"-11,869,000","-10,228,000",,,,,,,,,,,"-6,209,000","-5,919,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"13,847,000","12,652,000","673,000","258,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"319,090,000","108,360,000","72,127,000","69,585,000","68,754,000","73,848,000","72,141,000","73,167,000","71,543,000","70,865,000","69,206,000","68,648,000","66,232,000","65,919,000","67,176,000","64,962,000","59,211,000","60,639,000","60,494,000","60,100,000","55,315,000","53,324,000","52,188,000","52,435,000","52,019,000","53,149,000","55,825,000","54,870,000","54,598,000","54,956,000","49,532,000","49,046,000","49,044,000","48,152,000","46,746,000","38,656,000","38,877,000","28,825,000","29,720,000","28,806,000","28,952,000","28,983,000","28,550,000","25,647,000","25,122,000","25,131,000","25,135,000","21,576,000","21,395,000","21,377,000","21,374,000","21,367,000","21,410,000","22,726,000","23,915,000","23,929,000",,,,,,,,,,"11,869,000","10,228,000",,,,,,,,,,,"6,209,000","5,919,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"15,496,000","4,306,000","3,968,000","3,623,000","3,599,000","3,900,000","3,542,000","3,368,000","3,696,000","3,514,000","3,510,000","3,154,000","3,110,000","4,385,000","2,431,000","2,458,000","2,211,000","2,861,000","2,825,000","3,109,000","3,063,000","3,085,000","2,815,000","2,865,000","2,881,000","2,927,000","2,945,000","2,911,000","2,812,000","2,853,000","2,760,000","2,682,000","2,619,000","2,681,000","2,361,000","2,182,000","2,591,000",,"10,512,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-238,900,000","-159,432,000","-22,791,000","-15,967,000","-40,710,000","1,172,000","-90,146,000","-13,350,000","21,959,000","6,316,000","-12,196,000","-6,720,000","1,913,000","4,259,000","1,216,000","4,628,000","-8,996,000","-23,874,000","4,322,000","95,000","4,172,000","10,461,000","-2,377,000","280,000","-5,412,000","7,843,000","-2,820,000","-454,000","4,073,000","22,233,000","9,958,000","481,000","-469,000","-240,000","-836,000","1,133,000","-12,030,000","-5,208,000","-5,495,000",,,,,,,,,,,,,,,,,,,,,,,"0","-1,555,000",,,,,,,,,,,,"316,000","296,000","276,000",,,"1,126,000","365,000",,,"325,000",,,"789,000","938,000","662,000",,"1,200,000",,,"0",,"300,000","200,000",,"600,000","200,000","200,000","300,000","300,000","200,000","700,000",,,,,,
	GainOnSaleOfSecurity,"53,603,000","21,557,000","8,986,000","14,577,000","8,483,000","24,962,000","14,949,000","519,000","36,256,000","15,266,000","1,307,000","6,341,000","6,585,000","5,494,000","8,078,000","8,579,000","5,225,000","25,231,000","4,687,000","2,369,000","9,605,000","14,170,000","6,386,000","6,549,000","-3,489,000","9,221,000","1,044,000","2,776,000","6,160,000","23,683,000","10,453,000","980,000","1,214,000","188,000","-596,000","1,738,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"316,000","296,000","276,000",,,"1,126,000","365,000",,,"325,000",,,"789,000","938,000",,,"1,200,000",,,"0",,"300,000","200,000",,"600,000","200,000","200,000","300,000","300,000","200,000","700,000",,,,,,
