name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,141,000","-393,000","-378,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"830,284,000","126,791,000","235,876,000","338,586,000","129,031,000","74,350,000","148,233,000","205,857,000","42,532,000","25,798,000","104,540,000","172,523,000","38,386,000","25,969,000","92,337,000","162,042,000","33,541,000","17,259,000","81,928,000","154,186,000","30,998,000","9,743,000","74,166,000","142,420,000","29,530,000","5,979,000","65,512,000","129,132,000","15,599,000","-732,000","58,457,000","122,499,000","8,646,000","-6,814,000","53,375,000","111,993,000","6,932,000","-10,297,000","47,957,000","108,134,000","6,021,000","-14,343,000","40,913,000","97,921,000","576,000","-16,783,000","37,047,000","88,869,000","-7,888,000","-21,776,000","32,142,000","81,720,000","-3,646,000","-15,328,000","38,617,000","89,990,000","2,197,000","-12,796,000","39,505,000","98,433,000","8,632,000","-4,070,000","53,092,000","103,338,000","15,022,000","3,768,000","42,393,000","82,795,000","11,301,000","-3,616,000","36,949,000","72,589,000","7,672,000","-3,902,000","31,220,000","57,189,000","3,520,000","-4,466,000","24,447,000","48,375,000","4,331,000","-3,136,000","21,767,000","42,549,000","2,982,000","-3,857,000","16,739,000","32,905,000","2,457,000","-4,400,000","13,400,000","27,100,000","1,600,000","-4,900,000","10,000,000","20,400,000","-1,300,000","-3,500,000","6,900,000","11,600,000","200,000","-5,000,000","4,100,000","9,900,000","700,000","-130,200,000","47,200,000","66,700,000","25,800,000","-85,500,000","28,600,000","44,900,000","18,100,000"
NetNonOperatingInterestIncomeExpense,"-8,639,000","-1,777,000","-2,317,000","-1,963,000","-2,582,000","-3,061,000","-1,861,000","-2,643,000","-4,789,000","-5,234,000","-5,498,000","-6,424,000","-6,616,000","-6,447,000","-4,931,000","-5,991,000","-3,527,000","-3,581,000","-4,009,000","-3,952,000","-3,647,000","-4,527,000","-2,989,000","-4,001,000","-2,964,000","-1,704,000","-2,473,000","-1,900,000","-1,995,000","-1,794,000","-1,864,000","-1,894,000","-1,933,000","-1,509,000","-1,544,000","-2,081,000","-1,614,000","-1,105,000","-1,687,000","-2,200,000","-1,477,000","-2,854,000","-1,641,000","-1,824,000","-1,645,000","-1,961,000","-376,000","-1,928,000","-2,354,000","-686,000","-2,504,000","-3,150,000","-3,327,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"8,639,000","1,777,000","2,317,000","1,963,000","2,582,000","3,061,000","1,861,000","2,643,000","4,789,000","5,234,000","5,498,000","6,424,000","6,616,000","6,447,000","4,931,000","5,991,000","3,527,000","3,581,000","4,009,000","3,952,000","3,647,000","4,527,000","2,989,000","4,001,000","2,964,000","1,704,000","2,473,000","1,900,000","1,995,000","1,794,000","1,864,000","1,894,000","1,933,000","1,509,000","1,544,000","2,081,000","1,614,000","1,105,000","1,687,000","2,200,000","1,477,000","2,854,000","1,641,000","1,824,000","1,645,000","1,961,000","376,000","1,928,000","2,354,000","686,000","2,504,000","3,150,000","3,327,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,"5,234,000","5,498,000","6,424,000","6,616,000","6,447,000","4,931,000","5,991,000","3,527,000","3,581,000","4,009,000","3,952,000","3,647,000","4,527,000","2,989,000","4,001,000","2,964,000","1,704,000","2,473,000","1,900,000","1,995,000","1,794,000","1,864,000","1,894,000","1,933,000","1,509,000","1,544,000","2,081,000","1,614,000","1,105,000",,,"1,477,000",,,,,,"376,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"2,500,000","1,100,000","1,400,000",,,"0",,,"-6,944,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-6,946,000",,,,,,,,,,"106,000","27,000","-27,312,000","674,000",,"-2,741,000","1,707,000","783,000","-1,446,000","-374,000","1,481,000","986,000","-1,171,000","84,000","1,525,000","1,038,000","-1,050,000","-905,000","1,912,000","1,942,000","-1,482,000",,,,,,,,,,,,,"165,000","357,000","636,000","213,000","74,000","49,000","256,000","238,000","300,000","300,000","-1,000,000","300,000","500,000","100,000","200,000","300,000","800,000","100,000",,,"600,000","200,000",,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,000","27,000","-27,312,000","674,000",,"-2,741,000","1,707,000","783,000","-1,446,000","-374,000","1,481,000","986,000","-1,171,000","84,000","1,525,000","1,038,000","-1,050,000","-905,000","1,912,000",,"-1,482,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"2,500,000","1,100,000","1,400,000","0","0","0","0","0","-6,944,000",,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","-6,946,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,942,000",,,,,,,,,,,,,,"165,000","357,000","636,000","213,000","74,000","49,000","256,000","238,000","300,000","300,000","-1,000,000","300,000","500,000","100,000","200,000","300,000","800,000","100,000",,,"600,000","200,000",,,,,,,,,,
		ImpairmentOfCapitalAssets,"-2,500,000","-1,100,000","-1,400,000","0","0","0","0","0","6,944,000",,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","6,946,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"824,145,000","126,114,000","234,959,000","336,623,000","126,449,000","71,289,000","146,372,000","203,214,000","30,799,000","20,564,000","99,042,000","166,099,000","31,770,000","19,522,000","87,406,000","156,051,000","30,014,000","13,678,000","77,919,000","150,234,000","27,351,000","5,216,000","71,177,000","138,419,000","26,566,000","4,275,000","63,039,000","127,232,000","13,604,000","-2,526,000","56,593,000","120,605,000","6,713,000","-8,323,000","51,831,000","109,912,000","5,318,000","-11,402,000","39,324,000","105,934,000","4,544,000","-17,197,000","39,272,000","96,097,000","-1,069,000","-18,744,000","36,671,000","86,941,000","-10,242,000","-22,462,000","29,638,000","78,570,000","-6,973,000","-19,540,000","34,028,000","84,903,000","-2,827,000","-18,179,000","33,156,000","92,536,000","4,113,000","-8,283,000","48,816,000","99,482,000","12,171,000","1,650,000","41,062,000","80,890,000","10,221,000","-4,498,000","36,081,000","71,467,000","6,689,000","-4,909,000","30,157,000","55,675,000","2,435,000","-5,582,000","23,285,000","46,889,000","3,118,000","-5,252,000","20,735,000","41,394,000","1,708,000","-4,583,000","15,801,000","32,023,000","1,981,000","-4,700,000","12,900,000","25,200,000","1,100,000","-5,000,000","9,100,000","19,400,000","-1,900,000","-3,600,000","5,600,000","10,300,000","-1,000,000","-5,500,000","3,600,000","9,200,000","200,000",,,,,,,,
