name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003
InterestExpense,"166,183,000","45,578,000","39,670,000","40,240,000","40,695,000","41,016,000","43,446,000","42,272,000","45,567,000","46,019,000","48,094,000","48,633,000","48,522,000","49,359,000","47,066,000","44,523,000","42,175,000","41,595,000","41,034,000","38,746,000","37,239,000","37,088,000","34,737,000","34,042,000","32,592,000","31,741,000","21,616,000","23,507,000","22,128,000","21,072,000","21,360,000","21,321,000","20,260,000","20,095,000","17,098,000","18,475,000","17,366,000","19,502,000","18,423,000","15,854,000","18,515,000","18,323,000","17,196,000","16,701,000","16,842,000","15,335,000","16,118,000","16,649,000","17,678,000","18,676,000","18,127,000","16,379,000","16,636,000","16,391,000","15,904,000","15,962,000",,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-116,480,000","-32,746,000","-27,941,000","-27,402,000","-28,391,000","-32,312,000","-40,301,000","-40,603,000","-43,893,000","-44,457,000","-45,295,000","-46,915,000","-47,134,000","-48,064,000","-45,695,000","-43,335,000","-40,737,000","-40,060,000","-39,633,000","-37,261,000","-34,924,000","-34,425,000","-32,166,000","-31,205,000","-29,665,000","-28,708,000","-20,047,000","-21,867,000","-20,059,000","-19,420,000","-19,961,000","-19,397,000","-18,778,000","-18,653,000","-15,683,000","-17,130,000","-15,969,000","-17,658,000","-16,749,000","-14,194,000","-17,027,000","-16,640,000","-15,798,000","-15,300,000","-15,447,000","-13,939,000","-14,727,000","-15,226,000","-16,140,000","-16,980,000","-16,669,000","-14,846,000","-14,891,000","-14,355,000","-13,411,000","-13,880,000",,,,,,,,,,,,,,,,,,,,
EBIT,"1,064,265,000","333,430,000","246,262,000","224,240,000","260,333,000","211,122,000","171,957,000","156,706,000","163,908,000","169,026,000","168,141,000","164,037,000","152,495,000","161,776,000","189,391,000","149,333,000","138,947,000","265,381,000","145,272,000","135,711,000","130,097,000","132,347,000","166,429,000","127,855,000","124,764,000","46,639,000","103,377,000","86,648,000","83,012,000","72,791,000","79,547,000","70,842,000","64,299,000","105,104,000","51,731,000","58,434,000","53,305,000","86,445,000","45,158,000","39,535,000","34,258,000","36,062,000","32,613,000","27,253,000","25,425,000","24,981,000","24,952,000","24,229,000","22,401,000","21,133,000","26,427,000","10,641,000","21,275,000","23,713,000","24,342,000","21,908,000","21,980,000","23,732,000","22,714,000","19,731,000","17,621,000","17,103,000","16,527,000","14,866,000","11,156,000","11,132,000","10,121,000","5,875,000","5,226,000","9,439,000","3,360,000","1,501,000","18,601,000","-2,422,000","1,057,000","1,734,000"
EBITDA,"1,306,144,000"
ReconciledCostOfRevenue,"398,096,000","102,375,000","100,303,000","95,890,000","99,528,000","94,725,000","99,511,000","95,898,000","96,975,000","95,545,000","96,297,000","87,852,000","85,732,000","79,116,000","81,372,000","78,554,000","78,360,000","72,781,000","76,702,000","71,099,000","70,565,000","67,332,000","66,434,000","66,371,000","65,423,000","62,848,000","52,486,000","51,492,000","50,172,000","45,640,000","46,224,000","44,930,000","46,049,000","39,774,000","37,249,000","35,664,000","36,347,000","34,523,000","31,494,000","27,436,000","28,444,000","26,705,000","25,866,000","24,094,000","24,959,000","24,023,000","23,070,000","22,398,000","23,179,000","21,544,000","24,286,000","24,438,000","24,128,000","22,759,000","22,793,000","22,233,000",,,,,,,,,,,,,,,,,,,,
ReconciledDepreciation,"241,879,000","62,194,000","61,516,000","59,570,000","58,599,000","56,739,000","56,412,000","56,018,000","55,275,000","54,741,000","56,051,000","54,406,000","54,659,000","53,126,000","52,283,000","51,892,000","51,749,000","49,157,000","48,075,000","46,632,000","49,432,000","49,158,000","46,555,000","43,950,000","42,897,000","40,766,000","30,711,000","31,552,000","30,428,000","29,181,000","29,249,000","28,271,000","28,375,000","25,994,000","23,428,000","22,785,000","23,025,000","21,535,000","19,768,000","16,626,000","16,524,000","15,973,000","14,364,000","14,092,000","13,585,000","13,209,000","12,519,000","12,202,000","12,419,000","13,243,000","13,797,000","12,840,000","12,523,000","13,933,000","12,355,000","11,697,000","11,581,000","11,284,000","10,598,000","9,123,000","8,796,000","9,586,000","9,253,000","9,057,000","9,276,000","9,527,000","9,535,000","6,213,000","5,730,000","4,729,000","5,057,000","2,551,000","3,215,000","2,219,000","1,688,000","1,466,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"827,649,000","268,427,000","188,276,000","167,948,000","202,998,000","156,056,000","114,633,000","102,911,000","108,179,000","112,282,000","108,087,000","104,828,000","94,770,000","101,462,000","130,418,000","95,153,000","88,256,000","215,961,000","93,764,000","87,006,000","82,282,000","82,403,000","118,088,000","83,044,000","82,592,000","8,675,000","71,718,000","55,339,000","53,742,000","45,122,000","54,228,000","41,665,000","37,340,000","76,940,000","29,245,000","34,466,000","31,425,000","36,076,000","38,606,000","22,413,000","20,214,000","16,278,000","15,261,000","10,609,000","8,301,000","8,916,000","7,667,000","6,180,000","3,568,000","5,932,000","5,967,000","-7,541,000","30,525,000","18,960,000","12,327,000","8,901,000","6,700,000","9,591,000","11,338,000","8,695,000","6,470,000","6,739,000","4,307,000","3,092,000","738,000","-247,000","-2,859,000","-1,220,000","-640,000","-317,000","-5,077,000","-7,036,000","-6,032,000","-8,527,000","-3,812,000","-2,373,000"
TotalUnusualItemsExcludingGoodwill,"140,760,000","76,877,000",,,"63,883,000","18,075,000",,,,"0",,"1,205,000",,"0","30,807,000",,,"118,808,000","0","-6,019,000","0","-4,336,000","-1,933,000","8,220,000","-5,597,000","-63,698,000","821,000","-4,154,000","-869,000","-7,665,000","-2,936,000","-9,178,000","-2,056,000","-4,896,000","-11,580,000","117,000","-452,000","-1,787,000",,,"5,429,000",,,,,,"0","0","0","352,000",,"5,093,000","22,483,000","7,970,000",,,,,,,,,,,,,,,,"-3,523,000",,"0","-171,000",,,"672,000"
TotalUnusualItems,"140,760,000","76,877,000",,,"63,883,000","18,075,000",,,,"0",,"1,205,000",,"0","30,807,000",,,"118,808,000","0","-6,019,000","0","-4,336,000","-1,933,000","8,220,000","-5,597,000","-63,698,000","821,000","-4,154,000","-869,000","-7,665,000","-2,936,000","-9,178,000","-2,056,000","-4,896,000","-11,580,000","117,000","-452,000","-1,787,000",,,"5,429,000",,,,,,"0","0","0","352,000",,"5,093,000","22,483,000","7,970,000",,,,,,,,,,,,,,,,"-3,523,000",,"0","-171,000",,,"672,000"
NormalizedEBITDA,"1,165,384,000","318,747,000","307,778,000","283,810,000","255,049,000","267,861,000","228,369,000","212,724,000","219,183,000","223,767,000","224,192,000","217,238,000","207,154,000","214,902,000","210,867,000","201,225,000","190,696,000","195,730,000","193,347,000","188,362,000","179,529,000","185,841,000","214,917,000","163,585,000","173,258,000","151,103,000","133,267,000","122,354,000","114,309,000","109,637,000","111,732,000","108,291,000","94,730,000","135,994,000","86,739,000","81,102,000","76,782,000","107,980,000","64,926,000","56,161,000","45,353,000","52,035,000","46,977,000","41,345,000","39,010,000","38,190,000","37,471,000","36,431,000","34,820,000","34,024,000","40,224,000","18,388,000","11,315,000","29,676,000","36,697,000","33,605,000","33,561,000","35,016,000","33,312,000","28,854,000","26,417,000","26,689,000","25,780,000","23,923,000","20,432,000","20,659,000","19,656,000","12,088,000","10,956,000","17,691,000","8,417,000","4,590,000","21,987,000","-203,000","2,745,000","2,528,000"
TaxRateForCalcs,"0.023","0.014","0.033","0.029","0.019","0.022","0.036","0.028","0.018","0.022","0.034","0.024","0.017","0.028","0.019","0.02","0.014","0.4","0.03","0.03","0.034","0.051","0.034","0.04","0.03","0.212","0.044","0.035","0.037","0.043","0.35","0.071","0.064","0.033","0.066","0.072","0.056","0.018","0.062","0.069","0.06","0.031","0.35","0.039","0.03","0.084","0.123","0.16","0.221","0.35","0.087","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"3,185,462.174","1,066,682.663","0","0","1,203,270.705","0","0","0","0","0","0","28,348.887","0","0","571,009.071","0","0","47,523,200","0","-177,965.998","0","-220,443.717","-65,552.79","330,594.481","-167,900.284","-13,485,265.942","35,757.647","-143,749.545","-32,085.803","-330,941.143","-1,027,600","-651,083.661","-132,121.075","-163,393.899","-762,682.413","8,368.227","-25,254.348","0","0","0","327,609.096","0","0","0","0","0","0","0","0","123,200","0","1,782,550","7,869,050","2,789,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1,409,200","0","0","-68,400","0","0","268,800"
