name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005
BasicAverageShares,,"82,473,000","82,470,000","82,454,000","82,640,000","82,737,000","83,602,000","83,666,000","84,870,000","84,802,000","84,765,000","84,750,000","84,253,000","86,968,000","88,796,000","89,112,000","90,075,000","90,130,000","90,112,000","90,404,000","90,708,000","93,327,000","94,823,000","96,412,000","99,425,000","102,837,000","108,773,000","112,143,000","112,520,000","112,299,000","116,251,000","116,702,000","117,582,000","118,828,000","119,607,000","121,149,000","120,746,000","122,082,000","122,261,000","122,030,000","121,754,000",,"120,831,000","120,592,000","120,282,000",,"118,339,000","105,345,000","105,235,000",,"100,402,000","100,360,000","100,286,000",,"100,052,000","100,026,000","100,011,000",,"83,900,000","29,323,000","29,323,000",,"83,900,000","83,900,000","83,900,000",,"83,900,000","83,900,000","83,900,000"
DilutedAverageShares,,"83,578,000","83,554,000","83,295,000","83,493,000","83,707,000","84,479,000","84,349,000","85,548,000","85,546,000","85,550,000","85,393,000","85,649,000","89,495,000","91,372,000","91,585,000","92,587,000","92,467,000","91,868,000","91,708,000","91,624,000","93,845,000","95,473,000","96,888,000","99,998,000","103,590,000","109,440,000","112,931,000","113,522,000","113,289,000","117,163,000","117,664,000","118,597,000","119,877,000","120,578,000","122,069,000","121,702,000","122,995,000","123,450,000","123,295,000","123,113,000",,"122,303,000","122,235,000","122,013,000",,"120,341,000","106,003,000","105,844,000",,"102,717,000","101,915,000","101,471,000",,"101,698,000","101,282,000","100,728,000",,"83,900,000","29,323,000","29,323,000",,"83,900,000","83,900,000","83,900,000",,"83,900,000","83,900,000","83,900,000"
TotalOperatingIncomeAsReported,"1,072,725,000","280,587,000","280,230,000","257,533,000","254,375,000","234,085,000","227,620,000","215,175,000","207,884,000","199,429,000","201,219,000","192,378,000","162,675,000","169,818,000","176,403,000","173,511,000","167,166,000","153,955,000","148,663,000","145,968,000","130,602,000","126,012,000","123,260,000","125,691,000","113,141,000","107,543,000","109,102,000","98,511,000","88,742,000","85,094,000","84,036,000","88,531,000","79,505,000","91,371,000","92,436,000","97,172,000","90,527,000","95,307,000","83,529,000","87,121,000","80,979,000","81,633,000","82,245,000","82,691,000","75,429,000","70,720,000","41,449,000","46,697,000","47,257,000","43,756,000","37,798,000","36,654,000","32,784,000","30,202,000","37,519,000","33,448,000","34,690,000","40,262,000","32,853,000","28,115,000",,,,,,,,,
TotalExpenses,"954,806,000","269,255,000","236,869,000","224,634,000","224,048,000","209,576,000","197,713,000","194,441,000","208,896,000","207,177,000","193,032,000","193,180,000","208,706,000","191,870,000","181,531,000","189,535,000","184,150,000","180,824,000","173,434,000","170,121,000","170,605,000","166,800,000","165,173,000","164,905,000","165,687,000","165,350,000","159,669,000","172,069,000","174,027,000","166,011,000","167,625,000","165,695,000","160,183,000","176,251,000","165,802,000","160,726,000","161,382,000","151,773,000","151,915,000","151,466,000","148,102,000","144,376,000","143,783,000","143,752,000","143,438,000","140,655,000","154,331,000","78,473,000","74,423,000","75,034,000","71,070,000","72,721,000","73,131,000","77,214,000","72,880,000","74,747,000","70,261,000","61,396,000","59,554,000","59,796,000",,,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"725,983,000","193,865,000","169,876,000","165,423,000","196,819,000","156,216,000","182,358,000","115,123,000","148,125,000","122,783,000","136,983,000","125,690,000","178,192,000","152,132,000","123,832,000","116,829,000","115,092,000","64,602,000","85,153,000","81,266,000","72,951,000","68,250,000","65,281,000","66,957,000","60,367,000","59,406,000","64,398,000","56,017,000","43,827,000","44,340,000","51,714,000","107,660,000","80,399,000","47,257,000","55,310,000","61,053,000","58,937,000","54,452,000","48,274,000","37,546,000","43,966,000","44,486,000","49,787,000","45,660,000","33,521,000","30,266,000","10,319,000","24,067,000","27,518,000","24,535,000","20,924,000","19,618,000","16,724,000","12,825,000","18,878,000","18,631,000","17,934,000","18,239,000","21,379,000","20,747,000","20,747,000","17,861,000","17,861,000","17,861,000","17,861,000","13,560,000","13,560,000","13,560,000","13,560,000"
NormalizedIncome,"739,529,998","193,865,000","169,876,000","178,953,985","196,819,000","156,216,000","182,358,000","115,123,000","148,125,000","122,783,000","136,983,000","125,690,000","178,192,000","152,132,000","123,832,000","116,829,000","115,092,000","64,602,000","85,153,000","81,266,000","72,951,000","68,250,000","65,281,000","66,957,000","60,367,000","59,999,000","64,398,000","56,017,000","49,624,000","43,269,000","51,724,000","56,803,000","47,146,000","47,257,000","55,310,000","61,053,000","58,937,000","53,220,718.292","48,831,494.007","37,869,915.475","44,339,046.41","43,660,070.671","48,381,187.755","45,937,335.229","39,850,175.015","33,007,050","15,179,050","24,129,147.664","27,136,337.386","24,491,069.276","20,819,724.482","19,616,772.801","17,283,051.279","15,616,464.223","20,896,863.303","18,571,523.054","17,849,120.097","18,149,950","21,249,111.486","20,730,095.666","20,747,000","15,843,000","15,843,000","15,843,000","15,843,000","12,612,000","12,612,000","12,612,000","12,612,000"
InterestIncome,"1,497,000","368,000","396,000","347,000","386,000","301,000","475,000","771,000","3,483,000","5,299,000","3,673,000","3,345,000","4,086,000","6,096,000","6,522,000","4,281,000","2,770,000","2,237,000","1,835,000","1,310,000","932,000","901,000","799,000","585,000","621,000","492,000","285,000","185,000","204,000","226,000","277,000","192,000","156,000","261,000","265,000","237,000","268,000","242,000","252,000","237,000","223,000","335,000","184,000","186,000","143,000","128,000","114,000","343,000","408,000","339,000","373,000","220,000","121,000",,,,,,,,,,,,,,,,
InterestExpense,"159,614,000","40,336,000","42,137,000","39,557,000","37,584,000","37,330,000","37,536,000","41,227,000","40,231,000","40,289,000","35,922,000","35,915,000","35,915,000","35,891,000","35,902,000","31,761,000","29,560,000","29,027,000","29,020,000","29,027,000","29,024,000","29,039,000","26,790,000","22,918,000","22,904,000","22,896,000","17,267,000","11,116,000","11,108,000","15,791,000","5,604,000","5,366,000","5,059,000","6,914,000","5,827,000","6,504,000","7,020,000","7,178,000","7,314,000","29,581,000","12,355,000","13,267,000","13,113,000","12,852,000","16,587,000","17,495,000","20,415,000","8,991,000","4,436,000","4,513,000","4,628,000","4,904,000","5,638,000",,,,,,,,,,,,,,,,
NetInterestIncome,"-158,117,000","-39,968,000","-41,741,000","-39,210,000","-37,198,000","-37,029,000","-37,061,000","-40,456,000","-36,748,000","-34,990,000","-32,249,000","-32,570,000","-31,829,000","-29,795,000","-29,380,000","-27,480,000","-26,790,000","-26,790,000","-27,185,000","-27,717,000","-28,092,000","-28,138,000","-25,991,000","-22,333,000","-22,283,000","-22,404,000","-16,982,000","-10,931,000","-10,904,000","-15,565,000","-5,327,000","-5,174,000","-4,903,000","-6,653,000","-5,562,000","-6,267,000","-6,752,000","-6,936,000","-7,062,000","-29,344,000","-12,132,000","-12,932,000","-12,929,000","-12,666,000","-16,444,000","-17,367,000","-20,301,000","-8,648,000","-4,028,000","-4,174,000","-4,255,000","-4,684,000","-5,517,000",,,,,,,,,,,,,,,,
EBIT,"1,017,750,000","286,099,000","242,787,000","235,252,000","253,612,000","232,496,000","226,579,000","180,394,000","203,080,000","186,822,000","204,670,000","195,660,000","164,207,000","223,180,000","182,748,000","188,084,000","168,998,000","155,987,000","149,823,000","146,538,000","130,649,000","126,134,000","124,312,000","123,462,000","113,681,000","108,332,000","116,309,000","98,532,000","88,768,000","86,519,000","85,600,000","89,449,000","78,590,000","91,478,000","92,074,000","97,763,000","90,571,000","95,493,000","82,908,000","86,842,000","80,594,000","83,395,000","83,412,000","82,494,000","69,931,000","68,574,000","41,039,000","46,942,000","48,273,000","44,166,000","38,339,000","36,876,000","32,023,000","30,202,000","37,519,000","33,448,000","34,690,000","40,262,000","32,853,000","28,115,000","87,911,000","-149,728,000","77,675,000","77,675,000","77,675,000","-135,231,000","69,619,000","69,619,000","69,619,000"
EBITDA,"1,151,875,000"
ReconciledCostOfRevenue,"318,039,000","89,526,000","83,548,000","65,313,000","79,652,000","69,947,000","64,660,000","64,428,000","68,620,000","70,154,000","70,486,000","77,558,000","76,763,000","73,757,000","70,906,000","71,368,000","71,304,000","69,306,000","68,491,000","68,595,000","67,521,000","63,819,000","62,986,000","62,130,000","63,172,000","64,804,000","65,593,000","76,753,000","82,653,000","77,455,000","78,876,000","76,816,000","72,468,000","84,727,000","80,040,000","83,359,000","80,185,000","74,191,000","68,350,000","73,243,000","72,291,000","69,121,000","68,968,000","68,840,000","70,218,000","69,131,000","69,741,000","30,463,000","29,291,000","32,214,000","28,247,000","29,269,000","28,935,000","32,877,000","26,739,000","29,489,000","31,102,000","29,733,000","28,985,000","31,304,000",,,,,,,,,
ReconciledDepreciation,"134,125,000","35,329,000","27,040,000","43,417,000","28,339,000","28,039,000","27,871,000","27,553,000","27,332,000","20,778,000","19,570,000","13,835,000","25,226,000","19,944,000","19,134,000","26,914,000","19,543,000","19,678,000","19,939,000","20,281,000","20,089,000","20,945,000","20,064,000","20,336,000","20,008,000","19,371,000","19,759,000","19,760,000","18,909,000","19,211,000","17,916,000","17,363,000","20,057,000","20,802,000","20,382,000","19,755,000","19,566,000","20,410,000","20,592,000","20,621,000","20,375,000","20,746,000","21,091,000","21,591,000","21,802,000","22,224,000","21,284,000","7,833,000","7,671,000","9,333,000","9,298,000","9,400,000","9,480,000","9,697,000","8,517,000","7,647,000","7,609,000","7,070,000","7,138,000","6,266,000",,,,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"725,983,000","193,865,000","169,876,000","165,423,000","196,819,000","156,216,000","182,358,000","115,123,000","148,125,000","122,783,000","136,983,000","125,690,000","178,192,000","152,132,000","123,832,000","116,829,000","115,092,000","64,602,000","85,153,000","81,266,000","72,951,000","68,250,000","65,281,000","66,957,000","60,367,000","59,999,000","64,398,000","56,017,000","49,624,000","43,269,000","51,724,000","56,803,000","47,146,000","47,257,000","55,310,000","61,053,000","58,937,000","54,452,000","48,274,000","37,546,000","43,966,000","44,486,000","49,787,000","45,660,000","33,521,000","30,266,000","10,319,000","24,067,000","27,518,000","24,535,000","20,924,000","19,618,000","16,724,000","12,825,000","18,878,000","18,631,000","17,934,000","18,239,000","21,379,000","20,747,000","20,747,000","15,843,000","15,843,000","15,843,000","15,843,000","12,612,000","12,612,000","12,612,000","12,612,000"
TotalUnusualItemsExcludingGoodwill,"-16,013,000","0","0","-16,013,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","1,997,000","-873,000","-494,000","-579,000","1,302,000","1,985,000","-423,000","-10,072,000","-4,217,000","-7,477,000","-98,000","608,000","71,000","168,000","2,000","-882,000","-4,435,000","-3,224,000","97,000","136,000","137,000","200,000","27,000",,,,,,,,,
TotalUnusualItems,"-16,013,000","0","0","-16,013,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","1,997,000","-873,000","-494,000","-579,000","1,302,000","1,985,000","-423,000","-10,072,000","-4,217,000","-7,477,000","-98,000","608,000","71,000","168,000","2,000","-882,000","-4,435,000","-3,224,000","97,000","136,000","137,000","200,000","27,000",,,,,,,,,
NormalizedEBITDA,"1,167,888,000","321,428,000","269,827,000","294,682,000","281,951,000","260,535,000","254,450,000","207,947,000","230,412,000","207,600,000","224,240,000","215,078,000","189,433,000","243,124,000","201,882,000","214,998,000","188,541,000","175,665,000","169,762,000","166,819,000","150,738,000","147,079,000","144,376,000","143,798,000","133,689,000","127,703,000","136,068,000","118,292,000","107,677,000","105,730,000","103,516,000","106,812,000","98,647,000","112,280,000","112,456,000","117,518,000","110,137,000","113,906,000","104,373,000","107,957,000","101,548,000","102,839,000","102,518,000","104,508,000","101,805,000","95,015,000","69,800,000","54,873,000","55,336,000","53,428,000","47,469,000","46,274,000","42,385,000","44,334,000","49,260,000","40,998,000","42,163,000","47,250,000","39,791,000","34,354,000","87,911,000","-149,728,000","77,675,000","77,675,000","77,675,000","-135,231,000","69,619,000","69,619,000","69,619,000"
TaxRateForCalcs,"0.154","0.211","0.153","0.155","0.089","0.2","0.035","0.173","0.09","0.162","0.188","0.213","0.27","0.188","0.157","0.253","0.175","0.4","0.295","0.308","0.282","0.297","0.331","0.334","0.335","0.298","0.35","0.359","0.361","0.388","0.353","0.324","0.359","0.35","0.359","0.331","0.295","0.383","0.361","0.344","0.356","0.366","0.292","0.344","0.372","0.35","0.35","0.366","0.372","0.381","0.379","0.386","0.366","0.371","0.374","0.387","0.376","0.35","0.351","0.374","0.35","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-2,466,002","0","0","-2,482,015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","765,718.292","-315,505.993","-170,084.525","-205,953.59","476,070.671","579,187.755","-145,664.771","-3,742,824.985","-1,475,950","-2,616,950","-35,852.336","226,337.386","27,069.276","63,724.482","772.801","-322,948.721","-1,643,535.777","-1,205,136.697","37,523.054","51,120.097","47,950","70,111.486","10,095.666","0","0","0","0","0","0","0","0","0"
