name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
InterestIncome,"4,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","3,000,000","4,000,000","13,000,000","17,000,000","20,000,000","17,000,000","20,000,000","23,000,000","22,000,000","9,000,000","5,000,000","5,000,000","4,000,000","4,000,000","3,000,000","3,672,000","2,299,000","2,002,000","2,027,000","2,487,000","2,158,000","4,062,000","6,378,000","8,534,000","5,609,000","5,697,000","5,803,000","5,489,000","3,819,000","3,236,000","3,793,000","6,536,000","4,176,000","6,892,000","5,648,000","5,950,000","2,369,000","4,028,000","2,047,000","2,580,000","2,661,000","2,073,000","1,633,000","1,282,000","1,599,000","2,692,000","5,549,000",,,,,,,,,,,,,,,,,,,,
InterestExpense,"621,000,000","152,000,000","157,000,000","158,000,000","154,000,000","150,000,000","137,000,000","118,000,000","131,000,000","134,000,000","137,000,000","143,000,000","141,000,000","138,000,000","126,000,000","93,000,000","89,000,000","87,000,000","83,000,000","79,000,000","78,000,000","76,126,000","65,189,000","64,037,000","68,648,000","66,202,000","66,962,000","65,801,000","66,255,000","66,686,000","66,779,000","69,590,000","71,126,000","67,086,000","66,917,000","68,376,000","68,832,000","67,067,000","62,292,000","64,533,000","64,672,000","68,011,000","70,761,000","70,592,000","73,585,000","74,938,000","76,723,000","76,987,000","78,165,000","97,367,000","88,514,000","64,871,000","71,118,000",,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-617,000,000","-151,000,000","-156,000,000","-157,000,000","-153,000,000","-149,000,000","-134,000,000","-114,000,000","-118,000,000","-117,000,000","-117,000,000","-126,000,000","-121,000,000","-115,000,000","-104,000,000","-84,000,000","-84,000,000","-82,000,000","-79,000,000","-75,000,000","-75,000,000","-72,454,000","-62,890,000","-62,035,000","-66,621,000","-63,715,000","-64,804,000","-61,739,000","-59,877,000","-58,152,000","-61,170,000","-63,893,000","-65,323,000","-61,597,000","-63,098,000","-65,140,000","-65,039,000","-60,531,000","-58,116,000","-57,641,000","-59,024,000","-62,061,000","-68,392,000","-66,564,000","-71,538,000","-72,358,000","-74,062,000","-74,914,000","-76,532,000","-96,085,000","-86,915,000","-62,179,000","-65,569,000",,,,,,,,,,,,,,,,,,,,
EBIT,"-853,000,000","-149,000,000","-464,000,000","-128,000,000","-112,000,000","-218,000,000","-611,000,000","-921,000,000","105,000,000","982,000,000","888,000,000","1,487,000,000","970,000,000","880,000,000","908,000,000","850,000,000","1,134,000,000","1,018,000,000","841,000,000","795,000,000","725,000,000","735,255,000","739,974,000","513,185,000","540,586,000","703,421,000","757,502,000","693,221,000","732,958,000","1,035,387,000","975,147,000","969,351,000","1,127,007,000","876,713,000","921,852,000","787,770,000","828,388,000","683,566,000","540,623,000","389,999,000","706,952,000","652,107,000","628,308,000","614,058,000","483,299,000","489,211,000","370,718,000","163,608,000","139,181,000","18,825,000","62,213,000","-167,880,000","36,085,000","-34,379,000","28,195,000","73,282,000","96,565,000","133,565,000","-20,794,000","86,233,000","131,006,000","166,324,000","133,478,000","125,415,000","148,880,000","141,488,000","108,484,000","114,143,000","125,336,000","89,496,000","-48,411,000","38,227,000","82,296,000"
EBITDA,"244,000,000"
ReconciledCostOfRevenue,"2,626,000,000","603,000,000","584,000,000","711,000,000","728,000,000","722,000,000","503,000,000","372,000,000","1,011,000,000","1,717,000,000","1,602,000,000","1,689,000,000","1,824,000,000","1,792,000,000","1,722,000,000","1,706,000,000","1,754,000,000","1,720,000,000","1,612,000,000","1,561,000,000","1,592,000,000","1,574,469,000","1,447,381,000","1,355,562,000","1,459,588,000","1,472,244,000","1,499,334,000","1,562,251,000","1,583,261,000","1,779,114,000","1,883,875,000","1,942,556,000","2,139,875,000","2,043,650,000","1,912,059,000","1,772,941,000","1,787,807,000","1,710,613,000","1,518,356,000","1,416,088,000","1,424,518,000","1,372,554,000","1,217,881,000","1,203,305,000","1,128,937,000","1,069,494,000","1,040,553,000","946,842,000","818,298,000","2,849,862,000","0","6,490,000","678,059,000","692,457,000","722,120,000","664,706,000","630,460,000","621,640,000","404,344,000","340,135,000","334,191,000","323,254,000","288,614,000","276,394,000","266,647,000","257,487,000","227,345,000","197,261,000","186,859,000",,,,
ReconciledDepreciation,"1,097,000,000","280,000,000","276,000,000","272,000,000","269,000,000","307,000,000","306,000,000","298,000,000","304,000,000","305,000,000","298,000,000","303,000,000","310,000,000","298,000,000","292,000,000","283,000,000","273,000,000","267,000,000","274,000,000","336,000,000","331,000,000","327,879,000","287,479,000","264,219,000","269,423,000","258,292,000","257,435,000","258,077,000","263,760,000","265,970,000","261,088,000","274,056,000","271,073,000","264,993,000","258,947,000","261,156,000","262,724,000","290,486,000","206,536,000","230,497,000","204,692,000","197,935,000","200,071,000","206,161,000","190,237,000","184,450,000","186,738,000","161,996,000","161,787,000","181,493,000","148,677,000","137,143,000","145,739,000","160,816,000","142,358,000","134,112,000","128,709,000","95,317,000","66,938,000","46,509,000","39,326,000","38,829,000","29,426,000","25,815,000","25,907,000","27,430,000","28,640,000","22,211,000","21,515,000","25,979,000","17,962,000","16,856,000","15,527,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-1,154,000,000","-241,000,000","-467,000,000","-230,000,000","-216,000,000","-299,000,000","-565,000,000","-820,000,000","-1,000,000","629,000,000","533,000,000","954,000,000","582,000,000","-170,000,000","571,000,000","556,000,000","1,456,000,000","1,211,000,000","570,000,000","545,000,000","480,000,000","508,510,000","513,357,000","327,966,000","320,167,000","465,782,000","519,358,000","469,173,000","511,923,000","721,305,000","671,705,000","671,434,000","776,185,000","577,539,000","626,744,000","529,753,000","571,961,000","434,782,000","349,782,000","240,587,000","498,942,000","435,284,000","424,879,000","410,637,000","289,323,000","325,509,000","214,497,000","41,807,000","17,581,000","-67,427,000","-76,506,000","-175,940,000","-35,846,000","-111,320,000","-32,208,000","-8,796,000","-11,234,000","39,883,000","-48,507,000","34,398,000","90,914,000","113,640,000","97,251,000","109,329,000","121,783,000","110,049,000","80,096,000","86,429,000","7,112,000","69,256,000","-85,879,000","461,890,000","49,916,000"
TotalUnusualItemsExcludingGoodwill,"-164,000,000","-9,000,000","-141,000,000","-11,000,000","-3,000,000","-12,000,000","-58,000,000","-5,000,000","-5,000,000","-72,000,000","-35,000,000","556,000,000","-7,000,000","-45,000,000","-56,000,000","-105,000,000","-8,000,000","7,000,000","-21,000,000","-3,000,000","-8,000,000","-65,159,000","-9,037,000","-10,416,000","612,000","-16,642,000","-709,000","-2,558,000","-15,323,000","-1,934,000","-2,779,000","-3,596,000","-18,489,000","-15,901,000","-2,739,000","-4,762,000","-1,932,000","-1,726,000","2,198,000","-115,884,000","-49,736,000","-17,125,000","-6,617,000","-5,535,000","-4,675,000","-2,055,000","-31,305,000","-5,240,000","-4,272,000","-44,694,000","-1,768,000","-150,402,000","-5,743,000","-35,419,000","7,256,000","-5,620,000","-1,011,000","-16,993,000","16,765,000","-13,070,000","-7,211,000","-363,000","-1,063,000","-470,000","-917,000","-102,000","-377,000","-5,299,000","-133,997,000","379,252,000","0","-1,371,000","-9,000"
TotalUnusualItems,"-164,000,000","-9,000,000","-141,000,000","-11,000,000","-3,000,000","-12,000,000","-58,000,000","-5,000,000","-5,000,000","-72,000,000","-35,000,000","556,000,000","-7,000,000","-45,000,000","-56,000,000","-105,000,000","-8,000,000","7,000,000","-21,000,000","-3,000,000","-8,000,000","-65,159,000","-9,037,000","-10,416,000","612,000","-16,642,000","-709,000","-2,558,000","-15,323,000","-1,934,000","-2,779,000","-3,596,000","-18,489,000","-15,901,000","-2,739,000","-4,762,000","-1,932,000","-1,726,000","2,198,000","-115,884,000","-49,736,000","-17,125,000","-6,617,000","-5,535,000","-4,675,000","-2,055,000","-31,305,000","-5,240,000","-4,272,000","-44,694,000","-1,768,000","-150,402,000","-5,743,000","-35,419,000","7,256,000","-5,620,000","-1,011,000","-16,993,000","16,765,000","-13,070,000","-7,211,000","-363,000","-1,063,000","-470,000","-917,000","-102,000","-377,000","-5,299,000","-133,997,000","379,252,000","0","-1,371,000","-9,000"
NormalizedEBITDA,"408,000,000","140,000,000","-47,000,000","155,000,000","160,000,000","101,000,000","-247,000,000","-618,000,000","414,000,000","1,359,000,000","1,221,000,000","1,234,000,000","1,287,000,000","1,223,000,000","1,256,000,000","1,238,000,000","1,415,000,000","1,278,000,000","1,136,000,000","1,134,000,000","1,064,000,000","1,128,293,000","1,036,490,000","787,820,000","809,397,000","978,355,000","1,015,646,000","953,856,000","1,012,041,000","1,303,291,000","1,239,014,000","1,247,003,000","1,416,569,000","1,157,607,000","1,183,538,000","1,053,688,000","1,093,044,000","975,778,000","764,963,000","736,380,000","961,380,000","867,167,000","834,996,000","825,754,000","678,211,000","675,716,000","588,761,000","339,542,000","305,240,000","245,012,000","212,658,000","126,155,000","187,567,000","161,856,000","163,297,000","213,014,000","226,285,000","245,875,000","29,379,000","145,812,000","177,543,000","205,516,000","163,967,000","151,700,000","175,704,000","169,020,000","137,501,000","141,653,000","280,848,000","-263,777,000","-29,065,000","56,454,000","97,832,000"
TaxRateForCalcs,"0.003","0.27","0.043","0.021","0.053","0.27","0.023","0.052","0.27","0.077","0.109","0.176","0.103","0.27","0.106","0.107","0.27","0.4","0.096","0.109","0.107","0.079","0.103","0.122","0.134","0.098","0.105","0.073","0.083","0.094","0.053","0.052","0.056","0.049","0.053","0.066","0.073","0.073","0.07","0.12","0.098","0.102","0.094","0.1","0.11","0.067","0.086","0.093","0.216","0.058","0.35","0.234","0.35","0.265","0.374","0.176","0.35","0.124","0.019","0.144","0.109","0.195","0.104","0.063","0.117","0.157","0.076","0.117","0.4","0.4","0","0","0"
TaxEffectOfUnusualItems,"-556,309.362","-2,430,000","-6,130,434.783","-231,000","-159,000","-3,240,000","-1,318,181.818","-259,865.255","-1,350,000","-5,518,867.925","-3,815,000","97,856,000","-721,000","-12,150,000","-5,936,000","-11,235,000","-2,160,000","2,800,000","-2,016,000","-327,000","-856,000","-5,139,732.477","-930,811","-1,270,752","82,008","-1,625,602.262","-74,445","-186,734","-1,271,809","-181,083.465","-147,287","-186,992","-1,035,384","-783,553.78","-145,167","-315,887.263","-141,036","-126,422.356","153,252.66","-13,916,434.098","-4,891,749.48","-1,751,623.021","-621,589.525","-553,779.059","-515,875.525","-138,229.211","-2,679,178.574","-488,363.33","-924,330.405","-2,574,932.52","-618,800","-35,209,748.512","-2,010,050","-9,373,702.655","2,714,920.256","-991,052.231","-353,850","-2,112,838.866","322,697.184","-1,877,183.509","-785,311.649","-70,820.802","-110,068.572","-29,814.364","-106,839.085","-16,053.184","-28,591.78","-618,496.464","-53,598,800","151,700,800","0","0","0"
