name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
	TotalOtherFinanceCost,"5,000,000","-5,000,000",,,"-2,000,000",,,,,"4,000,000","28,000,000","33,000,000","24,000,000","39,000,000","18,000,000","23,000,000","11,000,000","51,000,000","95,000,000","40,000,000","41,000,000","48,000,000","46,000,000","51,000,000","50,000,000","48,738,000","45,002,000","49,331,000","50,965,000","56,715,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-38,000,000","-23,000,000","-10,000,000","-6,000,000","1,000,000","-14,000,000","-22,000,000","-5,000,000","-8,000,000","-15,000,000","-10,000,000","-3,000,000","-9,000,000","6,000,000","-11,000,000","-3,000,000","-6,000,000","-10,000,000","-12,000,000","-19,000,000","-32,000,000","-32,000,000","-104,000,000","-44,000,000","-42,000,000","-54,539,000","-48,305,000","-38,648,000","-64,472,000","-82,711,000","-37,356,000","-22,719,000","-5,057,000","-4,569,000","-415,000","-244,000","-1,789,000","-94,000","-10,488,000","-1,818,000","-706,000","388,000","-1,170,000","-1,142,000","-2,434,000","-2,016,000","94,000","-429,000","-1,124,000","-2,631,000","-2,988,000","-2,488,000","-2,719,000","-161,733,000","-4,080,000","-2,678,000","-383,000","9,281,000","4,213,000","5,176,000","3,712,000","-6,555,000","-47,214,000","4,430,000","-338,000","3,756,000","3,556,000","3,500,000","3,026,000","2,336,000","2,146,000","1,056,000","1,716,000","1,318,000","-1,263,000","2,638,000","2,302,000","10,553,000","-433,000","775,000","481,000","961,000","-761,000","842,000","950,000","2,486,000","-1,188,000","-6,597,000","-1,473,000","-700,000","-1,900,000","1,900,000","400,000","-9,700,000","500,000","1,700,000","3,100,000","2,600,000","1,900,000","2,200,000","7,100,000","2,200,000","1,600,000","1,500,000","200,000",,,,"1,000,000","700,000","600,000","800,000","700,000","800,000","1,800,000","600,000","600,000","500,000","800,000","800,000","500,000","700,000","100,000",,,,,,
	GainOnSaleOfSecurity,"-5,000,000","-2,000,000","-4,000,000","-1,000,000","2,000,000","-3,000,000","-3,000,000","-9,000,000","-3,000,000","-4,000,000","2,000,000","-1,000,000","-3,000,000","0","-1,000,000","-4,000,000",,"-3,000,000","1,000,000","2,000,000","-1,000,000","-1,000,000","-1,000,000","-5,000,000","1,000,000","-806,000","-5,255,000","11,174,000","-25,699,000","-9,894,000","-2,346,000","-2,011,000","129,000","875,000","377,000","11,000","579,000","2,480,000","-514,000","-80,000","-342,000","1,238,000","-173,000","-833,000",,"570,000","635,000","634,000","842,000",,"901,000","1,014,000","1,178,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"901,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-32,000,000","-21,000,000","-6,000,000","-4,000,000","-1,000,000","-6,000,000","-20,000,000","-3,000,000","-5,000,000","-10,000,000","-12,000,000","-5,000,000","-5,000,000","-2,000,000","-10,000,000","-1,000,000","-6,000,000","-6,000,000","-9,000,000","-20,000,000","-31,000,000","-29,000,000","-97,000,000","-39,000,000","-43,000,000","-53,641,000","-42,744,000","-49,115,000","-37,500,000","-71,667,000","-35,206,000","-20,651,000","-5,194,000","-5,697,000","-787,000","-1,719,000","-2,377,000","-853,000","-9,974,000","-1,738,000","-364,000","-850,000","-997,000","-309,000","-2,434,000","-2,586,000","-541,000","-1,063,000","-1,966,000","-2,471,000","-3,889,000","-3,502,000","-3,897,000","-163,014,000","-4,080,000","-2,678,000","-383,000","9,281,000","4,213,000","5,176,000","3,712,000","-6,555,000","-47,214,000","4,430,000","-338,000","3,756,000","3,556,000","3,500,000","3,026,000","2,336,000","2,146,000","1,056,000","1,716,000","1,318,000","-1,263,000","2,638,000","2,302,000","10,553,000","-433,000","775,000","481,000","961,000","-761,000","842,000","950,000","2,486,000","-1,188,000","-6,597,000","-1,473,000","-700,000","-1,900,000","1,900,000","400,000","-9,700,000","500,000","1,700,000","3,100,000","2,600,000","1,900,000","2,200,000","7,100,000","2,200,000","1,600,000","1,500,000","200,000",,,,"1,000,000","700,000","600,000","800,000","700,000","800,000","1,800,000","600,000","600,000","500,000","800,000","800,000","500,000","700,000","100,000",,,,,,
		RestructuringAndMergernAcquisition,"32,000,000","21,000,000","6,000,000","4,000,000","1,000,000","6,000,000","20,000,000","3,000,000","5,000,000","10,000,000","12,000,000","5,000,000","5,000,000","2,000,000","10,000,000","1,000,000","6,000,000","6,000,000","9,000,000","20,000,000","31,000,000","29,000,000","35,000,000","39,000,000","43,000,000","53,641,000","42,744,000","49,115,000","37,500,000","71,667,000","35,206,000","20,651,000","5,194,000","5,697,000","787,000","1,719,000","2,377,000","1,997,000","566,000","1,252,000","0","-49,000","138,000","66,000","1,886,000","1,805,000","0","576,000","1,816,000","2,736,000","3,515,000","3,643,000","2,296,000","7,791,000","4,304,000",,,,,,,,,,,,,,,,,"13,000","45,000",,,,,"0",,,"73,000","169,000","305,000","532,000","832,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,"0",,,"0","62,000,000",,,,,,,,,,,,,,,,"9,114,000",,,,,,,"0","0","0",,"-855,000","88,000","-291,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294,000","486,000","364,000","899,000","859,000","243,000","548,000","781,000","541,000","487,000","150,000","590,000","286,000","150,000","1,601,000","-2,377,000","-224,000",,,,,,,,,,,,,,,,,"-1,069,000","-1,761,000",,,,,"-10,553,000",,,"-554,000","-1,130,000","456,000","-1,374,000","-1,782,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-1,000,000","0",,"-1,000,000",,"-5,000,000","1,000,000","7,000,000",,"-1,000,000",,"3,000,000","-1,000,000","8,000,000",,"2,000,000",,"-1,000,000","-4,000,000","-1,000,000",,"-2,000,000","-6,000,000",,,"-92,000","-306,000","-707,000","-1,273,000","-1,150,000","196,000","-57,000","8,000","253,000","-5,000","1,464,000","9,000","-577,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"968,000,000","226,000,000","228,000,000","238,000,000","276,000,000","216,000,000","138,000,000","103,000,000","103,000,000","179,000,000","159,000,000","129,000,000","131,000,000","148,000,000","143,000,000","100,000,000","133,000,000","78,000,000","-7,000,000","19,000,000","-2,000,000","20,000,000","-77,000,000","-34,000,000","-49,000,000","-27,628,000","-25,542,000","-52,667,000","-58,163,000","-92,719,000","24,806,000","30,997,000","53,545,000","50,206,000","47,141,000","37,716,000","28,764,000","44,062,000","38,498,000","39,719,000","41,895,000","41,112,000","47,982,000","46,251,000","44,374,000","40,223,000","38,951,000","33,349,000","32,412,000","27,183,000","16,340,000","13,249,000","13,751,000","-128,691,000","35,602,000","38,971,000","42,205,000","46,191,000","41,162,000","39,135,000","40,888,000","31,691,000","-10,105,000","42,247,000","37,809,000","42,013,000","43,893,000","41,016,000","41,543,000","48,637,000","47,960,000","45,156,000","42,795,000","35,466,000","32,369,000","34,249,000","33,908,000","31,271,000","30,564,000","25,709,000","23,337,000","23,823,000","23,252,000","22,611,000","26,454,000","26,805,000","35,296,000","26,016,000","23,794,000","30,700,000","31,000,000","26,700,000","20,300,000","13,600,000","17,500,000","17,600,000","16,300,000","18,000,000","15,500,000","14,700,000","17,900,000","13,800,000","13,400,000","9,500,000","7,900,000",,,,"10,400,000","9,500,000","9,100,000","7,800,000","6,400,000","7,500,000","8,200,000","6,700,000","6,000,000","4,300,000","4,800,000","4,900,000","3,700,000","3,800,000","3,500,000",,,,,,
TaxProvision,"131,000,000","35,000,000","29,000,000","19,000,000","48,000,000","17,000,000","22,000,000","3,000,000","14,000,000","10,000,000","23,000,000","5,000,000","16,000,000","33,000,000","16,000,000","30,000,000","24,000,000","74,000,000","5,000,000","2,000,000","-10,000,000","3,000,000","6,000,000","15,000,000","-20,000,000","-21,133,000","3,408,000","23,591,000","-32,866,000","-41,040,000","9,861,000","3,440,000","11,939,000","8,681,000","8,541,000","7,158,000","5,222,000","9,263,000","11,917,000","9,366,000","11,731,000","8,253,000","13,795,000","13,082,000","14,246,000","12,006,000","12,800,000","10,672,000","7,679,000","9,553,000","5,229,000","4,238,000","4,399,000","-11,330,000","9,832,000","13,445,000","14,561,000","15,388,000","14,201,000","13,502,000","14,172,000","10,245,000","-5,842,000","14,575,000","13,037,000","13,719,000","14,453,000","14,253,000","14,436,000","16,676,000","16,641,000","15,728,000","14,861,000","11,071,000","9,370,000","11,987,000","11,868,000","10,945,000","10,697,000","9,249,000","8,397,000","8,576,000","8,370,000","8,140,000","9,524,000","9,651,000","12,706,000","9,366,000","8,566,000","10,800,000","11,100,000","9,600,000","7,600,000","6,500,000","6,300,000","6,300,000","5,900,000","6,300,000","5,600,000","5,100,000","6,700,000","5,100,000","4,700,000","3,200,000","2,700,000",,,,"3,800,000","3,300,000","3,400,000","2,700,000","2,300,000","2,200,000","3,100,000","2,400,000","2,400,000","1,100,000","1,700,000","1,800,000","1,400,000","1,200,000","1,300,000",,,,,,
