name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
				AmortizationOfIntangiblesIncomeStatement,"12,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","4,000,000","4,000,000","6,000,000","6,000,000","5,000,000","6,000,000","6,000,000","6,000,000","19,000,000","22,000,000","19,000,000","28,000,000","28,000,000","28,000,000","29,000,000","29,000,000","31,000,000","34,000,000","34,000,000","33,000,000","32,000,000","31,000,000","27,000,000","26,000,000","25,000,000","20,000,000","20,000,000","20,000,000","20,000,000","19,000,000","18,000,000","18,000,000","2,000,000","0","0","0","1,000,000","1,000,000","4,000,000","8,000,000","8,000,000","8,000,000","14,000,000","13,000,000","14,000,000","14,000,000","13,000,000","15,000,000","13,000,000","13,000,000","13,000,000","13,000,000","12,000,000","11,000,000",,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,290,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,066,000,000","581,000,000","587,000,000","514,000,000","384,000,000","350,000,000","252,000,000","330,000,000","378,000,000","384,000,000","290,000,000","269,000,000","247,000,000","423,000,000","526,000,000","499,000,000","452,000,000","466,000,000","306,000,000","210,000,000","314,000,000","403,000,000","303,000,000","182,000,000","47,000,000","246,000,000","145,000,000","215,000,000","357,000,000","436,000,000","462,000,000","414,000,000","446,000,000","460,000,000","480,000,000","447,000,000","466,000,000","556,000,000","624,000,000","1,057,000,000","1,211,000,000","608,000,000","236,000,000","194,000,000","182,000,000","213,000,000","235,000,000","390,000,000","564,000,000","578,000,000","331,000,000","64,000,000","-233,000,000","-2,359,000,000","103,000,000","233,000,000","383,000,000","447,000,000","401,000,000","217,000,000","250,000,000","167,000,000","8,000,000","72,000,000","253,000,000","284,000,000","269,000,000","282,000,000","235,000,000","147,000,000","58,000,000","2,000,000","59,000,000","222,000,000","221,000,000","173,000,000","182,000,000","219,000,000","126,000,000"
NetNonOperatingInterestIncomeExpense,"-237,000,000","-61,000,000","-59,000,000","-59,000,000","-58,000,000","-52,000,000","-49,000,000","-48,000,000","-45,000,000","-44,000,000","-44,000,000","-38,000,000","-34,000,000","-34,000,000","-34,000,000","-39,000,000","-50,000,000","-55,000,000","-54,000,000","-57,000,000","-55,000,000","-49,000,000","-49,000,000","-50,000,000","-46,000,000","-47,000,000","-46,000,000","-53,000,000","-47,000,000","-49,000,000","-53,000,000","-49,000,000","-51,000,000","-48,000,000","-39,000,000","-49,000,000","-51,000,000","-53,000,000","-53,000,000","-53,000,000","-57,000,000","-56,000,000","-68,000,000","-62,000,000","-57,000,000","-44,000,000","-44,000,000","-45,000,000","-39,000,000","-40,000,000","-44,000,000","-37,000,000","-32,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"2,000,000","1,000,000","0","0","1,000,000","0","1,000,000","1,000,000","4,000,000","4,000,000","11,000,000","17,000,000","21,000,000","22,000,000","24,000,000","15,000,000","10,000,000","6,000,000","7,000,000","5,000,000","5,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","5,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000","3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"239,000,000","62,000,000","59,000,000","59,000,000","59,000,000","52,000,000","50,000,000","49,000,000","49,000,000","48,000,000","55,000,000","55,000,000","55,000,000","56,000,000","58,000,000","54,000,000","60,000,000","61,000,000","61,000,000","62,000,000","60,000,000","50,000,000","50,000,000","51,000,000","47,000,000","48,000,000","47,000,000","55,000,000","48,000,000","50,000,000","54,000,000","50,000,000","52,000,000","49,000,000","44,000,000","51,000,000","53,000,000","55,000,000","55,000,000","56,000,000","59,000,000","58,000,000","69,000,000","63,000,000","59,000,000","46,000,000","46,000,000","47,000,000","41,000,000","41,000,000","45,000,000","39,000,000","35,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"54,000,000","-6,000,000","5,000,000","42,000,000","13,000,000","-7,000,000","18,000,000","-122,000,000","5,000,000","-4,000,000","-48,000,000","60,000,000","2,000,000","9,000,000","-24,000,000","6,000,000","-9,000,000","-40,000,000","-64,000,000","-33,000,000","-47,000,000","-44,000,000","-81,000,000","-79,000,000","8,000,000","-19,000,000","-68,000,000","-13,000,000","-6,000,000","739,000,000","-17,000,000","-81,000,000","-5,000,000","30,000,000","-1,000,000","-95,000,000","15,000,000","-4,000,000","29,000,000","9,000,000","5,000,000","6,000,000","-16,000,000","-3,000,000","-3,000,000","6,000,000","-38,000,000","-5,000,000","-3,000,000","-11,000,000","-107,000,000","-81,000,000","-24,000,000","-2,382,000,000","-36,000,000","-27,000,000","-20,000,000","-9,000,000","-10,000,000","-25,000,000","-2,000,000","8,000,000","7,000,000","0","12,000,000","4,000,000","1,000,000","9,000,000","5,000,000","5,000,000","3,000,000","-26,000,000","-6,000,000","-4,000,000","-12,000,000","-1,000,000","5,000,000","-9,000,000","-5,000,000"
	SpecialIncomeCharges,"-7,000,000","-1,000,000","-1,000,000","-7,000,000","2,000,000","-2,000,000","-1,000,000","-63,000,000","-2,000,000","0","-17,000,000","63,000,000","-11,000,000","-7,000,000","-23,000,000","6,000,000","-11,000,000","-33,000,000","-51,000,000","-14,000,000","-48,000,000","-33,000,000","-82,000,000","-80,000,000","-20,000,000","-17,000,000","-59,000,000","-8,000,000","-14,000,000","617,000,000","-6,000,000","-4,000,000","-2,000,000","-16,000,000","-2,000,000","0","-1,000,000","-1,000,000","0","2,000,000","5,000,000","6,000,000","-16,000,000","-3,000,000","-3,000,000","6,000,000","-38,000,000","-5,000,000","-3,000,000","-11,000,000","-107,000,000","-81,000,000","-24,000,000","-2,382,000,000","-36,000,000","-27,000,000","-20,000,000","-9,000,000","-10,000,000","-25,000,000","-2,000,000","8,000,000","7,000,000","0","12,000,000","4,000,000","1,000,000","9,000,000","5,000,000","5,000,000","3,000,000","-26,000,000","-6,000,000","-4,000,000","-12,000,000","-1,000,000","5,000,000","-9,000,000","-5,000,000"
		RestructuringAndMergernAcquisition,"7,000,000","1,000,000","1,000,000","7,000,000","-2,000,000","2,000,000","1,000,000","63,000,000","2,000,000","0","17,000,000","-63,000,000","11,000,000","7,000,000","23,000,000","-6,000,000","11,000,000","33,000,000","51,000,000","14,000,000","48,000,000","33,000,000","82,000,000","80,000,000","20,000,000","17,000,000","59,000,000","8,000,000","14,000,000","3,000,000","6,000,000","4,000,000","2,000,000","16,000,000","2,000,000","0","1,000,000","1,000,000","0","0","1,000,000","3,000,000","0","4,000,000","3,000,000","7,000,000","4,000,000","16,000,000","4,000,000","0","46,000,000","84,000,000","25,000,000","78,000,000","23,000,000","36,000,000","20,000,000","27,000,000","5,000,000",,"3,000,000","1,000,000","-4,000,000","0",,,"4,000,000",,"-2,000,000",,"1,000,000","39,000,000","6,000,000","4,000,000","11,000,000","2,000,000",,,"7,000,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-7,000,000","0","0","64,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,
