name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalRevenue,"50,418,000,000","12,841,000,000","12,480,000,000","12,646,000,000","12,451,000,000","12,018,000,000","11,500,000,000","11,197,000,000","10,076,000,000","11,472,000,000","11,069,000,000","11,144,000,000","10,990,000,000","9,481,000,000","10,465,000,000","10,099,000,000","9,770,000,000","9,843,000,000","9,660,000,000","9,587,000,000","9,434,000,000","9,278,000,000","9,221,000,000","9,164,000,000","8,871,000,000","8,691,000,000","9,028,000,000","8,982,000,000","8,952,000,000","8,759,000,000","8,936,000,000","8,860,000,000","8,684,000,000","8,792,000,000","8,465,000,000","8,787,000,000","8,463,000,000","8,547,000,000","8,128,000,000","8,278,000,000","8,362,000,000","8,236,000,000","8,242,000,000","8,081,000,000","8,095,000,000","8,087,000,000","7,908,000,000","7,656,000,000","7,749,000,000","8,058,000,000","7,582,000,000","8,490,000,000","7,883,000,000","6,569,000,000","7,320,000,000","7,418,000,000","8,087,000,000","8,991,000,000","8,992,000,000","9,455,000,000","9,331,000,000","9,102,000,000","8,738,000,000","8,875,000,000","9,081,000,000","8,945,000,000","8,942,000,000","8,791,000,000","8,705,000,000","8,879,000,000","8,442,000,000","8,304,000,000","8,311,000,000","8,262,000,000","8,127,000,000","7,899,000,000","7,861,000,000","7,587,000,000","7,239,000,000","7,455,000,000","7,298,000,000","7,358,000,000","7,173,000,000","7,203,000,000","7,131,000,000","7,220,000,000","7,445,000,000","7,183,000,000","7,286,000,000","6,999,000,000","6,551,000,000","6,602,000,000","6,807,000,000","6,357,000,000","6,436,000,000","6,627,000,000","6,459,000,000","6,287,000,000","6,393,000,000","6,081,000,000","6,188,000,000","6,036,000,000","6,022,000,000","6,332,000,000","5,909,000,000","5,856,000,000","5,705,000,000","5,844,000,000","5,603,000,000","5,430,000,000","5,394,000,000","5,318,000,000","5,322,000,000","5,283,000,000","5,315,000,000","5,229,000,000","5,118,000,000","5,140,700,000","5,065,700,000","5,020,900,000","5,000,700,000"
	OperatingRevenue,"50,418,000,000","12,841,000,000","12,480,000,000","12,646,000,000","12,451,000,000","12,018,000,000","11,500,000,000","11,197,000,000","10,076,000,000","11,472,000,000","11,069,000,000","11,144,000,000","10,990,000,000","9,481,000,000","10,465,000,000","10,099,000,000","9,770,000,000","9,843,000,000","9,660,000,000","9,587,000,000","9,434,000,000","9,278,000,000","9,221,000,000","9,164,000,000","8,871,000,000","8,691,000,000","9,028,000,000","8,982,000,000","8,952,000,000","8,759,000,000","8,936,000,000","8,860,000,000","8,684,000,000","8,792,000,000","8,465,000,000","8,787,000,000","8,463,000,000","8,547,000,000","8,128,000,000","8,278,000,000","8,362,000,000","8,236,000,000","8,242,000,000","8,081,000,000","8,095,000,000","8,087,000,000","7,908,000,000","7,656,000,000","7,749,000,000","8,058,000,000","7,582,000,000","8,490,000,000","7,883,000,000","6,569,000,000","7,320,000,000","7,418,000,000","8,087,000,000","8,991,000,000","8,992,000,000","9,455,000,000","9,331,000,000","9,102,000,000","8,738,000,000","8,875,000,000","9,081,000,000","8,945,000,000","8,942,000,000","8,791,000,000","8,705,000,000","8,879,000,000","8,442,000,000","8,304,000,000","8,311,000,000","8,262,000,000","8,127,000,000","7,899,000,000","7,861,000,000","7,587,000,000","7,239,000,000","7,455,000,000","7,298,000,000","7,358,000,000","7,173,000,000","7,203,000,000","7,131,000,000","7,220,000,000","7,445,000,000","7,183,000,000","7,286,000,000","6,999,000,000","6,551,000,000","6,602,000,000","6,807,000,000","6,357,000,000","6,436,000,000","6,627,000,000","6,459,000,000","6,287,000,000","6,393,000,000","6,081,000,000","6,188,000,000","6,036,000,000","6,022,000,000","6,332,000,000","5,909,000,000","5,856,000,000","5,705,000,000","5,844,000,000","5,603,000,000","5,430,000,000","5,394,000,000","5,318,000,000","5,322,000,000","5,283,000,000","5,315,000,000","5,229,000,000","5,118,000,000","5,140,700,000","5,065,700,000","5,020,900,000","5,000,700,000"
NetNonOperatingInterestIncomeExpense,"-330,000,000","-84,000,000","-69,000,000","-91,000,000","-86,000,000","-80,000,000","-78,000,000","-79,000,000","-81,000,000","-82,000,000","-80,000,000","-82,000,000","-83,000,000","-81,000,000","-82,000,000","-86,000,000","-83,000,000","-84,000,000","-83,000,000","-83,000,000","-85,000,000","-77,000,000","-73,000,000","-72,000,000","-73,000,000","-73,000,000","-73,000,000","-73,000,000","-73,000,000","-73,000,000","-78,000,000","-84,000,000","-87,000,000","-87,000,000","-83,000,000","-99,000,000","-98,000,000","-92,000,000","-93,000,000","-93,000,000","-95,000,000","-92,000,000","-92,000,000","-91,000,000","-92,000,000","-92,000,000","-91,000,000","-92,000,000","-92,000,000","-101,000,000","-106,000,000","-97,000,000","-88,000,000","-87,000,000","-88,000,000","-88,000,000","-88,000,000","-88,000,000","-90,000,000","-83,000,000","-72,000,000","-96,000,000","-90,000,000","-90,000,000","-81,000,000","-79,000,000","-85,000,000","-82,000,000","-84,000,000","-85,000,000","-76,000,000","-73,000,000","-74,000,000","-71,000,000","-70,000,000","-67,000,000","-67,000,000","-74,000,000","-67,000,000","-68,000,000","-69,000,000","-62,000,000","-63,000,000","-61,000,000","-62,000,000","-63,000,000","-61,000,000","-58,000,000","-47,000,000","-271,000,000","-28,000,000","-28,000,000","-30,000,000","-30,000,000","-28,000,000","-28,000,000","-26,000,000","-26,000,000","-26,000,000","-24,000,000","-24,000,000","-19,000,000","-19,000,000","-22,000,000","-23,000,000","-18,000,000","-18,000,000","-21,000,000","-15,000,000","-14,000,000","-16,000,000","-14,000,000","-15,000,000","-18,000,000","-24,000,000","-32,000,000","-9,000,000",,,,
	InterestExpenseNonOperating,"330,000,000","84,000,000","69,000,000","91,000,000","86,000,000","80,000,000","78,000,000","79,000,000","81,000,000","82,000,000","80,000,000","82,000,000","83,000,000","81,000,000","82,000,000","86,000,000","83,000,000","84,000,000","83,000,000","83,000,000","85,000,000","77,000,000","73,000,000","72,000,000","73,000,000","73,000,000","73,000,000","73,000,000","73,000,000","73,000,000","78,000,000","84,000,000","87,000,000","87,000,000","83,000,000","99,000,000","98,000,000","92,000,000","93,000,000","93,000,000","95,000,000","92,000,000","92,000,000","91,000,000","92,000,000","92,000,000","91,000,000","92,000,000","92,000,000","101,000,000","106,000,000","97,000,000","88,000,000","87,000,000","88,000,000","88,000,000","88,000,000","88,000,000","90,000,000","83,000,000","72,000,000","96,000,000","90,000,000","90,000,000","81,000,000","79,000,000","85,000,000","82,000,000","84,000,000","85,000,000","76,000,000","73,000,000","74,000,000","71,000,000","70,000,000","67,000,000","67,000,000","74,000,000","67,000,000","68,000,000","69,000,000","62,000,000","63,000,000","61,000,000","62,000,000","63,000,000","61,000,000","58,000,000","47,000,000","271,000,000","28,000,000","28,000,000","30,000,000","30,000,000","28,000,000","28,000,000","26,000,000","26,000,000","26,000,000","24,000,000","24,000,000","19,000,000","19,000,000","22,000,000","23,000,000","18,000,000","18,000,000","21,000,000","15,000,000","14,000,000","16,000,000","14,000,000","15,000,000","18,000,000","24,000,000","32,000,000","9,000,000",,,,
OtherIncomeExpense,"2,172,000,000","587,000,000","536,000,000","494,000,000","555,000,000","271,000,000","272,000,000","257,000,000","265,000,000","260,000,000","273,000,000","271,000,000","250,000,000","257,000,000","238,000,000","228,000,000","216,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,965,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,220,000,000","1,330,000,000","1,570,000,000",,"1,189,000,000","1,421,000,000","1,359,000,000",,"1,352,000,000","1,083,000,000","1,273,000,000",,"1,086,000,000","1,378,000,000","1,057,000,000","960,000,000","973,000,000","1,184,000,000","983,000,000","885,000,000","892,000,000","878,000,000","948,000,000","856,000,000","894,000,000","890,000,000","903,000,000",,,,
	SpecialIncomeCharges,"-170,000,000","-25,000,000","-23,000,000","-71,000,000","-51,000,000","-39,000,000","-199,000,000","-13,000,000","-4,000,000","-62,000,000","0","-62,000,000","-17,000,000","-16,000,000","-15,000,000","-25,000,000","-21,000,000","-152,000,000","-13,000,000","-41,000,000","-8,000,000","-8,000,000","-4,000,000","-10,000,000","-3,000,000","-6,000,000","-7,000,000","-18,000,000","-5,000,000","-2,000,000","-30,000,000","4,000,000","-65,000,000","-57,000,000","-668,000,000","-500,000,000","-24,000,000","9,000,000","-9,000,000","-10,000,000","-6,000,000","-16,000,000","-8,000,000","-11,000,000","-9,000,000","3,000,000","-9,000,000","-13,000,000","-11,000,000","-18,000,000","-35,000,000","-32,000,000","-45,000,000","-19,000,000","-10,000,000","5,000,000","1,000,000","-24,000,000","-2,000,000","-2,000,000","1,000,000","-11,000,000","-53,000,000","-47,000,000","-160,000,000","-5,000,000","-14,000,000","-12,000,000","-22,000,000","-25,000,000","-5,000,000","-24,000,000","-14,000,000","-18,000,000","-31,000,000","-11,000,000","-23,000,000","-24,000,000","-40,000,000","-35,000,000","-20,000,000","-107,000,000","-63,000,000","-4,000,000","-8,000,000","-8,000,000","-18,000,000","-5,000,000","-28,000,000",,,,,,,,,,,,,"0","-150,000,000",,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"170,000,000","25,000,000","23,000,000","71,000,000","51,000,000","40,000,000","200,000,000","14,000,000","5,000,000","14,000,000","0","9,000,000","18,000,000","18,000,000","16,000,000","27,000,000","22,000,000","32,000,000","14,000,000","53,000,000","10,000,000","9,000,000","5,000,000","11,000,000","5,000,000","7,000,000","9,000,000","19,000,000","4,000,000","5,000,000","3,000,000","4,000,000","6,000,000","11,000,000","13,000,000","20,000,000","26,000,000","9,000,000","9,000,000","10,000,000","6,000,000","16,000,000","8,000,000","11,000,000","9,000,000","-3,000,000","9,000,000","13,000,000","11,000,000","18,000,000","35,000,000","32,000,000","45,000,000","19,000,000","10,000,000","-5,000,000","1,000,000","24,000,000","2,000,000","4,000,000","1,000,000","11,000,000","52,000,000","12,000,000","107,000,000","5,000,000","10,000,000","8,000,000","18,000,000","25,000,000","1,000,000","16,000,000","11,000,000","18,000,000","19,000,000","14,000,000","23,000,000","24,000,000","40,000,000","35,000,000","20,000,000","107,000,000","10,000,000","4,000,000","8,000,000","8,000,000","18,000,000","5,000,000","28,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"0",,,,,"0","0","0",,"51,000,000","0","55,000,000",,"0",,,,"125,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,"-1,000,000","-1,000,000","-1,000,000","-1,000,000","-3,000,000",,"-2,000,000","-1,000,000","-2,000,000","-1,000,000","-2,000,000","-1,000,000","-5,000,000","-1,000,000","-12,000,000","-2,000,000","-1,000,000","-1,000,000","-1,000,000","-2,000,000","-1,000,000","-2,000,000","-1,000,000","1,000,000","-3,000,000","27,000,000","-8,000,000","59,000,000","46,000,000","655,000,000","480,000,000","-2,000,000","-3,000,000",,,,,,,,,,,,,,,,,,,"-2,000,000",,,"-2,000,000","-2,000,000",,"1,000,000","35,000,000","53,000,000",,"4,000,000","4,000,000","4,000,000",,"4,000,000","8,000,000","3,000,000",,"12,000,000","-3,000,000",,,,,,,"53,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"6,448,000,000","1,393,000,000","226,000,000","1,797,000,000","3,032,000,000","3,310,000,000","1,442,000,000","1,546,000,000","661,000,000","2,231,000,000","1,160,000,000","1,078,000,000","1,620,000,000","-364,000,000","1,039,000,000","845,000,000","1,224,000,000","1,157,000,000","971,000,000","851,000,000","1,012,000,000","1,258,000,000","765,000,000","376,000,000","355,000,000","720,000,000","955,000,000","526,000,000","1,081,000,000","1,242,000,000","1,190,000,000","955,000,000","849,000,000","1,243,000,000","509,000,000","614,000,000","1,030,000,000","544,000,000","1,048,000,000","602,000,000","1,112,000,000","1,052,000,000","203,000,000","-1,029,000,000","734,000,000","363,000,000","490,000,000","166,000,000","107,000,000","693,000,000","225,000,000","461,000,000","-131,000,000","-1,822,000,000","-1,544,000,000","-86,000,000","427,000,000","1,037,000,000","1,386,000,000","2,044,000,000","2,186,000,000","1,732,000,000","1,642,000,000","1,748,000,000","2,056,000,000","1,471,000,000","-2,562,000,000","1,641,000,000","1,538,000,000","1,584,000,000","-68,000,000","1,486,000,000","1,584,000,000","1,083,000,000","898,000,000","719,000,000","871,000,000","407,000,000","213,000,000","403,000,000","517,000,000","295,000,000","169,000,000","147,000,000","674,000,000","712,000,000","909,000,000","638,000,000","788,000,000","3,907,000,000","0","0","0","4,745,000,000","0","0","0","4,434,000,000","0","0","0","2,669,000,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
