name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,06/30/2003
InterestExpense,"346,000,000","117,000,000","77,000,000","76,000,000","76,000,000","53,000,000","48,000,000","13,000,000","21,000,000","17,000,000","23,000,000","25,000,000","35,000,000","29,000,000","28,000,000","27,000,000","30,000,000","36,000,000","27,000,000","21,000,000","25,000,000","33,000,000","29,000,000","32,000,000","30,000,000","26,000,000","26,000,000","26,000,000","26,000,000","25,000,000","25,000,000","27,000,000","24,000,000","21,000,000","22,000,000","19,000,000","21,000,000","21,000,000","21,000,000","22,000,000","20,000,000","20,000,000","21,000,000",,,,,,,,,,,,,,"387,000","171,000","446,000","244,000","342,000",,"21,000",,,,,,,,,,,
NetInterestIncome,"1,153,000,000","261,000,000","310,000,000","313,000,000","269,000,000","333,000,000","412,000,000","420,000,000","565,000,000","604,000,000","608,000,000","628,000,000","487,000,000","513,000,000","453,000,000","429,000,000","369,000,000","364,000,000","279,000,000","273,000,000","287,000,000","292,000,000","289,000,000","275,000,000","240,000,000","248,000,000","233,000,000","214,000,000","200,000,000","197,000,000","162,000,000","142,000,000","144,000,000","194,000,000","179,000,000","167,000,000","162,000,000","158,000,000","151,000,000","158,000,000","162,000,000","179,000,000","190,000,000","212,000,000","190,000,000","176,000,000","172,000,000","136,000,000","95,000,000","66,862,000","46,702,000","50,017,000","66,092,000","88,447,000","90,996,000","88,086,000","121,616,000","144,460,000","145,668,000","137,740,000","130,133,000",,"108,209,000",,,,,,,,,,,
EBIT,"91,080,000,000","24,519,000,000","23,141,000,000","22,061,000,000","21,359,000,000","18,742,000,000","13,407,000,000","8,290,000,000","7,778,000,000","10,721,000,000","8,651,000,000","12,172,000,000","8,181,000,000","10,101,000,000","10,111,000,000","4,242,000,000","10,573,000,000","8,054,000,000","8,006,000,000","4,398,000,000","6,844,000,000","6,890,000,000","6,074,000,000","6,151,000,000","5,159,000,000","5,226,000,000","4,917,000,000","4,982,000,000","4,630,000,000","4,552,000,000","3,882,000,000","4,430,000,000","4,496,000,000","4,068,000,000","3,490,000,000","3,389,000,000","3,632,000,000","3,606,000,000","2,820,000,000","3,479,000,000","3,565,000,000","3,509,000,000","3,381,000,000","2,881,000,000","2,296,000,000","2,982,000,000","2,547,000,000","2,365,000,000","2,488,000,000","2,480,983,000","2,073,718,000","1,873,894,000","1,883,591,000","1,860,205,000","1,647,565,000","1,577,965,000","1,713,965,000","1,608,198,000","1,472,716,000","1,241,989,000","1,352,279,000","723,484,000","1,039,532,000","815,372,000","742,699,000","569,639,000","529,171,000","475,698,000","442,770,000","302,799,000","11,112,000","529,254,000","301,206,000","176,306,000"
EBITDA,"103,521,000,000"
ReconciledCostOfRevenue,"110,939,000,000","32,988,000,000","27,621,000,000","26,227,000,000","24,103,000,000","26,080,000,000","21,117,000,000","18,553,000,000","18,982,000,000","21,020,000,000","17,568,000,000","17,296,000,000","16,012,000,000","17,918,000,000","14,281,000,000","13,883,000,000","13,467,000,000","14,267,000,000","11,148,000,000","10,373,000,000","9,795,000,000","10,661,000,000","8,699,000,000","8,130,000,000","7,648,000,000","8,188,000,000","7,037,000,000","6,583,000,000","6,356,000,000","6,921,000,000","6,695,000,000","6,114,000,000","5,961,000,000","7,438,000,000","6,413,000,000","6,063,000,000","5,944,000,000","5,278,000,000","6,554,000,000","5,013,000,000","3,789,000,000","3,703,000,000","3,378,000,000","3,172,000,000","2,936,000,000","2,946,000,000","2,552,000,000","2,467,000,000","2,452,000,000","2,408,400,000","2,226,240,000","2,107,971,000","2,101,504,000","2,190,005,000","2,173,390,000","2,147,575,000","2,110,536,000","1,955,824,000","1,662,579,000","1,560,255,000","1,470,426,000","1,283,148,000","1,048,728,000","989,032,000","904,119,000","775,381,000","653,826,000","597,095,000","545,208,000","453,779,000","362,099,000","326,377,000","315,398,000","117,401,000"
ReconciledDepreciation,"12,441,000,000","3,439,000,000","3,304,000,000","2,945,000,000","2,753,000,000","3,725,000,000","3,478,000,000","3,386,000,000","3,108,000,000","3,413,000,000","2,920,000,000","2,835,000,000","2,613,000,000","2,580,000,000","2,355,000,000","2,114,000,000","1,986,000,000","2,026,000,000","1,761,000,000","1,625,000,000","1,503,000,000","1,687,000,000","1,596,000,000","1,490,000,000","1,371,000,000","1,404,000,000","1,248,000,000","1,234,000,000","1,177,000,000","1,267,000,000","1,547,000,000","1,079,000,000","1,086,000,000","1,036,000,000","974,000,000","1,030,000,000","899,000,000","953,000,000","828,000,000","670,000,000","511,000,000","503,000,000","492,000,000","455,000,000","401,000,000","381,000,000","342,000,000","342,000,000","331,000,000","365,506,000","378,623,000","376,957,000","403,222,000","385,510,000","386,246,000","391,607,000","336,524,000","289,936,000","249,375,000","223,355,000","204,992,000","189,250,000","145,310,000","126,221,000","111,158,000","94,725,000","75,965,000","66,929,000","56,193,000","52,460,000","41,326,000",,,
NetIncomeFromContinuingOperationNetMinorityInterest,"76,033,000,000","20,642,000,000","18,936,000,000","18,525,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,931,000,000","3,586,000,000","3,790,000,000","2,998,000,000","3,490,000,000","3,650,000,000","3,381,000,000","2,955,000,000","2,554,000,000","3,324,000,000","2,937,000,000","2,176,000,000","2,785,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,505,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,638,975,000","1,484,545,000","1,422,828,000","382,442,000","1,289,938,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000","79,063,000","63,973,000","32,168,000"
TotalUnusualItemsExcludingGoodwill,"12,030,000,000","2,315,000,000","2,019,000,000","2,832,000,000","4,864,000,000","3,175,000,000","1,931,000,000","1,750,000,000","-883,000,000","439,000,000","-1,438,000,000","2,745,000,000","-542,000,000","1,269,000,000","1,298,000,000","-4,036,000,000","2,968,000,000","-54,000,000","-129,000,000","-2,798,000,000","-70,000,000","-109,000,000","-33,000,000","-142,000,000","-466,000,000","-463,000,000","-99,000,000","-116,000,000","-30,000,000","-100,000,000","-48,000,000","-1,000,000","185,000,000","-85,000,000","-179,000,000","65,000,000","-10,000,000","-63,000,000","-88,000,000","96,000,000","-6,000,000","-197,000,000","112,000,000","-8,000,000","-94,000,000","-16,000,000","-5,000,000","-67,000,000","-77,000,000","20,826,000","-53,879,000","-26,767,000","-59,882,000","-1,113,305,000","-69,779,000","-30,163,000","45,727,000","22,833,000","8,760,000","-610,000","595,000","2,469,000","-29,000","57,795,000",,,,,,"0","-201,000,000",,,
TotalUnusualItems,"12,030,000,000","2,315,000,000","2,019,000,000","2,832,000,000","4,864,000,000","3,175,000,000","1,931,000,000","1,750,000,000","-883,000,000","439,000,000","-1,438,000,000","2,745,000,000","-542,000,000","1,269,000,000","1,298,000,000","-4,036,000,000","2,968,000,000","-54,000,000","-129,000,000","-2,798,000,000","-70,000,000","-109,000,000","-33,000,000","-142,000,000","-466,000,000","-463,000,000","-99,000,000","-116,000,000","-30,000,000","-100,000,000","-48,000,000","-1,000,000","185,000,000","-85,000,000","-179,000,000","65,000,000","-10,000,000","-63,000,000","-88,000,000","96,000,000","-6,000,000","-197,000,000","112,000,000","-8,000,000","-94,000,000","-16,000,000","-5,000,000","-67,000,000","-77,000,000","20,826,000","-53,879,000","-26,767,000","-59,882,000","-1,113,305,000","-69,779,000","-30,163,000","45,727,000","22,833,000","8,760,000","-610,000","595,000","2,469,000","-29,000","57,795,000",,,,,,"0","-201,000,000",,,
NormalizedEBITDA,"91,491,000,000","25,643,000,000","24,426,000,000","22,174,000,000","19,248,000,000","19,292,000,000","14,954,000,000","9,926,000,000","11,769,000,000","13,695,000,000","13,009,000,000","12,262,000,000","11,336,000,000","11,412,000,000","11,168,000,000","10,392,000,000","9,591,000,000","10,134,000,000","9,896,000,000","8,821,000,000","8,417,000,000","8,686,000,000","7,703,000,000","7,783,000,000","6,996,000,000","7,093,000,000","6,264,000,000","6,332,000,000","5,837,000,000","5,919,000,000","5,477,000,000","5,510,000,000","5,397,000,000","5,189,000,000","4,643,000,000","4,354,000,000","4,541,000,000","4,622,000,000","3,736,000,000","4,053,000,000","4,082,000,000","4,209,000,000","3,761,000,000","3,344,000,000","2,791,000,000","3,379,000,000","2,894,000,000","2,774,000,000","2,896,000,000","2,825,663,000","2,506,220,000","2,277,618,000","2,346,695,000","3,359,020,000","2,103,590,000","1,999,735,000","2,004,762,000","1,875,301,000","1,713,331,000","1,465,954,000","1,556,676,000","910,265,000","1,184,871,000","883,798,000","853,857,000","664,364,000","605,136,000","542,627,000","498,963,000","355,259,000","253,438,000","529,254,000","301,206,000","176,306,000"
TaxRateForCalcs,"0.162","0.154","0.179","0.157","0.158","0.185","0.158","0.159","0.119","0.003","0.181","0.181","0.183","0.112","0.088","0.242","0.108","0.4","0.156","0.195","0.204","0.222","0.163","0.203","0.18","0.053","0.186","0.207","0.221","0.163","0.223","0.207","0.184","0.165","0.148","0.242","0.079","0.181","0.223","0.194","0.185","0.225","0.188","0.188","0.248","0.191","0.202","0.244","0.22","0.231","0.207","0.2","0.247","0.35","0.227","0.237","0.237","0.25","0.273","0.255","0.259","0.13","0.295","0.261","0.269","0.4","0.307","0.308","0.191","0.342","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"1,948,860,000","356,708,466.519","361,401,000","444,624,000","768,512,000","588,145,433.142","305,098,000","278,250,000","-105,077,000","1,353,419.283","-260,278,000","496,845,000","-99,186,000","141,615,965.052","114,224,000","-976,712,000","320,544,000","-21,600,000","-20,124,000","-545,610,000","-14,280,000","-24,225,754.703","-5,379,000","-28,826,000","-83,880,000","-24,663,653.846","-18,414,000","-24,012,000","-6,630,000","-16,280,097.195","-10,704,000","-207,000","34,040,000","-13,988,139.362","-26,492,000","15,730,000","-790,000","-11,387,447.699","-19,586,995.355","18,661,266.995","-1,108,603.667","-44,323,588.421","21,033,333.333","-1,504,051.864","-23,342,809.365","-3,050,286.442","-1,007,737.657","-16,350,862.777","-16,930,167.598","4,820,600.087","-11,147,530.349","-5,359,107.637","-14,796,942.739","-389,656,750","-15,841,107.752","-7,163,225.729","10,847,279.601","5,702,162.012","2,393,570.174","-155,540.187","153,939.218","320,973.293","-8,540.891","15,103,310.67","0","0","0","0","0","0","-80,400,000","0","0","0"
