name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
NormalizedIncome,"2,121,254,000","445,015,810.277","568,760,000","538,499,000","568,744,000","390,538,095.238","484,614,000","392,600,000","420,447,000","401,574,370.709","427,260,000","394,635,000","316,095,000","326,016,746.411","395,140,000","396,236,000","360,390,000","96,000,000","311,623,000","251,296,000","238,709,000","195,333,333.333","246,120,000","219,275,000","190,492,000","100,000,000","202,224,000","144,424,000","171,453,000","140,632,258.065","175,828,000","149,205,000","161,830,000","141,317,460.317","133,832,000","111,584,000","153,122,000","42,000,000","167,292,000","180,557,000","123,444,444.444","77,900,000","135,081,081.081","81,230,769.231","95,937,500"
InterestIncome,"6,000,000","2,000,000","1,000,000","2,000,000","1,000,000","3,000,000","1,000,000","2,000,000","6,000,000","8,000,000","10,000,000","9,000,000","10,000,000","11,000,000","6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"224,000,000","54,000,000","56,000,000","57,000,000","57,000,000","58,000,000","62,000,000","58,000,000","53,000,000","56,000,000","56,000,000","55,000,000","56,000,000","59,000,000","54,000,000","46,000,000","47,000,000","50,000,000","43,000,000","41,000,000","41,000,000","41,000,000","41,000,000","41,000,000","43,000,000","38,000,000","29,000,000","29,000,000","28,000,000","30,000,000","29,000,000","29,000,000","29,000,000","30,000,000","29,000,000","32,000,000","22,000,000","8,000,000","7,000,000","8,000,000","8,000,000","9,000,000","9,000,000","9,000,000","9,000,000"
NetInterestIncome,"-218,000,000","-52,000,000","-55,000,000","-55,000,000","-56,000,000","-55,000,000","-61,000,000","-56,000,000","-47,000,000","-48,000,000","-46,000,000","-46,000,000","-46,000,000","-48,000,000","-48,000,000","-46,000,000","-47,000,000","-50,000,000","-43,000,000","-41,000,000","-41,000,000","-41,000,000","-41,000,000","-41,000,000","-43,000,000","-38,000,000","-29,000,000","-29,000,000","-28,000,000","-30,000,000","-29,000,000","-29,000,000","-29,000,000","-30,000,000","-29,000,000","-32,000,000","-22,000,000","-8,000,000","-7,000,000","-8,000,000","-8,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000"
EBIT,"2,712,000,000","560,000,000","715,000,000","693,000,000","744,000,000","478,000,000","659,000,000","540,000,000","550,000,000","493,000,000","584,000,000","510,000,000","437,000,000","477,000,000","472,000,000","483,000,000","464,000,000","480,000,000","456,000,000","386,000,000","378,000,000","272,000,000","374,000,000","373,000,000","375,000,000","107,000,000","302,000,000","2,000,000","258,000,000","185,000,000","267,000,000","229,000,000","256,000,000","156,000,000","214,000,000","219,000,000","214,000,000","82,000,000","220,000,000","260,000,000","179,000,000","39,000,000","157,000,000","113,000,000","121,000,000"
EBITDA,"3,160,000,000"
ReconciledCostOfRevenue,"2,016,000,000","523,000,000","516,000,000","497,000,000","480,000,000","532,000,000","475,000,000","380,000,000","389,000,000","461,000,000","410,000,000","406,000,000","458,000,000","482,000,000","421,000,000","407,000,000","410,000,000","417,000,000","400,000,000","404,000,000","403,000,000","426,000,000","371,000,000","361,000,000","353,000,000","457,000,000","390,000,000","392,000,000","361,000,000","452,000,000","400,000,000","377,000,000","344,000,000","423,000,000","351,000,000","380,000,000","366,000,000","405,000,000","321,000,000","340,000,000","361,000,000","383,000,000","363,000,000","422,000,000","348,000,000"
ReconciledDepreciation,"448,000,000","117,000,000","110,000,000","112,000,000","109,000,000","109,000,000","111,000,000","111,000,000","110,000,000","109,000,000","107,000,000","98,000,000","98,000,000","101,000,000","84,000,000","63,000,000","60,000,000","63,000,000","58,000,000","59,000,000","62,000,000","63,000,000","60,000,000","60,000,000","57,000,000","55,000,000","46,000,000","50,000,000","48,000,000","53,000,000","50,000,000","51,000,000","50,000,000","58,000,000","49,000,000","51,000,000","51,000,000","44,000,000","54,000,000","54,000,000","48,000,000","54,000,000","52,000,000","50,000,000","49,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"2,037,000,000","414,000,000","552,000,000","512,000,000","559,000,000","359,000,000","479,000,000","377,000,000","423,000,000","384,000,000","433,000,000","371,000,000","312,000,000","345,000,000","347,000,000","384,000,000","352,000,000","81,000,000","298,000,000","247,000,000","238,000,000","154,000,000","239,000,000","224,000,000","204,000,000","22,000,000","189,000,000","-37,000,000","165,000,000","126,000,000","166,000,000","136,000,000","155,000,000","105,000,000","131,000,000","128,000,000","140,000,000","-10,000,000","162,000,000","173,000,000","111,000,000","9,000,000","94,000,000","66,000,000","76,000,000"
TotalUnusualItemsExcludingGoodwill,"-103,000,000","-38,000,000","-20,000,000","-33,000,000","-12,000,000","-37,000,000","-7,000,000","-20,000,000","3,000,000","-20,000,000","7,000,000","-29,000,000","-5,000,000","23,000,000","-58,000,000","-14,000,000","-10,000,000","-25,000,000","-19,000,000","-6,000,000","-1,000,000","-62,000,000","-10,000,000","7,000,000","22,000,000","-130,000,000","-19,000,000","-272,000,000","-9,000,000","-18,000,000","-14,000,000","-19,000,000","-10,000,000","-44,000,000","-4,000,000","24,000,000","-18,000,000","-80,000,000","-7,000,000","-11,000,000","-19,000,000","-106,000,000","-64,000,000","-24,000,000","-29,000,000"
TotalUnusualItems,"-103,000,000","-38,000,000","-20,000,000","-33,000,000","-12,000,000","-37,000,000","-7,000,000","-20,000,000","3,000,000","-20,000,000","7,000,000","-29,000,000","-5,000,000","23,000,000","-58,000,000","-14,000,000","-10,000,000","-25,000,000","-19,000,000","-6,000,000","-1,000,000","-62,000,000","-10,000,000","7,000,000","22,000,000","-130,000,000","-19,000,000","-272,000,000","-9,000,000","-18,000,000","-14,000,000","-19,000,000","-10,000,000","-44,000,000","-4,000,000","24,000,000","-18,000,000","-80,000,000","-7,000,000","-11,000,000","-19,000,000","-106,000,000","-64,000,000","-24,000,000","-29,000,000"
NormalizedEBITDA,"3,263,000,000","715,000,000","845,000,000","838,000,000","865,000,000","624,000,000","777,000,000","671,000,000","657,000,000","622,000,000","684,000,000","637,000,000","540,000,000","555,000,000","614,000,000","560,000,000","534,000,000","568,000,000","533,000,000","451,000,000","441,000,000","397,000,000","444,000,000","426,000,000","410,000,000","292,000,000","367,000,000","324,000,000","315,000,000","256,000,000","331,000,000","299,000,000","316,000,000","258,000,000","267,000,000","246,000,000","283,000,000","206,000,000","281,000,000","325,000,000","246,000,000","199,000,000","273,000,000","187,000,000","199,000,000"
TaxRateForCalcs,"0.182","0.184","0.162","0.197","0.188","0.148","0.198","0.22","0.149","0.121","0.18","0.185","0.181","0.175","0.17","0.126","0.161","0.4","0.283","0.284","0.291","0.333","0.288","0.325","0.386","0.4","0.304","0.333","0.283","0.187","0.298","0.305","0.317","0.175","0.292","0.316","0.271","0.35","0.244","0.313","0.345","0.35","0.358","0.365","0.313"
TaxEffectOfUnusualItems,"-18,746,000","-6,984,189.723","-3,240,000","-6,501,000","-2,256,000","-5,461,904.762","-1,386,000","-4,400,000","447,000","-2,425,629.291","1,260,000","-5,365,000","-905,000","4,016,746.411","-9,860,000","-1,764,000","-1,610,000","-10,000,000","-5,377,000","-1,704,000","-291,000","-20,666,666.667","-2,880,000","2,275,000","8,492,000","-52,000,000","-5,776,000","-90,576,000","-2,547,000","-3,367,741.935","-4,172,000","-5,795,000","-3,170,000","-7,682,539.683","-1,168,000","7,584,000","-4,878,000","-28,000,000","-1,708,000","-3,443,000","-6,555,555.556","-37,100,000","-22,918,918.919","-8,769,230.769","-9,062,500"
