name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
EBIT,"3,096,000,000","1,361,000,000","920,000,000","473,000,000","342,000,000","-910,000,000","-1,356,000,000","-3,046,000,000","-269,000,000","406,000,000","349,000,000","507,000,000","56,000,000","276,789,000","220,241,000","311,653,000","238,936,000","116,538,000","91,997,000","173,952,000","155,256,000","38,682,000","9,634,000","-146,734,000","-25,614,000","-184,505,000","-226,870,000","-317,810,000","20,306,000","163,464,000","78,465,000","50,726,000","43,695,000","36,747,000","24,784,000","22,808,000","9,043,000","3,432,000","1,566,000","14,797,000","2,240,600","4,734,861","2,807,000","4,073,896","3,346,729","132,974"
EBITDA,"4,371,000,000"
ReconciledCostOfRevenue,"2,566,000,000","668,000,000","707,000,000","682,000,000","509,000,000","467,000,000","502,000,000","536,000,000","664,000,000","660,000,000","605,000,000","584,000,000","515,000,000","378,531,000","255,666,000","229,130,000","195,339,000","174,025,000","146,369,000","124,884,000","104,753,000","87,431,000","78,892,000","69,139,000","71,043,000","75,759,000","85,218,000","86,868,000","91,558,000","87,240,000","68,989,000","59,774,000","45,312,000","34,292,000","26,201,000","23,345,000","17,733,000","44,552,000","931,730","10,049,000","847,806","768,254","587,881","620,946","1,789,300","724,237"
ReconciledDepreciation,"1,275,000,000","320,000,000","341,000,000","341,000,000","273,000,000","268,000,000","286,000,000","343,000,000","407,000,000","401,000,000","365,000,000","359,000,000","322,000,000","231,638,000","146,318,000","129,867,000","115,216,000","105,078,000","87,579,000","75,173,000","58,929,000","51,329,000","44,746,000","39,871,000","42,069,000","48,549,000","52,375,000","57,096,000","59,677,000","53,641,000","45,370,000","40,021,000","30,973,000","23,621,000","17,423,000","14,815,000","10,738,000","9,971,000","6,066,270","5,570,788","4,664,942","4,281,341","3,680,119","3,824,672","4,119,183","4,254,871"
NetIncomeFromContinuingOperationNetMinorityInterest,"2,182,000,000","1,002,000,000","649,000,000","311,000,000","220,000,000","-739,000,000","-1,113,000,000","-2,393,000,000","-272,000,000","-487,000,000","368,000,000","349,000,000","10,000,000","306,660,000","157,054,000","219,146,000","162,812,000","114,559,000","73,024,000","158,405,000","136,273,000","25,598,000","-2,230,000","-155,490,000","-32,912,000","-187,409,000","-156,781,000","-212,287,000","5,849,000","98,674,000","43,739,000","27,753,000","23,589,000","20,124,000","14,596,000","14,471,000","5,396,000","-3,547,000","436,000","13,624,000","1,359,131","-8,957,244","2,089,000","3,472,611","2,850,961","-341,411"
TotalUnusualItemsExcludingGoodwill,"-1,001,000,000","44,000,000","-246,000,000","-499,000,000","-303,000,000","-1,185,000,000","-1,554,000,000","-2,900,000,000","-477,000,000","-956,000,000","177,000,000","94,000,000","-264,000,000","198,058,000","-48,572,000","-54,122,000","-31,446,000","-97,888,000","-50,645,000","33,320,000","37,701,000","-49,814,000","-44,334,000","-180,477,000","-29,390,000","-212,493,000","-246,134,000","-342,574,000","18,354,000","128,116,000","14,909,000","-11,088,000","-4,398,000","9,000","-4,910,000","3,037,000","-8,000","-1,129,000","-2,477,000","9,957,000","-4,346,744","-12,973,990","-7,000","-16,067","-12,114","-1,261"
TotalUnusualItems,"-1,001,000,000","44,000,000","-246,000,000","-499,000,000","-303,000,000","-1,185,000,000","-1,554,000,000","-2,900,000,000","-477,000,000","-956,000,000","177,000,000","94,000,000","-264,000,000","198,058,000","-48,572,000","-54,122,000","-31,446,000","-97,888,000","-50,645,000","33,320,000","37,701,000","-49,814,000","-44,334,000","-180,477,000","-29,390,000","-212,493,000","-246,134,000","-342,574,000","18,354,000","128,116,000","14,909,000","-11,088,000","-4,398,000","9,000","-4,910,000","3,037,000","-8,000","-1,129,000","-2,477,000","9,957,000","-4,346,744","-12,973,990","-7,000","-16,067","-12,114","-1,261"
NormalizedEBITDA,"5,372,000,000","1,637,000,000","1,507,000,000","1,313,000,000","918,000,000","543,000,000","484,000,000","197,000,000","615,000,000","1,763,000,000","537,000,000","772,000,000","642,000,000","310,369,000","415,131,000","495,642,000","385,598,000","319,504,000","230,221,000","215,805,000","176,484,000","139,825,000","98,714,000","73,614,000","45,845,000","76,537,000","71,639,000","81,860,000","61,629,000","88,989,000","108,926,000","101,835,000","79,066,000","60,359,000","47,117,000","34,586,000","19,789,000","14,532,000","10,109,270","10,410,788","11,252,286","21,990,192","6,494,119","7,914,635","7,478,026","4,389,106"
TaxRateForCalcs,"0.217","0.21","0.223","0.223","0.226","0.211","0.216","0.22","0.27","0.208","0.208","0.223","0.27","0.219","0.21","0.27","0.209","0.4","0.01","0.01","0.014","0.4","0","0.4","0","0.034","0.343","0.356","0.344","0.36","0.349","0.353","0.366","0.367","0.384","0.35","0.369","0.35","0.35","0","0.35","0.35","0.35","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"-217,217,000","9,230,075.188","-54,858,000","-111,277,000","-68,478,000","-249,864,300.626","-335,664,000","-638,000,000","-128,790,000","-198,899,328.859","36,816,000","20,962,000","-71,280,000","43,280,636.431","-10,180,967.47","-14,612,940","-6,572,214","-39,155,200","-524,156.331","317,501.856","527,814","-19,925,600","0","-72,190,800","0","-7,130,290.867","-84,423,962","-121,956,344","6,313,776","46,142,598.54","5,203,241","-3,914,064","-1,609,668","3,307.214","-1,885,464.866","1,063,829.48","-2,955.831","-395,150","-866,950","0","-1,521,360.4","-4,540,896.5","-2,450","-5,623.45","-4,239.9","-441.35"
