name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,"6,000,000","6,000,000","6,000,000","6,100,000","6,000,000","6,000,000","6,000,000","7,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","7,000,000","6,000,000","7,000,000","9,000,000","10,000,000","9,000,000","6,500,000","6,800,000","57,300,000","6,700,000","7,100,000","7,200,000","7,500,000","7,100,000","6,900,000","6,300,000","6,200,000","6,000,000","6,000,000","5,300,000","5,200,000","5,200,000","5,200,000","5,100,000","5,000,000","4,900,000","11,500,000","13,600,000","14,400,000","7,700,000","3,200,000","3,000,000","3,800,000","5,600,000","4,758,000","1,765,000","1,628,000",,,,,,,,,,,,,,,,,,"18,515,000","18,939,000","20,818,000","20,327,000","13,180,000","20,800,000","20,900,000","11,400,000","13,100,000","11,200,000","11,300,000","10,800,000","7,400,000","7,500,000","6,600,000","5,900,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,"6,000,000","6,000,000","6,000,000","6,100,000","6,000,000","6,000,000","6,000,000","7,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","7,000,000","6,000,000","7,000,000","9,000,000","10,000,000","9,000,000","6,500,000","6,800,000","6,800,000","6,700,000","7,100,000","7,200,000","7,500,000","7,100,000","6,900,000","6,300,000","6,200,000","6,000,000","6,000,000","5,300,000","5,200,000","5,200,000","5,200,000","5,100,000","5,000,000","4,900,000","11,500,000","13,600,000","14,400,000","7,700,000","3,200,000","3,000,000","3,800,000","5,600,000","4,758,000","1,765,000","1,628,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,"6,000,000","6,000,000","6,000,000","6,100,000","6,000,000","6,000,000","6,000,000","7,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","7,000,000","6,000,000","7,000,000","9,000,000","10,000,000","9,000,000","6,500,000","6,800,000","6,800,000","6,700,000","7,100,000","7,200,000","7,500,000","7,100,000","6,900,000","6,300,000","6,200,000","6,000,000","6,000,000","5,300,000","5,200,000","5,200,000","5,200,000","5,100,000","5,000,000","4,900,000","11,500,000","13,600,000","14,400,000","7,700,000","3,200,000","3,000,000","3,800,000","5,600,000","4,758,000","1,765,000","1,628,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,100,000",,,,,,,,,,"1,442,000","4,443,000","4,915,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"818,200,000","287,900,000","255,200,000","239,900,000","27,700,000","182,900,000","171,200,000","-158,900,000","-257,800,000","245,800,000","253,700,000","174,100,000","92,100,000","236,100,000","235,700,000","153,800,000","79,900,000","216,400,000","223,100,000","136,800,000","53,600,000","205,000,000","145,000,000","74,000,000","112,000,000","256,000,000","268,000,000","138,000,000","200,000,000","316,000,000","288,000,000","248,000,000","228,000,000","348,000,000","295,000,000","260,000,000","196,900,000","318,400,000","348,300,000","292,000,000","151,000,000","270,100,000","350,800,000","282,100,000","120,900,000","246,200,000","308,800,000","174,300,000","171,400,000","178,000,000","253,900,000","117,100,000","116,900,000","168,100,000","242,900,000","146,600,000","144,200,000","170,700,000","192,600,000","145,800,000","120,700,000","184,200,000","216,700,000","135,600,000","124,754,000","143,642,000","176,983,000","80,221,000","41,069,000","115,052,000","124,569,000","21,336,000","128,495,000","76,388,000","82,953,000","5,526,000","123,005,000","77,519,000","84,648,000","17,688,000","95,045,000","74,448,000","86,133,000","53,588,000","156,269,000","88,126,000","29,966,000","45,013,000","57,960,000","56,400,000","95,000,000","47,800,000","45,100,000","40,900,000","81,100,000","33,300,000","45,800,000","49,300,000","75,900,000","28,700,000"
NetNonOperatingInterestIncomeExpense,"-47,600,000","-12,000,000","-12,400,000","-11,500,000","-11,700,000","-9,800,000","-10,600,000","-6,700,000","1,100,000","3,100,000","5,200,000","7,400,000","6,200,000","4,700,000","4,400,000","4,800,000","1,400,000","-2,000,000","-2,600,000","-2,700,000","-1,000,000","-1,000,000","-2,000,000","-2,000,000","-6,000,000","-4,000,000","-3,000,000","-2,000,000","-3,000,000","-3,000,000","-2,000,000","-3,000,000","-5,000,000","-4,000,000","-5,000,000","-3,000,000","-4,000,000","-4,100,000","-4,100,000","-4,200,000","-4,000,000","-3,600,000","-4,000,000","-1,900,000","-2,600,000","-2,500,000","-2,800,000","-2,700,000","-3,400,000","-3,400,000","800,000","-3,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"6,600,000","1,400,000","1,200,000","1,800,000","2,200,000","2,400,000","2,200,000","2,900,000","5,900,000","7,300,000","9,600,000","11,600,000","11,300,000","9,900,000","10,400,000","9,200,000","5,200,000","2,800,000","2,000,000","2,300,000","400,000","3,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","2,000,000","2,000,000","0","3,000,000","1,000,000","-1,000,000","0","2,000,000","2,000,000","1,600,000","1,500,000","1,300,000","1,300,000","1,700,000","2,700,000","2,400,000","4,200,000","2,500,000","1,800,000","1,600,000","1,800,000","2,000,000","1,200,000","6,400,000","2,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"54,200,000","13,400,000","13,600,000","13,300,000","13,900,000","12,200,000","12,800,000","9,600,000","4,800,000","4,200,000","4,400,000","4,200,000","5,100,000","5,200,000","6,000,000","4,400,000","3,800,000","4,800,000","4,600,000","5,000,000","1,400,000","4,000,000","4,000,000","3,000,000","7,000,000","6,000,000","4,000,000","4,000,000","5,000,000","3,000,000","5,000,000","4,000,000","4,000,000","4,000,000","7,000,000","5,000,000","5,600,000","5,600,000","5,400,000","5,500,000","5,700,000","6,300,000","6,400,000","6,100,000","5,100,000","4,300,000","4,400,000","4,500,000","5,400,000","4,600,000","5,600,000","6,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-80,600,000","1,300,000","-4,700,000","-18,400,000","-51,300,000","-10,900,000","-189,700,000","-7,000,000","-30,500,000","-18,500,000","-22,300,000","-34,900,000","-63,000,000","-41,300,000","-25,300,000","-25,700,000","-56,400,000","-28,100,000","-29,300,000","-47,300,000","-321,500,000","-80,000,000","-70,000,000","-105,000,000","-44,000,000","-71,000,000","-46,000,000","-46,000,000","-24,000,000","-12,000,000","-8,000,000","-10,000,000","-4,000,000","-20,000,000","-2,000,000","8,000,000","-24,300,000","-19,700,000","-2,000,000","-3,900,000","-16,000,000","-4,400,000","700,000","-5,700,000","-6,800,000","-5,300,000",,"-2,100,000","-600,000","-9,100,000","-12,400,000","800,000","-68,600,000","-8,000,000","-5,200,000","-600,000","-7,700,000","-2,800,000","-1,500,000","-1,300,000","-1,000,000","100,000","300,000","-2,500,000","-2,565,000","-5,504,000","-13,527,000","396,000","-2,582,000","1,985,000","2,177,000","546,000","-6,306,000","-18,666,000","3,381,000","4,238,000","-4,482,000","-6,738,000","-220,000","-3,531,000","-14,379,000","3,036,000","-5,664,000","2,827,000","6,957,000","1,222,000","-127,021,000","1,134,000","1,151,000","1,500,000","2,000,000","2,100,000","-55,900,000","2,900,000","3,800,000","5,000,000",,"400,000","300,000",
