name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992
DilutedEPS,,"0.35","0.82","1.37","5.3","0.07","0.75","1.68","4.11","0.91","0.22","-0.17","5.22","0.72","0.13","0.18","4.59","-0.08","-0.07","0.09","3.7","0.05","-0.12","-0.16","3.94","0.09","-0.11","0.05","1.78","-0.23","-0.29","-0.14","3.39","-0.13","-0.04","-0.05","2.71","0.23","-0.06","0.01","2.42","0.39","-0.21",,"2.2","0.23","-0.22",,"1.78","0.35","-0.21",,"1.47","0.26","-0.16",,"1.33","0.34","-0.06",,"1.04","0.4","-0.17",,"0.84","0.505","-0.13",,"0.805","0.385","-0.12",,"0.665","0.365","-0.135",,"0.7","0.3","-0.13",,"0.335","0.275","-0.22",,"-0.035","0.06","-0.08",,"0.695","0.135","-0.165",,"0.185","0.235","-0.14",,"-0.01","0.14","-0.045",,"0.002","0.405","-0.1",,"-0.001","0.075","-0.08",,"-0.015","0.055","-0.23","-0.04","0.03","-1.08",,"0.005","0.015","0.025"
BasicAverageShares,,"283,000,000","273,000,000","273,000,000","273,000,000","270,000,000","263,000,000","262,000,000","261,000,000","261,000,000","261,000,000","260,000,000","260,000,000","260,000,000","260,000,000","258,000,000","257,000,000","256,000,000","256,000,000","257,000,000","256,000,000","257,000,000","258,000,000","257,000,000","257,000,000","263,000,000","272,000,000","277,000,000","277,000,000","285,000,000","286,000,000","284,000,000","284,000,000","284,000,000","288,000,000","298,000,000","297,000,000","296,000,000","296,000,000","294,000,000","295,000,000","297,000,000","300,000,000",,"303,000,000","308,000,000","316,000,000",,"314,000,000","314,000,000","320,000,000",,"321,890,000","320,531,000","323,269,000",,"323,408,000","331,139,000","337,584,000",,"339,495,000","347,185,000","346,214,000",,"343,670,000","350,292,000","354,812,000",,"366,844,000","372,662,000","376,692,000",,"389,034,000","395,330,000","397,494,000",,"411,418,000","411,364,000","415,930,000",,"423,228,000","425,040,000","422,078,000",,"417,430,000","415,188,000","411,454,000",,"404,684,000","391,870,000","373,939,394",,"372,307,692","359,600,000","351,428,571",,"220,000,000","288,275,862","284,444,444",,"287,213,115","286,172,840","283,000,000",,"320,000,000","292,000,000","263,750,000",,"253,333,333","260,000,000","233,043,478","215,000,000","233,333,333","224,756,000",,"100,000,000","126,666,667","124,000,000"
DilutedAverageShares,,"287,000,000","277,000,000","277,000,000","276,000,000","273,000,000","265,000,000","264,000,000","264,000,000","264,000,000","264,000,000","260,000,000","264,000,000","264,000,000","264,000,000","263,000,000","262,000,000","256,000,000","256,000,000","261,000,000","260,000,000","260,000,000","258,000,000","257,000,000","260,000,000","266,000,000","272,000,000","277,000,000","282,000,000","285,000,000","286,000,000","284,000,000","290,000,000","284,000,000","288,000,000","298,000,000","304,000,000","303,000,000","296,000,000","294,000,000","303,000,000","306,000,000","300,000,000",,"313,000,000","318,000,000","316,000,000",,"323,000,000","323,000,000","320,000,000",,"329,104,000","326,319,000","323,269,000",,"333,436,000","342,751,000","337,584,000",,"351,686,000","360,573,000","346,214,000",,"355,918,000","363,582,000","354,812,000",,"373,774,000","380,200,000","376,692,000",,"397,496,000","406,860,000","397,494,000",,"420,896,000","424,910,000","415,930,000",,"434,346,000","438,710,000","422,078,000",,"417,430,000","431,854,000","411,454,000",,"428,724,000","419,132,000","373,939,394",,"392,432,432","382,553,191","351,428,571",,"220,000,000","298,571,429","284,444,444",,"287,213,115","286,172,840","283,000,000",,"320,000,000","292,000,000","263,750,000",,"253,333,333","260,000,000","233,043,478","215,000,000","233,333,333","224,756,000",,"100,000,000","126,666,667","124,000,000"
TotalOperatingIncomeAsReported,"2,567,000,000","56,000,000","195,000,000","402,000,000","1,914,000,000","-25,000,000","209,000,000","483,000,000","1,413,000,000","270,000,000","10,000,000","-153,000,000","1,784,000,000","233,000,000","-10,000,000","-81,000,000","1,615,000,000","20,000,000","-57,000,000","-10,000,000","1,444,000,000","22,000,000","-61,000,000","-56,000,000","1,285,000,000","42,000,000","-29,000,000","44,000,000","906,000,000","-98,000,000","-114,000,000","-57,000,000","1,494,000,000","-46,000,000","-77,000,000","-38,000,000","1,247,000,000","93,000,000","-69,000,000","-28,000,000","1,107,000,000","192,000,000","-94,000,000","-61,000,000","1,061,000,000","111,000,000","-104,000,000","-64,000,000","888,000,000","139,000,000","-99,000,000","-115,529,000","764,062,000","109,557,000","-73,030,000","-94,165,000","674,501,000","173,630,000","-103,199,000","-54,025,000","578,765,000","214,983,000","-101,494,000","-56,914,000","480,107,000","238,972,000","-102,621,000","-48,925,000","426,066,000","224,322,000","-77,365,000","-55,950,000","347,131,000","218,610,000","-89,414,000","-40,517,000","308,527,000","170,679,000","-94,648,000","-95,701,000","194,465,000","123,455,000","-122,760,000","-84,818,000","37,878,000","94,595,000","-91,195,000","89,232,000","60,513,000","82,600,000","-83,400,000","-63,300,000","45,800,000","105,600,000","-68,100,000","-15,400,000","-7,400,000","65,600,000","-25,500,000","-22,200,000","4,300,000","73,600,000","-34,100,000","-23,700,000","-2,500,000","50,300,000","-30,900,000","-26,600,000","-2,300,000","27,000,000","-11,600,000","-10,800,000","12,400,000","-169,000,000","4,500,000","800,000","3,100,000","5,000,000"
TotalExpenses,"8,847,000,000","2,617,000,000","1,812,000,000","2,159,000,000","2,259,000,000","1,601,000,000","1,114,000,000","1,333,000,000","1,589,000,000","1,426,000,000","1,155,000,000","1,147,000,000","1,488,000,000","1,269,000,000","1,026,000,000","1,069,000,000","1,310,000,000","1,145,000,000","943,000,000","852,000,000","1,097,000,000","994,000,000","839,000,000","810,000,000","1,019,000,000","881,000,000","742,000,000","589,000,000","1,025,000,000","906,000,000","786,000,000","771,000,000","894,000,000","828,000,000","699,000,000","462,000,000","885,000,000","875,000,000","716,000,000","621,000,000","838,000,000","827,000,000","688,000,000","624,000,000","787,000,000","767,000,000","636,000,000","632,000,000","709,000,000","687,000,000","582,000,000","581,781,000","659,882,000","668,871,000","544,821,000","566,150,000","629,253,000","653,161,000","540,125,000","442,069,000","565,972,000","545,990,000","460,723,000","397,092,000","469,218,000","500,179,000","402,933,000","304,535,000","419,469,000","434,145,000","338,911,000","307,927,000","359,431,000","410,899,000","325,893,000","209,430,000","317,765,000","377,173,000","300,686,000","109,793,000","313,199,000","361,691,000","290,439,000","233,113,000","264,519,000","362,965,000","278,717,000","73,027,000","268,626,000","342,900,000","246,500,000","213,300,000","193,900,000","240,400,000","180,100,000","132,600,000","149,400,000","171,900,000","121,500,000","116,300,000","132,000,000","192,400,000","136,600,000","100,500,000","139,000,000","171,400,000","127,700,000","92,400,000","101,200,000","135,800,000","79,800,000","43,400,000","80,000,000","229,000,000","30,800,000","21,000,000","28,100,000","28,200,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"2,172,000,000","100,000,000","228,000,000","380,000,000","1,464,000,000","20,000,000","198,000,000","445,000,000","1,084,000,000","240,000,000","57,000,000","-44,000,000","1,378,000,000","189,000,000","34,000,000","49,000,000","1,200,000,000","-21,000,000","-17,000,000","24,000,000","964,000,000","13,000,000","-30,000,000","-40,000,000","1,026,000,000","24,000,000","-31,000,000","14,000,000","501,000,000","-66,000,000","-84,000,000","-29,000,000","984,000,000","-37,000,000","-11,000,000","-16,000,000","822,000,000","71,000,000","-19,000,000","4,000,000","734,000,000","118,000,000","-64,000,000","-57,000,000","688,000,000","73,000,000","-70,000,000","-48,000,000","576,000,000","114,000,000","-68,000,000","-70,675,000","484,820,000","85,040,000","-52,144,000","-61,860,000","444,179,000","115,247,000","-20,804,000","-13,640,000","367,211,000","145,362,000","-58,930,000","-18,854,000","298,648,000","182,973,000","-45,804,000","-19,996,000","300,507,000","147,252,000","-46,136,000","-42,104,000","264,033,000","149,066,000","-53,965,000","-24,688,000","293,977,000","128,430,000","-54,685,000","-31,762,000","144,481,000","119,868,000","-92,427,000","-61,289,000","-14,301,000","26,562,000","-48,079,000","17,145,000","297,085,000","57,300,000","-61,700,000","263,300,000","72,600,000","89,900,000","-49,200,000","-39,100,000","-2,200,000","41,800,000","-12,800,000","-19,800,000","500,000","115,900,000","-28,300,000","-22,000,000","-300,000","21,900,000","-21,100,000","-2,400,000","-3,800,000","14,300,000","-53,600,000","-8,600,000","7,000,000","-167,200,000","2,900,000","500,000","1,900,000","3,100,000"
NormalizedIncome,"2,172,000,000","100,000,000","228,000,000","380,000,000","1,464,000,000","20,000,000","198,000,000","445,000,000","1,084,000,000","240,000,000","57,000,000","-44,000,000","1,378,000,000","189,000,000","34,000,000","49,000,000","1,200,000,000","-21,000,000","-17,000,000","24,000,000","964,000,000","13,000,000","-30,000,000","-40,000,000","848,000,000","29,000,000","-31,000,000","-7,000,000","658,800,000","-66,000,000","-84,000,000","-29,000,000","984,000,000","-37,000,000","-57,000,000","-19,000,000","852,360,000","71,000,000","-51,000,000","-16,676,470.588","729,380,000","117,340,000","-69,877,551.02","-32,571,428.571","685,384,030.418","70,852,941.176","-73,153,153.153","-66,461,538.462","580,592,255.125","86,349,206.349","-62,436,363.636","-65,116,850","491,192,183.617","95,339,124.821","-46,286,850","-55,195,320.58","441,044,005.054","112,149,641.294","-57,966,214.145","-28,978,227.897","374,298,061.072","146,870,882.274","-57,872,277.819","-17,359,400","300,602,223.561","155,577,177.874","-57,928,940.12","-32,451,400","303,182,396.586","151,533,651.145","-39,898,400","-19,436,738.34","268,746,428.44","153,481,157.126","-50,070,244.384","-86,237,367.71","223,926,723.693","130,486,786.353","-48,347,359.23","-65,639,396.841","172,460,901.641","174,114,655.31","-32,161,958.593","-18,071,204.089","66,289,200","72,382,916.613","-45,724,805.785","64,493,400","43,761,400","59,146,260.069","-55,035,080.214","-35,440,000","30,310,665.451","79,385,380.117","-51,709,428.13","-9,425,349.922","-4,060,000","40,443,657.817","-16,978,238.342","-14,967,457.627","2,480,000","43,620,000","-26,081,891.892","-17,306,511.628","-1,500,000","21,120,000","-22,627,931.034","-23,340,000","-4,220,000","14,000,000","-11,381,488.203","-9,389,795.918","6,400,000","-167,596,678.529","2,718,750","375,000","1,838,709.677","3,100,000"
InterestIncome,"10,000,000","0","5,000,000","3,000,000","3,000,000","2,000,000","3,000,000","6,000,000","10,000,000","11,000,000","12,000,000","19,000,000","14,000,000","6,000,000","7,000,000","10,000,000","4,000,000","2,000,000","2,000,000","4,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","0","0","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","0","1,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","2,000,000","2,000,000","1,000,000","4,000,000","10,201,000","5,977,000","6,190,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"42,000,000","21,000,000","7,000,000","7,000,000","7,000,000","7,000,000","8,000,000","7,000,000","2,000,000","3,000,000","2,000,000","3,000,000","4,000,000","4,000,000","4,000,000","4,000,000","5,000,000","6,000,000","5,000,000","3,000,000","8,000,000","11,000,000","9,000,000","9,000,000","10,000,000","9,000,000","7,000,000","6,000,000","7,000,000","7,000,000","7,000,000","7,000,000","8,000,000","8,000,000","8,000,000","7,000,000","8,000,000","7,000,000","8,000,000","7,000,000","12,000,000","16,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","16,000,000","15,125,000","12,642,000","11,686,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-32,000,000","-21,000,000","-2,000,000","-4,000,000","-4,000,000","-5,000,000","-5,000,000","-1,000,000","8,000,000","8,000,000","10,000,000","16,000,000","10,000,000","2,000,000","3,000,000","6,000,000","-1,000,000","-4,000,000","-3,000,000","1,000,000","-6,000,000","-10,000,000","-8,000,000","-7,000,000","-9,000,000","-9,000,000","-7,000,000","-4,000,000","-5,000,000","-5,000,000","-5,000,000","-5,000,000","-6,000,000","-7,000,000","-7,000,000","-6,000,000","-7,000,000","-7,000,000","-7,000,000","-4,000,000","-10,000,000","-14,000,000","-13,000,000","-13,000,000","-13,000,000","-12,000,000","-12,000,000","-13,000,000","-13,000,000","-14,000,000","-12,000,000","-4,924,000","-6,665,000","-5,496,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
