name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005
BasicAverageShares,,"140,000,000","141,000,000","141,000,000","142,000,000","142,000,000","142,000,000","142,000,000","142,000,000","142,000,000","143,000,000","144,000,000","145,000,000","148,000,000","151,000,000","152,000,000","152,000,000","152,000,000","152,000,000","151,000,000","150,000,000","150,000,000","112,000,000","73,000,000","72,000,000","72,000,000","72,000,000","73,000,000","73,000,000","73,000,000","73,000,000","74,000,000","77,000,000",,"84,000,000","84,250,000","84,000,000","83,500,000","83,500,000","83,250,000","82,500,000",,"82,250,000","84,500,000","86,750,000",,"89,750,000","90,750,000","93,750,000",,"96,000,000","96,000,000","98,000,000",,"98,000,000","98,000,000","100,500,000",,"100,500,000","101,250,000","101,000,000",,"84,000,000","82,750,000","84,000,000",,"86,500,000"
DilutedAverageShares,,"142,000,000","143,000,000","143,000,000","144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","144,000,000","145,000,000","146,000,000","147,000,000","150,000,000","153,000,000","154,000,000","154,000,000","154,000,000","154,000,000","153,000,000","153,000,000","153,000,000","114,000,000","74,000,000","74,000,000","74,000,000","73,000,000","74,000,000","75,000,000","75,000,000","74,000,000","74,000,000","78,000,000",,"84,000,000","85,250,000","84,000,000","83,750,000","83,500,000","83,250,000","82,500,000",,"82,250,000","84,750,000","87,000,000",,"90,000,000","91,250,000","94,500,000",,"97,000,000","97,000,000","99,250,000",,"100,500,000","100,750,000","103,250,000",,"103,500,000","104,500,000","104,500,000",,"86,750,000","85,500,000","86,750,000",,"89,500,000"
TotalOperatingIncomeAsReported,"1,152,000,000","270,000,000","305,000,000","269,000,000","308,000,000","299,000,000","258,000,000","249,000,000","192,000,000","261,000,000","249,000,000","210,000,000","192,000,000","188,000,000","203,000,000","199,000,000","159,000,000","101,000,000","151,000,000","166,000,000","141,000,000","152,000,000","101,000,000","75,000,000","89,000,000","102,000,000","94,000,000","64,000,000","38,000,000","37,000,000","72,000,000","-410,000,000","89,000,000","95,000,000","-7,000,000","75,000,000","142,000,000","145,000,000","193,000,000","191,000,000","208,000,000","-111,000,000","-17,000,000","209,000,000","230,000,000","220,000,000","258,000,000","273,000,000","207,000,000","209,000,000","233,000,000","221,000,000","204,000,000","208,000,000","205,000,000","186,000,000","173,000,000","171,000,000","186,000,000","173,000,000","140,000,000","144,000,000","144,000,000","151,000,000","142,000,000","138,000,000","106,000,000"
TotalExpenses,"12,583,000,000","3,218,000,000","3,175,000,000","3,174,000,000","3,007,000,000","2,948,000,000","2,974,000,000","2,726,000,000","2,691,000,000","2,698,000,000","2,627,000,000","2,523,000,000","2,387,000,000","2,460,000,000","2,369,000,000","2,326,000,000","2,264,000,000","2,355,000,000","2,330,000,000","2,376,000,000","2,414,000,000","2,397,000,000","1,717,000,000","1,198,000,000","1,214,000,000","1,177,000,000","1,191,000,000","1,164,000,000","1,168,000,000","1,088,000,000","1,187,000,000","1,206,000,000","1,230,000,000","1,185,000,000","1,340,000,000","2,334,000,000","2,532,000,000","2,528,000,000","2,677,000,000","2,657,000,000","2,574,000,000","2,603,000,000","2,828,000,000","2,387,000,000","2,458,000,000","2,549,000,000","2,611,000,000","2,521,000,000","2,478,000,000","2,474,000,000","2,532,000,000","2,528,000,000","2,445,000,000","2,310,000,000","2,426,000,000","2,369,000,000","2,196,000,000","2,166,000,000","2,179,000,000","2,049,000,000","1,928,000,000","2,003,000,000","1,998,000,000","1,843,000,000","1,812,000,000","1,839,000,000","1,918,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"753,000,000","174,000,000","205,000,000","169,000,000","205,000,000","197,000,000","163,000,000","153,000,000","115,000,000","181,000,000","161,000,000","136,000,000","189,000,000","188,000,000","147,000,000","144,000,000","102,000,000","114,000,000","82,000,000","98,000,000","72,000,000","59,000,000","91,000,000","41,000,000","49,000,000","127,000,000","49,000,000","37,000,000","41,000,000","44,000,000","34,000,000","-438,000,000","37,000,000","44,000,000","-3,000,000","42,000,000","81,000,000","186,000,000","112,000,000","110,000,000","117,000,000","-161,000,000","-89,000,000","178,000,000","131,000,000","132,000,000","172,000,000","189,000,000","125,000,000","123,000,000","135,000,000","123,000,000","116,000,000","120,000,000","120,000,000","109,000,000","100,000,000","99,000,000","105,000,000","131,000,000","80,000,000","84,000,000","98,000,000","103,000,000","106,000,000","154,000,000","91,000,000"
NormalizedIncome,"773,410,000","184,306,306.306","211,400,000","175,858,000","208,910,000","236,400,000","168,334,000","109,692,000","125,620,000","109,237,885.463","134,505,000","136,771,000","190,536,000","190,190,000","153,055,000","151,032,000","121,584,000","154,800,000","100,387,000","113,972,000","93,920,000","91,400,000","121,000,000","51,245,000","54,653,846.154","128,468,208.092","59,412,500","57,634,615.385","63,000,000","52,400,000","49,968,000","-107,500,000","46,647,887.324","60,500,000","47,550,000","90,129,032.258","102,047,244.094","215,900,000","110,734,463.277","107,456,647.399","115,721,311.475","-161,300,000","-88,700,000","111,384,615.385","127,487,922.705","134,030,769.231","149,617,886.179","159,249,011.858","125,000,000","122,356,020.942","133,755,760.369","125,000,000","115,142,857.143","119,657,458.564","128,850,574.713","102,200,000","99,105,882.353","104,263,803.681","109,000,000","101,490,566.038","77,000,000","85,615,942.029","89,400,000","100,625,000","93,632,653.061","144,400,000","70,360,360.36"
InterestIncome,"1,000,000",,,,,,,,,,,,,,,,,"3,000,000","1,000,000","2,000,000","2,000,000","2,000,000","3,000,000",,,,,,,"0","0","1,000,000","0","0","5,000,000","6,000,000","4,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","0","1,000,000","1,000,000","0","1,000,000","0","0","1,000,000","0","1,000,000",,,,,,,,,,,,,,
InterestExpense,"185,000,000","47,000,000","47,000,000","46,000,000","45,000,000","49,000,000","44,000,000","41,000,000","48,000,000","48,000,000","28,000,000","33,000,000","38,000,000","41,000,000","35,000,000","35,000,000","34,000,000","38,000,000","36,000,000","36,000,000","38,000,000","39,000,000","28,000,000","13,000,000","11,000,000","12,000,000","14,000,000","14,000,000","14,000,000","17,000,000","18,000,000","20,000,000","20,000,000","24,000,000","21,000,000","19,000,000","20,000,000","20,000,000","20,000,000","24,000,000","29,000,000","29,000,000","29,000,000","28,000,000","28,000,000","23,000,000","19,000,000","19,000,000","18,000,000","19,000,000","19,000,000","19,000,000","19,000,000",,,,,,,,,,,,,,
NetInterestIncome,"-184,000,000","-46,000,000","-47,000,000","-46,000,000","-45,000,000","-46,000,000","-44,000,000","-41,000,000","-48,000,000","-34,000,000","-28,000,000","-33,000,000","-38,000,000","-34,000,000","-35,000,000","-35,000,000","-34,000,000","-35,000,000","-35,000,000","-34,000,000","-36,000,000","-37,000,000","-25,000,000","-13,000,000","-11,000,000","-12,000,000","-14,000,000","-14,000,000","-14,000,000","-17,000,000","-18,000,000","-19,000,000","-20,000,000","-24,000,000","-16,000,000","-13,000,000","-16,000,000","-17,000,000","-18,000,000","-22,000,000","-27,000,000","-27,000,000","-27,000,000","-28,000,000","-27,000,000","-22,000,000","-19,000,000","-18,000,000","-18,000,000","-19,000,000","-18,000,000","-19,000,000","-18,000,000",,,,,,,,,,,,,,
EBIT,"1,152,000,000","269,000,000","307,000,000","269,000,000","307,000,000","294,000,000","258,000,000","233,000,000","178,000,000","275,000,000","242,000,000","212,000,000","284,000,000","191,000,000","205,000,000","200,000,000","159,000,000","72,000,000","152,000,000","171,000,000","146,000,000","144,000,000","103,000,000","73,000,000","89,000,000","185,000,000","94,000,000","66,000,000","37,000,000","41,000,000","72,000,000","-410,000,000","91,000,000","84,000,000","0","81,000,000","147,000,000","148,000,000","197,000,000","197,000,000","212,000,000","-107,000,000","-17,000,000","210,000,000","235,000,000","218,000,000","265,000,000","272,000,000","207,000,000","210,000,000","236,000,000","221,000,000","208,000,000","208,000,000","205,000,000","186,000,000","173,000,000","171,000,000","186,000,000","173,000,000","140,000,000","144,000,000","144,000,000","151,000,000","142,000,000","138,000,000","106,000,000"
EBITDA,"1,477,000,000"
ReconciledCostOfRevenue,"11,723,000,000","2,983,000,000","2,942,000,000","2,950,000,000","2,848,000,000","2,761,000,000","2,774,000,000","2,531,000,000","2,494,000,000","2,527,000,000","2,450,000,000","2,348,000,000","2,221,000,000","2,278,000,000","2,174,000,000","2,152,000,000","2,086,000,000","2,231,000,000","2,189,000,000","2,233,000,000","2,270,000,000","2,266,000,000","1,630,000,000","1,141,000,000","1,154,000,000","1,124,000,000","1,138,000,000","1,113,000,000","1,093,000,000","1,017,000,000","1,115,000,000","1,119,000,000","1,147,000,000","1,103,000,000","1,224,000,000","2,217,000,000","2,378,000,000","2,380,000,000","2,509,000,000","2,504,000,000","2,448,000,000","2,496,000,000","2,495,000,000","2,258,000,000","2,357,000,000","2,411,000,000","2,481,000,000","2,388,000,000","2,352,000,000","2,301,000,000","2,378,000,000","2,369,000,000","2,295,000,000","2,163,000,000","2,277,000,000","2,202,000,000","2,053,000,000","2,015,000,000","2,027,000,000","1,910,000,000","1,797,000,000","1,874,000,000","1,862,000,000","1,714,000,000","1,684,000,000","1,708,000,000","1,793,000,000"
ReconciledDepreciation,"325,000,000","81,000,000","87,000,000","80,000,000","77,000,000","68,000,000","82,000,000","71,000,000","61,000,000","60,000,000","59,000,000","57,000,000","58,000,000","64,000,000","64,000,000","66,000,000","63,000,000","96,000,000","92,000,000","80,000,000","82,000,000","68,000,000","37,000,000","9,000,000","8,000,000","9,000,000","11,000,000","12,000,000","12,000,000","12,000,000","16,000,000","15,000,000","19,000,000","15,000,000","8,000,000","28,000,000","30,000,000","28,000,000","30,000,000","28,000,000","27,000,000","28,000,000","31,000,000","27,000,000","28,000,000","31,000,000","29,000,000","26,000,000","25,000,000","25,000,000","24,000,000","22,000,000","22,000,000","24,000,000","20,000,000","22,000,000","23,000,000","23,000,000","22,000,000","18,000,000","17,000,000","19,000,000","19,000,000","19,000,000","15,000,000","22,000,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"753,000,000","174,000,000","205,000,000","169,000,000","205,000,000","197,000,000","163,000,000","153,000,000","115,000,000","181,000,000","161,000,000","136,000,000","189,000,000","188,000,000","147,000,000","144,000,000","102,000,000","114,000,000","82,000,000","98,000,000","72,000,000","59,000,000","91,000,000","41,000,000","49,000,000","127,000,000","49,000,000","37,000,000","23,000,000","26,000,000","38,000,000","-439,000,000","46,000,000","55,000,000","-9,000,000","44,000,000","81,000,000","186,000,000","112,000,000","110,000,000","117,000,000","-160,000,000","-90,000,000","112,000,000","130,000,000","132,000,000","154,000,000","158,000,000","125,000,000","123,000,000","135,000,000","125,000,000","117,000,000","119,000,000","118,000,000","104,000,000","104,000,000","103,000,000","109,000,000","99,000,000","77,000,000","85,000,000","90,000,000","100,000,000","93,000,000","136,000,000","71,000,000"
TotalUnusualItemsExcludingGoodwill,"-26,000,000","-13,000,000","-8,000,000","-9,000,000","-5,000,000","-49,000,000","-7,000,000","54,000,000","-12,000,000","90,000,000","35,000,000","-1,000,000","-2,000,000","-3,000,000","-7,000,000","-8,000,000","-24,000,000","-68,000,000","-27,000,000","-22,000,000","-32,000,000","-54,000,000","-50,000,000","-15,000,000","-9,000,000","-2,000,000","-17,000,000","-29,000,000","-40,000,000","-44,000,000","-17,000,000","-510,000,000","-1,000,000","-6,000,000","-87,000,000","-65,000,000","-33,000,000","-46,000,000","2,000,000","4,000,000","2,000,000","2,000,000","-2,000,000","1,000,000","4,000,000","-3,000,000","7,000,000","-2,000,000","0","1,000,000","2,000,000","0","3,000,000","-1,000,000","-16,000,000","3,000,000","8,000,000","-2,000,000",,"-4,000,000",,"-1,000,000","1,000,000","-1,000,000","-1,000,000","-14,000,000","1,000,000"
TotalUnusualItems,"-26,000,000","-13,000,000","-8,000,000","-9,000,000","-5,000,000","-49,000,000","-7,000,000","54,000,000","-12,000,000","90,000,000","35,000,000","-1,000,000","-2,000,000","-3,000,000","-7,000,000","-8,000,000","-24,000,000","-68,000,000","-27,000,000","-22,000,000","-32,000,000","-54,000,000","-50,000,000","-15,000,000","-9,000,000","-2,000,000","-17,000,000","-29,000,000","-40,000,000","-44,000,000","-17,000,000","-510,000,000","-1,000,000","-6,000,000","-87,000,000","-65,000,000","-33,000,000","-46,000,000","2,000,000","4,000,000","2,000,000","2,000,000","-2,000,000","1,000,000","4,000,000","-3,000,000","7,000,000","-2,000,000","0","1,000,000","2,000,000","0","3,000,000","-1,000,000","-16,000,000","3,000,000","8,000,000","-2,000,000",,"-4,000,000",,"-1,000,000","1,000,000","-1,000,000","-1,000,000","-14,000,000","1,000,000"
NormalizedEBITDA,"1,503,000,000","363,000,000","402,000,000","358,000,000","389,000,000","411,000,000","347,000,000","250,000,000","251,000,000","245,000,000","266,000,000","270,000,000","344,000,000","258,000,000","276,000,000","274,000,000","246,000,000","236,000,000","271,000,000","273,000,000","260,000,000","266,000,000","190,000,000","97,000,000","106,000,000","196,000,000","122,000,000","107,000,000","89,000,000","97,000,000","105,000,000","115,000,000","111,000,000","105,000,000","95,000,000","174,000,000","210,000,000","222,000,000","225,000,000","221,000,000","237,000,000","-81,000,000","16,000,000","236,000,000","259,000,000","252,000,000","287,000,000","300,000,000","232,000,000","234,000,000","258,000,000","243,000,000","227,000,000","233,000,000","241,000,000","205,000,000","188,000,000","196,000,000","208,000,000","195,000,000","157,000,000","164,000,000","162,000,000","171,000,000","158,000,000","174,000,000","105,000,000"
TaxRateForCalcs,"0.215","0.207","0.2","0.238","0.218","0.196","0.238","0.198","0.115","0.203","0.243","0.229","0.232","0.27","0.135","0.121","0.184","0.4","0.319","0.274","0.315","0.4","0.4","0.317","0.372","0.266","0.388","0.288","0","0.4","0.296","0.35","0.352","0.083","0.35","0.29","0.362","0.35","0.367","0.364","0.361","0.35","0.35","0.385","0.372","0.323","0.374","0.375","0.339","0.356","0.378","0.381","0.381","0.343","0.322","0.4","0.388","0.368","0.388","0.377","0.4","0.384","0.4","0.375","0.367","0.4","0.36"
TaxEffectOfUnusualItems,"-5,590,000","-2,693,693.694","-1,600,000","-2,142,000","-1,090,000","-9,600,000","-1,666,000","10,692,000","-1,380,000","18,237,885.463","8,505,000","-229,000","-464,000","-810,000","-945,000","-968,000","-4,416,000","-27,200,000","-8,613,000","-6,028,000","-10,080,000","-21,600,000","-20,000,000","-4,755,000","-3,346,153.846","-531,791.908","-6,587,500","-8,365,384.615","0","-17,600,000","-5,032,000","-178,500,000","-352,112.676","-500,000","-30,450,000","-18,870,967.742","-11,952,755.906","-16,100,000","734,463.277","1,456,647.399","721,311.475","700,000","-700,000","384,615.385","1,487,922.705","-969,230.769","2,617,886.179","-750,988.142","0","356,020.942","755,760.369","0","1,142,857.143","-342,541.436","-5,149,425.287","1,200,000","3,105,882.353","-736,196.319","0","-1,509,433.962","0","-384,057.971","400,000","-375,000","-367,346.939","-5,600,000","360,360.36"
