name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,"0",,"0","0","-23,000,000","45,000,000","-61,000,000","-86,000,000","-28,000,000","-145,000,000","-93,000,000","-115,000,000","-84,000,000","-67,000,000","40,000,000","-30,000,000","57,000,000","22,000,000","53,000,000","-4,000,000","-45,000,000","105,000,000","28,000,000","18,000,000","26,000,000","32,000,000","-139,000,000","-82,000,000","-37,000,000","0","8,000,000","14,000,000",,,,,,"-3,000,000","16,000,000","11,000,000",,,,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,000,000",,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"2,760,000,000","701,000,000","1,031,000,000","591,000,000","437,000,000","177,000,000","-140,000,000","-539,000,000","2,036,000,000","463,000,000","543,000,000","492,000,000","395,000,000","539,000,000","503,000,000","462,000,000","594,000,000","181,000,000","503,000,000","393,000,000","403,000,000","400,000,000","215,000,000","335,000,000","364,000,000","357,000,000","397,000,000","415,000,000","393,000,000","425,000,000","420,000,000","374,000,000","400,000,000","296,000,000","382,000,000","321,000,000","335,000,000","389,000,000","173,000,000","223,000,000","244,000,000","253,000,000","273,000,000","309,000,000","241,000,000","280,000,000","344,000,000","259,000,000","214,000,000","237,000,000","260,000,000","95,000,000","130,000,000","-369,000,000","-70,000,000","210,000,000","191,000,000","255,000,000","198,000,000","196,000,000","165,000,000","171,000,000","174,000,000","141,000,000","145,000,000","111,000,000","125,000,000","155,000,000","183,000,000","235,000,000","199,000,000"
BasicEPS,,"6.12","8.86","4.99","3.65",,"-1.14","-4.31","16.11","3.59","4.09","3.61","2.85","3.81","3.48","3.14","3.97","1.2","3.29","2.53","2.56","2.49","1.31","1.99","2.11","2.02","2.2","2.26","2.11","2.26","2.21","1.94","2.05","1.49","1.9","1.57","1.61","1.85","0.8","1.01","1.08",,"1.14","1.28","0.96",,"1.35","0.99","0.82",,"1","0.372","0.58",,"-0.32","0.94","0.84",,"0.84","0.83","0.69",,"0.71","0.57","0.57",,"0.5","0.63","0.74",,"0.81"
DilutedEPS,,"5.96","8.65","4.88","3.58",,"-1.14","-4.31","15.88","3.53","4.04","3.57","2.82","3.76","3.43","3.1","3.91","1.18","3.24","2.5","2.52","2.46","1.3","1.97","2.09","2","2.17","2.23","2.08","2.22","2.17","1.91","2.01","1.46","1.86","1.54","1.58","1.81","0.79","0.99","1.06",,"1.12","1.25","0.94",,"1.32","0.98","0.81",,"1","0.372","0.58",,"-0.32","0.93","0.82",,"0.83","0.81","0.68",,"0.71","0.57","0.57",,"0.5","0.63","0.74",,"0.81"
BasicAverageShares,,"114,600,000","116,400,000","118,400,000","119,800,000",,"123,000,000","125,000,000","126,400,000","129,000,000","132,700,000","136,100,000","138,800,000","141,500,000","144,400,000","147,000,000","149,500,000","151,000,000","153,000,000","155,100,000","157,500,000","160,400,000","164,000,000","168,300,000","172,600,000","176,600,000","180,400,000","183,800,000","186,300,000","187,900,000","190,300,000","192,700,000","195,500,000","198,300,000","201,300,000","204,900,000","208,400,000","210,800,000","215,000,000","221,700,000","227,300,000",,"238,000,000","245,500,000","251,600,000",,"255,300,000","261,100,000","260,800,000",,"258,700,000","222,300,000","222,300,000",,"219,100,000","223,200,000","228,400,000",,"235,400,000","237,400,000","240,700,000",,"244,500,000","246,300,000","252,300,000",,"246,000,000","248,000,000","248,000,000",,"246,000,000"
DilutedAverageShares,,"117,600,000","119,200,000","121,200,000","122,200,000",,"124,900,000","126,200,000","128,200,000","131,300,000","134,500,000","138,000,000","140,100,000","143,200,000","146,500,000","149,000,000","152,100,000","153,800,000","155,400,000","157,500,000","160,100,000","162,400,000","165,800,000","170,100,000","174,400,000","178,900,000","182,700,000","186,400,000","189,100,000","191,200,000","193,700,000","196,200,000","199,100,000","202,300,000","205,100,000","208,600,000","212,300,000","215,100,000","219,100,000","225,600,000","231,700,000",,"242,000,000","251,000,000","257,700,000",,"259,900,000","265,300,000","265,000,000",,"260,700,000","223,500,000","223,500,000",,"221,700,000","226,000,000","231,500,000",,"239,200,000","241,000,000","244,100,000",,"246,400,000","248,000,000","253,500,000",,"248,000,000","248,000,000","248,000,000",,"246,000,000"
TotalExpenses,"10,152,000,000","2,907,000,000","1,653,000,000","2,720,000,000","2,872,000,000","3,009,000,000","3,201,000,000","3,260,000,000","664,000,000","2,580,000,000","2,702,000,000","2,675,000,000","2,663,000,000","2,536,000,000","2,728,000,000","2,662,000,000","2,483,000,000","2,618,000,000","2,370,000,000","2,487,000,000","2,438,000,000","2,602,000,000","2,777,000,000","2,472,000,000","2,297,000,000","2,650,000,000","2,430,000,000","2,523,000,000","2,443,000,000","2,536,000,000","2,399,000,000","2,459,000,000","2,352,000,000","2,468,000,000","2,214,000,000","2,348,000,000","2,211,000,000","2,249,000,000","2,280,000,000","2,225,000,000","2,250,000,000","2,277,000,000","2,208,000,000","2,224,000,000","2,383,000,000","2,367,000,000","2,023,000,000","2,131,000,000","1,931,000,000","1,928,000,000","1,610,000,000","1,762,000,000","1,585,000,000","2,251,000,000","1,776,000,000","3,116,000,000","1,891,000,000","1,869,000,000","1,985,000,000","1,937,000,000","1,847,000,000","1,958,000,000","1,760,000,000","1,867,000,000","1,758,000,000","1,742,000,000","1,692,000,000","707,000,000","671,000,000","1,740,000,000","1,451,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"2,760,000,000","701,000,000","1,031,000,000","591,000,000","437,000,000","177,000,000","-140,000,000","-539,000,000","2,036,000,000","463,000,000","543,000,000","492,000,000","395,000,000","539,000,000","503,000,000","462,000,000","594,000,000","181,000,000","503,000,000","393,000,000","403,000,000","400,000,000","215,000,000","335,000,000","364,000,000","357,000,000","397,000,000","415,000,000","393,000,000","425,000,000","420,000,000","374,000,000","400,000,000","296,000,000","382,000,000","321,000,000","335,000,000","389,000,000","173,000,000","223,000,000","244,000,000","253,000,000","273,000,000","309,000,000","241,000,000","280,000,000","344,000,000","259,000,000","214,000,000","237,000,000","260,000,000","95,000,000","130,000,000","-369,000,000","-70,000,000","210,000,000","191,000,000","255,000,000","198,000,000","196,000,000","165,000,000","171,000,000","174,000,000","141,000,000","145,000,000","111,000,000","125,000,000","155,000,000","183,000,000","235,000,000","199,000,000"
