name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991
TotalRevenue,"40,963,000,000","10,483,000,000","10,845,000,000","9,664,000,000","9,971,000,000","9,848,000,000","9,464,000,000","8,985,000,000","7,697,000,000","8,738,000,000","9,045,000,000","8,527,000,000","7,876,000,000","7,626,000,000","8,750,000,000","8,510,000,000","7,831,000,000","8,015,000,000","8,610,000,000","8,108,000,000","7,510,000,000","8,168,000,000","8,527,000,000","7,897,000,000","6,877,000,000","4,679,000,000","4,871,000,000","5,048,000,000","4,389,000,000","4,737,000,000","5,200,000,000","4,815,000,000","4,419,000,000","5,074,000,000","5,172,000,000","4,705,000,000","4,310,000,000","4,687,000,000","5,138,000,000","3,926,000,000","4,185,000,000","4,479,000,000","4,294,000,000","4,253,000,000","3,808,000,000","4,409,000,000","3,888,000,000","3,760,000,000","3,949,000,000","4,272,000,000","3,681,000,000","3,547,000,000","3,575,000,000","3,103,000,000","3,619,000,000","3,834,000,000","3,076,000,000","3,495,000,000","3,642,000,000","3,468,000,000","3,549,000,000","3,469,000,000","3,389,000,000","3,289,000,000","3,181,000,000","3,188,000,000","3,494,000,000","3,258,000,000","3,155,682,000","3,296,739,000","3,072,588,000","3,067,940,000","2,894,858,000","3,165,533,000","2,666,682,000","2,625,826,000","2,231,701,000","2,083,415,000","1,876,005,000","1,624,722,000","1,537,863,000","1,960,003,000","1,533,495,000","1,597,018,000","1,554,171,000","1,243,786,000","1,359,569,000","1,318,821,000","1,344,481,000","1,160,090,000","1,057,500,000","410,400,000","389,000,000","433,300,000","379,642,000","370,100,000","403,500,000","253,700,000","261,443,000","268,900,000","214,400,000","265,900,000","246,398,000","194,900,000","200,000,000","207,700,000","197,700,000","203,900,000","156,600,000","102,600,000","146,500,000","90,700,000","111,800,000","188,400,000","144,900,000","136,100,000","141,600,000","115,200,000","181,400,000","118,400,000","101,900,000","118,100,000"
	OperatingRevenue,"40,963,000,000","10,483,000,000","10,845,000,000","9,664,000,000","9,971,000,000","9,848,000,000","9,464,000,000","8,985,000,000","7,697,000,000","8,738,000,000","9,045,000,000","8,527,000,000","7,876,000,000","7,626,000,000","8,750,000,000","8,510,000,000","7,831,000,000","8,015,000,000","8,610,000,000","8,108,000,000","7,510,000,000","8,168,000,000","8,527,000,000","7,897,000,000","6,877,000,000","4,679,000,000","4,871,000,000","5,048,000,000","4,389,000,000","4,737,000,000","5,200,000,000","4,815,000,000","4,419,000,000","5,074,000,000","5,172,000,000","4,705,000,000","4,310,000,000","4,687,000,000","5,138,000,000","3,926,000,000","4,185,000,000","4,479,000,000","4,294,000,000","4,253,000,000","3,808,000,000","4,409,000,000","3,888,000,000","3,760,000,000","3,949,000,000","4,272,000,000","3,681,000,000","3,547,000,000","3,575,000,000","3,103,000,000","3,619,000,000","3,834,000,000","3,076,000,000","3,495,000,000","3,642,000,000","3,468,000,000","3,549,000,000","3,469,000,000","3,389,000,000","3,289,000,000","3,181,000,000","3,188,000,000","3,494,000,000","3,258,000,000","3,155,682,000","3,296,739,000","3,072,588,000","3,067,940,000","2,894,858,000","3,165,533,000","2,666,682,000","2,625,826,000","2,231,701,000","2,083,415,000","1,876,005,000","1,624,722,000","1,537,863,000","1,960,003,000","1,533,495,000","1,597,018,000","1,554,171,000","1,243,786,000","1,359,569,000","1,318,821,000","1,344,481,000","1,160,090,000","1,057,500,000","410,400,000","389,000,000","433,300,000","379,642,000","370,100,000","403,500,000","253,700,000","261,443,000","268,900,000","214,400,000","265,900,000","246,398,000","194,900,000","200,000,000","207,700,000","197,700,000","203,900,000","156,600,000","102,600,000","146,500,000","90,700,000","111,800,000","188,400,000","144,900,000","136,100,000","141,600,000","115,200,000","181,400,000","118,400,000","101,900,000","118,100,000"
NetNonOperatingInterestIncomeExpense,"-492,000,000","-126,000,000","-122,000,000","-122,000,000","-122,000,000","-126,000,000","-130,000,000","-128,000,000","-132,000,000","-134,000,000","-138,000,000","-140,000,000","-140,000,000","-153,000,000","-164,000,000","-167,000,000","-157,000,000","-156,000,000","-150,000,000","-147,000,000","-154,000,000","-154,000,000","-152,000,000","-153,000,000","-146,000,000","-93,000,000","-68,000,000","-71,000,000","-68,000,000","-67,000,000","-70,000,000","-72,000,000","-71,000,000","-70,000,000","-72,000,000","-73,000,000","-60,000,000","-63,000,000","-63,000,000","-62,000,000","-62,000,000","-63,000,000","-62,000,000","-62,000,000","-63,000,000","-62,000,000","-58,000,000","-52,000,000","-52,000,000","-56,000,000","-60,000,000","-56,000,000","-53,000,000","-54,000,000","-68,000,000","-62,000,000","-46,000,000","-43,000,000","-44,000,000","-42,000,000","-46,000,000","-42,000,000","-46,000,000","-45,000,000","-43,000,000","-46,000,000","-43,000,000","-43,000,000","-42,679,000","-43,316,000","-48,997,000","-46,399,000","-44,272,000","-44,467,000","-44,348,000","-43,681,000","-44,929,000","-46,861,000","-48,679,000","-51,952,000","-46,002,000","-46,088,000","-49,130,000","-49,640,000","-54,324,000","-54,906,000","-55,408,000","-53,947,000","-57,189,000","-52,438,000","-44,100,000","-4,100,000","-4,500,000","-4,700,000","-16,659,000","-5,000,000","-3,900,000",,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"492,000,000","126,000,000","122,000,000","122,000,000","122,000,000","126,000,000","130,000,000","128,000,000","132,000,000","134,000,000","138,000,000","140,000,000","140,000,000","153,000,000","164,000,000","167,000,000","157,000,000","156,000,000","150,000,000","147,000,000","154,000,000","154,000,000","152,000,000","153,000,000","146,000,000","93,000,000","68,000,000","71,000,000","68,000,000","67,000,000","70,000,000","72,000,000","71,000,000","70,000,000","72,000,000","73,000,000","60,000,000","63,000,000","63,000,000","62,000,000","62,000,000","63,000,000","62,000,000","62,000,000","63,000,000","62,000,000","58,000,000","52,000,000","52,000,000","56,000,000","60,000,000","56,000,000","53,000,000","54,000,000","68,000,000","62,000,000","46,000,000","43,000,000","44,000,000","42,000,000","46,000,000","42,000,000","46,000,000","45,000,000","43,000,000","46,000,000","43,000,000","43,000,000","42,679,000","43,316,000","48,997,000","46,399,000","44,272,000","44,467,000","44,348,000","43,681,000","44,929,000","46,861,000","48,679,000","51,952,000","46,002,000","46,088,000","49,130,000","49,640,000","54,324,000","54,906,000","55,408,000","53,947,000","57,189,000","52,438,000","44,100,000","4,100,000","4,500,000","4,700,000","16,659,000","5,000,000","3,900,000",,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-50,000,000","55,000,000",,,"88,000,000","73,000,000","14,000,000",,,,"4,000,000",,,,,,"-6,000,000",,,,,,,,,,,,,,,,,,,"-18,746,000","-3,088,000","726,000","-6,154,000","749,000","-14,032,000","-12,068,000",,,,,,,,,,,"104,500,000","110,100,000","103,700,000","215,300,000",,"157,000,000","218,800,000","85,900,000",,"105,300,000","55,800,000","101,500,000",,"49,000,000","53,600,000","91,700,000","87,100,000","96,400,000","50,000,000","-1,500,000","42,100,000","-7,800,000","16,500,000","95,500,000","60,300,000","55,900,000","64,000,000","37,900,000",,,,
	SpecialIncomeCharges,"0","-3,000,000","-24,000,000","-15,000,000","-4,000,000","0","0","0","0","-14,000,000","-2,000,000","-4,000,000","-3,000,000","-20,000,000","-16,000,000","-13,000,000","-10,000,000","-127,000,000","-50,000,000","-72,000,000","-111,000,000","-131,000,000","-115,000,000","-99,000,000","-149,000,000","-25,000,000","-14,000,000","-1,000,000","-2,000,000","-5,000,000","-4,000,000","-2,000,000","-4,000,000","-1,000,000","-1,000,000","-2,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"0",,,,,"0","0","0","0","14,000,000","2,000,000","4,000,000","3,000,000","20,000,000","16,000,000","13,000,000","10,000,000","77,000,000","50,000,000","72,000,000","111,000,000","131,000,000","115,000,000","99,000,000","149,000,000","25,000,000","14,000,000","1,000,000","2,000,000","5,000,000","4,000,000","2,000,000","4,000,000","1,000,000","1,000,000","2,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"8,000,000","3,000,000","24,000,000","15,000,000","4,000,000","-50,000,000","-24,000,000","-40,000,000","56,000,000","-24,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"9,816,000,000","2,545,000,000","2,051,000,000","2,582,000,000","2,638,000,000","2,752,000,000","1,336,000,000","-393,000,000","467,000,000","1,342,000,000","1,321,000,000","1,358,000,000","1,228,000,000","514,000,000","1,414,000,000","1,512,000,000","1,217,000,000","1,151,000,000","-155,000,000","1,505,000,000","1,221,000,000","1,869,000,000","1,637,000,000","881,000,000","563,000,000","750,000,000","660,000,000","1,085,000,000","801,000,000","787,000,000","961,000,000","912,000,000","827,000,000","1,086,000,000","1,071,000,000","1,006,000,000","1,075,000,000","630,000,000","787,000,000","476,000,000","1,083,000,000","872,000,000","134,000,000","729,000,000","356,000,000","1,134,000,000","835,000,000","819,000,000","879,000,000","1,161,000,000","588,000,000","636,000,000","692,000,000","107,000,000","47,000,000","883,000,000","530,000,000","713,000,000","796,000,000","814,000,000","830,000,000","789,000,000","708,000,000","707,000,000","619,000,000","240,000,000","-97,000,000","595,000,000","552,811,000","253,476,000","50,538,000","541,392,000","569,366,000","515,407,000","421,911,000","458,637,000","299,874,000","-321,592,000","-63,844,000","124,576,000","221,721,000","-1,288,000","-518,935,000","149,767,000","168,038,000","133,345,000","165,185,000","130,847,000","207,513,000","393,647,000","0","0","0","0","580,191,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
TaxProvision,"1,277,000,000","404,000,000","218,000,000","317,000,000","338,000,000","334,000,000","142,000,000","-62,000,000","215,000,000","169,000,000","230,000,000","208,000,000","188,000,000","159,000,000","183,000,000","218,000,000","135,000,000","-382,000,000","-85,000,000","200,000,000","128,000,000","259,000,000","277,000,000","155,000,000","124,000,000","67,000,000","132,000,000","143,000,000","120,000,000","232,000,000","176,000,000","133,000,000","93,000,000","88,000,000","155,000,000","115,000,000","122,000,000","-135,000,000","147,000,000","148,000,000","110,000,000","122,000,000","165,000,000","122,000,000","97,000,000","133,000,000","160,000,000","142,000,000","124,000,000","208,000,000","94,000,000","101,000,000","125,000,000","87,000,000","-7,000,000","137,000,000","153,000,000","141,000,000","140,000,000","165,000,000","129,000,000","124,000,000","130,000,000","134,000,000","134,000,000","4,000,000","15,000,000","128,000,000","119,783,000","-28,399,000","53,158,000","128,383,000","122,541,000","70,802,000","66,946,000","88,169,000","52,430,000","-152,946,000","-7,334,000","20,676,000","23,916,000","-47,553,000","-76,345,000","18,250,000","26,974,000","19,557,000","24,432,000","16,919,000","33,000,000","12,684,000","6,300,000","4,500,000","5,100,000","5,300,000","12,040,000","5,000,000","3,800,000",,,,,,,,,,,,,,,,,,,,,,,,,
