name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991
	SpecialIncomeCharges,"-99,500,000","-99,500,000",,,,"0","0","0","0","801,100,000","0","0","119,600,000","0","-15,900,000",,,,,,,"0","-871,000",,,,,,,,,,,"0","0",,,"2,444,000","-2,423,000","-574,000","-490,000","-548,000","690,000","7,243,000","711,000","-788,000","2,631,000","-1,657,000","447,000","805,000","105,000","3,168,000","-356,000","5,169,000","-2,836,000","-636,000","1,777,000","-618,000","-404,000","-1,230,000","-250,000","-88,000","267,000","-31,000","-128,000","-2,048,000","867,000","231,000","12,000","-8,757,000","-17,000","12,000","23,000","-25,231,000","-239,000","116,000","-416,000","571,000","624,000","-3,816,000","586,000","1,969,000","2,333,000","397,000","731,000","467,000","555,000","127,000","306,000","200,000","1,100,000","200,000",,"200,000","700,000","100,000","200,000","400,000","-300,000","100,000","200,000","200,000","200,000",,,"100,000","400,000",,,,"900,000",,,,,,,,"100,000",,"100,000",,,,,
		ImpairmentOfCapitalAssets,"99,500,000","99,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,"0","15,900,000",,,,,,,"0","871,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"0",,,,,"0","0","0","0","801,100,000","0","0","119,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"24,900,000","0","-1,700,000","900,000","27,000,000","500,000","-2,200,000","-2,000,000","800,000","-2,500,000","1,500,000","-1,000,000","-3,100,000","1,000,000","-1,600,000","2,300,000","-1,700,000","-218,000","-659,000","6,969,000","-1,047,000","-355,000","337,000","-1,334,000","-129,000","60,600,000","251,000","-1,520,000","-679,000","-422,000","552,000","-930,000","1,420,000","-645,000","409,000","2,536,000","-2,492,000","106,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,271,000,000","264,700,000","343,600,000","359,400,000","366,900,000","317,500,000","303,100,000","284,100,000","304,600,000","1,148,000,000","337,900,000","322,300,000","419,200,000","318,100,000","311,600,000","313,400,000","255,300,000","303,400,000","264,565,000","255,414,000","211,344,000","258,266,000","240,056,000","224,881,000","217,449,000","315,434,000","230,253,000","230,277,000","226,381,000","264,042,000","226,197,000","226,224,000","204,993,000","237,329,000","195,053,000","159,921,000","161,827,000","204,839,000","164,378,000","163,133,000","154,331,000","171,423,000","152,532,000","155,017,000","126,015,000","148,445,000","113,730,000","101,237,000","84,982,000","103,931,000","77,540,000","85,370,000","72,927,000","107,377,000","115,141,000","115,619,000","97,818,000","110,953,000","100,215,000","93,360,000","79,129,000","85,554,000","76,721,000","74,048,000","56,549,000","68,196,000","59,206,000","51,666,000","41,499,000","35,664,000","38,076,000","33,884,000","26,092,000","342,000","28,264,000","24,081,000","21,018,000","11,984,000","27,572,000","19,679,000","26,450,000","21,985,000","26,484,000","20,461,000","21,262,000","18,232,000","22,948,000","17,127,000","20,964,000","14,900,000","22,300,000","19,600,000","18,400,000","11,800,000","11,200,000","16,100,000","16,100,000","16,300,000","13,300,000","17,700,000","15,400,000","8,700,000","12,100,000","10,400,000","8,500,000","13,200,000","14,300,000","10,300,000","6,500,000","4,900,000","11,900,000","4,900,000","9,800,000","5,800,000","11,200,000","10,900,000","4,400,000","2,000,000","3,500,000","2,900,000","300,000",,,,,
TaxProvision,"288,400,000","64,800,000","83,800,000","73,100,000","77,900,000","61,700,000","68,700,000","64,900,000","64,300,000","276,900,000","60,400,000","72,600,000","49,600,000","61,000,000","64,000,000","85,000,000","44,000,000","-140,472,000","74,292,000","75,858,000","53,273,000","76,185,000","72,977,000","66,812,000","66,033,000","106,837,000","69,836,000","58,997,000","70,608,000","78,106,000","70,687,000","68,863,000","57,767,000","71,626,000","58,730,000","48,568,000","36,913,000","61,309,000","47,670,000","48,320,000","46,022,000","49,747,000","42,251,000","48,706,000","37,036,000","41,134,000","29,467,000","29,956,000","25,257,000","32,007,000","21,130,000","25,782,000","21,368,000","35,316,000","39,942,000","39,946,000","34,236,000","38,723,000","35,075,000","32,131,000","27,695,000","28,823,000","25,907,000","25,955,000","18,863,000","17,788,000","20,012,000","16,104,000","13,488,000","10,878,000","10,694,000","10,334,000","7,958,000","-1,555,000","8,479,000","7,225,000","6,272,000","3,626,000","8,548,000","4,646,000","8,994,000","7,475,000","9,400,000","7,328,000","7,400,000","6,472,000","8,078,000","6,025,000","7,338,000","5,200,000","7,700,000","6,800,000","6,400,000","4,000,000","3,800,000","5,500,000","5,500,000","5,600,000","4,500,000","6,100,000","5,300,000","2,900,000","4,700,000","3,400,000","2,800,000","4,400,000","5,100,000","3,600,000","2,300,000","1,700,000","3,800,000","1,700,000","3,300,000","1,900,000","3,500,000","3,700,000","1,400,000","800,000","1,300,000","1,100,000","100,000",,,,,
NetIncomeCommonStockholders,"1,152,600,000","287,800,000","289,500,000","286,300,000","289,000,000","255,800,000","234,400,000","219,200,000","240,300,000","871,100,000","277,500,000","249,700,000","369,600,000","257,100,000","247,600,000","228,400,000","211,300,000","443,872,000","190,273,000","179,556,000","158,071,000","182,081,000","167,079,000","158,069,000","151,416,000","208,597,000","160,417,000","171,280,000","155,773,000","185,936,000","155,510,000","157,361,000","147,226,000","165,703,000","136,323,000","111,353,000","124,914,000","143,530,000","116,708,000","114,813,000","108,309,000","121,676,000","110,281,000","106,311,000","88,979,000","107,311,000","84,263,000","71,281,000","59,725,000","71,924,000","56,410,000","59,588,000","51,559,000","72,061,000","75,199,000","75,673,000","63,582,000","72,230,000","65,140,000","61,229,000","51,434,000","56,731,000","50,814,000","48,093,000","37,686,000","50,408,000","39,194,000","35,562,000","28,011,000","24,786,000","27,382,000","23,550,000","18,134,000","1,897,000","17,873,000","15,233,000","14,130,000","7,989,000","-6,946,000","15,033,000","17,456,000","14,510,000","17,084,000","13,133,000","13,862,000","11,760,000","14,870,000","11,102,000","13,626,000","9,700,000","14,600,000","12,800,000","12,000,000","7,800,000","7,400,000","10,600,000","10,600,000","10,700,000","8,800,000","11,600,000","10,100,000","5,800,000","7,400,000","7,000,000","5,700,000","8,800,000","9,200,000","6,700,000","4,200,000","3,200,000","8,100,000","3,200,000","6,500,000","3,200,000","7,700,000","7,200,000","3,000,000","1,200,000","2,200,000","1,800,000","200,000","400,000","1,000,000","1,200,000","1,200,000","1,200,000"
	NetIncome,"1,152,600,000","287,800,000","289,500,000","286,300,000","289,000,000","255,800,000","234,400,000","219,200,000","240,300,000","871,100,000","277,500,000","249,700,000","369,600,000","257,100,000","247,600,000","228,400,000","211,300,000","443,872,000","190,273,000","179,556,000","158,071,000","182,081,000","167,079,000","158,069,000","151,416,000","208,597,000","160,417,000","171,280,000","155,773,000","185,936,000","155,510,000","157,361,000","147,226,000","165,703,000","136,323,000","111,353,000","124,914,000","143,530,000","116,708,000","114,813,000","108,309,000","121,676,000","110,281,000","106,311,000","88,979,000","107,311,000","84,263,000","71,281,000","59,725,000","71,924,000","56,410,000","59,588,000","51,559,000","72,061,000","75,199,000","75,673,000","63,582,000","72,230,000","65,140,000","61,229,000","51,434,000","56,731,000","50,814,000","48,093,000","37,686,000","50,408,000","39,194,000","35,562,000","28,011,000","24,786,000","27,382,000","23,550,000","18,134,000","1,897,000","17,873,000","15,233,000","14,130,000","7,989,000","-6,946,000","15,033,000","17,456,000","14,510,000","17,084,000","13,133,000","13,862,000","11,760,000","14,870,000","11,102,000","13,626,000","9,700,000","14,600,000","12,800,000","12,000,000","7,800,000","7,400,000","10,600,000","10,600,000","10,700,000","8,800,000","11,600,000","10,100,000","5,800,000","7,400,000","7,000,000","5,700,000","8,800,000","9,200,000","6,700,000","4,200,000","3,200,000","8,100,000","3,200,000","6,500,000","3,200,000","7,700,000","7,200,000","3,000,000","1,200,000","2,200,000","1,800,000","200,000","400,000","1,300,000","1,200,000","1,200,000","1,200,000"
		NetIncomeIncludingNoncontrollingInterests,"1,152,600,000","287,800,000","289,500,000","286,300,000","289,000,000","255,800,000","234,400,000","219,200,000","240,300,000","871,100,000","277,500,000","249,700,000","369,600,000","257,100,000","247,600,000","228,400,000","211,300,000","443,872,000","190,273,000","179,556,000","158,071,000","182,081,000","167,079,000","158,069,000","151,416,000","208,597,000","160,417,000","171,280,000","155,773,000","185,936,000","155,510,000","157,361,000","147,226,000","165,703,000","136,323,000","111,353,000","124,914,000","143,530,000","116,708,000","114,813,000","108,309,000","121,676,000","110,281,000","106,311,000","88,979,000","107,311,000","84,263,000","71,281,000","59,725,000","71,924,000","56,410,000","59,588,000","51,559,000","72,061,000","75,199,000","75,673,000","63,582,000","72,230,000","65,140,000","61,229,000","51,434,000","56,731,000","50,814,000","48,093,000","37,686,000","50,408,000","39,194,000","35,562,000","28,011,000","24,786,000","27,382,000","23,550,000","18,134,000","1,897,000","17,873,000","15,233,000","14,130,000","7,989,000","-6,946,000","15,033,000","17,456,000","14,510,000","17,084,000","13,133,000","13,862,000","11,760,000","14,870,000","11,102,000","13,626,000","9,700,000","14,600,000","12,800,000","12,000,000","7,800,000","7,400,000","10,600,000","10,600,000","10,700,000","8,800,000","11,600,000","10,100,000","5,800,000","7,400,000","7,000,000","5,700,000","8,800,000","9,200,000","6,700,000","4,200,000","3,200,000","8,100,000","3,200,000","6,500,000","3,200,000","7,700,000","7,200,000","3,000,000","1,200,000","2,200,000","1,800,000","200,000","400,000","1,300,000","1,200,000","1,200,000","1,200,000"
