name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
	GainOnSaleOfSecurity,"598,602,000","30,056,000","440,865,000","105,083,000","22,598,000","109,702,000","13,314,000","6,070,000","9,072,000","31,454,000","177,515,000","32,542,000","587,000","13,360,000","3,808,000","150,319,000","47,835,000","21,125,000","27,617,000","35,620,000","38,551,000","31,931,000","84,299,000","40,021,000","15,707,000","38,507,000","72,918,000","124,422,000","28,909,000","31,124,000","48,537,000","72,349,000","13,881,000","62,476,000","1,257,000","-1,591,000","-2,030,000","-2,124,000",,,,,,,,,,,"-354,000",,,,,,,,"1,226,000",,"2,915,000","9,224,000",,,,,"1,890,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"32,804,000","2,980,000","2,966,000","10,590,000","16,268,000","2,986,000","4,023,000","2,396,000","2,539,000","18,812,000","3,736,000","4,143,000","4,715,000","5,923,000","5,552,000","1,682,000","8,287,000","4,787,000","1,841,000","71,940,000","4,749,000","9,999,000","14,222,000","27,621,000","21,860,000","-19,585,000","-5,088,000","15,123,000","6,246,000","11,992,000","19,178,000","60,826,000","2,321,000","3,674,000","-27,000","1,091,000","49,378,000","618,000","2,280,000","267,000","1,509,000","-1,325,000","3,104,000","1,713,000","1,073,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-14,679,000","0","-13,893,000","-716,000","-70,000","-2,000","2,909,000","-13,689,000","-23,432,000","-6,307,000","0","0","2,246,000","-148,000","-89,000","-151,000","0","0","-20,190,000","-9,561,000","-834,000","-20,923,000","-9,292,000","22,544,000","-6,408,000","-19,666,000","-8,022,000","-89,428,000","-28,000","-40,587,000","-6,478,000","-3,409,000","-14,000","-10,020,000","-726,000","-6,200,000","643,000","4,732,000","-2,691,000","-3,078,000","-3,155,000","-12,868,000","-4,038,000","-2,554,000","64,958,000","45,066,000","53,127,000","-26,289,000","-2,605,000","28,895,000","-300,604,000","20,266,000","32,886,000","-16,596,000","3,646,000","2,665,000","-811,000","38,144,000","-2,232,000","-8,079,000","12,591,000",,"550,000","-1,566,000","-1,575,000","1,639,000","-1,012,000","-166,000","-2,289,000","-2,672,000","-76,000","-71,000","4,626,000","2,639,000","1,814,000","1,735,000","8,852,000","-8,844,000","4,702,000","3,001,000","1,323,000","2,233,000","29,597,000","-282,000","11,578,000","34,905,000","4,348,000","3,277,000","14,564,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,"0","0","0","0","-7,258,000","7,000","72,000","3,000","1,506,000","5,660,000","1,305,000","28,000","228,000","110,000","747,000","14,000","587,000","726,000","2,423,000","-643,000","1,629,000","954,000",,,,,"594,000","589,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,"0","0","0","0","0","0","5,626,000",,,,,"0","0",,"0","0","3,622,000","0","859,000","2,920,000","3,042,000","5,651,000","6,405,000","15,036,000","2,426,000","5,470,000",,"40,215,000","6,368,000","2,523,000",,"0","0","3,777,000",,"0",,,,"12,931,000","0","0","2,309,000","-7,152,000","4,219,000","10,516,000","2,251,000","-7,472,000","287,769,000","-19,811,000","2,703,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"14,679,000","0","13,893,000","716,000","70,000","2,000","-2,909,000","13,689,000","17,806,000","6,307,000",,,"-2,246,000","148,000","89,000","151,000",,"0","16,568,000","9,561,000","-25,000","25,261,000","6,243,000","2,430,000",,"3,124,000","-64,000","82,653,000",,"144,000",,"139,000",,"9,433,000",,,,,"2,140,000","2,168,000","2,298,000","1,913,000","2,259,000","2,453,000","2,309,000","57,568,000","-57,346,000","15,773,000","354,000","-21,486,000","12,835,000","-1,454,000","-35,589,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,"0","0","0",,"0",,"30,697,000",,,,,,,,,,,,,,,,"-1,029,000","-580,000","337,000","-342,000","-594,000","-589,000",,,"0",,"-63,000","0","-999,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"403,000","119,000","-277,000","1,639,000","-1,437,000","493,000","67,856,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,,,,"0","3,029,000","1,283,000",,"0",,,"2,259,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"880,167,000","107,305,000","506,146,000","181,328,000","85,388,000","166,418,000","71,520,000","40,047,000","19,552,000","89,664,000","227,883,000","78,185,000","45,153,000","63,124,000","52,405,000","192,814,000","83,853,000","54,423,000","42,368,000","124,620,000","72,913,000","46,983,000","112,104,000","109,647,000","43,948,000","17,210,000","73,835,000","55,707,000","38,900,000","8,992,000","69,976,000","134,259,000","11,602,000","46,796,000","-12,505,000","-13,855,000","35,868,000","-24,405,000","-19,146,000","-20,574,000","-23,837,000","-23,724,000","-17,115,000","-16,727,000","53,343,000","14,094,000","45,255,000","-24,278,000","-7,242,000","5,906,000","-306,204,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
