name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalExpenses,"2,673,300,000","642,100,000","619,400,000","609,000,000","802,800,000","680,600,000","647,200,000","697,600,000","694,300,000","470,700,000","511,300,000","474,600,000","453,800,000","564,500,000","443,900,000","529,800,000","601,200,000","504,100,000","486,200,000","517,800,000","264,700,000","99,978,000","90,557,000","85,362,000","82,849,000","80,052,000","85,925,000","75,355,000","73,286,000","79,526,000","73,826,000","74,226,000","75,847,000","69,231,000","68,316,000","75,414,000","73,275,000","70,326,000","67,458,000","66,480,000","63,977,000","67,528,000","68,638,000","63,838,000","66,507,000","65,537,000","71,082,000","70,792,000","62,352,000","64,152,000","65,197,000","61,403,000","57,747,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"529,000,000","165,900,000","120,400,000","105,500,000","137,200,000","87,300,000","109,900,000","113,600,000","157,400,000","86,300,000","106,000,000","88,300,000","95,400,000","138,800,000","86,000,000","83,300,000","118,100,000","257,400,000","60,500,000","68,300,000","15,500,000","45,470,000","40,721,000","51,230,000","49,400,000","50,402,000","67,516,000","44,845,000","42,259,000","49,342,000","48,366,000","42,981,000","49,024,000","46,110,000","41,356,000","46,161,000","42,373,000","39,724,000","45,758,000","38,496,000","33,417,000","31,807,000","41,327,000","33,401,000","32,871,000","31,377,000","20,454,000","24,890,000","22,676,000","34,904,000","19,160,000","28,109,000","24,278,000"
NormalizedIncome,"539,920,000","168,820,218.839","125,043,100","106,814,000","139,617,400","107,757,607.811","114,072,600","120,415,000","157,979,200","92,874,518.389","118,558,400","103,005,600","97,113,500","144,077,632.328","90,348,300","89,251,200","124,620,800","262,140,000","64,040,000","71,633,200","69,847,400","42,217,772.281","39,601,337","47,658,000","48,781,057","47,999,705.438","67,278,238","44,686,051","42,427,360","51,302,400","48,541,066","43,179,699","49,321,495","46,395,020.165","41,670,853","46,452,368","42,817,857","39,724,000","45,758,000","38,479,100","33,402,050","31,793,022.107","41,317,250","33,361,350","32,843,700","31,325,496.397","20,351,300","24,809,000","22,611,000","34,580,700.559","19,035,850","27,862,000","23,970,234.618"
InterestIncome,"600,000","400,000","0","100,000","100,000","200,000","100,000","100,000","700,000","300,000","600,000","500,000","500,000","-100,000","1,100,000","900,000","400,000","100,000","500,000","0","600,000",,,,,,,,,,,,,,,,,,"41,000","26,000","23,000",,,,,,,,,,,,
InterestExpense,"48,000,000","11,500,000","11,700,000","12,400,000","12,400,000","10,300,000","9,600,000","7,000,000","7,600,000","7,700,000","8,500,000","10,000,000","10,000,000","8,300,000","10,500,000","9,700,000","9,600,000","10,000,000","10,800,000","11,100,000","7,600,000","5,515,000","177,000","28,000","27,000","27,000","16,000",,,,,,,,,,,"0","0","0","0","206,000","226,000","223,000","225,000","225,000","225,000","224,000","222,000","220,000","220,000","218,000","217,000"
NetInterestIncome,"-47,400,000","-11,100,000","-11,700,000","-12,300,000","-12,300,000","-13,600,000","-9,500,000","-7,300,000","-7,300,000","-7,800,000","-8,200,000","-10,000,000","-9,900,000","-9,700,000","-9,600,000","-9,300,000","-9,600,000","-10,400,000","-10,500,000","-12,500,000","-7,900,000","-5,515,000","-177,000","-28,000","-27,000","-27,000","-16,000",,,,,,,,,,,"-89,000","41,000","0","0","-206,000","-226,000","-223,000","-225,000","-225,000","-225,000","-224,000","-222,000","-220,000","-220,000","-218,000","-217,000"
EBIT,"804,100,000","221,700,000","185,500,000","191,600,000","205,300,000","133,200,000","173,000,000","163,600,000","225,100,000","121,900,000","149,400,000","129,600,000","137,800,000","184,000,000","126,800,000","129,500,000","169,000,000","114,100,000","116,700,000","117,200,000","25,900,000","80,502,000","67,513,000","83,842,000","80,494,000","79,691,000","101,467,000","73,370,000","69,553,000","86,962,000","75,084,000","69,716,000","82,038,000","70,441,000","68,427,000","75,358,000","69,430,000","59,398,000","60,534,000","65,658,000","56,962,000","52,543,000","74,791,000","56,513,000","57,117,000","50,181,000","34,923,000","41,792,000","38,624,000","56,792,000","32,996,000","47,711,000","40,606,000"
EBITDA,"971,500,000"
ReconciledCostOfRevenue,"2,307,200,000","550,400,000","521,300,000","517,900,000","717,600,000","594,600,000","559,900,000","626,700,000","616,500,000","367,300,000","431,100,000","389,600,000","370,200,000","474,000,000","357,200,000","441,400,000","508,100,000","408,300,000","392,100,000","423,900,000","210,600,000","49,255,000","47,726,000","47,847,000","46,199,000","44,575,000","51,400,000","40,866,000","39,578,000","19,239,000","16,224,000","14,676,000","15,884,000","15,017,000","13,816,000","14,489,000","13,140,000","46,113,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
ReconciledDepreciation,"167,400,000","42,000,000","42,800,000","40,600,000","42,000,000","40,500,000","39,500,000","38,000,000","40,500,000","42,800,000","42,900,000","43,700,000","47,200,000","49,100,000","50,300,000","50,400,000","54,200,000","55,900,000","55,400,000","55,800,000","25,100,000","10,087,000","10,217,000","12,279,000","11,872,000","12,225,000","12,417,000","11,300,000","10,413,000","11,080,000","10,372,000","9,926,000","8,622,000","9,136,000","8,504,000","8,651,000","8,311,000","6,233,000","8,656,000","8,342,000","8,342,000","7,529,000","8,918,000","9,019,000","8,718,000","8,207,000","7,117,000","7,318,000","7,318,000","6,874,000","6,900,000","7,044,000","6,907,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"529,000,000","165,900,000","120,400,000","105,500,000","137,200,000","87,300,000","109,900,000","113,600,000","157,400,000","86,300,000","106,000,000","88,300,000","95,400,000","138,800,000","86,000,000","83,300,000","118,100,000","257,400,000","60,500,000","68,300,000","15,500,000","45,470,000","40,721,000","51,230,000","49,400,000","50,402,000","67,516,000","44,845,000","42,259,000","49,342,000","48,366,000","42,981,000","49,024,000","46,110,000","41,356,000","46,161,000","42,373,000","39,724,000","45,758,000","38,496,000","33,417,000","31,807,000","41,327,000","33,401,000","32,871,000","31,377,000","20,454,000","24,890,000","22,676,000","34,904,000","19,160,000","28,109,000","24,278,000"
TotalUnusualItemsExcludingGoodwill,"-15,600,000","-3,700,000","-6,700,000","-1,800,000","-3,400,000","-28,800,000","-6,200,000","-9,400,000","-800,000","-8,700,000","-16,700,000","-20,800,000","-2,300,000","-6,700,000","-5,900,000","-8,600,000","-8,800,000","-7,900,000","-5,900,000","-5,200,000","-65,400,000","5,400,000","1,863,000","5,875,000","1,013,000","3,797,000","357,000","261,000","-276,000","-3,016,000","-271,000","-321,000","-495,000","-446,000","-517,000","-473,000","-721,000","-353,000","41,000","26,000","23,000","23,000","15,000","61,000","42,000","82,000","158,000","135,000","100,000","524,000","191,000","380,000","512,000"
TotalUnusualItems,"-15,600,000","-3,700,000","-6,700,000","-1,800,000","-3,400,000","-28,800,000","-6,200,000","-9,400,000","-800,000","-8,700,000","-16,700,000","-20,800,000","-2,300,000","-6,700,000","-5,900,000","-8,600,000","-8,800,000","-7,900,000","-5,900,000","-5,200,000","-65,400,000","5,400,000","1,863,000","5,875,000","1,013,000","3,797,000","357,000","261,000","-276,000","-3,016,000","-271,000","-321,000","-495,000","-446,000","-517,000","-473,000","-721,000","-353,000","41,000","26,000","23,000","23,000","15,000","61,000","42,000","82,000","158,000","135,000","100,000","524,000","191,000","380,000","512,000"
NormalizedEBITDA,"987,100,000","267,400,000","235,000,000","234,000,000","250,700,000","202,500,000","218,700,000","211,000,000","266,400,000","173,400,000","209,000,000","194,100,000","187,300,000","239,800,000","183,000,000","188,500,000","232,000,000","177,900,000","178,000,000","178,200,000","116,400,000","85,189,000","75,867,000","90,246,000","91,353,000","88,119,000","113,527,000","84,409,000","80,242,000","101,058,000","85,727,000","79,963,000","91,155,000","80,023,000","77,448,000","84,482,000","78,462,000","65,631,000","69,190,000","73,974,000","65,281,000","60,049,000","83,694,000","65,471,000","65,793,000","58,306,000","41,882,000","48,975,000","45,842,000","63,142,000","39,705,000","54,375,000","47,001,000"
TaxRateForCalcs,"0.3","0.211","0.307","0.27","0.289","0.29","0.327","0.275","0.276","0.244","0.248","0.293","0.255","0.212","0.263","0.308","0.259","0.4","0.4","0.359","0.169","0.398","0.399","0.392","0.389","0.367","0.334","0.391","0.39","0.35","0.354","0.381","0.399","0.361","0.391","0.384","0.383","0.331","0.244","0.35","0.35","0.392","0.35","0.35","0.35","0.372","0.35","0.4","0.35","0.383","0.35","0.35","0.399"
TaxEffectOfUnusualItems,"-4,680,000","-779,781.161","-2,056,900","-486,000","-982,600","-8,342,392.189","-2,027,400","-2,585,000","-220,800","-2,125,481.611","-4,141,600","-6,094,400","-586,500","-1,422,367.672","-1,551,700","-2,648,800","-2,279,200","-3,160,000","-2,360,000","-1,866,800","-11,052,600","2,147,772.281","743,337","2,303,000","394,057","1,394,705.438","119,238","102,051","-107,640","-1,055,600","-95,934","-122,301","-197,505","-160,979.835","-202,147","-181,632","-276,143","0","0","9,100","8,050","9,022.107","5,250","21,350","14,700","30,496.397","55,300","54,000","35,000","200,700.559","66,850","133,000","204,234.618"
