name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994
TotalRevenue,"257,006,000,000","68,614,000,000","66,576,000,000","62,674,000,000","59,142,000,000","62,599,000,000","60,808,000,000","55,679,000,000","58,535,000,000","59,172,000,000","57,616,000,000","55,728,000,000","52,429,000,000","56,208,000,000","53,075,000,000","52,607,000,000","51,628,000,000","53,617,000,000","52,061,000,000","51,051,000,000","48,713,000,000","50,130,000,000","49,957,000,000","49,733,000,000","46,678,000,000","47,899,000,000","48,761,000,000","47,546,000,000","43,224,000,000","47,005,000,000","44,758,000,000","44,058,000,000","38,141,000,000","34,306,000,000","32,954,000,000","32,208,000,000","30,620,000,000","31,187,000,000","29,850,000,000","30,798,000,000","31,699,000,000","30,839,000,000","30,216,000,000","29,980,000,000","28,853,000,000","28,247,000,000","27,534,000,000","27,450,000,000","26,643,000,000","28,272,000,000","27,130,000,000","26,657,000,000","26,224,000,000","27,130,000,000","26,574,000,000","26,704,000,000","26,231,000,000","26,494,000,000","24,450,000,000","24,528,000,000","24,165,000,000","23,111,000,000","22,386,000,000","23,616,000,000","22,785,000,000","22,602,000,000","21,605,000,000","21,058,000,000","20,611,800,000","20,781,900,000","19,934,300,000","19,186,600,000","17,939,900,000","182,231,900,000","16,810,100,000","16,524,200,000","14,886,300,000","14,921,000,000","13,690,300,000","13,628,000,000","12,996,100,000","13,196,700,000","12,159,300,000","11,653,900,000","11,377,600,000","11,029,100,000","9,874,800,000","9,728,500,000","9,305,100,000","9,890,900,000","9,050,100,000","8,697,400,000","9,591,100,000","7,978,800,000","6,941,500,000","5,870,900,000","7,376,000,000","4,670,800,000","4,467,800,000","4,342,700,000","3,998,600,000","3,486,600,000","3,566,500,000","3,501,500,000","3,482,300,000","3,549,700,000","3,348,400,000","3,336,000,000","3,348,100,000","3,350,000,000","3,245,500,000","3,245,500,000"
	OperatingRevenue,"257,006,000,000","68,614,000,000","66,576,000,000","62,674,000,000","59,142,000,000","62,599,000,000","60,808,000,000","55,679,000,000","58,535,000,000","59,172,000,000","57,616,000,000","55,728,000,000","52,429,000,000","56,208,000,000","53,075,000,000","52,607,000,000","51,628,000,000","53,617,000,000","52,061,000,000","51,051,000,000","48,713,000,000","50,130,000,000","49,957,000,000","49,733,000,000","46,678,000,000","47,899,000,000","48,761,000,000","47,546,000,000","43,224,000,000","47,005,000,000","44,758,000,000","44,058,000,000","38,141,000,000","34,306,000,000","32,954,000,000","32,208,000,000","30,620,000,000","31,187,000,000","29,850,000,000","30,798,000,000","31,699,000,000","30,839,000,000","30,216,000,000","29,980,000,000","28,853,000,000","28,247,000,000","27,534,000,000","27,450,000,000","26,643,000,000","28,272,000,000","27,130,000,000","26,657,000,000","26,224,000,000","27,130,000,000","26,574,000,000","26,704,000,000","26,231,000,000","26,494,000,000","24,450,000,000","24,528,000,000","24,165,000,000","23,111,000,000","22,386,000,000","23,616,000,000","22,785,000,000","22,602,000,000","21,605,000,000","21,058,000,000","20,611,800,000","20,781,900,000","19,934,300,000","19,186,600,000","17,939,900,000","18,231,900,000","16,810,100,000","16,524,200,000","14,886,300,000","14,921,000,000","13,690,300,000","13,628,000,000","12,996,100,000","13,196,700,000","12,159,300,000","11,653,900,000","11,377,600,000","11,029,100,000","9,874,800,000","9,728,500,000","9,305,100,000","9,890,900,000","9,050,100,000","8,697,400,000","9,591,100,000","7,978,800,000","6,941,500,000","5,870,900,000","7,376,000,000","4,670,800,000","4,467,800,000","4,342,700,000","3,998,600,000","3,486,600,000","3,566,500,000","3,501,500,000","3,482,300,000","3,549,700,000","3,348,400,000","3,336,000,000","3,348,100,000","3,350,000,000","3,245,500,000","3,245,500,000"
CostOfRevenue,"243,897,000,000","65,186,000,000","63,224,000,000","59,642,000,000","55,845,000,000","59,448,000,000","57,808,000,000","52,979,000,000","55,199,000,000","56,139,000,000","54,749,000,000","52,941,000,000","49,228,000,000","53,238,000,000","50,271,000,000","49,828,000,000","48,553,000,000","50,902,000,000","49,227,000,000","48,491,000,000","45,917,000,000","47,318,000,000","47,201,000,000","46,826,000,000","43,826,000,000","45,027,000,000","45,917,000,000","44,698,000,000","40,475,000,000","44,063,000,000","41,835,000,000","41,261,000,000","35,601,000,000","32,466,000,000","30,945,000,000","30,288,000,000","28,624,000,000","29,519,000,000","28,130,000,000","29,198,000,000","29,854,000,000","29,273,000,000","28,569,000,000","28,471,000,000","27,102,000,000","26,786,000,000","26,168,000,000","26,058,000,000","25,060,000,000","26,817,000,000","25,795,000,000","25,354,000,000","24,759,000,000","25,787,000,000","25,272,000,000","25,436,000,000","24,784,000,000","25,290,000,000","23,269,000,000","23,351,000,000","22,914,000,000","22,050,000,000","21,362,000,000","22,593,000,000","21,725,000,000","21,619,000,000","20,711,000,000","20,133,000,000","19,574,700,000","19,941,300,000","19,199,300,000","18,334,600,000","17,023,700,000","17,498,100,000","15,998,400,000","15,737,700,000","14,001,500,000","14,193,400,000","12,951,000,000","12,875,500,000","12,212,100,000","12,511,300,000","11,491,500,000","10,994,200,000","10,718,100,000","10,416,300,000","9,240,100,000","9,088,000,000","8,651,800,000","9,283,900,000","8,338,700,000","7,990,500,000","8,102,800,000","7,480,600,000","6,488,500,000","5,445,500,000","6,941,100,000","4,271,500,000","4,079,600,000","3,956,600,000","3,649,200,000","3,229,600,000","3,266,000,000","3,191,000,000","3,161,300,000","3,254,300,000","3,045,500,000","3,037,000,000","3,018,100,000","3,113,700,000",,
GrossProfit,"13,109,000,000","3,428,000,000","3,352,000,000","3,032,000,000","3,297,000,000","3,151,000,000","3,000,000,000","2,700,000,000","3,336,000,000","3,033,000,000","2,867,000,000","2,787,000,000","3,201,000,000","2,970,000,000","2,804,000,000","2,779,000,000","3,075,000,000","2,715,000,000","2,834,000,000","2,560,000,000","2,796,000,000","2,812,000,000","2,756,000,000","2,907,000,000","2,852,000,000","2,872,000,000","2,844,000,000","2,848,000,000","2,749,000,000","2,942,000,000","2,923,000,000","2,797,000,000","2,540,000,000","1,840,000,000","2,009,000,000","1,920,000,000","1,996,000,000","1,668,000,000","1,720,000,000","1,600,000,000","1,845,000,000","1,566,000,000","1,647,000,000","1,509,000,000","1,751,000,000","1,461,000,000","1,366,000,000","1,392,000,000","1,583,000,000","1,455,000,000","1,335,000,000","1,303,000,000","1,465,000,000","1,343,000,000","1,302,000,000","1,268,000,000","1,447,000,000","1,204,000,000","1,181,000,000","1,177,000,000","1,251,000,000","1,061,000,000","1,024,000,000","1,023,000,000","1,060,000,000","983,000,000","894,000,000","925,000,000","1,037,100,000","840,600,000","735,000,000","852,000,000","916,200,000","164,733,800,000","811,700,000","786,500,000","884,800,000","727,600,000","739,300,000","752,500,000","784,000,000","685,400,000","667,800,000","659,700,000","659,500,000","612,800,000","634,700,000","640,500,000","653,300,000","607,000,000","711,400,000","706,900,000","1,488,300,000","498,200,000","453,000,000","425,400,000","434,900,000","399,300,000","388,200,000","386,100,000","349,400,000","257,000,000","300,500,000","310,500,000","321,000,000","295,400,000","302,900,000","299,000,000","330,000,000","236,300,000",,
OperatingExpense,"10,230,000,000","3,105,000,000","2,669,000,000","2,232,000,000","2,224,000,000","2,291,000,000","2,237,000,000","1,966,000,000","2,403,000,000","2,535,000,000","2,196,000,000","2,130,000,000","2,255,000,000","2,156,000,000","2,033,000,000","2,127,000,000","2,343,000,000","1,984,000,000","2,009,000,000","1,964,000,000","2,005,000,000","1,981,000,000","1,886,000,000","1,935,000,000","1,909,000,000","1,952,000,000","1,890,000,000","1,917,000,000","1,887,000,000","2,162,000,000","2,135,000,000","2,109,000,000","1,984,000,000","1,337,000,000","1,295,000,000","1,258,000,000","1,344,000,000","1,183,000,000","1,065,000,000","1,005,000,000","1,134,000,000","1,047,000,000","1,051,000,000","1,037,000,000","915,000,000","965,000,000","925,000,000","918,000,000","1,010,000,000","946,000,000","868,000,000","844,000,000","967,000,000","1,397,000,000","921,000,000","897,000,000","966,000,000","922,000,000","822,000,000","821,000,000","883,000,000","743,000,000","718,000,000","751,000,000","728,000,000","691,000,000","665,000,000","664,000,000","651,800,000","1,806,000,000","606,200,000","591,200,000","571,900,000","571,800,000","585,300,000","535,700,000","589,200,000","517,800,000","519,300,000","548,700,000","585,200,000","497,700,000","520,100,000","500,500,000","965,200,000","471,200,000","508,400,000","506,300,000","765,900,000","580,700,000","583,800,000","557,900,000","1,404,800,000","396,400,000","406,200,000","325,300,000","345,700,000","303,900,000","296,900,000","299,800,000","267,200,000","352,800,000","241,500,000","246,300,000","250,200,000","228,800,000","236,400,000","228,800,000","243,600,000","452,500,000",,
	SellingGeneralAndAdministration,"10,230,000,000","3,105,000,000","2,669,000,000","2,232,000,000","2,224,000,000",,,,,,,,,,,,"2,218,000,000","1,984,000,000","2,009,000,000","1,964,000,000","1,664,000,000","1,981,000,000","1,886,000,000","1,935,000,000","1,517,000,000","1,952,000,000","1,890,000,000","1,917,000,000","1,495,000,000","2,162,000,000","2,135,000,000","2,109,000,000","1,528,000,000","1,337,000,000","1,295,000,000","1,258,000,000","864,000,000","1,183,000,000","1,065,000,000","1,086,000,000","694,000,000","1,047,000,000","1,051,000,000","1,037,000,000","508,000,000","965,000,000","925,000,000","918,000,000","654,000,000","946,000,000","868,000,000","844,000,000","1,096,000,000","904,000,000","921,000,000","897,000,000","619,000,000","922,000,000","827,000,000","821,000,000","599,000,000","743,000,000","724,000,000","751,000,000","513,000,000","690,000,000","665,000,000","612,000,000","469,800,000","606,000,000","606,200,000","591,200,000","399,200,000","571,800,000","585,300,000","535,700,000","439,800,000","517,800,000","519,300,000","548,700,000","428,100,000","497,700,000","520,100,000","500,500,000","706,100,000","471,200,000","449,600,000","448,600,000","611,500,000","538,800,000","523,000,000","501,100,000","1,163,400,000","371,200,000","381,900,000","302,200,000","322,600,000","281,600,000","276,400,000","278,500,000","248,400,000","339,600,000","221,000,000","227,000,000","231,000,000","211,100,000","218,700,000","212,100,000","226,900,000","452,500,000",,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"918,000,000","2,586,000,000","946,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"918,000,000","2,586,000,000","946,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-1,932,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,800,000","57,700,000","41,800,000","41,900,000","60,800,000","56,800,000","126,700,000","25,200,000","24,300,000","23,100,000","23,100,000","22,300,000","20,500,000","21,300,000","18,800,000","13,200,000","20,500,000","19,300,000","19,200,000","17,700,000","17,700,000","16,700,000","16,700,000",,,
