name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
	OtherunderPreferredStockDividend,"18,196,000","5,568,000",,"9,326,000","4,416,000","709,000","2,919,000","2,499,000","206,000","2,638,000","1,125,000","3,837,000","3,663,000","-4,068,000","2,076,000","712,000","2,211,000",,,"2,606,000","3,136,000","3,954,000","3,161,000","1,642,000","1,779,000","3,677,000","896,000","2,222,000","3,407,000","3,519,000","2,878,000","3,067,000","2,825,000","3,404,000","2,150,000","2,556,000","3,102,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,360,887,000","425,139,000","-73,468,000","670,656,000","337,446,000","62,893,000","240,138,000","188,381,000","16,406,000","215,006,000","103,273,000","339,018,000","345,237,000","-378,206,000","203,537,000","69,183,000","208,107,000","566,191,000","-639,374,000","243,068,000","288,507,000","369,618,000","292,233,000","154,050,000","169,907,000","353,604,000","87,657,000","206,835,000","319,571,000","336,604,000","272,038,000","287,117,000","291,108,000","361,234,000","232,609,000","273,086,000","381,241,000","52,116,000","250,922,000","214,551,000","304,704,000","41,042,000","63,054,000","131,312,000","-315,894,000","302,533,000","174,200,000","156,673,000","-22,652,000","197,227,000","228,618,000","272,588,000","108,556,000","-16,591,000","-233,127,000","153,027,000","77,933,000","12,238,000","246,587,000","282,868,000","297,582,000","206,351,000","245,678,000","220,403,000","168,396,000","-162,197,000","-417,745,000","194,180,000","167,095,000","93,327,000","11,463,000","263,967,000","126,101,000","121,780,000","100,326,000","109,555,000","94,367,000","55,565,000","61,270,000","53,407,000","61,061,000","35,362,000","-43,765,000","57,291,000","50,130,000","51,406,000","47,687,000","38,729,000","48,558,000","39,561,000","39,200,000","38,100,000","41,200,000","39,700,000","42,100,000","43,500,000","39,800,000","37,800,000","38,400,000","44,300,000","34,500,000","32,300,000","23,200,000","28,700,000","27,800,000"
BasicEPS,,,"-1.88","16.97","8.53",,"6.08","4.78","0.41","5.34","2.56","8.42","8.57","-9.5","5.04","1.71","5.14","13.92","-15.73","5.98","7.12","9.14","7.11","3.7","4.03","8.32","2.02","4.72","7.26","7.54","6.05","6.32","6.26","7.62","4.85","5.6","7.56","1.14","4.84","4.1","5.7",,"1.16","2.42","-5.81",,"3.12","2.7","-0.38",,"3.76","4.44","1.77",,"-3.8","2.48","1.25",,"3.93","4.5","4.64",,"3.8","3.41","2.61",,"-7.41","3.45","2.98",,"0.2","4.72","2.26",,"1.81","2.03","1.85",,"1.2","1.04","1.27",,"-0.95","1.24","1.09",,"1.04","0.85","1.06",,"0.81","0.78","0.83",,"0.83","0.86","0.79",,"0.76","0.88","0.68",,"0.46","0.57","0.55"
DilutedEPS,,,"-1.88","16.95","8.52",,"6.07","4.77","0.41","5.32","2.56","8.39","8.54","-9.5","5.02","1.7","5.11","13.85","-15.73","5.95","7.07","9.08","7.06","3.67","4","8.26","2","4.68","7.19","7.47","6","6.26","6.21","7.54","4.81","5.56","7.5","1.13","4.82","4.08","5.68",,"1.16","2.41","-5.81",,"3.11","2.7","-0.38",,"3.75","4.43","1.77",,"-3.8","2.47","1.24",,"3.9","4.45","4.59",,"3.76","3.38","2.57",,"-7.41","3.4","2.93",,"0.2","4.64","2.22",,"1.77","1.99","1.83",,"1.19","1.02","1.24",,"-0.95","1.22","1.07",,"1.03","0.84","1.06",,"0.8","0.78","0.82",,"0.83","0.86","0.78",,"0.76","0.87","0.68",,"0.46","0.57","0.55"
BasicAverageShares,,,"39,161,000","39,527,000","40,077,608",,"39,976,480","39,933,054","40,517,073","40,757,303","40,780,469","40,719,121","40,711,785","40,239,368","40,796,230","40,874,269","40,917,899","41,021,911","40,646,790","41,082,609","40,961,096","40,872,210","41,546,273","42,078,919","42,601,985","42,942,428","43,838,119","44,291,737","44,487,328","45,109,151","45,440,661","45,915,190","46,954,153","47,852,756","48,403,918","49,221,786","50,839,021","51,558,772","51,843,388","52,329,512","53,456,842",,"54,356,897","54,261,157","54,370,740",,"55,833,333","58,027,037","59,610,526",,"60,802,660","61,393,694","61,294,000",,"61,396,000","61,658,000","62,377,000",,"62,751,000","62,901,000","64,172,000",,"64,733,000","64,708,000","64,622,000",,"56,361,000","56,266,000","56,141,000",,"55,991,000","55,933,000","55,771,000",,"55,499,000","54,096,000","50,897,000",,"50,977,000","51,301,000","48,108,000",,"46,228,000","46,141,000","46,059,000",,"45,834,000","45,820,000","45,889,000",,"48,618,000","48,679,000","49,803,000",,"50,465,000","50,480,000","50,481,000",,"50,466,000","50,469,000","50,490,000",,"50,434,783","50,350,877","50,545,455"
DilutedAverageShares,,,"39,197,000","39,567,000","40,124,648",,"40,042,339","40,016,771","40,517,073","40,910,526","40,780,469","40,864,720","40,854,801","40,239,368","40,958,765","41,114,706","41,158,121","41,229,242","40,646,790","41,289,748","41,250,778","41,142,291","41,840,510","42,422,888","42,921,500","43,254,358","44,276,500","44,670,299","44,920,445","45,531,861","45,819,333","46,355,272","47,332,206","48,360,477","48,806,445","49,575,899","51,245,733","52,015,044","52,058,506","52,586,029","53,645,070",,"54,356,897","54,486,307","54,370,740",,"56,012,862","58,027,037","59,610,526",,"60,964,800","61,532,280","61,433,000",,"61,396,000","62,002,000","62,860,000",,"63,268,000","63,518,000","64,763,000",,"65,375,000","65,258,000","65,437,000",,"57,275,000","57,128,000","57,076,000",,"56,712,000","56,860,000","56,834,000",,"56,562,000","55,091,000","51,521,000",,"51,627,000","52,177,000","49,087,000",,"46,228,000","47,088,000","47,004,000",,"46,414,000","46,125,000","46,005,000",,"48,796,000","48,897,000","50,026,000",,"50,748,000","50,799,000","50,800,000",,"50,466,000","50,469,000","50,490,000",,"50,434,783","50,350,877","50,545,455"
TotalExpenses,"9,755,377,000","2,548,065,000","2,874,424,000","2,076,543,000","2,256,345,000","2,551,242,000","2,248,898,000","2,095,702,000","2,004,070,000","2,095,306,000","1,905,742,000","1,588,139,000","1,551,292,000","2,496,995,000","1,746,992,000","1,832,176,000","1,527,514,000","1,171,906,000","2,629,538,000","1,255,078,000","1,146,365,000","1,198,369,000","1,189,569,000","1,241,585,000","1,064,979,000","1,106,425,000","1,273,726,000","1,164,480,000","1,084,749,000","1,111,466,000","1,213,771,000","1,090,675,000","928,562,000","1,065,004,000","1,090,944,000","1,032,088,000","897,834,000","1,234,552,000","899,776,000","942,653,000","906,303,000","1,328,421,000","1,015,406,000","1,035,966,000","1,548,115,000","1,022,147,000","973,652,000","939,091,000","1,179,679,000","961,768,000","882,817,000","858,452,000","856,220,000","777,838,000","1,091,843,000","908,977,000","832,528,000","1,103,300,000","890,524,000","915,321,000","844,946,000","927,211,000","814,234,000","801,166,000","982,939,000","1,307,477,000","1,572,984,000","1,014,520,000","941,039,000","1,282,678,000","1,255,826,000","938,086,000","972,384,000","1,069,688,000","1,007,916,000","827,574,000","710,352,000","748,481,000","548,033,000","500,802,000","498,277,000","440,678,000","502,808,000","416,766,000","350,950,000","1,832,595,000","310,573,000","304,579,000","276,806,000","2,184,028,000","90,200,000","87,000,000","73,200,000","90,100,000","83,800,000","77,900,000","72,200,000","96,900,000","76,700,000","78,200,000","74,800,000",,,"14,000,000","13,900,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,379,083,000","430,707,000","-73,468,000","679,982,000","341,862,000","63,602,000","243,057,000","190,880,000","16,612,000","217,644,000","104,398,000","342,855,000","348,900,000","-382,274,000","205,613,000","69,895,000","210,318,000","571,025,000","-639,374,000","245,674,000","291,643,000","373,572,000","295,394,000","155,692,000","171,686,000","357,281,000","88,553,000","209,057,000","322,978,000","340,123,000","274,916,000","290,184,000","293,933,000","364,638,000","234,759,000","275,642,000","384,343,000","58,777,000","250,922,000","214,551,000","304,704,000","41,042,000","63,054,000","131,312,000","-315,894,000","302,533,000","174,200,000","156,673,000","-22,652,000","197,227,000","228,618,000","272,588,000","108,556,000","-16,591,000","-233,127,000","153,027,000","77,933,000","12,238,000","246,587,000","282,868,000","297,582,000","206,351,000","245,678,000","220,403,000","168,396,000","-162,197,000","-417,745,000","194,180,000","167,095,000","93,327,000","11,463,000","263,967,000","126,101,000","121,780,000","100,326,000","109,555,000","94,367,000","55,565,000","61,270,000","53,407,000","61,061,000","35,362,000","-43,765,000","57,291,000","50,130,000","51,406,000","47,687,000","38,729,000","48,558,000","39,561,000","39,200,000","38,100,000","41,200,000","39,700,000","42,100,000","43,500,000","39,800,000","37,800,000","38,400,000","44,300,000","34,500,000","32,300,000","23,200,000","28,700,000","27,800,000"
NormalizedIncome,"1,379,083,000","430,707,000","-73,468,000","679,982,000","341,862,000","63,602,000","243,057,000","190,880,000","16,612,000","217,644,000","104,398,000","342,855,000","348,900,000","-382,274,000","205,613,000","69,895,000","210,318,000","571,025,000","-639,374,000","245,674,000","291,643,000","373,572,000","295,394,000","155,692,000","171,686,000","357,281,000","88,553,000","209,057,000","322,978,000","340,123,000","274,916,000","290,184,000","293,933,000","364,638,000","234,759,000","275,642,000","384,343,000","58,777,000","250,922,000","214,551,000","304,704,000","41,042,000","63,054,000","131,312,000","-315,894,000","302,533,000","174,200,000","156,673,000","-22,652,000","197,227,000","228,618,000","272,588,000","108,556,000","-16,591,000","-233,127,000","153,027,000","77,933,000","12,238,000","246,587,000","282,868,000","297,582,000","206,351,000","245,678,000","220,403,000","168,396,000","-162,197,000","-417,745,000","194,180,000","167,095,000","93,327,000","11,463,000","263,967,000","126,101,000","121,780,000","100,326,000","109,555,000","94,367,000","55,565,000","61,270,000","53,407,000","61,061,000","35,362,000","-43,765,000","57,291,000","50,130,000","51,406,000","47,687,000","38,729,000","48,558,000","39,561,000","39,200,000","38,100,000","41,200,000","39,700,000","42,100,000","43,500,000","39,800,000","37,800,000","38,400,000","44,300,000","34,500,000","32,300,000","23,200,000","28,700,000","27,800,000"
InterestIncome,"12,324,000","-125,000","1,196,000","3,287,000","7,966,000","1,833,000","684,000","2,021,000","8,216,000",,"2,325,000","1,422,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
