name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993
	OtherNonOperatingIncomeExpenses,"3,306,000","-840,000","812,000","2,564,000","770,000","-920,000","3,253,000","971,000","2,277,000","-354,000","717,000","-1,477,000","1,719,000","4,782,000","1,037,000","1,874,000","731,000","-948,000","-4,416,000","1,057,000","-194,000","-3,021,000","3,332,000","6,051,000","39,000","4,435,000","1,027,000","53,000","-815,000","4,141,000","1,593,000","77,000","708,000","1,170,000","1,423,000","1,466,000","1,592,000","744,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,290,460,000","342,055,000","325,826,000","299,044,000","323,535,000","252,452,000","246,815,000","201,883,000","191,800,000","205,074,000","202,082,000","187,070,000","204,129,000","164,966,000","148,786,000","132,729,000","171,216,000","144,438,000","114,128,000","106,379,000","131,088,000","100,099,000","102,534,000","105,985,000","116,568,000","91,552,000","81,760,000","81,446,000","88,296,000","80,104,000","82,223,000","73,884,000","61,318,000","70,588,000","64,245,000","62,162,000","82,005,000","61,117,000","71,588,000","67,478,000","84,547,000","62,216,000","63,815,000","62,644,000","80,350,000","60,717,000","60,163,000","57,686,000","71,584,000","53,172,000","57,052,000","56,335,000","65,896,000","44,178,000","61,320,000","68,022,000","70,874,000","50,589,000","60,166,000","58,350,000","62,025,000","48,692,000","48,355,000","45,701,000","53,689,000","38,724,000","36,648,000","39,863,000","49,679,000","38,484,700","37,042,100","35,644,400","40,554,600","28,708,000","25,191,900","21,863,200","25,480,800","22,514,700","24,308,300","25,504,300","26,992,500","20,072,700","21,087,900","21,697,100","19,270,400","15,453,200","14,623,000","13,393,600","13,549,600","10,800,000","10,300,000","10,400,000","10,100,000","7,800,000","6,900,000","7,000,000","7,100,000","5,700,000","5,100,000","5,100,000","5,500,000","5,000,000","3,800,000","4,200,000","4,700,000","5,000,000","4,300,000","3,600,000","3,200,000","2,600,000","2,100,000","4,700,000","1,000,000",,
TaxProvision,"199,915,000","54,643,000","65,463,000","43,070,000","36,739,000","59,012,000","46,530,000","36,350,000","44,313,000","36,367,000","-16,098,000","33,574,000","11,388,000","33,593,000","34,703,000","22,988,000","43,811,000","41,137,000","36,568,000","36,010,000","40,542,000","34,033,000","-64,746,000","21,017,000","42,552,000","32,589,000","29,347,000","24,034,000","30,733,000","27,911,000","29,608,000","22,841,000","20,441,000","25,243,000","22,823,000","20,858,000","28,769,000","21,477,000","25,743,000","22,582,000","29,076,000","21,613,000","22,666,000","22,123,000","30,214,000","22,824,000","22,340,000","21,453,000","27,194,000","17,439,000","21,782,000","21,708,000","25,384,000","17,028,000","24,066,000","27,201,000","24,397,000","18,563,000","22,556,000","21,615,000","23,158,000","18,300,000","18,010,000","14,912,000","20,509,000","12,606,000","13,835,000","14,874,000","18,774,000","14,932,100","14,372,300","14,195,200","15,590,200","11,340,000","9,950,800","8,526,800","10,058,000","8,758,200","9,601,800","9,969,100","10,392,100","7,577,500","8,329,700","8,765,700","7,785,200","6,104,000","5,703,800","5,231,400","5,213,500","4,200,000","4,000,000","3,700,000","3,800,000","3,000,000","2,700,000","2,700,000","2,800,000","2,200,000","2,000,000","1,700,000","2,200,000","2,000,000","1,500,000","1,400,000","1,900,000","2,000,000","1,700,000","1,400,000","1,300,000","1,000,000","800,000","1,900,000","400,000",,
NetIncomeCommonStockholders,"1,090,545,000","287,412,000","260,363,000","255,974,000","286,796,000","193,440,000","200,285,000","165,533,000","147,487,000","168,707,000","218,180,000","153,496,000","192,741,000","131,373,000","114,083,000","109,748,000","127,348,000","103,256,000","77,515,000","70,335,000","90,546,000","66,066,000","167,280,000","84,968,000","74,016,000","58,963,000","52,413,000","57,412,000","57,563,000","52,193,000","52,615,000","51,043,000","40,877,000","45,345,000","41,422,000","41,304,000","53,236,000","39,640,000","45,845,000","44,896,000","55,471,000","40,603,000","41,149,000","40,521,000","50,136,000","37,893,000","37,823,000","36,233,000","44,390,000","35,733,000","35,270,000","34,627,000","42,069,000","27,150,000","37,254,000","40,821,000","46,477,000","32,026,000","37,610,000","36,735,000","38,867,000","30,392,000","30,345,000","31,573,000","34,710,000","7,853,000","22,813,000","24,989,000","30,905,000","23,552,600","22,669,800","21,449,200","24,964,400","17,368,000","15,241,100","13,336,400","15,422,800","13,756,500","14,706,500","15,535,200","16,600,400","12,495,200","12,758,200","12,931,400","11,485,200","9,349,200","8,919,200","8,162,200","8,336,100","6,600,000","6,300,000","6,700,000","6,300,000","4,800,000","4,200,000","4,300,000","4,300,000","3,500,000","3,100,000","3,400,000","3,300,000","3,000,000","2,300,000","2,800,000","2,800,000","3,000,000","2,600,000","2,200,000","1,900,000","1,600,000","1,300,000","1,200,000","600,000","-600,000","-600,000"
	NetIncome,"1,090,545,000","287,412,000","260,363,000","255,974,000","286,796,000","193,440,000","200,285,000","165,533,000","147,487,000","168,707,000","218,180,000","153,496,000","192,741,000","131,373,000","114,083,000","109,748,000","127,348,000","103,256,000","77,515,000","70,335,000","90,546,000","66,066,000","167,280,000","84,968,000","74,016,000","58,963,000","52,413,000","57,412,000","57,563,000","52,193,000","52,615,000","51,043,000","40,877,000","45,345,000","41,422,000","41,304,000","53,236,000","39,640,000","45,845,000","44,896,000","55,471,000","40,603,000","41,149,000","40,521,000","50,136,000","37,893,000","37,823,000","36,233,000","44,390,000","35,733,000","35,270,000","34,627,000","42,069,000","27,150,000","37,254,000","40,821,000","46,477,000","32,026,000","37,610,000","36,735,000","38,867,000","30,392,000","30,345,000","31,573,000","34,710,000","7,853,000","22,813,000","24,989,000","30,905,000","23,552,600","22,669,800","21,449,200","24,964,400","17,368,000","15,241,100","13,336,400","15,422,800","13,756,500","14,706,500","15,535,200","16,600,400","12,495,200","12,758,200","12,931,400","11,485,200","9,349,200","8,919,200","8,162,200","8,336,100","6,600,000","6,300,000","6,700,000","6,300,000","4,800,000","4,200,000","4,300,000","4,300,000","3,500,000","3,100,000","3,400,000","3,300,000","3,000,000","2,300,000","2,800,000","2,800,000","3,000,000","2,600,000","2,200,000","1,900,000","1,600,000","1,300,000","1,200,000","600,000","-600,000","-600,000"
		NetIncomeIncludingNoncontrollingInterests,"1,090,545,000","287,412,000","260,363,000","255,974,000","286,796,000","193,440,000","200,285,000","165,533,000","147,487,000","168,707,000","218,180,000","153,496,000","192,741,000","131,373,000","114,083,000","109,741,000","127,405,000","103,301,000","77,560,000","70,369,000","90,546,000","66,066,000","167,280,000","84,968,000","74,016,000","58,963,000","52,413,000","57,412,000","57,563,000","52,193,000","52,615,000","51,043,000","40,877,000","45,345,000","41,422,000","41,304,000","53,236,000","39,640,000","45,845,000","44,896,000","55,471,000","40,603,000","41,149,000","40,521,000","50,136,000","37,893,000","37,823,000","36,233,000","44,390,000","35,733,000","35,270,000","34,627,000","42,069,000","27,150,000","37,254,000","40,821,000","46,477,000","32,026,000","37,610,000","36,735,000","38,867,000","30,392,000","30,345,000","31,573,000","34,710,000","7,853,000","22,813,000","24,989,000","30,905,000","23,552,600","22,669,800","21,449,200","24,964,400","17,368,000","15,241,100","13,336,400","15,422,800","13,756,500","14,706,500","15,535,200","16,600,400","12,495,200","12,758,200","12,931,400","11,485,200","9,349,200","8,919,200","8,162,200","8,336,100","6,600,000","6,300,000","6,700,000","6,300,000","4,800,000","4,200,000","4,300,000","4,300,000","3,500,000","3,100,000","3,400,000","3,300,000","3,000,000","2,300,000","2,800,000","2,800,000","3,000,000","2,600,000","2,200,000","1,900,000","1,600,000","1,300,000","1,200,000","600,000","-600,000","-600,000"
			NetIncomeContinuousOperations,"1,090,545,000","287,412,000","260,363,000","255,974,000","286,796,000","193,440,000","200,285,000","165,533,000","147,487,000","168,707,000","218,180,000","153,496,000","192,741,000","131,373,000","114,083,000","109,741,000","127,405,000","103,301,000","77,560,000","70,369,000","90,546,000","66,066,000","167,280,000","84,968,000","74,016,000","58,963,000","52,413,000","57,412,000","57,563,000","52,193,000","52,615,000","51,043,000","40,877,000","45,345,000","41,422,000","41,304,000","53,236,000","39,640,000","45,845,000","44,896,000","55,471,000","40,603,000","41,149,000","40,521,000","50,136,000","37,893,000","37,823,000","36,233,000","44,390,000","35,733,000","35,270,000","34,627,000","40,512,000","27,150,000","37,254,000","40,821,000","46,477,000","32,026,000","37,610,000","36,735,000","38,867,000","30,392,000","30,345,000","30,789,000","33,180,000","26,118,000","22,813,000","24,989,000","30,905,000","23,552,600","22,669,800","21,449,200","24,964,400","17,368,000","15,241,100","13,336,400","15,422,800","13,756,500","14,706,500","15,535,200","16,600,400","12,495,200","12,758,200","12,931,400","11,485,200","9,349,200","8,919,200","8,162,200","8,336,100","6,600,000","6,300,000","6,700,000","6,300,000","4,800,000","4,200,000","4,300,000","4,300,000","3,500,000","3,100,000","3,400,000","3,300,000","3,000,000","2,300,000","2,800,000","2,800,000","3,000,000","2,600,000","2,200,000","1,900,000","1,600,000","1,300,000","2,800,000","600,000","-600,000","-600,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","1,557,000",,,,,,,,,,,"784,000","1,530,000","-18,265,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,,,,,,,,,,,,"0","0","0","0","7,000","-57,000","-45,000","-45,000","-34,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,090,545,000","287,412,000","260,363,000","255,974,000","286,796,000","193,440,000","200,285,000","165,533,000","147,487,000","168,707,000","218,180,000","153,496,000","192,741,000","131,373,000","114,083,000","109,748,000","127,348,000","103,256,000","77,515,000","70,335,000","90,546,000","66,066,000","167,280,000","84,968,000","74,016,000","58,963,000","52,413,000","57,412,000","57,563,000","52,193,000","52,615,000","51,043,000","40,877,000","45,345,000","41,422,000","41,304,000","53,236,000","39,640,000","45,845,000","44,896,000","55,471,000","40,603,000","41,149,000","40,521,000","50,136,000","37,893,000","37,823,000","36,233,000","44,390,000","35,733,000","35,270,000","34,627,000","42,069,000","27,150,000","37,254,000","40,821,000","46,477,000","32,026,000","37,610,000","36,735,000","38,867,000","30,392,000","30,345,000","31,573,000","34,710,000","7,853,000","22,813,000","24,989,000","30,905,000","23,552,600","22,669,800","21,449,200","24,964,400","17,368,000","15,241,100","13,336,400","15,422,800","13,756,500","14,706,500","15,535,200","16,600,400","12,495,200","12,758,200","12,931,400","11,485,200","9,349,200","8,919,200","8,162,200","8,336,100","6,600,000","6,300,000","6,700,000","6,300,000","4,800,000","4,200,000","4,300,000","4,300,000","3,500,000","3,100,000","3,400,000","3,300,000","3,000,000","2,300,000","2,800,000","2,800,000","3,000,000","2,600,000","2,200,000","1,900,000","1,600,000","1,300,000","1,200,000","600,000","-600,000","-600,000"
