name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,03/31/2010
NetIncomeFromContinuingAndDiscontinuedOperation,"427,000,000","113,000,000","114,000,000","113,000,000","87,000,000","148,000,000","37,000,000","31,000,000","38,000,000","118,000,000","65,000,000","139,000,000","79,000,000","225,000,000","130,000,000","115,000,000","79,000,000","71,000,000","105,000,000","99,000,000","56,000,000","50,000,000","73,000,000","71,000,000","66,000,000","114,000,000","88,000,000","74,000,000","64,000,000","96,000,000","106,000,000","86,000,000","49,000,000","68,000,000","73,000,000","46,000,000","41,000,000","73,000,000","72,000,000","89,000,000","63,000,000","52,000,000","77,000,000","72,000,000","78,000,000","97,000,000","91,000,000","56,000,000"
NormalizedIncome,"431,185,000","113,000,000","112,278,000","113,815,000","91,602,000","153,620,253.165","93,826,000","73,768,000","39,800,000","121,314,606.742","197,130,000","151,530,000","87,340,000","227,190,000","131,620,000","120,376,000","87,290,000","81,200,000","108,945,000","103,992,000","61,572,000","57,200,000","77,626,000","75,704,000","71,904,000","114,890,625","88,826,000","74,819,000","59,038,000","102,000,000","96,925,000","88,484,000","61,135,000","76,261,682.243","78,274,000","62,737,000","45,854,000","102,528,089.888","72,720,000","89,773,913.043","63,750,000","14,857,142.857","118,317,073.171","72,000,000","77,227,722.772","103,117,117.117","89,345,454.545","61,014,925.373"
InterestIncome,"7,000,000"
InterestExpense,"76,000,000","13,000,000","21,000,000","21,000,000","21,000,000","21,000,000","22,000,000","18,000,000","16,000,000","15,000,000","16,000,000","18,000,000","18,000,000","19,000,000","21,000,000","21,000,000","21,000,000","20,000,000","21,000,000","21,000,000","20,000,000","20,000,000","16,000,000","20,000,000","14,000,000","14,000,000","13,000,000","14,000,000","14,000,000","13,000,000","14,000,000","13,000,000","14,000,000","14,000,000","14,000,000","14,000,000","13,000,000","14,000,000","14,000,000","13,000,000","14,000,000","15,000,000","1,000,000","1,000,000",,,"0",
NetInterestIncome,"-69,000,000","-6,000,000","-21,000,000","-21,000,000","-21,000,000","-14,000,000","-22,000,000","-18,000,000","-16,000,000","-10,000,000","-16,000,000","-18,000,000","-18,000,000","-15,000,000","-21,000,000","-21,000,000","-21,000,000","-17,000,000","-21,000,000","-21,000,000","-20,000,000","-18,000,000","-16,000,000","-20,000,000","-14,000,000","-12,000,000","-13,000,000","-14,000,000","-14,000,000","-11,000,000","-14,000,000","-13,000,000","-14,000,000","-11,000,000","-14,000,000","-14,000,000","-13,000,000","-10,000,000","-14,000,000","-13,000,000","-14,000,000","-12,000,000","-1,000,000","-1,000,000",,,"0",
EBIT,"587,000,000","139,000,000","154,000,000","159,000,000","135,000,000","179,000,000","72,000,000","53,000,000","58,000,000","193,000,000","4,000,000","174,000,000","112,000,000","198,000,000","182,000,000","171,000,000","116,000,000","164,000,000","152,000,000","142,000,000","90,000,000","110,000,000","111,000,000","110,000,000","79,000,000","142,000,000","120,000,000","105,000,000","91,000,000","141,000,000","142,000,000","117,000,000","75,000,000","121,000,000","97,000,000","71,000,000","64,000,000","103,000,000","114,000,000","128,000,000","98,000,000","99,000,000","83,000,000","116,000,000","100,000,000","126,000,000","110,000,000","73,000,000"
EBITDA,"832,000,000"
ReconciledCostOfRevenue,"3,220,000,000","830,000,000","793,000,000","831,000,000","766,000,000","847,000,000","759,000,000","726,000,000","714,000,000","834,000,000","787,000,000","819,000,000","763,000,000","844,000,000","782,000,000","798,000,000","757,000,000","768,000,000","724,000,000","705,000,000","659,000,000","689,000,000","540,000,000","563,000,000","518,000,000","604,000,000","551,000,000","572,000,000","522,000,000","635,000,000","587,000,000","617,000,000","564,000,000","623,000,000","581,000,000","589,000,000","545,000,000","587,000,000","557,000,000","583,000,000","562,000,000","623,000,000","574,000,000","592,000,000","553,000,000","576,000,000","497,000,000","431,000,000"
ReconciledDepreciation,"245,000,000","59,000,000","62,000,000","62,000,000","62,000,000","62,000,000","63,000,000","62,000,000","64,000,000","65,000,000","65,000,000","63,000,000","64,000,000","66,000,000","63,000,000","65,000,000","67,000,000","60,000,000","58,000,000","57,000,000","59,000,000","54,000,000","32,000,000","33,000,000","32,000,000","31,000,000","33,000,000","34,000,000","35,000,000","35,000,000","35,000,000","36,000,000","36,000,000","40,000,000","36,000,000","37,000,000","37,000,000","39,000,000","36,000,000","33,000,000","34,000,000","33,000,000","36,000,000","35,000,000","33,000,000","25,000,000",,"19,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"427,000,000","113,000,000","114,000,000","113,000,000","87,000,000","148,000,000","37,000,000","31,000,000","38,000,000","118,000,000","65,000,000","139,000,000","79,000,000","225,000,000","130,000,000","115,000,000","79,000,000","71,000,000","105,000,000","99,000,000","56,000,000","50,000,000","73,000,000","71,000,000","66,000,000","114,000,000","88,000,000","74,000,000","64,000,000","96,000,000","106,000,000","86,000,000","49,000,000","68,000,000","73,000,000","46,000,000","41,000,000","73,000,000","72,000,000","89,000,000","63,000,000","52,000,000","77,000,000","72,000,000","78,000,000","97,000,000","91,000,000","56,000,000"
TotalUnusualItemsExcludingGoodwill,"-5,000,000","0","2,000,000","-1,000,000","-6,000,000","-6,000,000","-77,000,000","-48,000,000","-2,000,000","-5,000,000","-181,000,000","-14,000,000","-10,000,000","-3,000,000","-2,000,000","-7,000,000","-10,000,000","-17,000,000","-5,000,000","-6,000,000","-7,000,000","-12,000,000","-6,000,000","-6,000,000","-6,000,000","-1,000,000","-1,000,000","-1,000,000","6,000,000","-8,000,000","11,000,000","-3,000,000","-15,000,000","-13,000,000","-6,000,000","-21,000,000","-6,000,000","-36,000,000","-1,000,000","-1,000,000","-1,000,000","60,000,000","-44,000,000","0","1,000,000","-7,000,000","2,000,000","-6,000,000"
TotalUnusualItems,"-5,000,000","0","2,000,000","-1,000,000","-6,000,000","-6,000,000","-77,000,000","-48,000,000","-2,000,000","-5,000,000","-181,000,000","-14,000,000","-10,000,000","-3,000,000","-2,000,000","-7,000,000","-10,000,000","-17,000,000","-5,000,000","-6,000,000","-7,000,000","-12,000,000","-6,000,000","-6,000,000","-6,000,000","-1,000,000","-1,000,000","-1,000,000","6,000,000","-8,000,000","11,000,000","-3,000,000","-15,000,000","-13,000,000","-6,000,000","-21,000,000","-6,000,000","-36,000,000","-1,000,000","-1,000,000","-1,000,000","60,000,000","-44,000,000","0","1,000,000","-7,000,000","2,000,000","-6,000,000"
NormalizedEBITDA,"837,000,000","198,000,000","214,000,000","222,000,000","203,000,000","247,000,000","212,000,000","163,000,000","124,000,000","263,000,000","250,000,000","251,000,000","186,000,000","267,000,000","247,000,000","243,000,000","193,000,000","241,000,000","215,000,000","205,000,000","156,000,000","176,000,000","149,000,000","149,000,000","117,000,000","174,000,000","154,000,000","140,000,000","120,000,000","184,000,000","166,000,000","156,000,000","126,000,000","174,000,000","139,000,000","129,000,000","107,000,000","178,000,000","151,000,000","162,000,000","133,000,000","72,000,000","163,000,000","151,000,000","132,000,000","158,000,000","108,000,000","98,000,000"
TaxRateForCalcs,"0.163","0.103","0.139","0.185","0.233","0.063","0.262","0.109","0.1","0.337","0.27","0.105","0.166","0.27","0.19","0.232","0.171","0.4","0.211","0.168","0.204","0.4","0.229","0.216","0.016","0.109","0.174","0.181","0.173","0.25","0.175","0.172","0.191","0.364","0.121","0.203","0.191","0.18","0.28","0.226","0.25","0.381","0.061","0.374","0.228","0.126","0.173","0.164"
TaxEffectOfUnusualItems,"-815,000","0","278,000","-185,000","-1,398,000","-379,746.835","-20,174,000","-5,232,000","-200,000","-1,685,393.258","-48,870,000","-1,470,000","-1,660,000","-810,000","-380,000","-1,624,000","-1,710,000","-6,800,000","-1,055,000","-1,008,000","-1,428,000","-4,800,000","-1,374,000","-1,296,000","-96,000","-109,375","-174,000","-181,000","1,038,000","-2,000,000","1,925,000","-516,000","-2,865,000","-4,738,317.757","-726,000","-4,263,000","-1,146,000","-6,471,910.112","-280,000","-226,086.957","-250,000","22,857,142.857","-2,682,926.829","0","227,722.772","-882,882.883","345,454.545","-985,074.627"
