name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994
NetIncomeFromContinuingAndDiscontinuedOperation,"1,039,600,000","247,000,000","193,200,000","230,900,000","368,500,000","128,700,000","96,000,000","36,100,000","-480,000,000","232,300,000","24,700,000","170,600,000","208,000,000","223,600,000","115,600,000","166,200,000","174,500,000","217,800,000","84,700,000","119,000,000","123,800,000","165,600,000","79,500,000","110,200,000","139,600,000","105,800,000","43,200,000","86,400,000","105,300,000","133,800,000","-32,800,000","503,200,000","86,500,000","109,700,000","19,800,000","70,200,000","133,100,000","134,400,000","33,600,000","110,800,000","151,200,000","164,100,000","53,700,000","106,600,000","137,500,000","151,200,000","74,500,000","113,100,000","115,600,000","134,300,000","60,300,000","94,300,000","123,000,000","107,500,000","59,700,000","82,100,000","101,800,000","126,000,000","43,500,000","105,900,000","-55,200,000","106,400,000","61,662,000","88,543,000","92,306,000","105,318,000","55,057,000","85,514,000","83,989,000","92,630,000","42,975,000","72,125,000","53,716,000","77,899,000","31,253,000","68,594,000","61,110,000","61,786,000","37,478,000","71,886,000","72,949,000","66,220,000","36,463,000","62,156,000","61,011,000","49,527,000","29,541,000","56,921,000","58,005,000","46,900,000","24,500,000","47,300,000","51,000,000","38,400,000","15,900,000","35,200,000","40,000,000","29,800,000","7,500,000","24,400,000","-116,000,000","15,700,000","-11,200,000","20,500,000","34,500,000","35,600,000","16,300,000","-12,100,000","13,100,000","13,100,000","13,100,000","13,100,000"
NormalizedIncome,"1,041,710,609.146","244,575,000","193,400,000","231,700,000","372,796,000","132,228,700","96,900,000","37,300,000","-173,157,316.074","233,388,000","25,473,000","171,800,000","222,683,570.445","226,522,400","118,213,900","168,996,000","179,040,682.657","218,281,000","88,600,000","120,691,200","125,400,000","165,771,500","79,774,500","105,374,800","141,920,866.591","106,555,700","34,720,000","79,767,500","128,462,924.901","132,241,200","-4,995,000","-14,815,000","-16,400,000","109,500,000","19,800,000","70,300,000","133,300,000","134,500,000","33,700,000","111,000,000","151,500,000","164,100,000","54,100,000","106,800,000","137,900,000","151,700,000","75,800,000","113,300,000","116,000,000","134,800,000","61,200,000","95,000,000","122,700,000","108,100,000","58,500,000","82,400,000","103,300,000","115,600,000","44,100,000","106,600,000","107,679,400.113","118,985,776.488","61,849,721.994","91,696,119.998","92,306,000","105,318,000","55,057,000","85,514,000","83,989,000","92,630,000","42,975,000","72,125,000","53,716,000","77,899,000","31,253,000","68,594,000","60,766,762.371","61,786,000","37,573,328.246","71,886,000","72,748,341.763","66,220,000","34,992,294.338","62,156,000","61,011,000","49,527,000","29,541,000","56,921,000","58,005,000","46,900,000","24,500,000","47,300,000","51,000,000","38,400,000","15,900,000","35,200,000","40,000,000","29,800,000","7,500,000","24,400,000","-116,000,000","15,700,000","-11,200,000","20,500,000","34,500,000","35,600,000","16,300,000","32,900,000","13,100,000","13,100,000","13,100,000","13,100,000"
InterestExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,900,000","27,900,000","27,100,000",,"25,200,000","21,700,000",,,"23,500,000","24,600,000",,"20,800,000","24,500,000","23,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-66,900,000","-17,500,000","-16,700,000","-15,600,000","-17,100,000","-15,200,000","-14,600,000","-16,600,000","-19,900,000","-13,200,000","-13,100,000","-11,100,000","-11,900,000","-12,400,000","-12,800,000","-13,100,000","-13,200,000","-117,400,000","-15,500,000","-15,000,000","-11,500,000","-9,300,000","-9,500,000","-9,900,000","-9,700,000","-83,100,000","-57,300,000","-22,400,000","-24,000,000","-23,300,000","-33,700,000","-111,300,000","-35,600,000","-33,100,000","-32,900,000","-32,700,000","-33,200,000","-31,900,000","-32,900,000","-27,900,000","-27,100,000","-27,700,000","-25,200,000","-21,700,000","-21,500,000","-24,000,000","-23,500,000","-24,600,000","-24,900,000","-20,800,000","-24,500,000","-23,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"1,134,200,000","297,200,000","242,900,000","280,800,000","315,000,000","151,100,000","120,700,000","56,600,000","-739,000,000","278,400,000","160,300,000","201,500,000","229,200,000","267,100,000","150,800,000","189,200,000","231,900,000","233,100,000","128,900,000","173,700,000","179,900,000","228,800,000","116,600,000","153,500,000","182,300,000","219,100,000","89,400,000","132,500,000","100,100,000","174,800,000","18,800,000","74,500,000","-17,300,000","154,400,000","51,000,000","121,400,000","193,900,000","205,100,000","76,000,000","174,200,000","228,700,000","245,500,000","97,700,000","168,700,000","208,700,000","223,100,000","126,700,000","183,700,000","183,400,000","196,200,000","105,200,000","154,000,000","194,700,000","174,000,000","110,300,000","141,800,000","173,400,000","183,700,000","81,800,000","161,600,000","167,200,000","164,300,000","96,276,000","145,495,000","154,365,000","149,448,000","92,539,000","138,946,000","136,931,000","141,229,000","74,375,000","120,853,000","129,600,000","123,949,000","57,351,000","114,625,000","99,643,000","103,994,000","67,092,000","119,258,000","118,615,000","111,892,000","62,968,000","103,851,000","100,663,000","84,019,000","53,088,000","94,112,000","89,964,000","79,400,000","43,200,000","77,700,000","75,300,000","62,900,000","29,400,000","59,300,000","66,100,000","50,300,000","16,600,000","40,900,000","46,700,000","27,200,000","-10,200,000","33,900,000","59,300,000","62,000,000","31,400,000","57,400,000","-2,186,400,000","790,800,000","790,800,000","790,800,000"
EBITDA,"1,498,700,000"
ReconciledCostOfRevenue,"7,310,300,000","1,947,100,000","1,823,900,000","1,799,500,000","1,739,800,000","1,395,600,000","1,341,100,000","1,226,100,000","1,259,600,000","1,808,500,000","1,650,900,000","1,679,500,000","1,725,300,000","1,728,900,000","1,586,700,000","1,620,500,000","1,648,500,000","1,647,100,000","1,516,800,000","1,522,300,000","1,496,400,000","1,440,200,000","1,321,500,000","1,342,700,000","1,382,300,000","1,415,500,000","1,283,900,000","1,310,700,000","1,446,900,000","1,342,300,000","1,269,700,000","1,282,600,000","-141,800,000","1,760,900,000","1,670,200,000","1,701,300,000","1,790,200,000","1,752,300,000","1,568,700,000","1,549,800,000","1,568,900,000","1,627,200,000","1,461,300,000","1,505,800,000","1,514,200,000","1,479,900,000","1,340,800,000","1,364,600,000","1,425,600,000","1,430,200,000","1,292,400,000","1,335,700,000","1,511,200,000","1,391,300,000","1,342,500,000","1,392,000,000","1,418,400,000","1,396,700,000","1,209,300,000","1,111,900,000","875,200,000","1,181,064,000","1,089,888,000","1,110,881,000","1,165,281,000","1,126,682,000","1,043,088,000","1,080,826,000","1,074,198,000","1,052,497,000","968,389,000","987,900,000","1,043,152,000","955,625,000","911,315,000","978,026,000","954,695,000","918,546,000","852,848,000","901,400,000","878,573,000","867,576,000","801,578,000","829,294,000","837,577,000","767,284,000","735,353,000","787,539,000","780,063,000","712,700,000","677,700,000","724,700,000","704,000,000","683,200,000","642,900,000","710,000,000","720,200,000","644,700,000","611,900,000","646,800,000","653,500,000","652,300,000","628,800,000","637,600,000","640,900,000","605,600,000","577,200,000","647,600,000",,,,
ReconciledDepreciation,"364,500,000","94,300,000","92,100,000","89,000,000","89,100,000","88,200,000","86,000,000","87,600,000","94,400,000","87,700,000","87,600,000","86,200,000","87,900,000","85,300,000","82,800,000","80,700,000","79,000,000","79,200,000","78,800,000","76,100,000","70,400,000","67,900,000","67,800,000","66,800,000","66,800,000","67,000,000","75,300,000","81,100,000","80,900,000","79,600,000","80,100,000","78,700,000","-17,500,000","108,500,000","107,600,000","105,800,000","102,000,000","101,000,000","99,200,000","92,600,000","90,300,000","89,000,000","85,100,000","84,700,000","81,600,000","79,000,000","78,700,000","77,500,000","76,100,000","78,100,000","73,800,000","72,900,000","69,900,000","73,900,000","69,400,000","69,900,000","68,300,000","68,200,000","60,500,000","51,000,000","30,500,000","57,336,000","57,077,000","57,187,000","60,375,000","59,067,000","57,285,000","56,360,000","57,460,000","55,665,000","55,824,000","55,311,000","61,823,000","48,826,000","53,557,000","53,397,000","53,596,000","49,908,000","47,699,000","46,916,000","45,563,000","43,636,000","42,804,000","41,404,000","40,189,000","38,877,000","37,562,000","37,267,000","35,959,000","34,500,000","33,100,000","32,800,000","33,100,000","32,600,000","32,500,000","32,000,000","33,200,000","33,000,000","32,400,000","32,400,000","32,700,000","36,100,000","36,900,000","35,000,000","35,700,000","32,400,000","33,000,000","35,400,000",,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"1,042,000,000","247,900,000","193,400,000","231,700,000","369,000,000","129,200,000","96,900,000","37,300,000","-479,700,000","233,300,000","25,400,000","171,800,000","208,700,000","225,100,000","115,900,000","168,900,000","175,400,000","218,500,000","88,600,000","121,300,000","125,400,000","166,300,000","79,700,000","111,100,000","140,400,000","108,200,000","30,100,000","81,000,000","118,100,000","128,400,000","-30,800,000","-19,300,000","-16,400,000","109,500,000","19,800,000","70,300,000","133,300,000","134,500,000","33,700,000","111,000,000","151,500,000","164,100,000","54,100,000","106,800,000","137,900,000","151,700,000","75,800,000","113,300,000","116,000,000","134,800,000","61,200,000","95,000,000","122,700,000","108,100,000","58,500,000","82,400,000","103,300,000","115,600,000","44,100,000","106,600,000","120,500,000","106,400,000","61,662,000","88,543,000","92,306,000","105,318,000","55,057,000","85,514,000","83,989,000","92,630,000","42,975,000","72,125,000","53,716,000","77,899,000","31,253,000","68,594,000","61,110,000","61,786,000","37,478,000","71,886,000","72,949,000","66,220,000","36,463,000","62,156,000","61,011,000","49,527,000","29,541,000","56,921,000","58,005,000","46,900,000","24,500,000","47,300,000","51,000,000","38,400,000","15,900,000","35,200,000","40,000,000","29,800,000","7,500,000","24,400,000","-116,000,000","15,700,000","-11,200,000","20,500,000","34,500,000","35,600,000","16,300,000","-12,100,000","13,100,000","13,100,000","13,100,000","13,100,000"
TotalUnusualItemsExcludingGoodwill,"300,000","3,800,000",,,"-5,200,000","-3,100,000",,,"-390,000,000","-100,000","-100,000","0","-14,600,000","-1,600,000","-2,700,000","-100,000","-4,500,000","300,000","0","800,000","0","700,000","-100,000","7,800,000","-1,900,000","2,100,000","-7,700,000","1,700,000","-11,100,000","-4,400,000","-39,700,000","-6,900,000","-14,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,800,000","-16,300,000","-261,000","-4,650,000",,,,,,,,,,,,,"501,000",,"-143,000",,"299,000",,"2,269,000",,,,,,,,,,,,,,,,,,,,,,"0",,,"-75,000,000",,,,
