name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
InterestExpense,"9,885,000","3,539,000","2,779,000","1,882,000","1,685,000","11,417,000","10,615,000","10,026,000","9,967,000","9,912,000","5,077,000","4,678,000","4,653,000","6,154,000","6,135,000","6,125,000","3,764,000","2,935,000","2,908,000","2,696,000","2,591,000","2,415,000","2,448,000","1,803,000","538,000","470,000","512,000","351,000","193,000","235,000","177,000","121,000","57,000"
NetInterestIncome,"-7,748,000","-3,323,000","-2,640,000","-1,079,000","-706,000","-10,818,000","-9,457,000","-8,294,000","-6,354,000","-6,372,000","-2,194,000","-1,287,000","-1,268,000","-3,099,000","-3,768,000","-3,687,000","-2,667,000","-2,177,000","-2,254,000","-2,153,000","-2,152,000","-2,026,000","-2,046,000","-1,333,000","-97,000","-263,000","-453,000","-308,000","-178,000","-224,000","-165,000","-107,000","-53,000"
EBIT,"481,539,000","147,912,000","86,578,000","87,636,000","159,413,000","164,724,000","101,008,000","122,342,000","19,660,000","32,663,000","15,166,000","21,047,000","36,090,000","29,030,000","20,731,000","10,750,000","16,745,000","21,201,000","16,148,000","4,928,000","1,118,000","-14,181,000","4,412,000","-1,247,000","15,344,000","2,578,000","-2,284,000","-1,094,000","-25,668,000","-2,020,000","-4,019,000","-3,438,000","-193,000"
EBITDA,"555,806,000"
ReconciledCostOfRevenue,"654,512,000","208,966,000","153,660,000","148,969,000","142,917,000","150,780,000","120,168,000","111,381,000","82,416,000","90,824,000","68,949,000","58,605,000","52,658,000","57,111,000","46,947,000","45,409,000","41,295,000","44,220,000","36,383,000","35,724,000","34,659,000","37,005,000","29,314,000","29,098,000","27,911,000","30,196,000","24,165,000","21,909,000","20,709,000","22,779,000","18,115,000","17,345,000","15,394,000"
ReconciledDepreciation,"74,267,000","24,991,000","23,211,000","12,985,000","13,080,000","13,101,000","15,754,000","14,171,000","15,163,000","15,271,000","12,808,000","9,810,000","10,142,000","7,626,000","6,439,000","6,357,000","6,320,000","6,577,000","7,022,000","6,660,000","6,938,000","6,905,000","5,786,000","5,103,000","4,731,000","4,509,000","4,968,000","4,732,000","4,341,000","4,731,000","4,465,000","4,132,000","3,895,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"493,507,000","161,557,000","89,930,000","98,254,000","143,766,000","148,538,000","91,761,000","96,425,000","12,522,000","31,291,000","14,801,000","18,223,000","31,579,000","41,251,000","19,894,000","3,379,000","12,967,000","44,750,000","25,802,000","11,669,000","-421,000","-21,383,000","-2,399,000","-7,311,000","1,192,000","-4,232,000","-6,891,000","-6,354,000","-36,586,000","-5,358,000","-6,271,000","-3,151,000","-463,000"
TotalUnusualItemsExcludingGoodwill,"13,670,000","5,447,000","2,698,000","-2,272,000","7,797,000","2,790,000","-18,319,000","1,470,000","-9,318,000","4,085,000","-1,949,000","-192,000","1,062,000","-3,514,000","-373,000","-4,450,000","1,850,000","-1,009,000","8,069,000","16,103,000","2,780,000","-18,022,000","1,337,000","-6,386,000","8,120,000","-6,045,000","-676,000","2,654,000","-20,841,000","-2,207,000","-979,000","342,000","-616,000"
TotalUnusualItems,"13,670,000","5,447,000","2,698,000","-2,272,000","7,797,000","2,790,000","-18,319,000","1,470,000","-9,318,000","4,085,000","-1,949,000","-192,000","1,062,000","-3,514,000","-373,000","-4,450,000","1,850,000","-1,009,000","8,069,000","16,103,000","2,780,000","-18,022,000","1,337,000","-6,386,000","8,120,000","-6,045,000","-676,000","2,654,000","-20,841,000","-2,207,000","-979,000","342,000","-616,000"
NormalizedEBITDA,"542,136,000","167,456,000","107,091,000","102,893,000","164,696,000","175,035,000","135,081,000","135,043,000","44,141,000","43,849,000","29,923,000","31,049,000","45,170,000","40,170,000","27,543,000","21,557,000","21,215,000","28,787,000","15,101,000","-4,515,000","5,276,000","10,746,000","8,861,000","10,242,000","11,955,000","13,132,000","3,360,000","984,000","-486,000","4,918,000","1,425,000","352,000","4,318,000"
TaxRateForCalcs,"0.27","0.27","0.27","0.27","0.089","0.031","0.27","0.141","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.269","0.001","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.35","0.35","0.115","0.35"
TaxEffectOfUnusualItems,"3,690,900","1,470,690","728,460","-613,440","693,933","86,789.97","-4,946,130","207,982.567","-2,515,860","1,102,950","-526,230","-51,840","286,740","-948,780","-100,710","-1,198,854.054","1,995.224","-403,600","3,227,600","6,441,200","1,112,000","-7,208,800","534,800","-2,554,400","3,248,000","-2,418,000","-270,400","1,061,600","-8,336,400","-772,450","-342,650","39,206.519","-215,600"
