name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990
OperatingIncome,"475,011,000","202,726,000","116,713,000","14,338,000","143,050,000","147,050,000","141,187,000","114,167,000","157,771,000","141,939,000","126,459,000","111,477,000","145,718,000","95,731,000","106,579,000","94,424,000","113,570,000","104,250,000","99,431,000","86,306,000","58,621,000","84,258,000","69,611,000","73,676,000","99,482,000","46,528,000","22,607,000","43,490,000","67,893,000","60,237,000","54,694,000","43,996,000","71,931,000","56,698,000","50,318,000","41,064,000","65,115,000","66,754,000","62,229,000","48,166,000","73,170,000","54,888,000","47,742,000","47,159,000","58,253,000","35,808,000","55,013,000","-62,660,000","56,518,000","59,442,000","49,950,000","42,651,000","48,447,000","48,673,000","47,005,000","34,874,000","54,488,000","34,414,000","27,146,000","22,958,000","52,993,000","37,029,000","93,385,000","26,566,000","43,911,000","39,054,000","27,046,000","27,249,000","46,199,000","39,912,000","130,867,000","28,015,000","43,982,000","37,826,000","32,324,000","26,224,000","41,964,000","34,029,000","29,181,000","20,593,000","30,251,000","23,510,000","16,733,000","10,119,000","27,892,000","21,308,000","15,939,000","5,606,000","-34,994,000","20,200,000","26,300,000","18,100,000","37,300,000","40,500,000","32,700,000","25,754,000","35,279,000","31,960,000","25,640,000","19,735,000","25,800,000","21,900,000","19,800,000","16,900,000","6,300,000","5,600,000","4,600,000","3,800,000","4,000,000","3,500,000","3,000,000","2,600,000","2,700,000","2,100,000","1,700,000","1,500,000","1,200,000","700,000","300,000","200,000","-8,200,000","3,400,000","2,500,000","2,300,000","-6,400,000","2,500,000","2,400,000","1,600,000"
NetNonOperatingInterestIncomeExpense,"-71,470,000","-20,524,000","-22,013,000","-20,378,000","-8,555,000","-7,600,000","-7,477,000","-7,203,000","-9,753,000","-8,435,000","-9,426,000","-10,678,000","-7,478,000","-11,824,000","-11,320,000","-11,373,000","-12,178,000","-12,236,000","-12,057,000","-12,001,000","-11,291,000","-10,441,000","-10,640,000","-10,578,000","-10,847,000","-17,300,000","-6,822,000","-5,658,000","-4,612,000","-4,405,000","-4,912,000","-4,462,000","-4,619,000","-4,431,000","-4,642,000","-4,739,000","-5,774,000","-3,869,000","-3,375,000","-2,712,000","-3,073,000","-2,632,000","-2,399,000","-3,104,000","-3,012,000","-2,728,000","-2,808,000","-2,845,000","-3,423,000","-2,756,000","-2,852,000","-2,865,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"6,474,000","2,447,000","1,023,000","1,434,000","1,569,000","1,299,000","1,188,000","2,289,000","-176,000","1,378,000","1,018,000","-233,000",,,"73,000","367,000","841,000","225,000","626,000","465,000","254,000","539,000","284,000","493,000","549,000","406,000","663,000","462,000","123,000","417,000","36,000","220,000","-376,000","241,000","227,000","248,000","-685,000","338,000","31,000","260,000","-91,000","373,000","682,000","0","-64,000","321,000","188,000","162,000","244,000","535,000","278,000","218,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"77,944,000","22,971,000","23,036,000","21,812,000","10,124,000","8,899,000","8,665,000","9,492,000","9,577,000","9,813,000","10,444,000","10,678,000","10,498,000","11,824,000","11,393,000","11,740,000","13,019,000","12,461,000","12,683,000","12,466,000","11,545,000","10,980,000","10,924,000","11,071,000","11,396,000","17,706,000","7,485,000","6,120,000","4,735,000","4,822,000","4,948,000","4,682,000","4,243,000","4,672,000","4,869,000","4,987,000","5,145,000","4,207,000","3,406,000","2,972,000","2,982,000","3,005,000","3,081,000","3,104,000","2,948,000","3,049,000","2,996,000","3,007,000","3,667,000","3,291,000","3,130,000","3,083,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,845,000",,"2,756,000",,"-2,865,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-24,799,000","207,000","-5,093,000","-22,937,000","3,024,000","-20,000","76,000","-166,000","-6,000","448,000","274,000","-1,389,000","-4,840,000","-26,147,000",,,"53,000","-78,000","-27,000","-51,000","5,000","-58,374,000","-48,000","-154,000","-156,000","194,000","56,000","726,000","381,000","1,109,000","-1,271,000","172,000","-12,326,000","-808,000","-18,000","-52,000","-5,000","386,000","48,000","136,000","878,000","-1,164,000","-99,000","-258,000","-779,000","23,000","-105,000","-341,000","-5,161,000","-14,000","115,000","211,000","-828,000","-2,855,000","-37,000","166,000","-12,420,000","-952,000","-698,000","-1,391,000","-1,142,000","-3,179,000","-1,158,000","-1,105,000",,,"-937,000","706,000",,,,"116,000",,,,,,,,,,,,,,,,,,,,"400,000","900,000","200,000","400,000",,,,,,"1,000,000","700,000","900,000","-88,900,000","200,000","200,000","200,000","200,000","100,000","100,000","200,000","200,000","200,000",,"100,000","100,000","100,000","100,000","100,000",,,,,,,,,
	SpecialIncomeCharges,"3,007,000","207,000","-210,000","-14,000","3,024,000","-20,000","76,000","-166,000","-6,000","448,000","274,000","-1,389,000","-4,840,000","-26,147,000","0",,"53,000","-78,000","-27,000","-51,000","5,000","-58,374,000","-48,000","-154,000","-156,000","194,000","56,000","726,000","381,000","1,109,000","-1,271,000","172,000","-12,326,000","-808,000","-18,000","-52,000","-5,000","386,000","48,000","136,000","878,000","-1,164,000","-99,000","-258,000","-779,000","23,000","-105,000","-341,000","-5,161,000","-14,000","115,000","211,000","-828,000","-2,855,000","-37,000","166,000","-12,420,000","-952,000","-698,000","-1,391,000","-1,142,000","-3,179,000","-1,158,000","-1,105,000",,,"-937,000","706,000",,,,"116,000",,,,,,,,,,,,,,,,,,,,"400,000","900,000","200,000","400,000",,,,,,"1,000,000","700,000","900,000","-88,900,000","200,000","200,000","200,000","200,000","100,000","100,000","200,000","200,000","200,000",,"100,000","100,000","100,000","100,000","100,000",,,,,,,,,
		RestructuringAndMergernAcquisition,"-3,007,000","-207,000","210,000","14,000","-3,024,000","20,000","-76,000","166,000","6,000","-448,000","-274,000","1,389,000","4,840,000","26,147,000","0",,"-53,000","78,000","27,000","51,000","-5,000","18,000","48,000","154,000","156,000","-194,000","-56,000","-726,000","-381,000","-1,109,000","1,271,000","-172,000","12,326,000","808,000","18,000","52,000","5,000","-386,000","-48,000","-136,000","-878,000","1,164,000","99,000","258,000","779,000","-23,000","105,000","341,000","5,161,000","14,000","-115,000","-211,000","828,000","2,855,000","37,000","-166,000","12,420,000","952,000","698,000","1,391,000","1,142,000","3,179,000","1,158,000","1,105,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,"0","0",,,"0","58,356,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-982,000","-15,800,000",,,,"2,632,000","2,399,000","3,104,000","3,011,000","22,524,000","2,808,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
