name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990
	OtherNonOperatingIncomeExpenses,,"-20,524,000","-4,883,000","-22,923,000","-8,555,000","-7,600,000","-7,477,000","-7,203,000","-9,753,000",,"-9,426,000","-10,678,000","-7,478,000",,,,"-12,178,000","-12,236,000","-12,057,000",,"-11,291,000","-10,441,000","-10,640,000",,"-10,847,000",,,"-5,658,000","-4,612,000","-4,405,000",,"-4,462,000","-4,619,000","-4,431,000","-4,642,000","-4,739,000","-5,774,000","-3,869,000","-3,375,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"378,742,000","182,409,000","89,607,000","-28,977,000","137,519,000","139,430,000","133,786,000","106,798,000","148,012,000","133,952,000","117,307,000","99,410,000","133,400,000","57,760,000","95,259,000","83,051,000","101,445,000","91,936,000","87,347,000","74,254,000","47,335,000","15,443,000","58,923,000","62,944,000","88,479,000","29,422,000","15,841,000","38,558,000","63,662,000","56,941,000","48,511,000","39,706,000","54,986,000","51,459,000","45,658,000","36,273,000","59,336,000","63,271,000","58,902,000","45,590,000","70,975,000","51,092,000","45,244,000","43,797,000","54,462,000","33,103,000","52,100,000","-65,846,000","47,934,000","56,672,000","47,213,000","39,997,000","44,870,000","42,970,000","44,990,000","33,655,000","40,894,000","32,527,000","25,584,000","20,794,000","50,868,000","32,727,000","24,959,000","24,371,000","17,758,000","38,551,000","26,109,000","27,955,000","45,167,000","39,278,000","30,182,000","27,314,000","43,142,000","37,378,000","31,825,000","25,739,000","41,733,000","33,563,000","28,768,000","20,053,000","29,519,000","22,227,000","14,634,000","6,957,000","-22,952,000","16,626,000","10,748,000","1,335,000","-38,988,000","17,600,000","23,200,000","15,000,000","35,200,000","37,700,000","30,800,000","23,515,000","33,230,000","29,770,000","25,082,000","19,273,000","25,900,000","22,300,000","20,400,000","-73,600,000","6,400,000","5,800,000","4,800,000","4,100,000","4,100,000","3,800,000","3,000,000","2,800,000","2,700,000","2,300,000","1,800,000","1,600,000",,,,,,,,,,,,
TaxProvision,"101,182,000","39,315,000","19,982,000","-7,075,000","49,369,000","24,842,000","27,778,000","18,674,000","24,793,000","29,285,000","22,165,000","14,633,000","24,523,000","9,334,000","17,764,000","12,773,000","27,822,000","-3,404,000","22,903,000","16,039,000","21,270,000","19,790,000","18,721,000","14,234,000","30,610,000","8,268,000","7,154,000","14,267,000","22,263,000","18,817,000","17,507,000","15,169,000","16,110,000","22,953,000","15,915,000","3,956,000","17,955,000","15,174,000","18,757,000","15,236,000","26,804,000","17,443,000","15,680,000","15,066,000","15,463,000","11,338,000","16,389,000","-20,636,000","18,099,000","15,666,000","15,129,000","14,455,000","17,054,000","14,395,000","16,196,000","8,155,000","14,785,000","10,751,000","9,566,000","7,591,000","21,060,000","11,859,000","8,599,000","10,314,000","10,313,000","15,386,000","9,694,000","10,623,000","20,154,000","14,821,000","11,289,000","9,697,000","12,833,000","10,285,000","11,456,000","9,267,000","15,023,000","12,083,000","10,357,000","7,219,000","10,922,000","8,224,000","5,415,000","2,574,000","-6,326,000","6,235,000","4,024,000","507,000","-14,773,000","6,700,000","8,800,000","5,700,000","6,400,000","14,700,000","12,000,000","9,170,000","12,960,000","11,600,000","9,773,000","7,526,000","10,000,000","8,800,000","8,900,000","-2,000,000","2,500,000","2,300,000","1,900,000","1,600,000","1,500,000","1,400,000","1,100,000","1,000,000","1,100,000","900,000","700,000","600,000",,,,,,,,,,,,
NetIncomeCommonStockholders,"279,071,000","143,623,000","69,811,000","-21,807,000","88,851,000","114,501,000","105,858,000","88,190,000","123,316,000","104,930,000","94,769,000","84,590,000","108,745,000","47,858,000","77,457,000","69,991,000","73,598,000","94,781,000","64,459,000","58,077,000","26,143,000","-4,996,000","40,416,000","48,401,000","57,740,000","20,045,000","8,687,000","24,291,000","41,399,000","38,124,000","31,004,000","24,537,000","38,876,000","28,506,000","29,743,000","32,317,000","41,381,000","48,097,000","40,145,000","30,354,000","44,171,000","33,649,000","29,564,000","28,731,000","38,999,000","21,765,000","35,711,000","-45,210,000","29,835,000","41,006,000","32,084,000","25,542,000","27,816,000","28,575,000","28,794,000","25,500,000","26,109,000","21,776,000","16,018,000","13,203,000","29,808,000","21,299,000","16,360,000","14,684,000","8,454,000","28,089,000","16,415,000","17,332,000","25,013,000","24,457,000","18,893,000","17,617,000","30,309,000","27,093,000","20,369,000","16,472,000","26,710,000","21,480,000","18,411,000","12,834,000","18,597,000","14,003,000","9,219,000","4,383,000","-16,626,000","10,391,000","6,724,000","828,000","-24,215,000","10,900,000","14,400,000","9,300,000","28,800,000","23,000,000","18,800,000","14,345,000","20,270,000","18,170,000","15,309,000","11,747,000","15,900,000","13,500,000","11,500,000","-71,600,000","3,900,000","3,500,000","2,900,000","2,500,000","2,600,000","2,400,000","1,900,000","1,800,000","1,600,000","1,400,000","1,100,000","2,200,000","1,100,000","700,000","400,000","200,000",,"-100,000","-200,000","-200,000",,,"100,000","-100,000"
	NetIncome,"279,071,000","143,623,000","69,811,000","-21,807,000","88,851,000","114,501,000","105,858,000","88,190,000","123,316,000","104,930,000","94,769,000","84,590,000","108,745,000","47,858,000","77,457,000","69,991,000","73,598,000","94,781,000","64,459,000","58,077,000","26,143,000","-4,996,000","40,416,000","48,401,000","57,740,000","20,045,000","8,687,000","24,291,000","41,399,000","38,124,000","31,004,000","24,537,000","38,876,000","28,506,000","29,743,000","32,317,000","41,381,000","48,097,000","40,145,000","30,354,000","44,171,000","33,649,000","29,564,000","28,731,000","38,999,000","21,765,000","35,711,000","-45,210,000","29,835,000","41,006,000","32,084,000","25,542,000","27,816,000","28,575,000","28,794,000","25,500,000","26,109,000","21,776,000","16,018,000","13,203,000","29,808,000","21,299,000","16,360,000","14,684,000","8,454,000","28,089,000","16,415,000","17,332,000","25,013,000","24,457,000","18,893,000","17,617,000","30,309,000","27,093,000","20,369,000","16,472,000","26,710,000","21,480,000","18,411,000","12,834,000","18,597,000","14,003,000","9,219,000","4,383,000","-16,626,000","10,391,000","6,724,000","828,000","-24,215,000","10,900,000","14,400,000","9,300,000","28,800,000","23,000,000","18,800,000","14,345,000","20,270,000","18,170,000","15,309,000","11,747,000","15,900,000","13,500,000","11,500,000","-71,600,000","3,900,000","3,500,000","2,900,000","2,500,000","2,600,000","2,400,000","1,900,000","1,800,000","1,600,000","1,400,000","1,100,000","2,200,000","1,100,000","700,000","400,000","200,000",,"-100,000","-200,000","-200,000",,,"100,000","-100,000"
		NetIncomeIncludingNoncontrollingInterests,"277,560,000","143,094,000","69,625,000","-21,902,000","88,150,000","114,588,000","106,008,000","88,124,000","123,219,000","104,667,000","95,142,000","84,777,000","108,877,000","48,426,000","77,495,000","70,278,000","73,623,000","95,340,000","64,444,000","58,215,000","26,065,000","-4,347,000","40,202,000","48,710,000","57,869,000","21,154,000","8,687,000","24,291,000","41,399,000","38,124,000","31,004,000","24,537,000","38,876,000","28,506,000","29,743,000","32,317,000","41,381,000","48,097,000","40,145,000","30,354,000","44,171,000","33,649,000","29,564,000","28,731,000","38,999,000","21,765,000","35,711,000","-45,210,000","29,835,000","41,006,000","32,084,000","25,542,000","27,816,000","28,575,000","28,794,000","25,500,000","26,109,000","21,776,000","16,018,000","13,203,000","29,808,000","21,299,000","16,360,000","14,684,000","8,454,000","28,089,000","16,415,000","17,332,000","25,013,000","24,457,000","18,893,000","17,617,000","30,309,000","27,093,000","20,369,000","16,472,000","26,710,000","21,480,000","18,411,000","12,834,000","18,597,000","14,003,000","9,219,000","4,383,000","-16,626,000","10,391,000","6,724,000","828,000","-24,215,000","10,900,000","14,400,000","9,300,000","28,800,000","23,000,000","18,800,000","14,345,000","20,270,000","18,170,000","15,309,000","11,747,000","15,900,000","13,500,000","11,500,000","-71,600,000","3,900,000","3,500,000","2,900,000","2,500,000","2,600,000","2,400,000","1,900,000","1,800,000","1,600,000","1,400,000","1,100,000","2,200,000","1,100,000","700,000","400,000","200,000",,"-100,000","-200,000","-200,000",,,"100,000","-100,000"
			NetIncomeContinuousOperations,"277,560,000","143,094,000","69,625,000","-21,902,000","88,150,000","114,588,000","106,008,000","88,124,000","123,219,000","104,667,000","95,142,000","84,777,000","108,877,000","48,426,000","77,495,000","70,278,000","73,623,000","95,340,000","64,444,000","58,215,000","26,065,000","-4,347,000","40,202,000","48,710,000","57,869,000","21,154,000","8,687,000","24,291,000","41,399,000","38,124,000","31,004,000","24,537,000","38,876,000","28,506,000","29,743,000","32,317,000","41,381,000","48,097,000","40,145,000","30,354,000","44,171,000","33,649,000","29,564,000","28,731,000","38,999,000","21,765,000","35,711,000","-45,210,000","29,835,000","41,006,000","32,084,000","25,542,000","27,816,000","28,575,000","28,794,000","25,500,000","26,109,000","21,776,000","16,018,000","13,203,000","29,808,000","20,868,000","16,360,000","14,057,000","7,445,000","23,165,000","16,415,000","17,332,000","25,013,000","24,457,000","18,893,000","17,617,000","30,309,000","27,093,000","20,369,000","16,472,000","26,710,000","21,480,000","18,411,000","12,834,000","18,597,000","14,003,000","9,219,000","4,383,000","-16,626,000","10,391,000","6,724,000","828,000","-24,215,000","10,900,000","14,400,000","9,300,000","28,800,000","23,000,000","18,800,000","14,345,000","20,270,000","18,170,000","15,309,000","11,747,000","15,900,000","13,500,000","11,500,000","-71,600,000","3,900,000","3,500,000","2,900,000","2,500,000","2,600,000","2,400,000","1,900,000","1,800,000","1,600,000","1,400,000","1,100,000","1,000,000","1,100,000","700,000","400,000","200,000",,"-100,000","-200,000","-200,000",,,"100,000","-100,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","431,000",,"627,000","1,009,000","4,924,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"1,200,000",,,,,,,,,,,,
		MinorityInterests,"1,511,000","529,000","186,000","95,000","701,000","-87,000","-150,000","66,000","97,000","263,000","-373,000","-187,000","-132,000","-568,000","-38,000","-287,000","-25,000","-559,000","15,000","-138,000","78,000","-649,000","214,000","-309,000","-129,000","-1,109,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"279,071,000","143,623,000","69,811,000","-21,807,000","88,851,000","114,501,000","105,858,000","88,190,000","123,316,000","104,930,000","94,769,000","84,590,000","108,745,000","47,858,000","77,457,000","69,991,000","73,598,000","94,781,000","64,459,000","58,077,000","26,143,000","-4,996,000","40,416,000","48,401,000","57,740,000","20,045,000","8,687,000","24,291,000","41,399,000","38,124,000","31,004,000","24,537,000","38,876,000","28,506,000","29,743,000","32,317,000","41,381,000","48,097,000","40,145,000","30,354,000","44,171,000","33,649,000","29,564,000","28,731,000","38,999,000","21,765,000","35,711,000","-45,210,000","29,835,000","41,006,000","32,084,000","25,542,000","27,816,000","28,575,000","28,794,000","25,500,000","26,109,000","21,776,000","16,018,000","13,203,000","29,808,000","21,299,000","16,360,000","14,684,000","8,454,000","28,089,000","16,415,000","17,332,000","25,013,000","24,457,000","18,893,000","17,617,000","30,309,000","27,093,000","20,369,000","16,472,000","26,710,000","21,480,000","18,411,000","12,834,000","18,597,000","14,003,000","9,219,000","4,383,000","-16,626,000","10,391,000","6,724,000","828,000","-24,215,000","10,900,000","14,400,000","9,300,000","28,800,000","23,000,000","18,800,000","14,345,000","20,270,000","18,170,000","15,309,000","11,747,000","15,900,000","13,500,000","11,500,000","-71,600,000","3,900,000","3,500,000","2,900,000","2,500,000","2,600,000","2,400,000","1,900,000","1,800,000","1,600,000","1,400,000","1,100,000","2,200,000","1,100,000","700,000","400,000","200,000",,"-100,000","-200,000","-200,000",,,"100,000","-100,000"
BasicEPS,,"1.44","0.7","-0.24","1.02","1.34","1.24","1.04","1.45","1.24","1.12","1","1.29","0.57","0.92","0.83","0.87","1.12","0.76","0.68","0.31","-0.06","0.47","0.56","0.67","0.26","0.15","0.41","0.69","0.64","0.52","0.41","0.66","0.48","0.5","0.55","0.71","0.82","0.69","0.52",,"0.58","0.5","0.48","0.66","0.37","0.6","-0.76",,"0.7","0.55","0.44",,"0.49","0.49","0.43",,"0.35","0.25","0.2",,"0.33","0.25","0.22",,"0.41","0.24","0.25",,"0.35","0.27","0.25",,"0.39","0.29","0.24",,"0.31","0.27","0.18",,"0.2","0.13","0.06",,"0.15","0.1","0.01",,"0.16","0.21","0.14",,"0.34","0.27","0.105",,"0.135","0.11","0.085",,"0.095","0.085","-0.54",,"0.045","0.04","0.018",,"0.018","0.015","0.013",,"0.01","0.008","0.018",,"0.008","0.005","0.003",,"-0.008","-0.01","-0.01",,"-0.005","-0.003","-0.008"
DilutedEPS,,"1.42","0.69","-0.24","1.02","1.33","1.23","1.03","1.44","1.23","1.11","0.99","1.27","0.56","0.91","0.82","0.86","1.11","0.75","0.68","0.31","-0.06","0.47","0.56","0.67","0.26","0.14","0.4","0.69","0.63","0.52","0.41","0.65","0.48","0.5","0.54","0.7","0.82","0.68","0.52",,"0.58","0.5","0.48","0.65","0.36","0.59","-0.76",,"0.69","0.54","0.43",,"0.48","0.48","0.43",,"0.34","0.25","0.2",,"0.33","0.25","0.22",,"0.41","0.24","0.25",,"0.35","0.27","0.25",,"0.38","0.29","0.23",,"0.3","0.26","0.18",,"0.2","0.13","0.06",,"0.15","0.1","0.01",,"0.16","0.21","0.14",,"0.33","0.27","0.105",,"0.13","0.11","0.085",,"0.095","0.085","-0.54",,"0.045","0.04","0.018",,"0.018","0.015","0.013",,"0.01","0.008","0.018",,"0.008","0.005","0.003",,"-0.008","-0.01","-0.01",,"-0.005","-0.003","-0.008"
BasicAverageShares,,"100,038,000","99,848,000","90,152,000","85,352,000","85,330,000","85,170,000","84,959,000","84,891,000","84,788,000","84,795,000","84,638,000","84,546,000","84,540,000","84,537,000","84,685,000","84,819,000","85,004,000","85,199,000","85,090,000","84,934,000","85,074,000","85,851,000","86,038,000","85,907,000","77,221,000","59,897,000","59,768,000","59,634,000","59,475,000","59,375,000","59,169,000","58,946,000","58,885,000","59,027,000","59,005,000","58,622,000","58,425,000","58,264,000","57,911,000",,"57,782,000","58,744,000","59,255,000","59,239,000","59,233,000","59,356,000","59,397,000",,"58,962,000","58,654,000","58,517,000",,"58,660,000","59,312,000","58,694,000",,"62,217,143","64,072,000","66,015,000",,"64,542,424","65,440,000","66,745,455",,"68,509,756","68,395,833","69,328,000",,"69,877,143","69,974,074","70,468,000",,"69,469,231","70,237,931","68,633,333",,"69,290,323","68,188,889","71,300,000",,"70,015,000","70,915,385","73,050,000",,"69,273,333","67,240,000","82,800,000",,"68,125,000","68,571,429","66,428,571",,"67,647,059","69,629,630","136,236,000",,"135,616,000","140,540,000","139,824,000",,"68,370,000","67,172,000","66,290,000",,"35,714,000","35,702,000","35,616,000",,"35,036,000","34,780,000","34,780,000",,"34,452,000","34,424,000","34,144,000",,"31,728,000","31,468,000","31,468,000",,"13,333,333","20,000,000","20,000,000",,"13,333,333","13,333,333","13,333,333"
DilutedAverageShares,,"100,826,000","100,689,000","90,992,000","86,038,000","86,032,000","85,844,000","85,676,000","85,676,000","85,628,000","85,695,000","85,566,000","85,447,000","85,441,000","85,477,000","85,509,000","85,544,000","85,719,000","85,869,000","85,720,000","85,529,000","85,074,000","86,333,000","86,519,000","86,367,000","77,712,000","60,370,000","60,286,000","60,201,000","60,146,000","60,020,000","59,814,000","59,743,000","59,685,000","59,762,000","59,790,000","59,301,000","58,972,000","58,792,000","58,312,000",,"58,237,000","59,380,000","60,103,000","60,109,000","60,176,000","60,049,000","59,397,000",,"59,758,000","59,418,000","58,984,000",,"59,531,250","59,987,500","59,647,000",,"64,047,059","64,072,000","66,015,000",,"64,542,424","65,440,000","66,745,455",,"68,509,756","68,395,833","69,328,000",,"69,877,143","69,974,074","70,468,000",,"71,297,368","70,237,931","71,617,391",,"71,600,000","70,811,538","71,300,000",,"70,015,000","70,915,385","73,050,000",,"69,273,333","67,240,000","82,800,000",,"68,125,000","68,571,429","66,428,571",,"69,696,970","69,629,630","141,364,000",,"140,472,000","140,540,000","139,824,000",,"68,370,000","67,172,000","66,290,000",,"35,714,000","35,702,000","35,616,000",,"35,036,000","34,780,000","34,780,000",,"34,452,000","34,424,000","34,144,000",,"31,728,000","31,468,000","31,468,000",,"13,333,333","20,000,000","20,000,000",,"13,333,333","13,333,333","13,333,333"
TotalOperatingIncomeAsReported,"478,018,000","202,933,000","116,503,000","14,324,000","146,074,000","147,030,000","141,263,000","114,001,000","157,765,000","142,387,000","126,733,000","110,088,000","140,878,000","69,584,000","106,579,000","94,424,000","113,623,000","104,172,000","99,404,000","86,255,000","58,626,000","25,884,000","69,563,000","73,522,000","99,326,000","46,722,000","22,663,000","44,216,000","68,274,000","61,346,000","53,423,000","44,168,000","59,605,000","55,890,000","50,300,000","41,012,000","65,110,000","67,140,000","62,277,000","48,302,000","74,048,000","53,724,000","47,643,000","46,901,000","57,474,000","35,831,000","54,908,000","-63,001,000","51,357,000","59,428,000","50,065,000","42,862,000","47,619,000","45,818,000","46,968,000","35,040,000","42,068,000","33,462,000","26,448,000","21,567,000","51,851,000","33,850,000","92,227,000","25,461,000","18,603,000","39,054,000","27,046,000","27,249,000","46,199,000","39,912,000","30,867,000","28,015,000","43,982,000","37,826,000","32,324,000","26,224,000","41,964,000","34,029,000","29,181,000","20,593,000","30,251,000","23,510,000","16,733,000","10,119,000","-18,679,000","21,308,000","15,939,000","5,606,000","-34,994,000","20,200,000","26,300,000","18,100,000","37,300,000","40,500,000","32,700,000","25,754,000","35,279,000","31,960,000","25,640,000","19,735,000","25,800,000","21,900,000","19,800,000","16,900,000","6,300,000","5,600,000","4,600,000","3,800,000","4,000,000","3,500,000","3,000,000","2,600,000","2,700,000","2,100,000","1,700,000","1,500,000","1,200,000","700,000","300,000","200,000",,,,,,,,
TotalExpenses,"3,772,898,000","1,006,245,000","1,080,272,000","954,084,000","730,481,000","661,874,000","614,945,000","554,765,000","665,220,000","632,322,000","610,381,000","585,326,000","622,495,000","600,507,000","572,382,000","544,334,000","602,403,000","557,650,000","534,728,000","521,658,000","622,568,000","562,516,000","576,804,000","564,702,000","590,795,000","572,160,000","467,290,000","396,412,000","433,754,000","413,007,000","408,035,000","368,647,000","393,356,000","348,853,000","333,444,000","326,588,000","363,101,000","313,651,000","294,092,000","288,794,000","317,079,000","300,327,000","294,965,000","271,480,000","319,507,000","292,475,000","257,412,000","251,640,000","275,611,000","268,390,000","264,279,000","240,892,000","295,919,000","270,794,000","276,122,000","276,691,000","320,682,000","279,560,000","267,856,000","257,986,000","296,844,000","261,938,000","190,151,000","238,501,000","287,363,000","248,438,000","257,324,000","249,449,000","269,514,000","244,477,000","133,979,000","226,782,000","252,075,000","236,460,000","225,065,000","233,056,000","231,728,000","210,283,000","203,551,000","200,758,000","214,342,000","195,127,000","189,660,000","186,955,000","190,739,000","183,157,000","177,239,000","178,207,000","225,120,000","174,900,000","172,300,000","158,700,000","189,600,000","165,300,000","158,400,000","148,021,000","169,221,000","154,679,000","147,743,000","135,399,000","144,700,000","129,100,000","118,700,000","111,000,000","19,300,000","18,600,000","17,000,000","16,000,000","15,600,000","13,000,000","12,200,000","10,400,000","11,600,000","9,900,000","8,800,000","7,600,000","7,600,000","6,100,000","5,900,000","4,800,000",,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"279,071,000","143,623,000","69,811,000","-21,807,000","88,851,000","114,501,000","105,858,000","88,190,000","123,316,000","104,930,000","94,769,000","84,590,000","108,745,000","47,858,000","77,457,000","69,991,000","73,598,000","94,781,000","64,459,000","58,077,000","26,143,000","-4,996,000","40,416,000","48,401,000","57,740,000","20,045,000","8,687,000","24,291,000","41,399,000","38,124,000","31,004,000","24,537,000","38,876,000","28,506,000","29,743,000","32,317,000","41,381,000","48,097,000","40,145,000","30,354,000","44,171,000","33,649,000","29,564,000","28,731,000","38,999,000","21,765,000","35,711,000","-45,210,000","29,835,000","41,006,000","32,084,000","25,542,000","27,816,000","28,575,000","28,794,000","25,500,000","26,109,000","21,776,000","16,018,000","13,203,000","29,808,000","21,299,000","16,360,000","14,684,000","8,454,000","28,089,000","16,415,000","17,332,000","25,013,000","24,457,000","18,893,000","17,617,000","30,309,000","27,093,000","20,369,000","16,472,000","26,710,000","21,480,000","18,411,000","12,834,000","18,597,000","14,003,000","9,219,000","4,383,000","-16,626,000","10,391,000","6,724,000","828,000","-24,215,000","10,900,000","14,400,000","9,300,000","28,800,000","23,000,000","18,800,000","14,345,000","20,270,000","18,170,000","15,309,000","11,747,000","15,900,000","13,500,000","11,500,000","-71,600,000","3,900,000","3,500,000","2,900,000","2,500,000","2,600,000","2,400,000","1,900,000","1,800,000","1,600,000","1,400,000","1,100,000","1,000,000","1,100,000","700,000","400,000","200,000",,"-100,000","-200,000","-200,000",,,"100,000","-100,000"
NormalizedIncome,"276,867,328.583","143,460,712","69,974,170","-21,796,416","86,912,608.941","114,517,440","105,797,808","88,326,950","123,320,994.96","104,580,112","94,546,786","85,774,817","112,695,259.97","69,769,186","77,457,000","69,991,000","73,559,535.62","94,827,800","64,478,926","58,116,984","26,140,000","30,028,400","40,448,736","48,520,196","57,842,030.584","19,905,514","8,653,400","23,833,620","41,151,238.086","37,380,970","31,816,169","24,430,704","47,590,683.301","29,031,200","29,754,718","32,363,332","41,384,487.006","47,803,640","40,112,264","30,263,424","43,624,580.303","34,415,606.044","29,628,690.036","28,900,248.99","39,556,824.189","21,749,877.655","35,782,970.345","-44,975,868.694","33,047,300.976","41,016,129.941","32,005,850.761","25,407,255.844","28,329,297.259","30,473,571.678","28,817,680.329","25,374,223.741","34,038,617.548","22,413,339.81","16,455,013.915","14,086,205.396","30,550,300","22,895,053.259","17,119,040.026","14,720,000","7,445,000","23,165,000","17,004,101.651","16,894,282.525","25,013,000","24,457,000","18,893,000","17,542,182.251","30,309,000","27,093,000","20,369,000","16,472,000","26,710,000","21,480,000","18,411,000","12,834,000","18,597,000","14,003,000","9,219,000","4,383,000","-16,626,000","10,391,000","6,724,000","828,000","-24,215,000","10,900,000","14,400,000","9,052,000","28,063,636.364","22,877,984.085","18,555,844.156","14,345,000","20,270,000","18,170,000","15,309,000","11,747,000","15,286,100.386","13,076,233.184","10,960,000","14,884,239.13","3,778,125","3,379,310.345","2,779,166.667","2,378,048.78","2,536,585.366","2,336,842.105","1,773,333.333","1,671,428.571","1,480,000","1,400,000","1,038,888.889","937,500","1,040,000","640,000","340,000","200,000",,"-100,000","-200,000","-200,000",,,"100,000","-100,000"
InterestIncome,"6,474,000","2,447,000","1,023,000","1,434,000","1,569,000","1,299,000","1,188,000","2,289,000","-176,000","1,378,000","1,018,000","-233,000",,,"73,000","367,000","841,000","225,000","626,000","465,000","254,000","539,000","284,000","493,000","549,000","406,000","663,000","462,000","123,000","417,000","36,000","220,000","-376,000","241,000","227,000","248,000","-685,000","338,000","31,000","260,000","-91,000","373,000","682,000","0","-64,000","321,000","188,000","162,000","244,000","535,000","278,000","218,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"77,944,000","22,971,000","23,036,000","21,812,000","10,124,000","8,899,000","8,665,000","9,492,000","9,577,000","9,813,000","10,444,000","10,678,000","10,498,000","11,824,000","11,393,000","11,740,000","13,019,000","12,461,000","12,683,000","12,466,000","11,545,000","10,980,000","10,924,000","11,071,000","11,396,000","17,706,000","7,485,000","6,120,000","4,735,000","4,822,000","4,948,000","4,682,000","4,243,000","4,672,000","4,869,000","4,987,000","5,145,000","4,207,000","3,406,000","2,972,000","2,982,000","3,005,000","3,081,000","3,104,000","2,948,000","3,049,000","2,996,000","3,007,000","3,667,000","3,291,000","3,130,000","3,083,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-71,470,000","-20,524,000","-22,013,000","-20,378,000","-8,555,000","-7,600,000","-7,477,000","-7,203,000","-9,753,000","-8,435,000","-9,426,000","-10,678,000","-7,478,000","-11,824,000","-11,320,000","-11,373,000","-12,178,000","-12,236,000","-12,057,000","-12,001,000","-11,291,000","-10,441,000","-10,640,000","-10,578,000","-10,847,000","-17,300,000","-6,822,000","-5,658,000","-4,612,000","-4,405,000","-4,912,000","-4,462,000","-4,619,000","-4,431,000","-4,642,000","-4,739,000","-5,774,000","-3,869,000","-3,375,000","-2,712,000","-3,073,000","-2,632,000","-2,399,000","-3,104,000","-3,012,000","-2,728,000","-2,808,000","-2,845,000","-3,423,000","-2,756,000","-2,852,000","-2,865,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
